DATOS MÓVILES 2019_CRUZ ROJA,,,,,,,,
,,,,,,,,
,,,,,,,,
MES,DIA,HORA,MO3,MSO2,MCO,NO2,MPM10,MPM2.5
NOV,1,0,10.15,16.30,0.261,2.94,24,20
NOV,1,1,10.65,16.72,0.259,0.54,25,19
NOV,1,2,10.07,17.21,0.256,1.51,24,19
NOV,1,3,10.62,18.42,0.240,3.85,24,19
NOV,1,4,11.81,19.12,0.227,2.68,23,19
NOV,1,5,12.93,19.42,0.214,2.67,23,18
NOV,1,6,12.03,19.66,0.200,1.21,22,17
NOV,1,7,11.27,21.26,0.202,7.43,22,17
NOV,1,8,11.56,20.71,0.226,7.22,22,18
NOV,1,9,13.15,20.44,0.234,3.17,21,17
NOV,1,10,15.44,20.67,0.238,0.33,21,16
NOV,1,11,18.19,21.03,0.251,1.87,20,16
NOV,1,12,21.96,21.45,0.259,1.85,20,15
NOV,1,13,25.77,21.91,0.276,3.45,20,15
NOV,1,14,32.03,21.24,0.288,1.42,20,15
NOV,1,15,38.76,20.99,0.290,0.98,19,15
NOV,1,16,43.90,20.10,0.269,1.20,19,15
NOV,1,17,46.67,19.10,0.276,2.97,19,15
NOV,1,18,46.45,17.03,0.320,7.86,19,15
NOV,1,19,43.38,16.76,0.432,13.75,19,14
NOV,1,20,39.67,15.57,0.553,15.96,20,14
NOV,1,21,36.34,14.13,0.611,11.99,20,14
NOV,1,22,31.92,13.53,0.649,7.70,21,14
NOV,1,23,26.02,12.84,0.688,6.94,24,14
NOV,2,0,20.87,12.08,0.711,7.76,24,15
NOV,2,1,16.82,11.77,0.700,4.34,24,15
NOV,2,2,15.28,11.27,0.654,4.86,25,16
NOV,2,3,15.75,10.22,0.539,5.79,25,16
NOV,2,4,15.82,9.20,0.421,6.05,25,16
NOV,2,5,14.30,8.64,0.349,5.22,25,16
NOV,2,6,12.23,9.71,0.304,8.09,26,16
NOV,2,7,12.23,8.73,0.265,7.96,26,16
NOV,2,8,10.57,8.83,0.258,6.70,26,17
NOV,2,9,9.32,8.92,0.265,4.29,26,17
NOV,2,10,10.02,9.13,0.267,3.02,27,17
NOV,2,11,11.97,9.05,0.264,1.85,27,17
NOV,2,12,14.52,8.36,0.258,0.94,27,17
NOV,2,13,17.83,7.70,0.263,1.14,27,17
NOV,2,14,20.72,7.90,0.270,2.22,27,16
NOV,2,15,22.07,8.18,0.265,0.74,27,16
NOV,2,16,23.84,8.95,0.244,2.01,28,16
NOV,2,17,24.40,9.99,0.233,2.77,28,17
NOV,2,18,22.54,11.22,0.227,3.88,29,17
NOV,2,19,19.84,12.58,0.228,4.29,29,17
NOV,2,20,17.74,13.61,0.230,3.20,29,18
NOV,2,21,15.18,13.70,0.227,0.76,27,18
NOV,2,22,13.86,13.56,0.221,1.32,27,18
NOV,2,23,12.82,13.85,0.219,1.39,25,17
NOV,3,0,12.40,13.97,0.217,1.17,24,17
NOV,3,1,11.65,13.89,0.214,0.23,24,17
NOV,3,2,12.08,14.72,0.209,4.15,26,17
