DATOS MÓVILES 2019_CRUZ ROJA,,,,,,,,
,,,,,,,,
,,,,,,,,
MES,DIA,HORA,MO3,MSO2,MCO,NO2,MPM10,MPM2.5
FEB,1,0,7.13,1.77,0.612,8.02,47,NA
FEB,1,1,4.96,1.80,0.629,8.32,47,NA
FEB,1,2,3.87,1.67,0.608,6.56,47,NA
FEB,1,3,3.59,1.63,0.542,4.90,46,NA
FEB,1,4,3.70,1.64,0.481,4.65,46,NA
FEB,1,5,3.35,1.67,0.382,4.92,47,NA
FEB,1,6,3.27,1.72,0.332,4.35,47,NA
FEB,1,7,3.71,1.71,0.344,3.34,47,NA
FEB,1,8,3.88,1.65,0.411,3.40,47,NA
FEB,1,9,4.06,1.70,0.522,4.14,46,NA
FEB,1,10,4.33,2.13,0.647,NA,47,NA
FEB,1,11,7.45,2.21,0.688,11.42,48,NA
FEB,1,12,12.87,2.22,0.688,8.16,49,NA
FEB,1,13,16.97,2.23,0.686,1.06,49,NA
FEB,1,14,19.79,2.23,0.686,0.20,49,NA
FEB,1,15,23.16,2.23,0.647,2.19,49,NA
FEB,1,16,26.02,2.22,0.536,5.63,48,NA
FEB,1,17,25.61,2.20,0.396,4.96,48,NA
FEB,1,18,24.78,2.18,0.279,6.07,47,NA
FEB,1,19,22.98,2.15,0.272,13.06,47,NA
FEB,1,20,19.33,2.16,0.377,23.52,47,NA
FEB,1,21,16.45,2.19,0.531,20.14,48,NA
FEB,1,22,14.73,2.19,0.626,16.07,48,NA
FEB,1,23,12.09,2.17,0.648,8.23,48,NA
FEB,2,0,10.64,2.16,0.704,9.34,49,NA
FEB,2,1,8.55,2.17,0.737,9.83,49,NA
FEB,2,2,NA,2.24,0.734,9.69,50,NA
FEB,2,3,NA,2.31,0.695,7.80,50,NA
FEB,2,4,NA,2.33,0.584,5.38,51,NA
FEB,2,5,NA,2.44,0.428,6.15,52,NA
FEB,2,6,NA,2.50,0.321,6.83,52,NA
FEB,2,7,NA,2.52,0.323,5.56,53,NA
FEB,2,8,10.46,2.55,0.379,4.36,53,NA
FEB,2,9,10.33,2.60,0.404,6.60,52,NA
FEB,2,10,10.96,2.19,0.398,5.96,50,NA
FEB,2,11,13.63,2.15,0.391,4.15,48,NA
FEB,2,12,14.12,2.16,0.372,1.71,48,NA
FEB,2,13,16.65,2.18,0.365,2.28,47,NA
FEB,2,14,18.52,2.18,0.363,0.20,47,NA
FEB,2,15,20.98,2.19,0.337,1.51,47,NA
FEB,2,16,24.70,2.20,0.271,5.31,47,NA
FEB,2,17,27.17,2.19,0.223,4.36,47,NA
FEB,2,18,27.83,2.19,0.226,5.35,47,NA
FEB,2,19,28.46,2.19,0.268,15.51,47,NA
