DATOS MÓVILES 2019_CRUZ ROJA,,,,,,,,
,,,,,,,,
,,,,,,,,
MES,DIA,HORA,MO3,MSO2,MCO,NO2,MPM10,MPM2.5
ENE,5,15,29.50,2.34,0.356,0.47,70,31
ENE,5,16,35.19,2.22,0.299,1.04,70,30
ENE,5,17,39.15,2.22,0.271,0.56,69,30
ENE,5,18,38.72,2.23,0.291,13.57,70,30
ENE,5,19,40.91,2.24,0.413,34.64,71,30
ENE,5,20,36.48,2.20,0.625,41.60,70,31
ENE,5,21,32.05,2.18,0.718,29.83,69,30
ENE,5,22,26.82,2.19,0.731,11.25,65,29
ENE,5,23,22.31,2.21,0.743,10.93,61,28
ENE,6,0,16.29,2.20,0.750,9.45,58,26
ENE,6,1,12.63,2.26,0.753,9.31,55,24
ENE,6,2,11.51,2.17,0.708,5.60,55,24
ENE,6,3,10.39,2.18,0.572,11.64,55,23
ENE,6,4,9.90,2.20,0.366,11.99,55,22
ENE,6,5,7.73,2.17,0.262,10.51,55,22
ENE,6,6,6.35,2.18,0.249,11.83,55,22
ENE,6,7,5.03,2.14,0.242,9.84,56,22
ENE,6,8,4.45,2.12,0.268,9.58,56,22
ENE,6,9,3.59,2.13,0.302,12.30,55,22
ENE,6,10,4.39,2.29,0.330,15.40,57,21
ENE,6,11,8.00,2.40,0.333,13.24,57,22
ENE,6,12,13.56,2.35,0.315,5.51,57,22
ENE,6,13,20.32,2.27,0.312,2.18,56,22
ENE,6,14,27.27,2.20,0.312,2.81,55,21
ENE,6,15,34.78,2.25,0.314,2.60,55,21
ENE,6,16,41.65,2.32,0.275,0.20,55,21
ENE,6,17,47.44,2.35,0.232,0.20,55,21
ENE,6,18,48.97,2.37,0.223,3.29,55,21
ENE,6,19,51.47,2.39,0.332,30.58,55,21
ENE,6,20,52.28,2.40,0.536,43.18,54,20
ENE,6,21,43.60,2.42,0.783,41.67,54,21
ENE,6,22,35.63,2.41,0.930,33.84,55,20
ENE,6,23,NA,2.36,0.992,21.36,56,21
ENE,7,0,NA,2.33,1.079,25.11,57,22
ENE,7,1,NA,2.25,1.153,21.66,58,23
ENE,7,2,NA,2.19,1.187,19.87,60,24
ENE,7,3,5.59,2.16,1.123,21.12,61,25
ENE,7,4,5.13,2.13,0.962,22.57,62,26
ENE,7,5,4.86,2.07,0.750,20.48,62,27
ENE,7,6,3.64,2.04,0.636,18.57,62,28
ENE,7,7,3.45,2.04,0.631,20.60,62,28
ENE,7,8,3.06,2.04,0.626,19.73,63,29
ENE,7,9,3.15,2.03,0.626,20.82,64,30
ENE,7,10,5.09,1.86,0.639,20.73,64,31
ENE,7,11,8.01,1.81,0.629,14.66,63,31
ENE,7,12,13.45,2.12,0.628,11.07,63,31
ENE,7,13,19.39,2.79,0.632,8.51,63,31
ENE,7,14,24.68,3.39,0.629,8.05,63,31
ENE,7,15,29.66,3.65,0.604,9.71,63,31
ENE,7,16,32.18,3.68,0.542,4.83,64,31
ENE,7,17,34.08,3.64,0.475,1.10,63,31
ENE,7,18,33.73,3.61,0.413,0.49,62,31
ENE,7,19,32.96,3.58,0.382,3.77,61,31
ENE,7,20,30.38,3.53,0.350,2.80,59,31
ENE,7,21,28.04,3.47,0.318,2.47,56,29
ENE,7,22,26.16,3.43,0.288,0.20,53,28
ENE,7,23,23.21,3.49,0.258,0.20,51,26
ENE,8,0,22.84,3.60,0.264,NA,49,25
ENE,8,1,22.61,3.58,0.263,2.31,48,24
ENE,8,2,21.98,3.64,0.259,1.46,46,23
ENE,8,3,20.00,3.97,0.245,6.53,44,22
ENE,8,4,17.26,4.38,0.231,9.87,42,20
ENE,8,5,13.65,4.45,0.219,11.29,40,19
ENE,8,6,10.28,4.60,0.216,12.84,39,18
ENE,8,7,8.36,4.78,0.214,10.25,38,17
ENE,8,8,6.15,4.93,0.210,12.86,37,17
ENE,8,9,4.02,5.61,0.230,14.11,35,16
ENE,8,10,4.47,7.43,0.254,14.10,35,15
ENE,8,11,7.05,8.43,0.272,9.38,35,15
ENE,8,12,11.20,9.30,0.286,5.69,35,15
ENE,8,13,14.44,10.15,0.302,6.77,35,15
ENE,8,14,17.54,10.87,0.310,7.85,35,15
ENE,8,15,21.22,10.97,0.309,4.35,34,14
ENE,8,16,24.96,11.00,0.294,2.00,33,14
ENE,8,17,28.34,11.01,0.272,1.95,32,14
ENE,8,18,28.71,11.59,0.268,6.07,32,14
ENE,8,19,26.24,11.60,0.277,8.97,33,14
ENE,8,20,23.13,11.60,0.292,12.68,33,14
ENE,8,21,21.48,11.59,0.294,5.79,34,14
ENE,8,22,18.70,11.62,0.292,NA,35,14
ENE,8,23,14.90,11.94,0.292,NA,35,14
ENE,9,0,11.17,13.18,0.290,13.78,35,14
ENE,9,1,7.93,14.71,0.288,10.01,35,14
ENE,9,2,6.04,15.94,0.269,8.42,37,15
ENE,9,3,6.76,16.69,0.244,NA,37,16
ENE,9,4,6.27,16.54,0.234,NA,37,16
ENE,9,5,4.70,17.02,0.219,NA,37,16
ENE,9,6,4.29,18.03,0.211,10.57,37,16
ENE,9,7,5.47,18.78,0.208,9.38,38,17
ENE,9,8,7.10,18.80,0.217,NA,37,17
ENE,9,9,8.88,18.31,0.249,5.57,37,17
ENE,9,10,11.53,16.54,0.271,4.47,36,15
ENE,9,11,13.73,15.46,0.278,2.34,34,14
ENE,9,12,15.65,14.28,0.276,1.91,34,13
ENE,9,13,17.43,12.88,0.288,3.35,33,12
ENE,9,14,19.08,11.98,0.295,4.01,33,12
ENE,9,15,19.34,11.91,0.299,4.92,34,12
ENE,9,16,19.36,12.34,0.292,4.84,35,12
ENE,9,17,19.25,13.10,0.264,4.86,35,12
ENE,9,18,18.18,12.96,0.248,4.84,36,13
ENE,9,19,16.26,13.05,0.248,3.58,36,13
ENE,9,20,15.22,13.08,0.241,2.05,35,13
ENE,9,21,15.06,13.09,0.232,0.64,35,13
ENE,9,22,15.38,13.06,0.228,0.20,34,13
ENE,9,23,15.78,12.72,0.222,0.20,34,12
ENE,10,0,16.25,11.35,0.217,0.20,33,12
ENE,10,1,16.49,9.84,0.218,NA,32,12
ENE,10,2,17.23,8.60,0.224,NA,31,11
ENE,10,3,18.19,7.53,0.217,NA,30,10
ENE,10,4,18.53,7.26,0.209,NA,30,10
ENE,10,5,18.05,7.01,0.206,0.20,30,10
ENE,10,6,17.02,6.23,0.203,NA,30,11
ENE,10,7,15.94,5.51,0.201,2.95,30,10
ENE,10,8,14.37,5.63,0.201,5.71,31,10
ENE,10,9,13.13,6.16,0.202,8.65,33,11
ENE,10,10,12.78,6.76,0.205,7.45,34,11
ENE,10,11,12.91,6.87,0.206,1.75,33,12
ENE,10,12,14.02,7.09,0.210,2.58,34,12
ENE,10,13,16.41,7.15,0.206,0.20,34,12
ENE,10,14,19.87,7.50,0.206,0.20,34,13
ENE,10,15,24.10,7.34,0.206,0.20,33,13
ENE,10,16,28.03,6.85,0.204,0.20,33,13
ENE,10,17,31.76,6.11,0.196,0.20,33,12
ENE,10,18,33.01,5.69,0.179,0.20,33,12
ENE,10,19,31.07,5.61,0.197,6.98,33,12
ENE,10,20,28.27,5.64,0.277,22.51,34,12
ENE,10,21,25.66,5.70,0.371,24.96,36,13
ENE,10,22,22.21,5.79,0.518,26.77,40,14
ENE,10,23,17.32,5.82,0.668,22.33,45,17
ENE,11,0,12.83,5.86,0.708,17.02,49,19
ENE,11,1,9.13,5.89,0.751,16.91,52,21
ENE,11,2,5.55,5.89,0.819,17.22,54,22
ENE,11,3,4.81,5.98,0.832,17.84,57,23
ENE,11,4,4.55,6.10,0.777,16.28,59,24
ENE,11,5,3.51,5.91,0.703,15.01,61,25
ENE,11,6,4.20,5.66,0.581,15.59,62,25
ENE,11,7,4.78,5.61,0.477,15.62,64,26
ENE,11,8,5.03,5.45,0.518,12.22,67,27
ENE,11,9,5.06,4.92,0.562,14.32,67,28
ENE,11,10,7.01,4.57,0.564,13.85,70,29
ENE,11,11,11.11,4.56,0.568,11.32,72,30
ENE,11,12,15.62,4.39,0.566,7.09,72,31
ENE,11,13,20.22,4.20,0.572,3.92,73,32
ENE,11,14,22.57,3.42,0.569,3.76,74,32
ENE,11,15,25.80,3.22,0.553,5.20,74,32
ENE,11,16,29.55,3.18,0.504,6.88,74,32
ENE,11,17,30.67,3.19,0.446,6.27,75,32
ENE,11,18,28.97,3.21,0.448,15.52,76,33
ENE,11,19,25.48,3.24,0.513,19.29,76,33
ENE,11,20,21.19,3.24,0.530,9.53,76,34
ENE,11,21,18.65,3.22,0.557,10.93,74,34
ENE,11,22,16.20,3.18,0.610,12.09,70,33
ENE,11,23,11.23,3.14,0.644,12.06,66,31
ENE,12,0,7.09,3.11,0.652,10.30,63,29
ENE,12,1,6.48,3.08,0.630,2.36,62,28
ENE,12,2,6.48,3.03,0.558,1.07,59,27
ENE,12,3,6.37,2.93,0.459,4.13,56,25
ENE,12,4,6.62,2.84,0.415,5.90,54,24
ENE,12,5,6.62,2.73,0.372,7.98,53,23
ENE,12,6,5.99,2.60,0.318,9.20,52,22
ENE,12,7,5.87,2.41,0.281,9.48,50,21
ENE,12,8,4.88,2.27,0.278,9.54,47,19
ENE,12,9,3.68,2.10,0.326,9.90,45,18
ENE,12,10,3.91,1.79,0.377,12.48,42,17
ENE,12,11,5.25,1.97,0.417,13.73,41,17
ENE,12,12,7.55,2.61,0.445,7.86,40,16
ENE,12,13,9.01,2.72,0.465,8.72,39,16
ENE,12,14,10.87,2.73,0.473,7.00,38,16
ENE,12,15,13.33,2.71,0.473,5.72,38,16
ENE,12,16,15.82,2.70,0.461,5.39,37,15
