DATOS HORARIOS 2017_NATIVITAS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP,HR,PBAR,RADSOL
ABR,3,11,19.72,3.35,0.412,15.43,55.15,2.07,138.6,21.97,22.14,623.9,847.61
ABR,3,12,24.01,2.69,0.312,12.75,37.58,1.89,197.33,24.47,18.2,623.52,1048.47
ABR,3,13,24.91,2.25,0.182,7.01,76.16,3.8,255.56,25.75,11.23,622.81,1053.96
ABR,3,14,25.03,1.85,0.092,3.6,30.14,4.91,274.75,26.27,9.82,622.11,1027.23
ABR,3,15,25.65,1.52,0.052,2.77,28,5.7,281.66,26.82,9.48,621.27,1013.92
ABR,3,16,33.25,1.14,0.012,1.7,23.03,5.09,277.78,27.1,9.77,620.6,803.19
ABR,3,17,29.72,0.8,0.012,1.7,24.99,4.92,274.31,27.13,9.35,620.13,611.46
ABR,3,18,27.38,0.8,0.012,1.98,26.82,4.19,274.63,25.99,9.62,619.93,265.25
ABR,3,19,21.79,0.8,0.012,4.53,39.46,3.49,261.57,23.74,11.78,620.03,69.51
ABR,3,20,16.6,0.8,0.072,6.65,53.07,3.6,239.31,21.48,13.96,620.57,4.27
ABR,3,21,16.06,0.8,0.042,6.48,50.01,3.39,226.26,20.38,13.42,621.27,1.82
ABR,3,22,14.82,0.96,0.052,5.46,51.69,3.1,226.01,18.83,14.93,621.97,6.48
ABR,3,23,14.61,0.81,0.012,4.2,42.67,3.43,242.09,17.5,17.07,622.37,7.6
ABR,4,0,12.7,0.8,0.012,3.99,39.44,2.52,283.32,16.07,20.91,622.56,3.2
ABR,4,1,5.18,2.32,0.052,5.68,60.45,1.34,99.81,14.05,24.16,622.73,8.86
ABR,4,2,3.9,2.87,0.042,7.02,62.57,1.37,225.93,12.96,24.77,622.57,6.82
ABR,4,3,2.14,2.51,0.072,7.79,69.5,1.4,222.06,12.14,26.64,622.12,2.29
ABR,4,4,2.14,2.46,0.042,8.63,52.24,1.76,253.45,11.51,29.82,621.81,6.77
ABR,4,5,2.63,1.94,0.032,9.11,48.9,1.67,207.62,10.88,33.58,621.83,2.35
ABR,4,6,2.91,3.61,0.242,9.4,60.8,1.64,121.57,10.51,38.88,622.18,2.42
ABR,4,7,2.21,7.49,0.402,10.15,94.73,1.6,110.75,8.84,45.96,622.58,8.8
ABR,4,8,2.38,10.76,0.492,17.09,94.77,2.05,123.99,9.85,45.69,622.9,129.66
ABR,4,9,4.27,13.59,0.622,16.82,142.8,2.35,109.78,15.9,34.26,623.38,459.03
ABR,4,10,11.1,5.97,0.452,16.5,85.27,1.72,158.55,21.18,25.59,623.46,714.8
ABR,4,11,17.96,3.67,0.362,18.17,54.26,2.02,270.63,23.64,20.23,623.24,915.58
ABR,4,12,21.06,2.48,0.252,20.14,51.02,3.64,276.65,24.95,15.01,622.75,1066.21
ABR,4,13,25.15,1.76,0.502,12.57,27.39,4.06,277.2,25.77,12.16,622.15,1130.07
ABR,4,14,26.11,1.44,0.462,6.59,31.28,5.06,285.58,26.83,11.21,621.35,1111.57
ABR,4,15,26.87,1.13,0.412,4.19,23.31,4.43,271.25,27.77,10.67,620.59,1009.27
ABR,4,16,23.62,0.95,0.372,2.7,41.95,5.43,247.4,27.98,9.63,620.02,850.89
ABR,4,17,24.45,0.8,0.342,1.7,62.62,5.57,243.42,27.73,9.64,619.84,622.26
ABR,4,18,26,0.8,0.352,1.7,41.83,4.98,250.67,27.21,10.01,619.96,359.76
ABR,4,19,23.31,0.8,0.642,1.82,42.06,4.17,264.07,25.32,11.85,620.27,99.95
ABR,4,20,18.58,0.8,0.752,5.08,60.48,4.13,267.57,22.1,14.91,620.65,3.4
ABR,4,21,17.62,0.8,0.802,6.84,53.11,3.62,270.86,20.41,16.22,621.25,2.9
ABR,4,22,9.85,0.8,1.002,9.58,64.15,2.2,254.2,18.69,17.7,621.92,1.92
ABR,4,23,9.17,0.8,0.982,9.35,87.11,1.78,166.78,17.53,18.22,622.52,3.16
ABR,5,0,7.79,1.75,0.952,8.23,68.99,1.5,139.49,16.08,21.07,622.79,2.07
ABR,5,1,2.87,3.98,1.072,9.43,74.88,1.22,42.29,14.5,22.81,622.73,2.15
ABR,5,2,2.48,2.71,1.192,9.78,84.62,1.16,201.71,13.62,27.64,622.47,2.18
ABR,5,3,2.23,6.08,1.102,10.05,93.18,1.95,308.9,13.43,26.2,622.15,2.21
ABR,5,4,2.1,6.61,1.002,10.91,46.14,1.85,263.21,12.42,28.78,622.13,2.21
ABR,5,5,2,6.26,1.022,11.34,54.78,1.72,233.81,11.24,31.79,622.29,2.35
ABR,5,6,2,7.55,1.232,11.53,80.25,1.57,246.56,10.61,32.03,622.51,2.42
ABR,5,7,2,9.64,1.552,11.54,121.02,1.88,89.98,9.69,38.42,623.04,11.66
ABR,5,8,2,14.21,1.402,11.82,137.93,2.17,115.48,11.88,38.86,623.72,182.91
ABR,5,9,2,16.43,1.362,21.03,141.53,2.34,113.28,16.92,29.6,624.25,450.71
ABR,5,10,13.01,20.35,1.052,25.91,136.72,2.18,134.26,21.25,22.66,624.48,694.28
