DATOS HORARIOS 2017_NATIVITAS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP,HR,PBAR,RADSOL
FEB,1,0,11.06,1.36,0.072,9.39,39.21,3.12,311.51,16.04,52.3,625.16,2.26
FEB,1,1,8.04,0.8,0.062,9.23,30.31,1.63,233.68,15.08,54.37,624.99,2.28
FEB,1,2,6.94,1.01,0.032,10.23,58.57,2.13,213.22,13.94,57.85,624.96,2.41
FEB,1,3,4.88,0.95,0.012,11.76,36.01,1.32,258.15,13.04,60.13,624.72,2.44
FEB,1,4,5.23,0.8,0.012,11.12,23.9,1.66,249.78,12.86,62.71,624.63,2.4
FEB,1,5,5.25,0.8,0.012,11.22,26.63,1.61,246.31,12.46,64.82,624.63,2.46
FEB,1,6,2.13,1,0.042,14.82,28.8,1.36,180.49,11.87,67.8,624.72,2.48
FEB,1,7,NA,4.2,0.252,15.57,115.27,1.47,94.68,10.88,71.89,624.99,2.53
FEB,1,8,2,4.72,0.752,16.34,89.29,1.36,99.61,10.87,73.3,625.3,30.43
FEB,1,9,2,6.91,0.672,18.67,128.82,1.72,110.74,14.89,62.03,625.77,224.95
FEB,1,10,5.22,22.19,0.422,19.05,95.45,1.66,126.3,19.13,48.12,626.04,447.58
FEB,1,11,13.71,45.26,0.252,17.68,86.61,1.68,171.29,22.14,41.23,626.04,629.68
FEB,1,12,23.49,60.18,0.342,18.52,91.75,1.93,202.8,24.28,35.8,625.56,780.14
FEB,1,13,34.95,33.99,0.352,14.33,81.59,2.26,245.1,22.96,32.69,624.68,860.52
FEB,1,14,37.92,7.56,0.252,9.32,54.68,2.89,255.8,22.88,29.12,623.79,633.26
FEB,1,15,30.13,1.53,0.122,4.15,28.11,3.15,278.89,23.46,25.43,623.08,797.76
FEB,1,16,31.99,1.37,0.042,2.24,27.95,3.27,236.13,23.59,25.41,622.6,629.61
FEB,1,17,34.09,1.33,0.022,1.7,36.49,3.45,223.46,23.2,26.39,622.53,453.01
FEB,1,18,30.93,1.2,0.092,4.34,44.65,2.93,251.65,21.87,28.54,622.76,149.46
FEB,1,19,24.22,1.42,0.262,12.89,54.07,2.05,258.64,19.76,32.14,623.03,14.61
FEB,1,20,7.52,1.85,0.762,29.03,84.21,1.62,229.17,18.13,33.69,623.39,1.92
FEB,1,21,2.94,1.9,0.872,27.33,139.04,1.92,247.74,17.44,38.23,623.92,1.97
FEB,1,22,2.35,1.86,0.802,25.51,118.75,1.89,227.17,17,40.1,624.31,2.02
FEB,1,23,2.85,3.41,0.782,22.52,105.08,1.7,126.33,16.47,41.76,624.69,2.05
FEB,2,0,9.27,2.31,0.372,15.03,87.41,2.56,95.64,15.63,47.07,624.97,2.13
FEB,2,1,15.67,1.35,0.222,8.1,116.56,3.5,80.26,14.41,54.4,625.15,3.93
FEB,2,2,14.74,1.33,0.162,8.04,108.49,3.39,93.27,12.66,68.21,625.16,2.34
FEB,2,3,14.14,1.48,0.122,7.68,35.89,3.36,106.44,11.69,72.92,625.03,4.06
FEB,2,4,12.79,1.42,0.092,8.84,32.69,2.55,76.82,10.7,76.17,625.11,2.42
FEB,2,5,12.1,0.99,0.072,8.07,32.98,2.4,90.14,10.22,79.12,625.17,2.43
FEB,2,6,5.03,1.36,0.082,16.48,46.3,2.79,119.4,9.28,82.15,625.25,2.56
FEB,2,7,4.49,1.82,0.152,18.3,36.98,2.55,123.03,8.7,81.62,625.44,4.19
FEB,2,8,2,2.21,0.372,18.37,59.78,1.76,108.54,8.33,83.29,625.73,29.1
FEB,2,9,4.1,2.39,0.422,16.05,30.83,3.32,97.39,12.08,72.89,626.15,221.73
FEB,2,10,9.53,3.02,0.322,17.23,41.55,3.71,103.99,14.94,60.45,626.5,451.28
FEB,2,11,22.23,1.67,0.172,8.95,24.9,4.01,108.12,17.22,49.87,626.57,657.43
FEB,2,12,27.9,1.29,0.172,8.26,27.72,4.2,80.9,18.98,42.01,626.13,807.21
FEB,2,13,31.89,1.17,0.132,5.91,30.92,3.71,95.41,20.95,34.05,625.29,893
FEB,2,14,30.77,1.24,0.092,4.11,18.2,3.45,89.79,22.61,27.61,624.45,643.82
FEB,2,15,27.87,1.84,0.042,2.7,10.55,2.71,97.89,24,20.85,623.68,838.07
FEB,2,16,33.04,1.27,0.012,1.7,13.87,2.97,124.82,24.39,17.77,623.21,679.09
FEB,2,17,38.22,1.2,0.022,1.76,19.58,2.77,118.92,24.17,19.03,623.08,454.37
FEB,2,18,38.39,1.29,2.022,2.63,31.92,1.7,125.94,23.91,18.38,623.15,218.82
FEB,2,19,23.22,1.69,2.412,17.37,41.87,1.8,81.38,20.71,20.11,623.33,24.11
FEB,2,20,15.07,13.61,2.362,13.92,67.27,4.3,64.27,18.29,32.06,623.7,1.98
FEB,2,21,17.64,53.26,2.602,8.29,63.69,5.45,59.33,16.99,37.93,624.38,2.03
FEB,2,22,15.97,7.13,2.282,9.85,52.01,3.47,61.56,15.35,44.65,624.98,10.97
FEB,2,23,13.8,3.27,2.272,9.09,45.99,4.16,85.43,14.11,50.15,625.47,2.16
FEB,3,0,16.6,1.29,2.142,5.63,34.45,3.91,70.93,12.92,54.91,625.69,6.69
FEB,3,1,16.18,1.12,2.092,4.95,27.33,3.32,65.94,11.99,57.99,625.72,12.8
FEB,3,2,17.92,1.05,2.052,3.33,26.16,3.72,66.97,11.54,59.16,625.58,4.67
