DATOS HORARIOS 2017_NATIVITAS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP,HR,PBAR,RADSOL
OCT,1,0,3.68,8.07,NA,7.73,10.41,2.73,110.9,14.47,82.67,624.09,13.07
OCT,1,1,5,5.03,NA,5.14,6.32,2.17,88.79,14.02,84.66,623.94,26.71
OCT,1,2,4.03,3.74,NA,6.32,9.58,2.16,102.16,13.91,85.91,623.71,17.08
OCT,1,3,4.09,2.36,NA,5.56,6.11,2.55,114.38,14.49,85.98,623.42,2.18
OCT,1,4,3.29,2.04,NA,6.33,4.03,2.26,113.87,14.76,85.66,623.08,2.26
OCT,1,5,2.93,2.56,NA,6.23,2.96,1.43,134.49,14.71,85.59,622.77,9.07
OCT,1,6,4.28,3.98,NA,5.82,11.95,1.31,117.94,14.93,85.04,623.05,34.44
OCT,1,7,2.09,3.42,NA,6.98,16.45,2.62,106,14.85,85.92,623.09,9.71
OCT,1,8,2.43,3.35,NA,7.7,25.57,2.47,100.95,15.29,85.01,623.36,40.78
OCT,1,9,7.17,1.89,NA,5.4,21.77,3.3,104.08,16.19,82.28,623.66,87.85
OCT,1,10,9.56,0.8,NA,2.57,13.16,3.65,109.56,17.62,77.65,623.77,256.03
OCT,1,11,11.85,10.04,NA,3.79,7.02,3.79,85.07,20.43,65.04,623.78,551.09
OCT,1,12,13.98,8,NA,2.41,4.14,3.82,66.29,22.58,54.68,623.51,751.06
OCT,1,13,12.86,6.87,NA,2.8,13.26,4.97,69.59,22.16,54.88,622.86,504.51
OCT,1,14,13.01,4.78,NA,2.26,2.18,4.88,69.87,23.27,52.13,621.98,806.83
OCT,1,15,12.47,11.7,NA,2.72,6.83,5.27,60.85,23.65,49.81,621.23,607.7
OCT,1,16,13.33,3.66,NA,2.13,9.84,5.09,65.22,23.55,49.71,620.74,559.09
OCT,1,17,12.58,0.8,NA,1.7,17.24,6.27,58.57,22.87,50.35,620.53,376.53
OCT,1,18,10.88,4.94,NA,2,18.49,5.32,61.05,21.46,55.93,620.8,164.2
OCT,1,19,11.49,2.63,NA,2.21,20.8,3.94,56.3,19.21,64.37,621.36,15.32
OCT,1,20,10.53,2.92,NA,3.43,21.39,3.42,64.76,18.11,67.48,621.9,7.03
