DATOS HORARIOS 2017_NATIVITAS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP,HR,PBAR,RADSOL
DIC,1,0,9.39,33.8,NA,10.99,42.96,4.51,78.28,10.49,61.62,626.24,2.44
DIC,1,1,11.44,30.56,NA,6.14,15.77,3.99,93.73,9.4,66.27,626.21,2.57
DIC,1,2,13.18,10.01,NA,3.69,15.81,4.07,91.69,8.3,73.41,626.17,2.59
DIC,1,3,11.49,25.03,NA,5.36,18.29,3.63,94.6,7.74,76.64,625.91,2.59
DIC,1,4,13.41,2.88,NA,1.7,13.43,3.86,99,6.71,80.61,625.82,2.71
DIC,1,5,12.95,2.67,NA,2.48,11.5,3.87,100.66,6.15,82.48,625.93,2.74
DIC,1,6,13.1,2.43,NA,3.17,12.69,4.46,98.27,6.01,82.73,626.03,6.03
DIC,1,7,9.26,2.59,NA,11.75,21.98,2.74,87.32,5.36,83.88,626.34,3.25
DIC,1,8,9.36,3.55,NA,11.67,27.09,3.05,84.46,6.04,81.73,626.84,75.09
DIC,1,9,10.65,3.8,NA,9.66,26.94,3.98,94.76,8.95,71.21,627.18,278.73
DIC,1,10,17.77,3.23,NA,3.65,34.27,4.59,97.56,11.77,58.76,627.39,496.04
DIC,1,11,20.92,3.25,NA,2.35,26.63,4.9,96.04,13.76,48.55,627.36,643.42
DIC,1,12,24.07,1.93,NA,1.7,30.18,4.94,99.17,15.7,36.47,626.84,759.66
DIC,1,13,26.55,2.97,NA,2.9,23.93,4.2,90.09,17.61,30.89,626.12,666.04
DIC,1,14,30.94,7.74,NA,4.19,21.49,3.44,96.31,20,23.96,625.09,735.95
DIC,1,15,33.37,13.1,NA,6.44,34.38,2.78,91.35,21.63,20.19,624.26,643.25
DIC,1,16,35.77,9.23,NA,7.3,44.76,2.69,85.18,21.91,17.32,623.78,444.66
DIC,1,17,36.34,1.81,NA,3.25,42.06,2.43,119.93,21.2,17.21,623.63,236.06
DIC,1,18,30.16,0.8,NA,11.94,54.59,2.06,144.75,19,19.4,623.7,60.21
DIC,1,19,8.16,1.57,NA,47.77,186.73,1.46,281.06,16.14,20.99,624.01,7.15
DIC,1,20,2,7.08,NA,46.89,170.53,1.68,337.12,15,27.18,624.41,6.76
DIC,1,21,4.32,16.97,NA,27.88,116.22,2.7,59.6,14.47,30.66,624.79,17.42
DIC,1,22,6.77,17.9,NA,25.64,64.86,2.67,91.44,12.97,38.47,625.18,12.32
DIC,1,23,2.99,5.75,NA,18.73,97.83,3.24,103.74,10.84,51.71,625.42,2.44
DIC,2,0,4.57,0.8,NA,11.85,51.53,3.51,93.19,10.3,56.11,625.47,7.44
DIC,2,1,6.07,40.13,NA,9.59,35.48,3.78,85.47,9.87,61.67,625.42,7.5
DIC,2,2,4.28,57.58,NA,11.69,41.79,3.55,88.41,9.24,65.21,625.41,2.56
DIC,2,3,7.54,2.23,NA,5.38,27,3.4,93.31,8.18,69.3,625.3,2.59
DIC,2,4,7.47,3.83,NA,4.98,16.17,3.2,103.09,7.31,73.24,625.21,7.08
