DATOS HORARIOS 2017_NATIVITAS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP,HR,PBAR,RADSOL
JUN,3,12,34.18,3,NA,3.97,34.87,2.74,277.19,27.51,28.61,623.15,970.83
JUN,3,13,41.76,3.4,NA,3.73,32.79,2.99,263.07,28.24,25.16,622.66,1012.17
JUN,3,14,51.02,4.55,NA,4.25,50.48,3.21,283.21,28.86,22.35,622.14,997
JUN,3,15,53.87,3.46,NA,3.26,39.14,2.84,253.57,29.86,19.43,621.41,920.44
JUN,3,16,55.32,2.1,NA,1.86,39.89,3.04,259.87,30.41,16.83,620.63,779.37
JUN,3,17,54.17,1.42,NA,2.45,42.12,3.1,262.81,30.53,16.57,620.16,587.37
JUN,3,18,51.72,1.29,NA,1.97,37.78,2.29,248.59,30.33,15.82,619.94,363.41
JUN,3,19,48.74,0.82,NA,4.31,45.46,2.6,262.39,28.65,16.62,619.87,133.8
JUN,3,20,36.23,0.8,NA,14.8,68.88,1.85,242.84,26.75,18.15,620.2,30.35
JUN,3,21,9.43,0.8,NA,40.19,99.19,1.79,257.49,25.03,21.25,620.59,12.76
JUN,3,22,9.36,11.55,NA,22.57,98.47,3.07,86.95,24.16,30.97,621.34,29.12
JUN,3,23,12.89,4.08,NA,13.41,71.83,3.69,100.2,22.69,42.82,621.78,44.3
JUN,4,0,14.15,3.91,NA,10.61,60.83,2.87,91.76,21.6,49.12,621.95,50.53
JUN,4,1,7.13,3.59,NA,8.85,35.69,3.19,109.77,20.65,51.36,622.17,38.41
JUN,4,2,2,11.71,NA,15,43.52,3.72,118.74,19.6,56.9,622.28,16.97
JUN,4,3,3.85,8.35,NA,5.78,40.88,4.34,93.75,19.14,61.17,622.27,21.42
JUN,4,4,2.49,23.51,NA,5.12,43.49,3.9,64.24,17.86,65.82,622.36,16.01
JUN,4,5,4.82,12.05,NA,4.03,29.01,3.59,72.79,17.27,68.03,622.27,7.71
JUN,4,6,2,17.03,NA,4.87,37.94,3.22,84.99,16.49,70.61,622.31,17.39
JUN,4,7,2,3.72,NA,4.63,26.02,2.96,109.04,16.53,70.1,622.59,45.82
JUN,4,8,5.19,2.89,NA,3.5,24.07,3.31,106.88,18.85,62.85,623.11,227.29
JUN,4,9,17.43,2.7,NA,2.5,24.28,3.36,102.45,21.44,53.22,623.52,449.3
JUN,4,10,23.07,4.5,NA,3.63,27.62,2.84,134.58,23.59,47.66,623.47,655.86
JUN,4,11,31.76,3.29,NA,2.92,48.01,2.69,133.75,25.43,42.35,623.19,833.15
