DATOS HORARIOS 2010_ CRUZ ROJA,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
AÑO,MES,DIA,HORA,O3,SO2,NO2,CO,PM10,WS,WD,TEMP,HR,PBAR,,,
2010,MZO,3,11,NA,12.38,NA,1.02,68.45,3.21,85.18,15.58,51.37,622.88,,,
2010,MZO,3,12,NA,11.28,NA,0.95,47.41,1.89,120.59,19.58,40.14,622.47,,,
2010,MZO,3,13,NA,17.94,NA,0.98,34.11,2.15,197.53,21.42,35.42,621.82,,,
2010,MZO,3,14,NA,17.41,NA,1.13,26.76,3.09,199.92,23.38,26.85,621.06,,,
2010,MZO,3,15,NA,17.65,NA,0.99,29.62,3.43,206.65,24.78,18.38,620.4,,,
2010,MZO,3,16,NA,17.23,NA,1,24.96,4.1,203.1,26.44,7,619.77,,,
2010,MZO,3,17,NA,18.58,NA,0.97,34.75,3.86,191.56,26.93,10.51,619.39,,,
2010,MZO,3,18,NA,19.51,NA,0.96,33.12,4.11,195.39,26.73,9.96,619.38,,,
2010,MZO,3,19,NA,19.18,NA,1.12,47.6,3.61,214.44,25.44,9.82,619.46,,,
2010,MZO,3,20,NA,20.04,NA,1.59,75.1,3.15,217.16,22.45,12.59,619.82,,,
2010,MZO,3,21,NA,19.09,NA,2.2,70.44,2.23,180.7,20.71,16.82,620.31,,,
2010,MZO,3,22,NA,19.48,NA,1.77,68.35,1.48,169.18,19.12,21.05,620.81,,,
2010,MZO,3,23,NA,17.68,NA,1.27,64.75,1.75,156.21,18.65,27.64,621.22,,,
2010,MZO,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
2010,MZO,4,1,NA,19.47,NA,1.04,54.77,0.81,117.6,15.8,33.09,621.62,,,
2010,MZO,4,2,NA,17.62,NA,1.43,60.26,0.64,143.95,15.1,35.98,621.77,,,
2010,MZO,4,3,NA,17.87,NA,0.75,38.82,0.76,234.69,12.49,41.65,621.82,,,
2010,MZO,4,4,NA,17.43,NA,0.78,29.74,0.48,165.58,12.22,43.94,621.44,,,
2010,MZO,4,5,NA,18.56,NA,0.81,36.24,0.68,210.08,12.21,46.68,621.29,,,
2010,MZO,4,6,NA,17.89,NA,0.71,41.28,1.11,95.79,10.84,55.02,621.34,,,
2010,MZO,4,7,NA,16.49,NA,0.85,49.92,1.06,96.78,10.98,56.5,621.53,,,
2010,MZO,4,8,NA,13.76,NA,1.76,76.12,0.92,242.26,9.26,57.32,622.17,,,
2010,MZO,4,9,NA,15.36,NA,3.6,193.44,0.78,222.5,10.99,54.34,622.74,,,
2010,MZO,4,10,NA,18.13,NA,1.82,113.71,1.13,134.94,15.06,47.74,623.16,,,
2010,MZO,4,11,NA,12.87,NA,1.48,58.93,1.56,184.65,17.3,41.73,623.34,,,
2010,MZO,4,12,NA,12.4,NA,1.9,33.98,1.71,197.64,19.85,34.32,622.89,,,
2010,MZO,4,13,NA,16.33,NA,1.19,24.53,1.92,174.75,21.48,28.37,622.41,,,
2010,MZO,4,14,NA,19.83,NA,1.04,23.57,1.83,184.67,22.99,25.41,621.72,,,
2010,MZO,4,15,NA,20.14,NA,0.83,18.83,1.8,171.34,24.28,22.11,620.74,,,
