DATOS HORARIOS 2022_CRUZ ROJA,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR
NOVIEMBRE,1,0,0.012,0.002,0.76,0.025,44,19,19.85,0.45,270.29,51.31,619.83
NOVIEMBRE,1,1,0.010,0.002,0.64,0.024,47,26,19.17,0.45,235.87,56.25,619.73
NOVIEMBRE,1,2,0.010,0.002,0.53,0.022,40,28,18.40,0.45,224.86,60.85,619.49
NOVIEMBRE,1,3,0.008,0.002,0.51,0.021,35,22,17.36,0.45,296.00,62.58,619.39
NOVIEMBRE,1,4,0.008,0.002,0.41,0.020,36,27,16.32,0.45,302.68,65.60,619.33
NOVIEMBRE,1,5,0.006,0.002,0.38,0.020,30,27,14.93,0.45,258.65,66.58,619.43
NOVIEMBRE,1,6,0.007,0.003,0.40,0.018,32,25,14.61,0.45,310.21,66.89,619.90
NOVIEMBRE,1,7,0.008,0.004,0.69,0.018,39,25,14.35,0.45,176.94,70.64,620.40
NOVIEMBRE,1,8,0.008,0.005,1.24,0.020,62,30,15.40,0.45,160.64,67.90,621.11
NOVIEMBRE,1,9,0.009,0.006,1.56,0.025,70,41,17.08,0.45,237.18,61.99,621.57
NOVIEMBRE,1,10,0.023,0.005,0.87,0.024,63,35,20.44,0.45,172.30,57.49,621.75
NOVIEMBRE,1,11,0.039,0.003,0.62,0.016,40,34,22.89,0.51,165.82,46.42,621.71
NOVIEMBRE,1,12,0.050,0.002,0.49,0.013,22,25,24.97,0.84,235.28,36.31,621.14
NOVIEMBRE,1,13,0.065,0.002,0.46,0.011,23,10,26.20,0.95,248.67,32.78,620.44
NOVIEMBRE,1,14,0.077,0.009,0.55,0.010,27,18,27.73,0.60,199.88,30.74,619.79
NOVIEMBRE,1,15,0.073,0.012,0.68,0.014,29,22,27.91,1.07,224.46,30.16,619.08
NOVIEMBRE,1,16,0.071,0.012,0.74,0.014,29,26,28.32,1.52,209.29,27.27,618.78
NOVIEMBRE,1,17,0.082,0.025,0.72,0.013,36,25,28.54,0.45,247.10,26.65,618.71
NOVIEMBRE,1,18,0.069,0.011,0.70,0.017,38,29,27.88,0.54,291.22,27.89,618.86
NOVIEMBRE,1,19,0.039,0.005,1.01,0.032,43,21,26.10,0.45,288.46,31.10,619.16
NOVIEMBRE,1,20,0.012,0.004,1.32,0.046,53,23,24.46,0.55,282.03,34.80,619.65
NOVIEMBRE,1,21,0.037,0.002,0.55,0.015,61,30,23.16,2.99,67.12,42.16,620.59
NOVIEMBRE,1,22,0.041,0.103,0.45,0.008,27,16,22.58,3.83,68.18,48.19,621.27
NOVIEMBRE,1,23,0.036,0.110,0.71,0.012,38,24,21.15,5.12,76.87,53.97,621.66
NOVIEMBRE,2,0,0.037,0.083,0.32,0.011,48,28,19.68,5.96,83.19,58.79,621.93
