DATOS HORARIOS 2022_CRUZ ROJA,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR
ENERO,3,11,0.0378,0.0646,0.3714,NA,40,21,16.19,3.56,88.37,56.84,627.91
ENERO,3,12,0.0409,0.0509,0.3964,NA,42,32,17.98,3.3,96.28,52.96,627.62
ENERO,3,13,0.0478,0.0402,0.4429,NA,39,25,19.89,2.6,100.01,49.22,626.88
ENERO,3,14,0.0565,0.0177,0.4961,NA,39,32,21.28,2.24,125.04,46.02,625.85
ENERO,3,15,0.073,0.0348,0.5816,NA,33,30,23.31,0.58,189.48,41.3,625.1
ENERO,3,16,0.0751,0.0187,0.6857,NA,50,30,24.29,0.88,196.91,38.46,624.66
ENERO,3,17,0.0734,0.0098,0.7191,NA,51,36,24.52,0.79,262.54,36.54,624.62
ENERO,3,18,0.0569,0.01,0.8131,NA,47,35,24.08,0.86,277.87,36.79,624.73
ENERO,3,19,0.0358,0.0106,1.4459,NA,55,25,22.53,0.45,294.31,40.37,624.85
ENERO,3,20,0.015,0.0135,2.0854,NA,80,39,21.41,0.45,259.74,44.23,625.22
ENERO,3,21,0.0058,0.0131,2.0463,NA,96,48,19.72,0.45,66.27,48.94,625.73
ENERO,3,22,NA,0.0109,1.9503,NA,101,52,18.63,0.45,157.21,51.36,626.05
ENERO,3,23,0.0061,0.0134,1.2923,NA,128,58,17.66,1.19,131.5,54.26,626.31
ENERO,4,0,0.0127,0.0161,0.7056,NA,102,70,16.31,0.99,119.26,57.24,626.64
ENERO,4,1,0.0149,0.0049,0.5309,NA,69,43,15.58,0.68,119.68,58.17,626.58
ENERO,4,2,0.0124,0.0407,0.5491,NA,72,34,14.85,1.55,96.18,59.88,626.5
ENERO,4,3,0.0072,0.0762,0.5293,NA,83,43,14.26,1.15,101.13,60.69,626.19
ENERO,4,4,0.0041,0.0233,0.6044,NA,57,52,13.11,0.56,104.03,64.01,626.13
ENERO,4,5,0.0043,0.0233,0.4683,NA,50,41,12.92,1.39,88.13,63.88,626.13
ENERO,4,6,0.0046,0.0413,0.5466,NA,49,32,12.45,0.83,93.97,65.78,626.2
ENERO,4,7,0.0053,0.0723,0.6607,NA,57,42,12.15,1.51,92.23,65.75,626.37
ENERO,4,8,0.005,0.0377,0.7818,NA,63,44,11.76,1.95,99.87,66.18,626.7
ENERO,4,9,0.0076,0.0379,0.8276,NA,53,34,12.77,2.2,103.68,62.95,627.1
ENERO,4,10,0.0125,0.0498,0.8001,NA,67,45,15.06,2.17,108.09,57.96,627.29
ENERO,4,11,0.029,0.0237,0.6483,NA,68,54,18.36,1.44,118.01,51.91,627.1
ENERO,4,12,0.0499,0.0111,0.7088,NA,61,44,21.44,0.76,154.66,45.76,626.36
ENERO,4,13,0.0614,0.0061,0.7046,NA,56,44,23.96,0.48,197.27,38.91,625.29
ENERO,4,14,0.0666,0.0029,0.474,NA,35,35,24.96,1.05,216.72,30.12,624.09
ENERO,4,15,0.0675,0.0018,0.4625,NA,18,22,26.18,1.11,255.35,23.15,623.11
ENERO,4,16,0.0708,0.0015,0.4858,NA,20,18,27.35,1.18,251.76,19.97,622.57
ENERO,4,17,0.0776,0.0016,0.5729,NA,36,20,27.6,0.9,277.91,21,622.46
ENERO,4,18,0.069,0.0017,0.7154,NA,36,32,27.33,0.48,290.89,19.17,622.51
ENERO,4,19,0.0193,0.0047,3.4175,NA,55,22,25.28,0.45,259.71,22.93,622.67
ENERO,4,20,0.0046,0.0057,4.5243,NA,88,44,22.96,0.45,296.89,29.54,622.99
ENERO,4,21,0.0031,0.0117,4.4164,NA,115,37,21.12,0.45,188.71,35.67,623.42
ENERO,4,22,0.0039,0.007,3.6133,NA,161,71,20.07,0.45,253.17,35.65,623.89
ENERO,4,23,0.0052,0.0041,1.5486,NA,109,61,17.73,0.45,307.93,42.64,624.13
ENERO,5,0,0.0048,0.0035,0.9862,NA,102,56,16.7,0.45,288.48,46.65,624.29
ENERO,5,1,0.0054,0.0027,0.8876,NA,104,56,15.81,0.45,207.8,49.01,624.09
ENERO,5,2,0.0055,0.0037,1.0335,NA,96,56,15.81,0.45,123.05,49.92,623.98
ENERO,5,3,0.0037,0.0094,0.7087,NA,82,63,14.86,0.45,87.15,52.04,623.77
ENERO,5,4,0.0043,0.0093,0.7961,NA,81,46,13.92,0.45,135.33,53.68,623.47
ENERO,5,5,0.0048,0.012,0.6885,NA,70,50,13.46,0.64,115.22,52.87,623.17
ENERO,5,6,0.012,0.0415,0.5897,NA,65,44,12.85,1.34,115.65,54.35,623.12
ENERO,5,7,0.0059,0.0096,0.7146,NA,90,49,12.44,1.73,112.94,55.08,623.19
ENERO,5,8,0.0049,0.0061,0.9714,NA,81,93,11.98,1.17,108.95,56.56,623.6
ENERO,5,9,0.0109,0.0077,0.9874,NA,73,53,13.74,1.53,106.76,53.74,624.1
ENERO,5,10,0.0264,0.0065,0.8011,NA,67,58,16.69,1.47,128.26,51,624.52
ENERO,5,11,0.0511,0.015,0.6804,NA,52,42,20.54,0.45,138.51,46.47,624.4
ENERO,5,12,0.0691,0.0037,0.6676,NA,48,40,22.68,0.54,238.36,42.51,623.8
ENERO,5,13,0.0724,0.0016,0.642,NA,30,33,23.81,1.94,256.48,37.6,622.94
ENERO,5,14,0.0605,0.0012,0.6013,NA,27,24,25.23,2.42,251.83,34.04,621.85
ENERO,5,15,0.0549,0.0008,0.5934,NA,29,22,26.52,2.07,256.46,29.65,620.9
ENERO,5,16,0.05,0.0005,0.6217,NA,26,23,27.72,2.19,253.39,24.27,620.34
ENERO,5,17,0.052,0.0006,0.6309,NA,38,24,28.03,2.11,253.83,23.61,620.12
ENERO,5,18,0.0524,0.0006,0.7647,NA,43,24,27.61,1.06,273.92,26.21,620.07
ENERO,5,19,0.0136,0.0009,1.4709,NA,41,30,25.41,1.68,235.2,26.6,620.27
ENERO,5,20,0.0109,0.0016,1.8327,NA,65,23,23.7,1.83,236.33,28.38,620.7
ENERO,5,21,0.0116,0.0013,1.3359,NA,73,45,21.64,1.23,247.01,33.1,621.29
ENERO,5,22,0.0099,0.002,1.7776,NA,84,39,20.58,0.55,217.54,34.7,621.8
ENERO,5,23,0.0096,0.0018,1.5781,NA,72,36,19.57,0.45,239.33,39.14,622.12
ENERO,6,0,0.0099,0.001,0.9523,NA,62,29,18.73,0.52,237.84,44.3,622.15
ENERO,6,1,0.0051,0.002,1.0253,NA,57,45,16.76,0.45,301.89,48.85,622.14
ENERO,6,2,NA,0.0031,1.0079,NA,62,35,15.12,0.45,281.74,51.84,621.95
ENERO,6,3,0.003,0.0027,0.7171,NA,56,33,14.32,0.45,214.06,51.44,621.71
ENERO,6,4,0.0028,0.0044,0.6476,NA,55,34,13.57,0.45,229.13,53.61,621.54
ENERO,6,5,0.0011,0.0051,0.5932,NA,52,33,12.56,0.45,243.28,55.97,621.51
ENERO,6,6,0.0047,0.0043,0.6546,NA,46,30,12.43,0.45,120.97,58.81,621.68
ENERO,6,7,0.0055,0.005,0.7344,NA,54,36,11.98,0.45,107.53,59.17,621.94
ENERO,6,8,0.0055,0.0053,1.4587,NA,59,34,11.98,0.45,90.69,59.88,622.25
ENERO,6,9,0.0079,0.0063,1.4183,NA,72,40,14.32,0.57,129.84,56.96,622.88
ENERO,6,10,0.0121,0.026,1.2052,NA,78,46,17.06,0.45,174.81,51.8,623.34
ENERO,6,11,0.0327,0.0395,0.7579,NA,76,54,20.97,0.47,162.64,46.15,623.42
ENERO,6,12,0.0391,0.0123,0.8521,NA,16,49,22.9,0.83,203.74,40.8,623.08
ENERO,6,13,0.0449,0.0039,0.547,NA,42,35,24.4,1.49,245.29,32.69,622.31
ENERO,6,14,0.0558,0.0032,0.5584,NA,31,22,25.66,1.96,254.84,28.46,621.3
ENERO,6,15,0.0493,0.0017,0.4661,NA,19,25,26.72,1.87,252.85,21.65,620.65
ENERO,6,16,0.0415,0.001,0.4967,NA,25,16,27.65,1.76,253.27,18.45,620.3
ENERO,6,17,0.0466,0.001,0.5126,0.0124,26,18,27.59,2.24,244.8,21.02,620.15
ENERO,6,18,0.0384,0.0011,0.6938,0.0193,33,19,27.35,1.37,263.98,20.88,620.19
ENERO,6,19,0.0081,0.0029,2.3236,0.0414,44,21,25.76,0.45,241.24,24.39,620.59
