DATOS HORARIOS 2022_CRUZ ROJA,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR
AGOSTO,3,11,0.035,0.007,0.43,0.018,16,19,23.64,1.27,125.24,59.12,624.75
AGOSTO,3,12,0.042,0.004,0.54,0.022,24,19,24.72,0.8,213.7,55.04,624.38
AGOSTO,3,13,0.05,0.004,0.53,0.023,19,16,25.86,0.96,203.81,51.94,623.95
AGOSTO,3,14,0.051,0.003,0.56,0.021,20,27,26.82,1.68,229.5,49.24,623.34
AGOSTO,3,15,0.054,0.003,0.48,0.018,17,17,27.57,2.28,254.17,45.98,622.59
AGOSTO,3,16,0.057,0.003,0.49,0.02,20,23,28.19,2.26,259.27,44.03,621.96
AGOSTO,3,17,0.058,0.003,0.53,0.019,20,23,28.7,2.12,252.09,42.52,621.49
AGOSTO,3,18,0.062,0.003,0.47,0.019,26,25,27.9,3.39,276.33,47.95,621.35
AGOSTO,3,19,0.05,0.002,0.5,0.021,32,21,24.03,2,305.37,58.03,621.84
AGOSTO,3,20,0.03,0.002,0.62,0.03,16,18,23.89,0.55,301.77,59.79,622.17
AGOSTO,3,21,0.026,0.002,0.74,0.032,24,17,23.39,0.45,295.75,61.19,622.75
AGOSTO,3,22,0.02,0.002,0.67,0.033,26,17,22.77,0.87,224.83,65.77,623.19
AGOSTO,3,23,0.023,0.003,0.48,0.026,28,31,22.08,1.45,107.17,69,623.74
AGOSTO,4,0,0.017,0.009,0.43,0.022,19,22,21.52,0.9,84.66,72.06,624.04
AGOSTO,4,1,0.018,0.007,0.31,0.021,19,18,20.43,1.26,104.28,73.69,623.85
AGOSTO,4,2,0.023,0.008,0.28,0.02,24,16,19.71,1.63,111.66,72.77,623.73
AGOSTO,4,3,0.032,0.004,0.27,0.019,17,11,19.76,0.45,141,71.2,623.49
AGOSTO,4,4,0.029,0.003,0.34,0.018,16,8,19.54,0.45,107.56,72.39,623.43
AGOSTO,4,5,0.014,0.003,0.36,0.028,21,22,19.42,0.45,133.75,73.41,623.49
AGOSTO,4,6,0.013,0.003,0.48,0.029,27,20,18.96,0.45,134.88,75.57,623.5
AGOSTO,4,7,0.011,0.004,0.66,0.03,36,21,18.51,0.52,106.62,76.93,623.73
AGOSTO,4,8,0.011,0.006,0.58,0.026,23,21,18.97,1.1,107.29,75.57,624.23
AGOSTO,4,9,0.013,0.006,0.58,0.023,30,17,19.85,1.81,114.89,72.92,624.43
AGOSTO,4,10,0.018,0.015,0.56,0.021,27,20,21.57,1.32,117.49,67.96,624.47
AGOSTO,4,11,0.029,0.019,0.57,0.02,36,34,23.02,0.84,137.07,62.82,624.42
AGOSTO,4,12,0.044,0.015,0.67,0.02,38,29,24.47,0.76,181.06,57.34,624.26
AGOSTO,4,13,0.058,0.008,0.62,0.022,32,32,26.08,1.04,213.59,51.55,623.71
AGOSTO,4,14,0.067,0.006,0.62,0.021,33,35,27.35,1.34,228.55,47.49,623.15
AGOSTO,4,15,0.07,0.004,0.64,0.019,29,35,27.64,1.41,211.12,45.86,622.41
AGOSTO,4,16,0.072,0.004,0.58,0.02,24,30,28.88,0.75,267.11,41.93,621.68
AGOSTO,4,17,0.07,0.003,0.62,0.02,31,31,29.05,2.57,240.34,40.85,620.82
AGOSTO,4,18,0.068,0.003,0.72,0.021,31,32,29.06,3.13,243.7,41.14,620.68
AGOSTO,4,19,0.06,0.002,0.6,0.019,34,23,25.78,3.33,266.76,54.73,621.1
