DATOS HORARIOS 2022_CRUZ ROJA,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR
DICIEMBRE,1,0,0.032,0.001,0.25,0.002,13,19,NA,18.64,50.12,60.88,626.17
DICIEMBRE,1,1,0.030,0.005,0.56,0.003,8,19,NA,18.73,52.57,60.36,625.87
DICIEMBRE,1,2,0.028,0.010,0.55,0.006,14,15,NA,18.32,52.75,63.42,625.93
DICIEMBRE,1,3,0.025,0.035,0.83,0.007,14,19,NA,17.87,55.55,67.11,625.95
DICIEMBRE,1,4,0.027,0.067,0.75,0.005,10,17,NA,17.78,61.97,67.67,625.92
DICIEMBRE,1,5,0.023,0.168,1.46,0.008,13,12,NA,17.81,70.42,68.12,626.02
DICIEMBRE,1,6,0.024,0.239,1.16,0.007,9,17,NA,17.58,78.90,68.92,626.15
DICIEMBRE,1,7,0.020,0.102,1.40,0.008,7,15,NA,17.70,57.95,67.63,626.63
DICIEMBRE,1,8,0.016,0.061,1.40,0.011,8,12,NA,17.65,63.94,67.31,627.17
DICIEMBRE,1,9,0.022,0.094,0.76,0.007,6,12,NA,17.84,70.05,66.45,627.46
DICIEMBRE,1,10,0.028,0.110,0.54,0.004,NA,11,NA,19.14,67.44,61.38,627.57
DICIEMBRE,1,11,0.031,0.051,0.61,0.004,8,8,NA,20.94,65.90,54.64,627.39
DICIEMBRE,1,12,0.036,0.053,0.59,0.003,5,9,NA,22.13,73.80,50.14,626.98
DICIEMBRE,1,13,0.038,0.046,0.45,0.005,12,9,NA,23.28,76.15,45.87,626.33
DICIEMBRE,1,14,0.038,0.053,0.53,0.004,21,9,NA,23.73,72.40,42.26,625.48
DICIEMBRE,1,15,0.041,0.065,0.40,0.004,9,11,NA,24.64,73.40,36.76,624.72
DICIEMBRE,1,16,0.041,0.045,0.39,0.006,12,10,NA,25.49,85.39,33.68,624.18
DICIEMBRE,1,17,0.041,0.057,0.48,0.006,16,20,NA,25.69,86.12,33.94,624.03
DICIEMBRE,1,18,0.040,0.197,0.35,0.005,19,18,NA,24.90,67.23,36.00,624.13
DICIEMBRE,1,19,0.028,0.099,0.44,0.006,23,8,NA,22.89,61.91,45.01,624.53
DICIEMBRE,1,20,0.024,0.005,0.32,0.005,10,6,NA,20.60,65.12,54.95,625.24
DICIEMBRE,1,21,0.024,0.003,0.27,0.004,9,7,NA,18.99,55.65,59.67,625.98
DICIEMBRE,1,22,0.025,0.002,0.25,0.003,5,9,NA,18.37,48.29,61.42,626.46
DICIEMBRE,1,23,0.025,0.002,0.22,0.002,NA,5,NA,17.90,55.91,63.15,626.87
DICIEMBRE,2,0,0.024,0.022,0.28,0.003,6,4,NA,17.46,51.24,64.56,626.94
DICIEMBRE,2,1,0.022,0.128,0.82,0.006,NA,6,NA,17.73,65.72,62.69,626.63
DICIEMBRE,2,2,0.026,0.210,0.61,0.004,5,6,NA,17.27,73.24,64.05,626.52
DICIEMBRE,2,3,0.023,0.142,0.99,0.005,7,6,NA,16.75,67.62,65.72,626.37
DICIEMBRE,2,4,0.021,0.046,0.67,0.005,2,4,NA,16.25,54.84,66.87,626.32
DICIEMBRE,2,5,0.018,0.145,0.40,0.008,5,1,NA,15.65,87.10,68.98,626.30
DICIEMBRE,2,6,0.014,0.050,0.27,0.008,8,8,NA,14.42,110.49,73.27,626.30
DICIEMBRE,2,7,0.012,0.023,0.43,0.012,10,11,NA,13.58,105.93,76.35,626.85
DICIEMBRE,2,8,0.009,0.040,0.71,0.013,18,3,NA,13.64,100.75,76.17,627.21
DICIEMBRE,2,9,0.010,0.031,0.55,0.011,12,8,NA,15.22,93.13,70.67,627.65
