DATOS MÓVILES 2018_NATIVITAS,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,
,,,,,,,
MES,DIA,HORA,NO2,MPM10,MSO2 24 HRS,MO3,MCO
ABR,5,4,9.41,72.06208333,15.94041667,11.125,NA
ABR,5,5,8.43,70.87,16.54833333,10.66125,NA
ABR,5,6,8.13,69.83125,16.17583333,9.94375,NA
ABR,5,7,8.91,67.23333333,15.73,9.49125,NA
ABR,5,8,9.91,63,14.99833333,9.21125,NA
ABR,5,9,6.57,56.82125,14.2925,8.8775,NA
ABR,5,10,5.31,53.78375,13.21,9.0675,NA
ABR,5,11,6.16,51.71958333,13.0675,10.255,NA
ABR,5,12,4.64,51.49166667,12.96125,12.41125,NA
ABR,5,13,2.34,51.40208333,12.94541667,14.53,NA
ABR,5,14,2.13,50.84041667,12.93125,16.7825,NA
ABR,5,15,2.8,50.77375,12.77083333,19.38,NA
ABR,5,16,2.48,49.35833333,12.77125,21.94625,NA
ABR,5,17,2.96,49.49,12.80791667,24.07125,NA
ABR,5,18,3.13,49.52125,12.875,25.58125,NA
ABR,5,19,9.64,49.75083333,12.80583333,25.9925,NA
ABR,5,20,16.53,49.51583333,12.27875,24.87875,NA
ABR,5,21,14.24,49.89541667,11.49375,23.31125,NA
ABR,5,22,9.9,46.83958333,11.45875,21.76125,NA
ABR,5,23,7.52,44.57375,9.6775,20.0875,NA
ABR,6,0,14.79,42.5975,7.66625,17.77125,NA
ABR,6,1,13.8,42.62666667,7.322916667,15.46125,NA
ABR,6,2,14.94,43.49166667,7.199583333,13.12125,NA
ABR,6,3,14.67,43.72541667,5.9175,11.16,NA
ABR,6,4,22.23,44.88083333,4.692083333,9.31375,NA
ABR,6,5,23.41,46.53083333,4.44875,7.79875,NA
ABR,6,6,23.47,49.55291667,4.66,6.155,NA
ABR,6,7,21.74,53.49416667,4.849166667,4.42625,NA
ABR,6,8,22.32,56.07375,4.965833333,3.565,NA
ABR,6,9,9.38,59.4325,4.996666667,3.80875,NA
ABR,6,10,4.12,60.82291667,4.994166667,5.02,NA
ABR,6,11,2.63,61.17291667,4.887916667,6.23875,NA
ABR,6,12,1.69,60.32083333,4.86375,8.1775,NA
ABR,6,13,1.34,59.07208333,4.898333333,10.525,NA
ABR,6,14,1.57,58.53416667,4.946666667,13.06875,NA
ABR,6,15,1.99,58.50666667,4.995416667,15.86375,NA
ABR,6,16,1.54,58.6225,5.047083333,18.83,NA
ABR,6,17,1.96,58.19041667,5.092083333,20.61375,NA
ABR,6,18,3.49,57.94958333,5.131666667,21.50125,NA
ABR,6,19,6.68,56.87583333,5.085,21.86125,NA
ABR,6,20,13.55,55.07125,5.000833333,21.42,NA
ABR,6,21,13.32,53.97541667,5,20.47125,NA
ABR,6,22,8.6,53.78375,5.025416667,19.52,NA
ABR,6,23,7.99,53.67833333,5.07875,18.30875,NA
ABR,7,0,11.43,55.7025,5.16625,16.515,NA
