DATOS MÓVILES 2018_NATIVITAS,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,
,,,,,,,
MES,DIA,HORA,NO2,MPM10,MSO2 24 HRS,MO3,MCO
FEB,5,3,13.83,85.45291667,20.03708333,3.054285714,NA
FEB,5,4,13.41,85.40583333,19.65541667,3.904285714,NA
FEB,5,5,15.42,83.21833333,19.0225,4.555714286,NA
FEB,5,6,14.21,81.12291667,18.38125,5.111428571,NA
FEB,5,7,20.3,80.37833333,17.80875,4.6225,NA
FEB,5,8,23.34,78.71916667,17.42375,4.58875,NA
FEB,5,9,16.82,75.85291667,16.965,4.30875,NA
FEB,5,10,14.06,76.03333333,16.6825,4.31625,NA
FEB,5,11,7.54,74.99458333,16.71347826,4.98,NA
FEB,5,12,6.43,73.65708333,16.68863636,6.0175,NA
FEB,5,13,3.94,73.76958333,16.79,7.98375,NA
FEB,5,14,3.98,73.36,15.512,10.5525,NA
FEB,5,15,5.14,74.0475,12.72052632,13.785,NA
FEB,5,16,9.07,74.23916667,12.73789474,17.29625,NA
FEB,5,17,8.69,75.57166667,12.27631579,20.595,NA
FEB,5,18,13.15,76.15416667,11.66105263,22.8325,NA
FEB,5,19,16.09,77.68208333,11.25222222,23.53875,NA
FEB,5,20,8.42,83.48791667,NA,23.14375,NA
FEB,5,21,16.03,78.435,NA,21.42375,NA
FEB,5,22,14.61,69.69583333,NA,19.05875,NA
FEB,5,23,17.27,62.28083333,NA,16.3175,NA
FEB,6,0,13.45,58.55291667,NA,13.4875,NA
FEB,6,1,12.59,57.16416667,NA,10.73375,NA
FEB,6,2,14.09,56.32125,NA,8.50125,NA
FEB,6,3,18.62,55.69708333,NA,6.88625,NA
FEB,6,4,23.59,53.09583333,NA,5.53,NA
FEB,6,5,20.65,52.44166667,NA,4.90875,NA
FEB,6,6,22.3,52.76541667,NA,4.79,NA
FEB,6,7,22.31,52.72333333,NA,4.07,NA
FEB,6,8,21.1,54.15958333,NA,3.261428571,NA
FEB,6,9,24.41,57.80958333,NA,2.221428571,NA
FEB,6,10,21.13,60.17625,NA,1.878571429,NA
FEB,6,11,20.94,62.0675,NA,2.252857143,NA
FEB,6,12,17.4,63.35958333,NA,3.76,NA
FEB,6,13,7.97,63.47375,12.31555556,5.828571429,NA
FEB,6,14,5.82,64.09541667,11.83894737,7.5275,NA
FEB,6,15,4.54,64.09,11.4055,10.17125,NA
FEB,6,16,4.16,63.30958333,10.7295,12.7625,NA
FEB,6,17,3.09,61.29541667,9.969,15.18375,NA
FEB,6,18,4.82,60.08625,9.6345,17.23125,NA
FEB,6,19,21.68,58.44041667,9.286190476,17.77,NA
FEB,6,20,34.96,51.89458333,9.012272727,16.63125,NA
FEB,6,21,22.45,53.88958333,8.78,15.36375,NA
FEB,6,22,17.01,54.28458333,8.574166667,13.92125,NA
FEB,6,23,20.12,54.2,8.636666667,11.84625,NA
FEB,7,0,21.08,55.43375,8.680416667,9.56,NA
FEB,7,1,23.99,56.16541667,8.985,7.29875,NA
FEB,7,2,14.49,57.40791667,8.999583333,5.66,NA
FEB,7,3,18.05,58.03041667,9.80875,5.145,NA
FEB,7,4,21.43,58.39958333,9.9675,5.1275,NA
FEB,7,5,24.66,59.09,10.01333333,4.42875,NA
FEB,7,6,21.78,59.36625,10.04291667,3.4575,NA
FEB,7,7,20.16,59.48625,10.04583333,2.90625,NA
FEB,7,8,21.7,58.79,10.09041667,2.6025,NA
FEB,7,9,19.02,57.45666667,10.05208333,2.4375,NA
FEB,7,10,19.35,57.98875,10.22166667,1.8925,NA
FEB,7,11,16.25,57.81666667,10.73208333,1.8825,NA
FEB,7,12,13.17,57.98083333,11.04,3.20375,NA
FEB,7,13,12.6,58.90625,12.4525,5.575,NA
FEB,7,14,13.14,60.3475,15.22541667,8.49625,NA
FEB,7,15,7,61.96666667,16.14166667,11.29875,NA
FEB,7,16,7.27,63.14291667,16.81375,14.0675,NA
FEB,7,17,7.6,64.57625,17.17625,16.46375,NA
FEB,7,18,8.63,64.9675,17.50375,18.4925,NA
FEB,7,19,22.6,65.79291667,17.87208333,19.2925,NA
FEB,7,20,37.39,65.99208333,18.59,18.095,NA
FEB,7,21,15.88,65.49375,20.40958333,16.84875,NA
FEB,7,22,12.33,65.88625,21.07708333,15.14625,NA
FEB,7,23,8.48,66.2925,21.70958333,13.32125,NA
FEB,8,0,8.21,65.41083333,22.47291667,11.47125,NA
FEB,8,1,5.07,64.40583333,22.17791667,10.23375,NA
FEB,8,2,5.8,63.31458333,22.31041667,9.00875,NA
FEB,8,3,5.11,62.80625,21.6825,8.33375,NA
FEB,8,4,4.63,61.74791667,21.46833333,8.95375,NA
FEB,8,5,5.44,60.90333333,21.48541667,8.73625,NA
FEB,8,6,7.52,59.95041667,21.96625,8.35375,NA
FEB,8,7,7.56,59.0725,22.24208333,8.105,NA
FEB,8,8,8.74,56.71375,22.2775,7.81,NA
FEB,8,9,7.42,53.42291667,22.33333333,7.185,NA
FEB,8,10,5.54,48.88416667,22.39791667,6.66375,NA
FEB,8,11,5.4,49.15875,21.56291667,6.32625,NA
FEB,8,12,5.35,49.48291667,20.65583333,6.18875,NA
FEB,8,13,6.79,49.08,19.3775,6.365,NA
FEB,8,14,9.02,48.30083333,16.80833333,6.74125,NA
FEB,8,15,7.12,46.34291667,16.51458333,7.52,NA
FEB,8,16,7.19,45.41208333,16.42083333,8.61625,NA
FEB,8,17,9.28,45.93666667,16.42375,9.5075,NA
FEB,8,18,9.54,45.9625,16.78583333,9.92625,NA
FEB,8,19,9.25,45.03791667,17.09666667,10.105,NA
FEB,8,20,9.27,43.48958333,18.08833333,9.8675,NA
FEB,8,21,6.24,41.7625,16.755,9.46375,NA
FEB,8,22,5.41,40.30916667,16.4375,9.02375,NA
FEB,8,23,5.16,38.9475,16.65916667,8.2775,NA
FEB,9,0,5.06,37.33916667,16.39125,7.34125,NA
FEB,9,1,8.41,36.17958333,17.34,6.41875,NA
FEB,9,2,8.08,35.33708333,18.11166667,5.835,NA
FEB,9,3,3.79,34.46125,17.97,5.72,NA
FEB,9,4,7,33.84666667,18.06041667,5.645,NA
FEB,9,5,11.76,33.68833333,17.8775,5.01,NA
FEB,9,6,12.03,33.36541667,17.21333333,4.2925,NA
FEB,9,7,11.71,32.88958333,16.70666667,3.53875,NA
FEB,9,8,12.06,33.16041667,16.34041667,2.76,NA
FEB,9,9,12.83,34.02708333,15.93916667,2.26125,NA
FEB,9,10,10.94,35.81541667,15.51333333,1.78625,NA
FEB,9,11,8.86,32.7425,15.28791667,1.14,NA
FEB,9,12,9.08,30.56083333,15.21,0.74875,NA
FEB,9,13,9.04,29.5975,15.19416667,0.95625,NA
FEB,9,14,10.72,29.17375,15.13041667,1.37,NA
FEB,9,15,9.29,28.91333333,14.67208333,1.975,NA
FEB,9,16,11.51,28.535,14.24666667,2.4525,NA
FEB,9,17,9.79,26.90791667,14.02958333,3.10875,NA
FEB,9,18,17.38,25.73208333,13.555,3.31,NA
FEB,9,19,17.53,24.87166667,13.10458333,3.38125,NA
FEB,9,20,18.55,24.315,11.61083333,3.2225,NA
FEB,9,21,17.85,24.25916667,11.35333333,3.04875,NA
FEB,9,22,15.67,23.86833333,11.13625,2.79625,NA
FEB,9,23,16.36,23.13041667,10.3325,2.23625,NA
FEB,10,0,14.36,23.04,9.789166667,1.7725,NA
FEB,10,1,12.71,23.49291667,8.63125,1.1725,NA
FEB,10,2,14.21,23.78833333,7.545416667,0.97,NA
FEB,10,3,13.79,24.54666667,7.45,0.775,NA
FEB,10,4,13.65,25.565,7.393333333,0.715,NA
FEB,10,5,14.1,26.23333333,7.615416667,0.58,NA
FEB,10,6,14.36,26.91333333,7.725416667,0.37875,NA
FEB,10,7,12.57,26.83041667,7.740416667,0.55,NA
FEB,10,8,13.69,25.82916667,7.808333333,0.75625,NA
FEB,10,9,13.69,24.35458333,7.927916667,0.905,NA
FEB,10,10,8.86,22.24416667,8.054583333,1.4,NA
FEB,10,11,6.46,22.18625,8.227083333,2.29125,NA
FEB,10,12,5.59,21.57833333,8.292916667,3.39375,NA
FEB,10,13,3.3,20.62291667,8.2225,4.71125,NA
FEB,10,14,3.64,19.29208333,8.1625,6.265,NA
FEB,10,15,4.59,19.07458333,8.066666667,7.60875,NA
FEB,10,16,6.21,19.14041667,7.992916667,8.935,NA
FEB,10,17,6.38,18.83333333,7.932083333,10.315,NA
FEB,10,18,7.05,18.78041667,7.795,11.18125,NA
FEB,10,19,12.77,19.12416667,7.6575,11.22875,NA
FEB,10,20,17.24,19.60083333,7.501666667,10.71,NA
FEB,10,21,18.01,19.69083333,7.3125,9.76125,NA
FEB,10,22,17.72,20.33125,7.214166667,8.4075,NA
FEB,10,23,16.82,21.18666667,7.15125,7.01875,NA
FEB,11,0,16.71,21.94916667,7.167916667,5.53125,NA
FEB,11,1,15.75,22.37666667,7.197916667,3.9375,NA
FEB,11,2,15.84,23.6975,7.187083333,2.5425,NA
FEB,11,3,14.39,24.33125,7.092916667,1.57375,NA
FEB,11,4,14.71,23.79125,6.938333333,0.985,NA
FEB,11,5,14.12,23.22416667,6.655416667,0.6175,NA
FEB,11,6,13.98,22.75458333,6.484583333,0.4075,NA
FEB,11,7,12.98,22.65583333,6.474166667,0.21,NA
FEB,11,8,12.88,23.15208333,6.405416667,0.15625,NA
