DATOS MÓVILES 2018_NATIVITAS,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,
,,,,,,,
MES,DIA,HORA,NO2,MPM10,MSO2 24 HRS,MO3,MCO
AGO,5,2,3.01,16.68291667,4.647916667,12.465,NA
AGO,5,3,3.67,16.865,4.539583333,11.7825,NA
AGO,5,4,2.58,16.99333333,4.39,11.345,NA
AGO,5,5,2.11,17.23083333,4.192083333,11.35875,NA
AGO,5,6,3.81,17.10666667,4.025416667,11.40125,NA
AGO,5,7,7.42,16.97208333,3.976666667,10.99375,NA
AGO,5,8,4.69,16.58375,3.867083333,10.85375,NA
AGO,5,9,3.88,16.56708333,3.767083333,10.985,NA
AGO,5,10,2.39,16.08375,3.663333333,11.0725,NA
AGO,5,11,4.41,15.89875,3.592916667,11.215,NA
AGO,5,12,4.71,15.64083333,3.570833333,11.47625,NA
AGO,5,13,4.59,15.505,3.58,11.68125,NA
AGO,5,14,4.55,15.35291667,3.57875,12.05,NA
AGO,5,15,5.13,15.02625,3.595416667,12.735,NA
AGO,5,16,4.2,14.93791667,3.546666667,13.3625,NA
AGO,5,17,3.54,14.62708333,3.481666667,13.92875,NA
AGO,5,18,3.57,14.52541667,3.406666667,14.30125,NA
AGO,5,19,4.28,14.345,3.349583333,14.65,NA
AGO,5,20,5.24,13.77875,3.29625,14.65375,NA
AGO,5,21,3.95,13.54416667,3.230833333,14.56,NA
AGO,5,22,6.42,13.155,3.2725,14.0175,NA
AGO,5,23,4.5,13.18333333,3.223333333,13.3525,NA
AGO,6,0,1.68,13.08041667,3.19625,12.7325,NA
AGO,6,1,1.46,13.28958333,3.32125,12.02,NA
AGO,6,2,2,12.89416667,3.544166667,11.28375,NA
AGO,6,3,4.18,12.78041667,3.838333333,10.44375,NA
AGO,6,4,2.65,12.93375,4.235833333,9.97,NA
AGO,6,5,3.07,12.64708333,4.6775,9.4925,NA
AGO,6,6,5.81,12.93166667,5.203333333,9.2225,NA
AGO,6,7,5.59,12.78375,5.593333333,8.99375,NA
AGO,6,8,4.06,13.06875,6.094583333,8.68,NA
AGO,6,9,5.74,13.01041667,7.299583333,8.50625,NA
AGO,6,10,6.34,14.49666667,8.347083333,8.73375,NA
AGO,6,11,4.95,15.48291667,8.975833333,9.4375,NA
AGO,6,12,3.68,15.69708333,9.36,10.46875,NA
AGO,6,13,4.05,15.80791667,9.584166667,11.95,NA
AGO,6,14,5.28,16.2525,9.825,13.58875,NA
AGO,6,15,6.08,17.2825,10.13791667,15.09,NA
AGO,6,16,5.18,17.68,10.43791667,16.45625,NA
AGO,6,17,5.31,18.22875,10.67541667,17.6025,NA
AGO,6,18,3.66,19.42083333,10.90083333,18.07625,NA
AGO,6,19,5.68,21.3925,11.06333333,18.03125,NA
AGO,6,20,4.22,21.14791667,11.1625,17.68,NA
AGO,6,21,6.63,21.02125,11.21625,16.65625,NA
AGO,6,22,5.75,20.90708333,11.17916667,16.05625,NA
AGO,6,23,9.8,20.50458333,11.20416667,15.21375,NA
AGO,7,0,6.61,21.90916667,11.09541667,14.15625,NA
AGO,7,1,5.03,21.1025,10.97708333,13.4625,NA
AGO,7,2,6.1,20.85583333,10.93166667,13.0175,NA
AGO,7,3,9.68,20.82541667,10.84875,12.57625,NA
AGO,7,4,10.48,20.63208333,10.68166667,11.82,NA
AGO,7,5,11.7,20.72041667,10.49458333,11.155,NA
AGO,7,6,14.72,20.78916667,10.19166667,9.5875,NA
AGO,7,7,16.28,21.20208333,9.933333333,9.157142857,NA
AGO,7,8,9.46,20.82125,9.640416667,8.252857143,NA
AGO,7,9,5.3,20.81166667,8.618333333,7.625714286,NA
AGO,7,10,3.37,19.25541667,7.72375,7.435714286,NA
AGO,7,11,3.67,18.06916667,7.2175,7.99,NA
AGO,7,12,3.03,17.82125,6.98,9.244285714,NA
AGO,7,13,1.54,17.52125,6.855833333,11.14428571,NA
AGO,7,14,2.32,16.79291667,6.727916667,13.75142857,NA
AGO,7,15,2.49,15.83166667,6.410416667,15.0575,NA
AGO,7,16,5.32,15.28291667,6.153333333,17.5525,NA
AGO,7,17,12.45,16.04791667,6.122916667,18.17125,NA
AGO,7,18,8.78,14.9275,6.00625,18.395,NA
AGO,7,19,11.5,12.71333333,5.925,17.97125,NA
AGO,7,20,14.98,13.09291667,5.86625,16.8975,NA
AGO,7,21,16.75,13.39041667,5.795416667,14.9925,NA
AGO,7,22,9.32,14.31375,5.669583333,13.25875,NA
AGO,7,23,4.88,14.17541667,5.569166667,11.80625,NA
AGO,8,0,13.37,12.61833333,5.51375,9.67375,NA
AGO,8,1,18.9,13.31583333,5.439166667,9.188571429,NA
AGO,8,2,19.04,13.93,5.394166667,8.633333333,NA
AGO,8,3,16.79,14.16583333,5.3775,7.165,NA
AGO,8,4,11.89,14.27291667,5.385833333,6.011666667,NA
AGO,8,5,14.36,14.86791667,5.425833333,NA,NA
AGO,8,6,12.65,15.1775,5.439583333,NA,NA
AGO,8,7,10.87,16.90583333,5.445416667,NA,NA
AGO,8,8,9.8,17.47625,5.43125,NA,NA
AGO,8,9,8.54,17.65458333,5.4225,NA,NA
AGO,8,10,3.2,18.06666667,5.433333333,NA,NA
AGO,8,11,3.26,18.48708333,5.412083333,NA,NA
AGO,8,12,3.04,18.71458333,5.341666667,NA,NA
AGO,8,13,5.99,19.19458333,5.301666667,NA,NA
AGO,8,14,4.54,19.99708333,5.2975,17.67,NA
AGO,8,15,5.91,20.54791667,5.38875,20.12,NA
AGO,8,16,5.67,21.46916667,5.442916667,22.36,NA
AGO,8,17,7.34,20.71125,5.3875,25.30875,NA
AGO,8,18,9.57,21.52541667,5.504166667,26.345,NA
AGO,8,19,13.01,22.04041667,5.684166667,26.295,NA
AGO,8,20,11.48,22.69625,5.841666667,26.1925,NA
AGO,8,21,21,22.91291667,5.972083333,24.58625,NA
AGO,8,22,21.32,22.92,6.117083333,22.055,NA
AGO,8,23,10.22,23.61083333,6.25875,19.52125,NA
AGO,9,0,8.44,23.8775,6.364166667,16.75125,NA
AGO,9,1,9.38,23.43875,6.364583333,15.18875,NA
AGO,9,2,8.35,23.00708333,6.284166667,14.63125,NA
AGO,9,3,9.69,23.16458333,6.17375,14.5525,NA
AGO,9,4,11,23.2025,6.053333333,13.48125,NA
AGO,9,5,19,23.20791667,5.910833333,12.19875,NA
AGO,9,6,18.77,23.04,5.815833333,11.33375,NA
AGO,9,7,18.51,21.25125,5.7275,9.95,NA
AGO,9,8,14.11,21.30958333,5.61375,8.775,NA
AGO,9,9,11.9,21.44666667,5.510833333,7.8625,NA
AGO,9,10,11.75,21.47875,5.402083333,6.82,NA
AGO,9,11,4.68,21.36875,5.330416667,6.90625,NA
AGO,9,12,3.74,21.22708333,5.269583333,8.1775,NA
AGO,9,13,1.71,21.30708333,5.225,11.60125,NA
AGO,9,14,3.21,21.22708333,5.158333333,15.10625,NA
AGO,9,15,3.79,21.22166667,5.094166667,18.355,NA
AGO,9,16,2.92,20.36125,5.026666667,21.7425,NA
AGO,9,17,12.67,20.57791667,4.960833333,24.0275,NA
AGO,9,18,9.4,20.5175,4.8625,25.96125,NA
AGO,9,19,13.61,20.42833333,4.6975,26.875,NA
AGO,9,20,20.11,20.50916667,4.549166667,25.735,NA
AGO,9,21,13.1,20.4975,4.452916667,23.91125,NA
AGO,9,22,6.67,20.70291667,4.353913043,22.53,NA
AGO,9,23,8.49,20.29833333,4.259130435,20.8825,NA
AGO,10,0,8.3,19.94375,4.22,18.59125,NA
AGO,10,1,7.47,19.90666667,4.246086957,17.445,NA
AGO,10,2,10.49,19.87125,4.286521739,16.2725,NA
AGO,10,3,15.5,19.60791667,4.302608696,14.28375,NA
AGO,10,4,13.27,19.36083333,4.337391304,13.39875,NA
AGO,10,5,21.16,19.3875,4.370434783,13.21,NA
AGO,10,6,20.78,19.29875,4.381304348,12.34166667,NA
AGO,10,7,20.4,19.36375,4.397391304,NA,NA
AGO,10,8,17.98,19.33625,4.502173913,NA,NA
AGO,10,9,19.89,19.36458333,4.617826087,NA,NA
AGO,10,10,15.55,19.72916667,4.749565217,NA,NA
AGO,10,11,6.15,20.18208333,4.870869565,NA,NA
AGO,10,12,3.91,20.54208333,4.986086957,NA,NA
AGO,10,13,3.19,20.19041667,5.087826087,NA,NA
AGO,10,14,3.89,20.0575,5.184347826,19.65,NA
AGO,10,15,3.91,20.475,5.262608696,22.8,NA
AGO,10,16,3.52,21.01833333,5.313913043,24.99875,NA
AGO,10,17,5.98,21.59625,5.326086957,28.565,NA
AGO,10,18,16.81,21.74666667,5.319130435,30.06,NA
AGO,10,19,12.74,22.43333333,5.419130435,30.855,NA
AGO,10,20,13.45,22.81083333,5.579130435,30.6,NA
AGO,10,21,16.61,21.84875,5.665217391,29.23875,NA
AGO,10,22,11.14,20.69625,5.679166667,27.2475,NA
AGO,10,23,15.82,20.83458333,5.725833333,23.615,NA
AGO,11,0,12.34,21.21125,5.760416667,20.2125,NA
AGO,11,1,14.58,21.45125,5.740833333,17.275,NA
AGO,11,2,12.5,21.49708333,5.689583333,15.3175,NA
AGO,11,3,16.69,21.57125,5.66875,13.13,NA
AGO,11,4,15.19,21.75708333,5.636666667,11.51625,NA
AGO,11,5,15.6,21.37333333,5.598333333,10.0775,NA
AGO,11,6,14.54,21.32208333,5.56,8.495,NA
AGO,11,7,18.36,20.8725,5.509583333,7.54625,NA
AGO,11,8,18.1,20.91041667,5.412916667,6.31375,NA
AGO,11,9,18,20.6675,5.325,5.6975,NA
AGO,11,10,17.18,20.82,5.298333333,6.19125,NA
AGO,11,11,14.58,21.04291667,5.285,9.12,NA
AGO,11,12,6.42,21.29583333,5.245416667,12.60125,NA
AGO,11,13,2.92,21.18041667,5.18375,16.24625,NA
AGO,11,14,2.65,20.86083333,5.107916667,19.83,NA
AGO,11,15,3.01,19.83416667,5.02625,23.34,NA
AGO,11,16,2.57,19.27625,4.988333333,27.0125,NA
AGO,11,17,1.97,17.89833333,4.95375,30.44875,NA
AGO,11,18,4.1,17.49,4.902916667,32.82625,NA
AGO,11,19,8.34,17.21916667,4.769583333,32.35375,NA
AGO,11,20,6.33,18.87166667,4.605416667,30.3725,NA
AGO,11,21,10.01,19.505,4.485416667,28.04125,NA
AGO,11,22,7.36,19.92708333,4.380833333,26.35375,NA
AGO,11,23,6.37,20.15666667,4.289166667,24.9275,NA
AGO,12,0,7.19,20.19041667,4.21875,23.38625,NA
AGO,12,1,6.72,20.16625,4.215416667,21.85,NA
AGO,12,2,5.52,20.30833333,4.27375,20.62125,NA
AGO,12,3,4.56,20.27625,4.327916667,19.95875,NA
AGO,12,4,4.87,20.00041667,4.367083333,20.07875,NA
AGO,12,5,7.01,19.94375,4.49625,20.34375,NA
AGO,12,6,6.66,19.78708333,4.721666667,20.23375,NA
AGO,12,7,6.84,19.94791667,4.909583333,19.68875,NA
AGO,12,8,11.25,19.75791667,5.049583333,18.94375,NA
AGO,12,9,9.03,19.40375,5.19125,18.6,NA
AGO,12,10,5.17,18.28708333,5.242083333,18.715,NA
AGO,12,11,3.63,17.76521739,5.25125,19.23875,NA
AGO,12,12,1.23,16.7873913,5.265,20.25875,NA
AGO,12,13,2.28,16.6873913,5.287083333,21.71,NA
AGO,12,14,2.72,16.43391304,5.3725,23.17,NA
AGO,12,15,3.93,16.71521739,5.460416667,24.60625,NA
AGO,12,16,2.95,16.35695652,5.553333333,26.69375,NA
AGO,12,17,2.24,16.02869565,5.624166667,28.07625,NA
AGO,12,18,5.44,15.79869565,5.710416667,28.5625,NA
AGO,12,19,12.18,15.09130435,5.9425,27.955,NA
AGO,12,20,14.38,12.00391304,6.22625,26.46125,NA
AGO,12,21,14.67,11.72173913,6.512916667,24.56875,NA
AGO,12,22,11.95,11.6126087,6.740416667,22.0225,NA
AGO,12,23,7.17,11.57304348,6.90875,20.1425,NA
AGO,13,0,5.65,11.25304348,7.014583333,18.22,NA
AGO,13,1,4.87,11.08043478,7.031666667,16.5625,NA
AGO,13,2,2.38,10.96869565,6.962916667,15.5725,NA
AGO,13,3,1.13,10.63956522,6.8925,15.5075,NA
AGO,13,4,1.72,10.60913043,6.82625,15.75125,NA
AGO,13,5,1.98,10.35217391,6.663333333,16.43625,NA
AGO,13,6,3.44,10.0326087,6.401666667,17.73,NA
AGO,13,7,11.09,9.481304348,6.181666667,17.73875,NA
AGO,13,8,10.31,9.029090909,6.00375,17.5975,NA
AGO,13,9,5.45,9.244285714,5.805,17.51875,NA
AGO,13,10,2.1,9.486666667,5.6175,17.58375,NA
AGO,13,11,11.73,9.652272727,5.481666667,16.935,NA
AGO,13,12,12.11,10.10363636,5.432916667,16.6375,NA
AGO,13,13,2.68,9.889090909,5.378333333,17.06375,NA
AGO,13,14,1.55,9.795,5.260833333,17.97,NA
AGO,13,15,1.15,9.420454545,5.126666667,19.71875,NA
AGO,13,16,1.04,9.519090909,4.975833333,21.31125,NA
AGO,13,17,0.79,9.387272727,4.852916667,22.94875,NA
AGO,13,18,1.4,8.868636364,4.720416667,24.04125,NA
AGO,13,19,2.44,8.529090909,4.442083333,25.42125,NA
AGO,13,20,2.13,9.362272727,4.103333333,26.4375,NA
AGO,13,21,3.37,9.448636364,3.751666667,26.58625,NA
