DATOS MÓVILES 2018_NATIVITAS,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,
,,,,,,
MES,DIA,HORA,NO2,MPM10,MSO2 24 HRS,MO3
ENE,1,0,NA,111.25,NA,10.2925
ENE,1,1,NA,119.97125,NA,7.0675
ENE,1,2,NA,128.4583333,NA,3.92375
ENE,1,3,NA,130.385,NA,3.27375
ENE,1,4,NA,130.1791667,NA,4.1775
ENE,1,5,NA,127.70375,NA,5.11625
ENE,1,6,NA,125.8733333,NA,6.30875
ENE,1,7,NA,123.1658333,NA,7.54375
ENE,1,8,NA,121.7375,NA,8.60375
ENE,1,9,NA,119.8391667,NA,9.54125
ENE,1,10,NA,118.2425,NA,10.58375
ENE,1,11,NA,117.4716667,NA,11.67
ENE,1,12,NA,116.4145833,NA,13.035
ENE,1,13,NA,115.8241667,NA,14.77875
ENE,1,14,NA,116.1275,NA,16.4925
ENE,1,15,NA,116.7666667,NA,18.31
ENE,1,16,NA,118.2095833,NA,20.3475
ENE,1,17,NA,119.12,NA,22.28625
ENE,1,18,NA,119.3491667,NA,23.34375
ENE,1,19,NA,118.8470833,NA,23.245
ENE,1,20,NA,114.0454167,NA,22.46
ENE,1,21,NA,107.7916667,NA,21.14875
ENE,1,22,NA,94.005,NA,19.35
ENE,1,23,NA,80.40416667,NA,17.33625
ENE,2,0,NA,67.88625,NA,15.11125
ENE,2,1,NA,55.41583333,NA,12.9675
ENE,2,2,NA,42.86541667,NA,11.36125
ENE,2,3,NA,37.5375,NA,10.70375
ENE,2,4,NA,34.30791667,NA,10.05
ENE,2,5,NA,32.6225,NA,9.695
ENE,2,6,NA,31.63166667,NA,9.385
ENE,2,7,NA,31.31166667,NA,8.795
ENE,2,8,NA,31.3925,NA,7.88625
ENE,2,9,NA,32.05875,NA,7.1
ENE,2,10,NA,32.64791667,NA,6.58125
ENE,2,11,NA,32.60708333,NA,6.41875
ENE,2,12,NA,31.63458333,NA,7.1675
ENE,2,13,NA,30.99208333,NA,8.3225
ENE,2,14,NA,30.58916667,NA,10.59875
ENE,2,15,7.51,29.99541667,NA,13.94875
ENE,2,16,7.4,29.75708333,NA,17.73875
ENE,2,17,7.67,29.82333333,NA,20.9475
ENE,2,18,11.81,30.3525,NA,23.41
ENE,2,19,33.76,30.74666667,7.175555556,23.55875
ENE,2,20,41.76,32.89125,7.781052632,21.955
ENE,2,21,41.39,36.60291667,8.5905,19.75625
ENE,2,22,35.5,44.985,9.270952381,16.695
ENE,2,23,34.82,52.89833333,9.831818182,12.805
ENE,3,0,32.27,57.3225,10.25608696,8.93875
ENE,3,1,29.92,61.72208333,10.65958333,5.19375
ENE,3,2,28.81,67.25,11.46166667,1.91375
ENE,3,3,26.34,72.43083333,12.21583333,0.57375
ENE,3,4,25.62,76.05083333,12.72541667,0.52875
ENE,3,5,28.81,79.74625,13.28666667,0.51375
ENE,3,6,25.05,82.64333333,13.70166667,0.44875
ENE,3,7,24.95,85.23166667,14.11875,0.39
ENE,3,8,23.3,87.68958333,14.48583333,0.19625
ENE,3,9,21.58,89.5225,14.80125,0.47875
ENE,3,10,18.91,91.1825,15.13458333,1.3375
ENE,3,11,22.47,93.365,15.7,2.8525
ENE,3,12,14.14,95.75166667,16.14666667,5.61125
ENE,3,13,6.89,97.01083333,16.60375,9.49
ENE,3,14,8.37,97.42583333,18.0725,14.00875
ENE,3,15,9.89,98.00958333,18.23583333,18.865
ENE,3,16,4.31,97.50083333,17.74375,23.09875
ENE,3,17,4.67,97.43541667,17.38791667,27.09125
ENE,3,18,7.99,97.53458333,17.41791667,30.46875
ENE,3,19,8.52,98.355,19.75458333,31.3475
ENE,3,20,11,96.58125,23.27208333,30.3625
ENE,3,21,9.9,90.89333333,22.4975,27.965
ENE,3,22,5.9,83.00583333,21.70625,25.2275
ENE,3,23,5.51,75.85958333,20.95416667,22.1875
ENE,4,0,4.39,72.27125,20.23958333,19.68875
ENE,4,1,4.12,68.58166667,19.70041667,17.08
ENE,4,2,4.39,63.55208333,19.18958333,14.3875
ENE,4,3,4.06,59.20458333,18.75458333,13.52125
ENE,4,4,3.63,55.85,18.52125,13.3325
ENE,4,5,4.92,52.37916667,18.2275,13.19875
ENE,4,6,5.54,49.94083333,18.09666667,12.59875
ENE,4,7,3.76,47.72416667,17.96916667,11.76375
ENE,4,8,6.11,45.54375,17.91208333,10.71625
ENE,4,9,6.17,43.74,17.89,10.00125
ENE,4,10,4.23,41.87541667,17.85208333,10.04625
ENE,4,11,4.3,39.64958333,17.58,10.35375
ENE,4,12,3.18,38.45083333,17.41666667,10.995
ENE,4,13,4.3,37.58791667,17.23083333,12.37375
ENE,4,14,5.35,38.01166667,16.27916667,14.30125
ENE,4,15,5.15,37.91083333,16.30791667,17.0875
ENE,4,16,5.8,38.6775,16.995,20.76
ENE,4,17,3.13,38.79458333,17.42291667,24.0575
ENE,4,18,4.08,38.80958333,17.40583333,26.4425
ENE,4,19,12.89,38.02333333,15.00125,26.9525
ENE,4,20,17.54,41.0125,11.59541667,25.77875
ENE,4,21,19.53,45.82375,12.45333333,23.65
ENE,4,22,17.95,50.92791667,13.28208333,20.955
ENE,4,23,17.54,56.40166667,13.88666667,17.58875
ENE,5,0,20.48,61.06958333,14.66416667,13.2025
ENE,5,1,15.41,65.30708333,15.07833333,8.935
ENE,5,2,15.37,71.09625,15.56291667,5.1025
ENE,5,3,16.31,76.74,15.88708333,2.79625
