DATOS MÓVILES 2018_NATIVITAS,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,
,,,,,,
MES,DIA,HORA,NO2,MPM10,MSO2 24 HRS,MO3
ENE,5,4,15.06,79.98,16.09041667,1.975714286
ENE,5,5,13.39,82.68541667,16.16416667,1.301428571
ENE,5,6,14.97,85.47541667,16.2925,0.945
ENE,5,7,14.02,88.9425,16.53208333,0.423333333
ENE,5,8,14.04,92.26041667,16.55708333,NA
ENE,5,9,13.15,95.9375,16.56875,NA
ENE,5,10,10.43,98.55708333,16.5375,NA
ENE,5,11,6.03,99.92916667,16.43333333,NA
ENE,5,12,4.13,100.47625,16.20083333,9.481666667
ENE,5,13,2.83,101.2716667,15.91375,14.155
ENE,5,14,2.65,100.17875,15.44458333,16.6
ENE,5,15,2.72,99.78875,14.94666667,20.99857143
ENE,5,16,3.26,99.16541667,14.55458333,22.2025
ENE,5,17,4.18,98.61166667,14.45625,25.485
ENE,5,18,5.87,98.34125,14.45875,27.3725
ENE,5,19,13.53,96.91708333,14.56208333,26.6525
ENE,5,20,17.08,98.79708333,14.54333333,23.83
ENE,5,21,20.93,102.5533333,14.36958333,20.36125
ENE,5,22,15.62,105.4154167,14.28083333,16.49375
ENE,5,23,15.17,106.8225,14.49041667,12.64875
ENE,6,0,13.09,106.6775,14.64,10.08
ENE,6,1,13.88,106.2466667,14.7825,6.037142857
ENE,6,2,13.25,104.3416667,14.38791667,2.625714286
ENE,6,3,7.46,100.9304167,13.96583333,1.494285714
ENE,6,4,4.38,98.7625,13.49833333,2.757142857
ENE,6,5,8.19,97.27708333,13.23583333,3.672857143
ENE,6,6,9.9,95.285,13.01875,4.024285714
ENE,6,7,9.06,92.61875,12.64166667,4.414285714
ENE,6,8,7.55,90.64333333,12.46625,4.335
ENE,6,9,8.35,87.83375,12.12916667,5.21625
ENE,6,10,5.25,86.08916667,11.81333333,6.7875
ENE,6,11,3.29,85.65166667,11.55875,8.51125
ENE,6,12,3.04,85.47458333,11.43166667,10.1025
ENE,6,13,3.21,85.05,11.30291667,12.85125
ENE,6,14,2.66,85.70375,11.25956522,16.2475
ENE,6,15,3.18,85.64458333,11.19545455,19.4825
ENE,6,16,2.92,85.08291667,11.13142857,22.4
ENE,6,17,3.26,84.81,10.9447619,25.015
ENE,6,18,4.58,84.34208333,11.0752381,26.735
ENE,6,19,13.2,85.48208333,11.08809524,26.42625
ENE,6,20,15.59,82.12791667,11.64761905,23.81625
ENE,6,21,8.14,74.77125,11.91666667,21.56875
ENE,6,22,6.88,66.46333333,12.16571429,19.1075
ENE,6,23,6.39,59.75375,11.97095238,16.88625
ENE,7,0,4.85,55.48791667,11.58619048,14.955
ENE,7,1,2.93,51.13166667,11.27238095,13.08625
ENE,7,2,3.97,47.42333333,11.21619048,11.16875
ENE,7,3,3.77,45.55333333,11.58047619,10.33125
ENE,7,4,4.26,44.78416667,12.01857143,11.1775
ENE,7,5,4.37,44.15916667,12.38333333,11.11375
ENE,7,6,3.61,43.43333333,12.50095238,11.21125
ENE,7,7,4.67,42.95708333,12.66,10.6925
ENE,7,8,7.35,41.90666667,12.81047619,9.74875
ENE,7,9,5.23,41.06666667,13.34142857,9.02125
ENE,7,10,4.94,40.28916667,13.99571429,9.09375
ENE,7,11,4.46,39.54291667,14.65761905,9.88625
ENE,7,12,3.74,39.24416667,15.2952381,11.3675
ENE,7,13,2.93,39.32208333,15.79333333,13.29
ENE,7,14,3.22,39.08083333,15.53954545,15.6575
ENE,7,15,2.41,38.78625,15.27913043,18.88375
ENE,7,16,3.78,39.49333333,15.07916667,22.6775
ENE,7,17,3,40.41708333,15.15708333,26.075
ENE,7,18,3.74,40.71041667,14.92083333,28.81125
ENE,7,19,10.75,40.5125,14.90458333,29.36875
ENE,7,20,20.44,45.66291667,14.17583333,26.97375
ENE,7,21,18.97,52.47041667,13.65916667,23.88375
ENE,7,22,19.86,58.60708333,13.26208333,20.16625
ENE,7,23,14.53,70.12208333,13.295,16.09625
ENE,8,0,15.8,81.01625,13.4575,11.805
ENE,8,1,13.84,85.88083333,13.47291667,7.52875
ENE,8,2,10.67,88.6725,13.37208333,3.36875
ENE,8,3,13.4,90.52875,13.05333333,0.7875
ENE,8,4,15.75,93.39916667,12.94791667,0.387142857
ENE,8,5,12.62,95.66416667,12.89583333,0.257142857
ENE,8,6,11.64,98.82416667,13.10541667,0.258333333
ENE,8,7,9.36,101.5979167,13.31,NA
ENE,8,8,10.65,103.73125,13.7275,NA
ENE,8,9,11.9,106.6658333,13.96916667,NA
ENE,8,10,7.54,108.4945833,14.01583333,NA
ENE,8,11,12.7,111.91625,14.715,NA
ENE,8,12,4.38,114.30125,14.72583333,10.59666667
ENE,8,13,4.14,115.3858333,14.71041667,16.24333333
ENE,8,14,5.28,116.1691667,14.73,18.78428571
ENE,8,15,3.91,117.38875,14.62583333,20.57125
ENE,8,16,3.95,117.9816667,14.47583333,24.69125
ENE,8,17,3.8,118.0608333,14.35666667,28.41125
ENE,8,18,3.82,118.87875,14.22458333,30.60625
ENE,8,19,9.45,119.5704167,13.95625,30.33125
ENE,8,20,7.24,112.2433333,13.73916667,28.1175
ENE,8,21,5.11,104.3416667,13.77041667,25.595
ENE,8,22,4.36,97.97166667,13.95875,23.0475
ENE,8,23,4.07,86.31958333,14.46375,20.4775
ENE,9,0,5.12,75.49541667,14.3325,17.54625
ENE,9,1,4.69,71.31708333,14.26458333,14.6825
ENE,9,2,3.98,69.31583333,14.3325,12.3825
ENE,9,3,3.76,68.10916667,14.61833333,11.8525
ENE,9,4,5.28,65.67,14.9425,11.39
ENE,9,5,4.32,63.58375,14.83583333,10.86
ENE,9,6,5.32,60.92791667,14.52916667,10.04375
ENE,9,7,6.03,59.50416667,14.34833333,8.97
ENE,9,8,8.58,59.17833333,14.01083333,7.9375
ENE,9,9,6.31,56.67666667,13.62875,7.26
ENE,9,10,4.98,55.51791667,13.29458333,7.17
ENE,9,11,3.67,52.14541667,12.26541667,7.98375
ENE,9,12,2.95,49.10291667,11.92958333,9.68625
ENE,9,13,0.29,48.03583333,11.69916667,11.66375
ENE,9,14,0.28,47.0275,11.4125,14.38375
ENE,9,15,0.25,45.51625,11.23333333,17.9625
ENE,9,16,NA,43.88875,11.31,22.61
ENE,9,17,5.53,46.66666667,11.47913043,26.38
ENE,9,18,5.45,45.19875,11.69636364,29.1425
ENE,9,19,32.62,48.1,11.88428571,28.8375
ENE,9,20,46.76,54.34291667,11.9805,26.2025
ENE,9,21,41.52,62.40083333,11.77947368,23.0675
ENE,9,22,40.8,75.25333333,11.21888889,19.505
ENE,9,23,37.66,86.88333333,9.548333333,15.585
ENE,10,0,33.56,92.45791667,8.665,11.07
ENE,10,1,33.92,96.13958333,8.171111111,6.71
ENE,10,2,31.16,99.76208333,7.695,2.7475
ENE,10,3,27.73,102.81875,6.965555556,1.02625
ENE,10,4,26.62,106.7195833,6.082222222,1.2525
ENE,10,5,24.21,109.935,5.73,1.5025
ENE,10,6,23.9,112.68125,5.446111111,1.74375
ENE,10,7,22.37,114.1958333,5.037222222,1.69
ENE,10,8,20.21,114.2366667,4.544444444,1.44125
ENE,10,9,20.01,118.2679167,4.336666667,1.555
ENE,10,10,25.75,120.91875,4.978888889,1.88375
ENE,10,11,24.05,124.175,5.501666667,2.92375
ENE,10,12,19.3,126.3641667,5.758333333,4.89375
ENE,10,13,19.74,128.0570833,9.057222222,7.55875
ENE,10,14,14.67,129.0608333,9.291666667,10.89
ENE,10,15,8.51,130.1516667,9.598333333,14.77875
ENE,10,16,6.67,131.4904167,9.445,18.8375
ENE,10,17,6.1,128.4808333,9.221578947,22.9775
ENE,10,18,8.89,130.0979167,9,26.2875
ENE,10,19,18.24,127.84125,8.826190476,27.60875
ENE,10,20,20.6,123.2058333,8.685,27.14375
ENE,10,21,16.53,116.3570833,8.561304348,26.1775
ENE,10,22,12.85,104.9954167,8.447916667,24.635
ENE,10,23,10.81,94.70333333,8.5925,22.6325
ENE,11,0,12.1,90.01541667,8.742083333,20.07125
ENE,11,1,15.2,87.05083333,8.8575,17.17625
ENE,11,2,16.75,84.15083333,8.994166667,14.5125
ENE,11,3,15.48,81.56458333,9.128333333,13.025
ENE,11,4,14.32,78.66416667,9.29125,12.40125
ENE,11,5,31.28,76.63083333,9.487916667,10.9475
ENE,11,6,35.4,75.29375,9.715,9.07
ENE,11,7,33.55,74.54208333,9.907916667,7.1075
ENE,11,8,32.34,75.54416667,10.16291667,5.56125
ENE,11,9,32.87,74.20416667,10.39416667,4.45625
ENE,11,10,19.05,71.89958333,9.980416667,4.5125
ENE,11,11,8.91,68.85625,9.6225,5.47875
ENE,11,12,7.31,67.40541667,9.46875,6.725
ENE,11,13,4.78,65.67625,7.0625,8.93625
ENE,11,14,5.42,64.75458333,7.005416667,11.70625
ENE,11,15,5.01,64.36708333,6.914166667,14.7075
ENE,11,16,4.81,63.65083333,6.90625,17.78625
ENE,11,17,5.2,63.31041667,6.91,20.5775
ENE,11,18,6.89,61.94291667,6.927916667,22.3025
ENE,11,19,24.05,62.25916667,6.94125,22.1025
ENE,11,20,42.58,78.2525,7.03125,19.86875
ENE,11,21,42.16,86.20708333,7.3325,17.17
ENE,11,22,39.68,94.12708333,8.15625,14.235
ENE,11,23,36.58,99.88791667,9.09125,11.30375
ENE,12,0,31.98,106.2879167,9.956666667,8.27625
ENE,12,1,30.27,113.3245833,10.53208333,5.36875
ENE,12,2,30.69,116.0995833,10.67083333,2.52625
ENE,12,3,22.44,117.9029167,10.56125,1.14625
ENE,12,4,17.9,117.9254167,10.905,1.75125
ENE,12,5,9.89,117.3820833,11.03130435,3.01625
ENE,12,6,6.7,116.2020833,11.14181818,4.6275
ENE,12,7,10.5,114.4466667,11.29142857,5.84875
ENE,12,8,17.63,112.18875,11.3905,6.45625
ENE,12,9,16.88,110.18,11.36315789,6.9675
ENE,12,10,8.66,110.12375,11.43777778,8.355
ENE,12,11,8.37,110.7233333,NA,9.67125
ENE,12,12,6.69,110.51,NA,10.86
ENE,12,13,5.2,110.1041667,NA,11.8175
ENE,12,14,9.75,109.6066667,NA,12.48125
ENE,12,15,9.22,110.1729167,NA,13.83625
ENE,12,16,7.82,111.05375,NA,16.53625
ENE,12,17,6.53,111.5666667,NA,19.365
ENE,12,18,7.88,111.97375,NA,21.2675
ENE,12,19,29.23,111.3229167,NA,21.255
ENE,12,20,45.81,100.2645833,NA,19.34125
ENE,12,21,45.68,98.04875,NA,17.0975
ENE,12,22,40.68,97.5875,NA,15.17
ENE,12,23,33.82,97.43083333,NA,13.44875
ENE,13,0,32.21,94.47541667,NA,10.80875
ENE,13,1,29.71,91.26625,NA,7.5625
ENE,13,2,28.28,92.82208333,NA,4.78375
ENE,13,3,27.77,97.85875,NA,3.15125
ENE,13,4,23.57,98.865,NA,3.115
ENE,13,5,23.09,99.17208333,NA,3.13375
ENE,13,6,22.45,100.0704167,NA,3.144285714
ENE,13,7,21.27,102.4729167,NA,2.408333333
ENE,13,8,19.69,102.93625,17.17722222,NA
ENE,13,9,16.6,102.8933333,16.38,NA
ENE,13,10,15.78,103.2475,15.646,NA
ENE,13,11,12.5,104.3058333,14.92571429,NA
ENE,13,12,9.23,105.265,14.92571429,NA
ENE,13,13,6.84,106.4991667,14.92571429,NA
ENE,13,14,6.24,107.68,12.0445,10.97166667
ENE,13,15,7.53,107.5833333,9.46,12.29285714
ENE,13,16,8.65,107.43125,8.362,13.04125
ENE,13,17,8.91,107.58875,9.8555,15.02
ENE,13,18,7.24,108.7679167,10.136,16.45
ENE,13,19,7.63,109.13125,10.20714286,17.1025
ENE,13,20,9.35,106.4008333,16.57761905,16.75625
ENE,13,21,12.96,101.6929167,18.38047619,15.51
ENE,13,22,9.87,94.90208333,19.00952381,14.145
ENE,13,23,11.27,89.19583333,20.20285714,12.59375
ENE,14,0,10.72,85.40416667,21.29047619,11.28
ENE,14,1,10.86,81.15291667,22.69428571,9.97125
ENE,14,2,5.36,75.27083333,22.70714286,9.175
ENE,14,3,4.28,66.6675,22.88047619,8.7775
ENE,14,4,4.12,63.95791667,23.35761905,8.82125
ENE,14,5,4.6,62.59958333,23.58809524,9.255
ENE,14,6,3.38,60.68791667,23.72333333,9.5775
ENE,14,7,4.22,57.42625,23.89761905,10.03
ENE,14,8,7.19,55.42958333,24.19761905,10.2725
ENE,14,9,7.9,53.73666667,24.53904762,10.47125
ENE,14,10,4.97,52.23666667,24.97238095,10.6875
ENE,14,11,4.86,50.18625,25.56761905,10.83125
ENE,14,12,5.21,48.5525,24.985,11.05625
ENE,14,13,3.75,46.63666667,24.10478261,11.5025
ENE,14,14,3.2,44.91708333,23.27166667,12.02625
ENE,14,15,2.91,43.05541667,22.89208333,12.76875
ENE,14,16,3.5,41.87708333,22.14833333,13.9075
ENE,14,17,3.52,40.5275,20.60583333,15.25125
ENE,14,18,5.03,38.92916667,20.16,16.27125
ENE,14,19,15.82,36.82041667,20.3925,16.4625
ENE,14,20,26.88,33.17166667,15.125,15.575
ENE,14,21,19.49,31.22208333,13.9975,14.38
ENE,14,22,13.17,29.37541667,13.34375,13.2875
ENE,14,23,10.13,28.1725,12.25333333,12.035
ENE,15,0,8.8,27.36833333,11.20375,10.5325
ENE,15,1,6.81,26.56375,9.844166667,9.0275
ENE,15,2,6.85,26.38291667,9.431666667,7.5425
ENE,15,3,4.88,26.52916667,9.034166667,6.94625
ENE,15,4,5.79,26.1975,8.683333333,7.315
ENE,15,5,8.44,26.6325,8.595416667,7.50375
ENE,15,6,8.18,27.12333333,8.572083333,7.37625
ENE,15,7,13.96,27.53875,8.515833333,6.84875
ENE,15,8,14.48,28.78333333,8.362916667,6.33375
ENE,15,9,11.14,29.66,8.201666667,5.97625
ENE,15,10,9.77,30.41,7.950833333,5.915
ENE,15,11,9.27,30.83958333,7.600833333,5.94375
ENE,15,12,7.65,31.45208333,7.25875,6.34125
ENE,15,13,6.46,32.03125,7.254583333,7.3275
ENE,15,14,5.77,32.60416667,7.312916667,8.715
ENE,15,15,4.83,33.57625,7.41625,10.9675
ENE,15,16,4.49,33.78458333,7.472916667,13.56625
ENE,15,17,3.15,33.88125,7.500416667,16.0375
ENE,15,18,3.35,33.71166667,7.399166667,18.355
ENE,15,19,20.36,34.6025,6.82625,19.18125
ENE,15,20,38.83,40.06208333,6.899583333,17.80375
ENE,15,21,38.17,46.74291667,6.860833333,16.035
ENE,15,22,37.4,56.09375,7.718333333,13.91625
ENE,15,23,29.66,65.89333333,8.087916667,12.88285714
ENE,16,0,22.73,67.98583333,8.217916667,9.667142857
ENE,16,1,19.76,69.78708333,8.295833333,6.372857143
ENE,16,2,19.02,70.92291667,8.440416667,2.885714286
ENE,16,3,20.27,72.05083333,8.700833333,0.794285714
ENE,16,4,20.31,73.50375,8.741666667,0.775714286
ENE,16,5,20.36,74.185,8.662916667,0.771428571
ENE,16,6,20.99,74.62958333,8.61125,0.78
ENE,16,7,20.4,75.30375,8.52875,0.69375
ENE,16,8,21.28,75.99041667,8.487916667,0.61125
ENE,16,9,21.76,77.87333333,8.4725,0.65
ENE,16,10,18.22,79.48833333,8.468333333,1.01875
ENE,16,11,18.28,81.27166667,8.4425,1.75125
ENE,16,12,10.89,82.10625,8.334583333,3.28625
ENE,16,13,8.16,82.76583333,8.2075,5.38375
ENE,16,14,5.62,83.4625,8.035416667,7.89875
ENE,16,15,6.44,83.64625,7.957083333,10.7525
ENE,16,16,6.47,84.33458333,7.730416667,13.90875
ENE,16,17,7.92,84.89875,7.76875,16.58125
ENE,16,18,9.91,85.86333333,7.82625,18.31875
ENE,16,19,9.01,86.47125,7.820416667,19.07625
ENE,16,20,10.96,81.57458333,7.950833333,18.48
ENE,16,21,9.82,75.18708333,8.05375,17.27125
ENE,16,22,7.81,66.20166667,7.180416667,15.64875
ENE,16,23,8.24,56.09583333,7.236666667,13.76
ENE,17,0,9.27,54.05458333,7.991666667,11.46375
ENE,17,1,8.82,52.315,9.06375,9.49375
ENE,17,2,8.35,51.26625,9.88625,8.20875
ENE,17,3,5.15,49.96541667,9.907916667,7.73875
ENE,17,4,4.57,48.48041667,9.905,7.87125
ENE,17,5,5.67,47.04166667,9.9225,8.0175
ENE,17,6,6.91,46.22416667,9.969583333,8.04625
ENE,17,7,8.95,45.295,9.9725,7.88
ENE,17,8,10.62,44.11,9.945,7.6325
ENE,17,9,10.29,41.78708333,9.923333333,7.34625
ENE,17,10,7.83,39.50958333,9.89,7.33
ENE,17,11,6.87,37.83166667,9.884166667,7.33375
ENE,17,12,8.29,37.13166667,10.4,7.4725
ENE,17,13,8.25,37.0775,10.80875,8.11125
ENE,17,14,7.27,37.00625,11.19166667,9.17125
ENE,17,15,5.35,37.205,11.67625,10.7425
ENE,17,16,5.02,36.9325,12.64,12.775
ENE,17,17,4.66,36.91125,12.82,14.92375
ENE,17,18,9.35,37.08541667,13.08083333,16.475
ENE,17,19,26.76,36.87958333,13.56166667,16.9125
ENE,17,20,42.05,37.83041667,13.70833333,16.03125
ENE,17,21,25.73,40.57625,13.25208333,14.93875
ENE,17,22,12.49,41.60958333,12.93708333,13.8825
ENE,17,23,8.28,42.59333333,12.16958333,12.44125
ENE,18,0,8.58,42.53291667,11.09083333,10.59375
ENE,18,1,5.44,42.63291667,9.929166667,8.77
ENE,18,2,5.54,42.31458333,9.127916667,7.22
ENE,18,3,4.48,42.48125,9.00875,6.67125
ENE,18,4,4.58,42.74958333,9.226666667,7.33375
ENE,18,5,4.15,42.7125,9.322083333,7.8275
ENE,18,6,5.23,42.4025,9.318333333,7.88
ENE,18,7,7.72,42.28125,9.374583333,7.78
ENE,18,8,11.02,42.05708333,9.44375,7.505
ENE,18,9,11.56,42.13083333,9.517083333,7.10875
ENE,18,10,9.01,42.18958333,9.577916667,7.0225
ENE,18,11,6.36,41.62291667,9.611666667,7.2375
ENE,18,12,7.01,41.49875,9.239583333,7.56875
ENE,18,13,8.88,41.49916667,9.040833333,8.23625
ENE,18,14,7.69,41.87375,8.88625,9.49375
ENE,18,15,7.72,41.8725,8.494166667,11.2725
ENE,18,16,6.84,42.20666667,7.704583333,13.65375
ENE,18,17,6.24,42.18166667,7.499583333,15.975
ENE,18,18,9.52,41.72541667,7.225416667,17.8075
ENE,18,19,26.79,41.13666667,6.84625,18.32
ENE,18,20,46.93,42.01083333,6.540833333,17.02375
ENE,18,21,19.22,43.56375,6.657916667,16.36
ENE,18,22,12.14,42.32583333,6.8425,15.49375
ENE,18,23,24.58,41.40583333,7.040416667,13.70875
ENE,19,0,28.47,42.79416667,7.231666667,10.82125
ENE,19,1,26.79,45.53041667,7.367916667,9.068571429
ENE,19,2,26.43,47.79416667,7.329583333,6
ENE,19,3,19.31,49.43083333,7.272916667,4.502857143
ENE,19,4,21.92,51.21958333,7.096666667,4.832857143
ENE,19,5,23.84,53.20125,7.1675,4.191428571
ENE,19,6,22.4,55.36416667,7.335833333,2.912857143
ENE,19,7,18.88,57.06416667,7.454583333,2.301428571
ENE,19,8,19.5,58.23458333,7.56875,2.337142857
ENE,19,9,17.1,60.45166667,7.690833333,2.3725
ENE,19,10,14.15,61.82958333,7.840833333,2.965
ENE,19,11,18.95,63.115,8.185833333,3.46125
ENE,19,12,17.1,64.66458333,8.73875,4.5975
ENE,19,13,6.97,64.49083333,9.01375,6.265
ENE,19,14,5.91,63.89083333,8.920833333,8.3975
ENE,19,15,4.17,63.33791667,8.7975,10.58
ENE,19,16,4.61,62.80541667,8.69375,13.03625
ENE,19,17,3.33,62.06833333,8.57625,15.285
ENE,19,18,4.43,61.57166667,8.445416667,17.27
ENE,19,19,24.34,62.40708333,8.354166667,17.645
ENE,19,20,32.28,64.01083333,8.17,16.6125
ENE,19,21,21.62,61.65291667,7.980833333,15.21625
ENE,19,22,20,62.99875,7.83,13.7775
ENE,19,23,33.62,64.86916667,7.838333333,11.4125
ENE,20,0,29.38,66.12208333,7.909583333,8.95
ENE,20,1,27.6,66.22458333,7.865416667,6.455
ENE,20,2,26.49,66.50416667,7.851666667,3.88625
ENE,20,3,24.69,67.2175,7.975416667,2.60125
ENE,20,4,24.75,69.09791667,8.154166667,2.13125
ENE,20,5,23.78,70.36041667,8.232916667,1.3425
ENE,20,6,26.4,70.40291667,8.39125,0.428571429
ENE,20,7,26.29,70.20791667,8.43125,0.317142857
ENE,20,8,27.2,72.0925,8.564583333,0.274285714
ENE,20,9,23.56,73.19291667,8.5575,0.372857143
ENE,20,10,21.77,74.42541667,8.599583333,1.015714286
ENE,20,11,14.27,74.87791667,8.347083333,2.615714286
ENE,20,12,6.78,73.09458333,7.719583333,4.78
ENE,20,13,7.68,72.51041667,7.33,7.262857143
ENE,20,14,4.76,72.54875,7.212083333,8.745
ENE,20,15,3.6,72.53666667,7.092916667,11.2
ENE,20,16,4.33,72.71,7.264782609,13.69
ENE,20,17,3.82,72.49041667,7.470454545,15.9325
ENE,20,18,6.12,72.4775,7.718571429,17.67375
ENE,20,19,27.85,70.94625,7.926,17.35125
ENE,20,20,33.99,67.91666667,7.812,15.55
ENE,20,21,31.2,67.03333333,7.706,13.445
ENE,20,22,27.99,69.29958333,7.618,11.24625
ENE,20,23,30.54,70.86458333,7.567,8.79625
ENE,21,0,28.26,73.51958333,7.523,6.28875
ENE,21,1,25.69,76.39416667,7.6055,3.89625
ENE,21,2,23.38,78.5225,7.599,1.788571429
ENE,21,3,23.32,80.72875,7.434,0.548571429
ENE,21,4,21.27,80.57958333,7.2205,0.434285714
ENE,21,5,20.38,81.35458333,7.1335,0.358571429
ENE,21,6,19.56,81.915,6.999,0.155714286
ENE,21,7,18.99,82.26958333,6.9545,0.147142857
ENE,21,8,19.1,80.58625,6.7945,0.148571429
ENE,21,9,19.87,79.49708333,6.863,0.308571429
ENE,21,10,20.24,78.88958333,6.85,0.96875
ENE,21,11,14.05,78.20375,7.2225,2.24625
ENE,21,12,12.12,78.40666667,8.6715,4.335
ENE,21,13,7.81,79.07375,9.1885,6.805
ENE,21,14,5.33,78.94375,9.2225,9.16125
ENE,21,15,3.57,79.55375,9.218,11.10875
ENE,21,16,3.37,80.59791667,9.218,13.01125
ENE,21,17,3.36,82.81291667,9.218,14.9825
ENE,21,18,4.1,83.10916667,9.218,16.47875
ENE,21,19,10.58,82.655,9.218,17.05875
