DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_CRUZ ROJA 2023,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³]
MARZO,2,6,0.009158233,0.015677877,0.002506115,0.46358025,30,20
MARZO,2,7,0.007750653,0.013131769,0.002554694,0.501117375,38,21
MARZO,2,8,0.00760271,0.010868608,0.002462524,0.70092925,52,25
MARZO,2,9,0.010486015,0.009810745,0.002485616,0.864703375,65,30
MARZO,2,10,0.025614667,0.011174611,0.002450589,0.902253,53,29
MARZO,2,11,0.03658825,0.014632296,0.00238216,0.921768375,38,23
MARZO,2,12,0.041775633,0.018835814,0.002327067,0.944573,29,19
MARZO,2,13,0.040496717,0.02243411,0.00228466,0.964619375,29,17
MARZO,2,14,0.040261983,0.026322079,0.002253807,0.97439125,29,17
MARZO,2,15,0.045430867,0.031032105,0.002224941,0.935621625,36,18
MARZO,2,16,0.04575865,0.035801598,0.002191358,0.747772,45,18
MARZO,2,17,0.045986317,0.040239136,0.002163066,0.58755675,46,18
MARZO,2,18,0.0431843,0.04243534,0.002135357,0.5582295,44,20
MARZO,2,19,0.032863467,0.041969742,0.002091956,0.547256,43,20
MARZO,2,20,0.019005817,0.039123515,0.002044356,0.584412375,43,18
MARZO,2,21,0.0157421,0.036029188,0.001999485,0.609590125,44,18
MARZO,2,22,0.016747217,0.033089842,0.001973074,0.627012875,51,19
MARZO,2,23,0.026678633,0.030745813,0.001955694,0.631877875,46,21
MARZO,3,0,0.0293109,0.028689844,0.001933637,0.622619375,42,22
MARZO,3,1,0.028256717,0.026473644,0.001895499,0.61124375,44,20
MARZO,3,2,0.0275137,0.024514819,0.001845372,0.59520625,42,18
MARZO,3,3,0.019826383,0.022885183,0.00180521,0.578502,40,18
MARZO,3,4,0.0188588,0.022866806,0.00175321,0.510322625,40,18
MARZO,3,5,0.009912425,0.022138097,0.001740501,0.469951375,43,19
MARZO,3,6,0.007671067,0.021003578,0.001720742,0.438813,43,20
MARZO,3,7,0.00770683,0.018632103,0.002242358,0.485368,43,20
MARZO,3,8,0.009854695,0.016200077,0.002238653,0.61199675,57,20
MARZO,3,9,0.024588817,0.01574159,0.003127346,0.68796825,68,25
MARZO,3,10,0.029976867,0.016049486,0.004934645,0.727112375,73,30
MARZO,3,11,0.044149617,0.01908989,0.005136069,0.754175375,63,32
MARZO,3,12,0.056919667,0.023847498,0.005472483,0.778835625,52,32
MARZO,3,13,0.063077383,0.030493118,0.005774458,0.80420125,45,29
MARZO,3,14,0.058486383,0.036845032,0.005908441,0.815177375,41,27
MARZO,3,15,0.04812355,0.041897122,0.005923325,0.772632375,33,25
MARZO,3,16,0.0423029,0.045953148,0.005928186,0.655722,30,22
MARZO,3,17,0.041093,0.048016171,0.00592894,0.59634975,31,20
MARZO,3,18,0.0419838,0.049517038,0.00593977,0.598341,30,20
MARZO,3,19,0.039487817,0.048934313,0.005955117,0.58425425,33,20
