DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_CRUZ ROJA 2023,,,,,,,,,,,
NOTA,LOS DATOS SON PREVALIDADOS ,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³],NO2 Horario [ppm],,
ABRIL,1,0,0.016,0.002,0.000,NA,57,32,0.032,,
ABRIL,1,1,0.019,0.004,0.000,NA,59,30,0.021,,
ABRIL,1,2,0.010,0.006,0.000,NA,52,29,0.030,,
ABRIL,1,3,0.009,0.007,0.000,NA,49,29,0.028,,
ABRIL,1,4,0.012,0.008,0.000,NA,43,29,0.024,,
ABRIL,1,5,0.017,0.010,0.001,0.646,40,27,0.019,,
ABRIL,1,6,0.008,0.011,0.001,0.651,38,25,0.027,,
ABRIL,1,7,0.007,0.012,0.001,0.653,40,25,0.027,,
ABRIL,1,8,0.008,0.011,0.001,0.722,44,26,0.030,,
ABRIL,1,9,0.027,0.012,0.001,0.742,45,27,0.016,,
ABRIL,1,10,0.041,0.016,0.001,0.740,41,26,0.011,,
ABRIL,1,11,0.058,0.022,0.002,0.731,43,25,0.010,,
ABRIL,1,12,0.073,0.030,0.003,0.742,43,28,0.011,,
ABRIL,1,13,0.091,0.039,0.005,0.752,45,30,0.011,,
ABRIL,1,14,0.090,0.049,0.006,0.745,47,37,0.013,,
ABRIL,1,15,0.096,0.061,0.007,0.728,48,43,0.009,,
ABRIL,1,16,0.072,0.068,0.007,0.617,48,44,0.009,,
ABRIL,1,17,0.077,0.075,0.008,0.570,44,40,0.009,,
ABRIL,1,18,0.084,0.080,0.008,0.548,45,36,0.009,,
ABRIL,1,19,0.069,0.081,0.008,0.537,44,36,0.011,,
ABRIL,1,20,0.036,0.077,0.008,0.569,44,32,0.030,,
ABRIL,1,21,0.035,0.070,0.009,0.614,48,29,0.019,,
ABRIL,1,22,0.042,0.064,0.009,0.594,64,32,0.005,,
ABRIL,1,23,0.041,0.057,0.010,0.672,60,35,0.004,,
ABRIL,2,0,0.041,0.053,0.010,0.653,49,32,0.003,,
ABRIL,2,1,0.042,0.049,0.010,0.660,35,31,0.003,,
ABRIL,2,2,0.044,0.044,0.011,0.702,35,31,0.004,,
ABRIL,2,3,0.042,0.041,0.011,0.744,32,30,0.003,,
ABRIL,2,4,0.040,0.041,0.012,0.718,30,29,0.003,,
ABRIL,2,5,0.033,0.041,0.012,0.648,31,27,0.005,,
ABRIL,2,6,0.028,0.039,0.012,0.644,32,27,0.008,,
ABRIL,2,7,0.023,0.037,0.012,0.561,35,27,0.009,,
ABRIL,2,8,0.024,0.034,0.012,0.584,36,27,0.012,,
ABRIL,2,9,0.032,0.033,0.013,0.582,36,31,0.007,,
ABRIL,2,10,0.039,0.033,0.014,0.543,40,34,0.006,,
ABRIL,2,11,0.052,0.034,0.014,0.505,36,35,0.004,,
ABRIL,2,12,0.061,0.036,0.013,0.490,36,33,0.006,,
ABRIL,2,13,0.070,0.041,0.012,0.513,36,35,0.005,,
ABRIL,2,14,0.073,0.047,0.011,0.532,36,34,0.005,,
ABRIL,2,15,0.074,0.053,0.010,0.542,36,34,0.004,,
ABRIL,2,16,0.069,0.059,0.010,0.543,35,33,0.006,,
ABRIL,2,17,0.071,0.063,0.010,0.539,35,33,0.003,,
ABRIL,2,18,0.065,0.067,0.010,0.542,34,30,0.006,,
ABRIL,2,19,0.058,0.068,0.010,0.552,33,29,0.012,,
ABRIL,2,20,0.027,0.063,0.010,0.647,35,26,0.035,,
ABRIL,2,21,0.010,0.056,0.009,0.856,51,31,0.047,,
ABRIL,2,22,0.008,0.048,0.009,0.944,57,35,0.041,,
ABRIL,2,23,0.016,0.040,0.008,1.014,58,35,0.029,,
ABRIL,3,0,0.013,0.034,0.008,1.072,51,32,0.027,,
ABRIL,3,1,0.020,0.027,0.008,1.091,50,27,0.023,,
ABRIL,3,2,0.019,0.021,0.008,1.103,51,27,0.020,,
ABRIL,3,3,0.033,0.018,0.007,1.077,45,31,0.010,,
ABRIL,3,4,0.015,0.017,0.007,0.959,41,31,0.019,,
ABRIL,3,5,0.008,0.016,0.007,0.736,42,30,0.025,,
ABRIL,3,6,0.009,0.016,0.006,0.635,45,33,0.025,,
ABRIL,3,7,0.008,0.015,0.006,0.605,49,34,0.023,,
ABRIL,3,8,0.010,0.015,0.006,0.589,54,36,0.022,,
ABRIL,3,9,0.023,0.015,0.005,0.615,51,38,0.020,,
ABRIL,3,10,0.034,0.017,0.004,0.636,51,38,0.014,,
ABRIL,3,11,0.050,0.020,0.004,0.664,46,42,0.009,,
ABRIL,3,12,0.055,0.025,0.003,0.684,36,57,0.009,,
ABRIL,3,13,0.058,0.031,0.003,0.691,33,49,0.009,,
ABRIL,3,14,0.067,0.038,0.003,0.692,30,36,0.006,,
ABRIL,3,15,0.069,0.046,0.002,0.647,29,32,0.007,,
ABRIL,3,16,0.070,0.053,0.002,0.592,29,32,0.006,,
ABRIL,3,17,0.071,0.059,0.002,0.543,31,30,0.005,,
ABRIL,3,18,0.068,0.064,0.002,0.511,32,31,0.010,,
ABRIL,3,19,0.064,0.065,0.002,0.508,35,29,0.012,,
ABRIL,3,20,0.035,0.063,0.002,0.541,45,29,0.021,,
ABRIL,3,21,0.042,0.061,0.002,0.557,48,28,0.014,,
ABRIL,3,22,0.042,0.058,0.002,0.569,46,28,0.011,,
ABRIL,3,23,0.035,0.053,0.002,0.571,44,31,0.010,,
ABRIL,4,0,0.036,0.049,0.002,0.571,41,28,0.008,,
ABRIL,4,1,0.042,0.046,0.002,0.568,43,27,0.005,,
ABRIL,4,2,0.040,0.042,0.002,0.552,41,23,0.004,,
ABRIL,4,3,0.036,0.038,0.002,0.526,39,25,0.003,,
ABRIL,4,4,0.032,0.038,0.002,0.466,38,27,0.004,,
ABRIL,4,5,0.027,0.036,0.002,0.431,38,25,0.005,,
ABRIL,4,6,0.024,0.034,0.002,0.405,37,23,0.008,,
ABRIL,4,7,0.016,0.032,0.002,0.405,34,22,0.015,,
ABRIL,4,8,0.012,0.029,0.001,0.437,37,22,0.017,,
ABRIL,4,9,0.017,0.026,0.001,0.473,37,23,0.013,,
ABRIL,4,10,0.029,0.024,0.001,0.503,35,22,0.009,,
ABRIL,4,11,0.040,0.025,0.001,0.534,34,23,0.009,,
ABRIL,4,12,0.049,0.027,0.001,0.564,29,25,0.006,,
ABRIL,4,13,0.055,0.030,0.001,0.584,29,25,0.008,,
ABRIL,4,14,0.056,0.034,0.002,0.606,29,23,0.009,,
ABRIL,4,15,0.064,0.040,0.002,0.597,31,24,0.006,,
ABRIL,4,16,0.057,0.046,0.002,0.586,35,26,0.011,,
ABRIL,4,17,0.055,0.051,0.002,0.570,35,25,0.011,,
ABRIL,4,18,0.053,0.054,0.002,0.570,36,28,0.013,,
ABRIL,4,19,0.048,0.055,0.002,0.600,38,28,0.017,,
ABRIL,4,20,0.035,0.053,0.002,0.639,46,28,0.022,,
ABRIL,4,21,0.027,0.049,0.002,0.679,49,28,0.023,,
ABRIL,4,22,0.032,0.046,0.002,0.676,50,29,0.014,,
ABRIL,4,23,0.034,0.043,0.002,0.679,47,29,0.012,,
ABRIL,5,0,0.034,0.040,0.002,0.654,42,28,0.010,,
ABRIL,5,1,0.036,0.037,0.002,0.636,38,28,0.009,,
ABRIL,5,2,0.033,0.035,0.002,0.606,39,28,0.011,,
ABRIL,5,3,0.036,0.033,0.002,0.540,38,25,0.005,,
ABRIL,5,4,0.015,0.031,0.002,0.469,34,25,0.020,,
ABRIL,5,5,0.016,0.029,0.002,0.412,36,25,0.019,,
ABRIL,5,6,0.016,0.027,0.002,0.407,35,25,0.018,,
ABRIL,5,7,0.011,0.025,0.002,0.442,42,25,0.024,,
ABRIL,5,8,0.012,0.022,0.002,0.495,48,26,0.023,,
ABRIL,5,9,0.021,0.020,0.002,0.556,49,29,0.022,,
ABRIL,5,10,0.039,0.021,0.002,0.594,44,30,0.011,,
ABRIL,5,11,0.049,0.022,0.002,0.621,37,29,0.009,,
ABRIL,5,12,0.056,0.027,0.002,0.654,37,28,0.008,,
ABRIL,5,13,0.063,0.033,0.002,0.668,33,28,0.005,,
ABRIL,5,14,0.058,0.038,0.002,0.679,32,26,0.007,,
ABRIL,5,15,0.059,0.045,0.002,0.654,32,26,0.010,,
ABRIL,5,16,0.069,0.052,0.002,0.609,34,25,0.006,,
ABRIL,5,17,0.063,0.057,0.002,0.562,36,25,0.006,,
ABRIL,5,18,0.059,0.059,0.002,0.547,33,26,0.009,,
ABRIL,5,19,0.049,0.059,0.002,0.575,33,26,0.016,,
ABRIL,5,20,0.022,0.055,0.002,0.659,37,27,0.032,,
ABRIL,5,21,0.022,0.050,0.002,0.738,49,29,0.025,,
ABRIL,5,22,0.029,0.046,0.002,0.760,51,30,0.018,,
