DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_CRUZ ROJA 2023,,,,,,,,,,,
NOTA,LOS DATOS SON PREVALIDADOS ,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³],NO2 Horario [ppm],,
JUNIO,1,0,0.037,0.049,0.033,0.575,40.4683,26.0341,0.007,,
JUNIO,1,1,0.031,0.044,0.030,0.568,37.5995,25.9348,0.009,,
JUNIO,1,2,0.028,0.039,0.028,0.563,34.4047,24.3032,0.011,,
JUNIO,1,3,0.019,0.033,0.025,0.547,33.3639,23.926,0.020,,
JUNIO,1,4,0.017,0.030,0.022,0.504,37.6588,24.193,0.020,,
JUNIO,1,5,0.028,0.029,0.019,0.446,36.2188,26.3244,0.010,,
JUNIO,1,6,0.009,0.026,0.018,0.452,34.9043,27.0184,0.023,,
JUNIO,1,7,0.016,0.023,0.014,0.483,34.2997,27.4206,0.015,,
JUNIO,1,8,0.015,0.020,0.010,0.557,35.7238,27.8605,0.018,,
JUNIO,1,9,0.028,0.020,0.007,0.585,32.3254,28.1903,0.011,,
JUNIO,1,10,0.036,0.021,0.005,0.625,34.4169,27.8046,0.010,,
JUNIO,1,11,NA,NA,NA,0.651,31.171,27.4721,NA,,
JUNIO,1,12,NA,NA,NA,0.678,29.7686,16.3598,NA,,
JUNIO,1,13,NA,NA,NA,NA,29.7696,10.3752,NA,,
JUNIO,1,14,NA,NA,NA,NA,NA,NA,NA,,
JUNIO,1,15,NA,NA,NA,NA,NA,NA,NA,,
JUNIO,1,16,NA,NA,NA,NA,NA,NA,NA,,
JUNIO,1,17,0.062,NA,NA,NA,NA,NA,0.010,,
JUNIO,1,18,0.059,NA,NA,NA,29.257,25.1116,0.011,,
JUNIO,1,19,0.050,NA,NA,NA,30.9544,24.6929,0.016,,
JUNIO,1,20,0.036,NA,NA,NA,32.8457,22.7033,0.023,,
JUNIO,1,21,0.033,NA,NA,NA,40.5482,19.7723,0.017,,
JUNIO,1,22,0.031,NA,NA,0.708,41.6541,22.7185,0.013,,
JUNIO,1,23,0.029,NA,NA,0.680,44.2979,22.4286,0.012,,
JUNIO,2,0,0.023,0.040,NA,0.661,42.111,23.0137,0.014,,
JUNIO,2,1,0.010,0.034,NA,0.657,37.044,25.0668,0.023,,
JUNIO,2,2,0.022,0.029,NA,0.628,34.9401,25.643,0.015,,
JUNIO,2,3,0.021,0.026,NA,0.581,33.5346,26.7034,0.014,,
JUNIO,2,4,0.027,0.025,NA,0.505,27.124,24.6779,0.009,,
JUNIO,2,5,0.017,0.023,NA,0.463,28.4183,21.5924,0.015,,
JUNIO,2,6,0.020,0.021,NA,0.428,28.0181,21.1061,0.013,,
JUNIO,2,7,0.010,0.019,NA,0.433,28.7844,20.8168,0.021,,
JUNIO,2,8,0.018,0.018,NA,0.467,31.929,21.0454,0.019,,
JUNIO,2,9,0.027,0.020,NA,0.486,33.4224,26.9667,0.016,,
JUNIO,2,10,0.040,0.023,NA,0.509,34.6925,25.413,0.010,,
JUNIO,2,11,0.050,0.026,NA,0.518,31.8345,21.7616,0.007,,
JUNIO,2,12,0.061,0.030,NA,0.526,28.8694,24.0662,0.006,,
JUNIO,2,13,0.062,0.036,NA,0.530,25.8347,23.9153,0.007,,
JUNIO,2,14,0.058,0.041,NA,0.536,23.3468,23.4705,0.006,,
JUNIO,2,15,0.061,0.047,NA,0.517,22.3478,23.4782,0.008,,
JUNIO,2,16,0.062,0.053,0.001,0.456,21.0231,25.2908,0.006,,
JUNIO,2,17,0.062,0.057,0.001,0.413,20.9355,23.5024,0.009,,
JUNIO,2,18,0.060,0.059,0.001,0.392,22.3441,22.1376,0.010,,
JUNIO,2,19,0.042,0.058,0.001,0.437,25.5955,20.7368,0.024,,
JUNIO,2,20,0.029,0.054,0.001,0.515,28.8259,16.3802,0.031,,
JUNIO,2,21,0.020,0.049,0.001,0.601,35.761,18.1922,0.032,,
JUNIO,2,22,0.042,0.047,0.001,0.609,46.8153,22.0383,0.010,,
JUNIO,2,23,0.042,0.045,0.001,0.608,44.7702,25.3393,0.007,,
JUNIO,3,0,0.027,0.040,0.001,0.634,43.5722,28.2264,0.017,,
JUNIO,3,1,0.020,0.035,0.001,0.672,47.9266,33.0278,0.020,,
JUNIO,3,2,0.025,0.031,0.001,0.684,49.1702,34.9415,0.014,,
JUNIO,3,3,0.031,0.030,0.001,0.636,43.6534,32.1622,0.011,,
JUNIO,3,4,0.034,0.030,0.001,0.555,36.0139,25.7453,0.006,,
JUNIO,3,5,0.027,0.031,0.001,0.481,31.167,19.2389,0.010,,
JUNIO,3,6,0.021,0.028,0.002,0.472,29.9085,23.5748,0.014,,
JUNIO,3,7,0.018,0.025,0.002,0.505,31.4724,21.5749,0.020,,
JUNIO,3,8,0.017,0.024,0.002,0.547,35.0204,22.5172,0.020,,
JUNIO,3,9,0.033,0.026,0.002,0.543,34.8851,24.1999,0.009,,
JUNIO,3,10,0.045,0.028,0.002,0.553,37.7078,22.3719,0.008,,
JUNIO,3,11,0.048,0.030,0.002,0.581,36.7407,17.5722,0.011,,
JUNIO,3,12,0.054,0.033,0.002,0.605,30.7994,17.2111,0.007,,
JUNIO,3,13,0.055,0.036,0.002,0.621,27.5025,17.4025,0.009,,
JUNIO,3,14,0.055,0.041,0.002,0.634,29.1204,15.9179,0.006,,
JUNIO,3,15,0.049,0.044,0.002,0.626,27.0082,17.7378,0.009,,
JUNIO,3,16,0.047,0.048,0.002,0.584,25.1704,24.1695,0.008,,
JUNIO,3,17,0.047,0.050,0.002,0.566,26.5994,23.0732,0.008,,
JUNIO,3,18,0.051,0.051,0.002,0.549,27.3487,22.8838,0.007,,
JUNIO,3,19,0.046,0.051,0.002,0.542,29.0049,20.8404,0.013,,
JUNIO,3,20,0.046,0.050,0.002,0.551,33.4338,22.1217,0.013,,
JUNIO,3,21,0.044,0.048,0.002,0.552,38.3448,21.7952,0.015,,
JUNIO,3,22,0.036,0.046,0.002,0.554,38.7034,21.8666,0.012,,
JUNIO,3,23,0.024,0.043,0.002,0.536,38.1264,21.7904,0.012,,
JUNIO,4,0,0.020,0.039,0.001,0.543,36.8248,19.4201,0.015,,
JUNIO,4,1,0.020,0.036,0.001,0.546,35.8601,15.6746,0.015,,
JUNIO,4,2,0.016,0.031,0.001,0.560,33.2654,14.3082,0.015,,
JUNIO,4,3,0.014,0.027,0.001,0.563,32.3191,15.9366,0.016,,
JUNIO,4,4,0.016,0.024,0.001,0.550,31.4301,17.8175,0.013,,
JUNIO,4,5,0.016,0.020,0.001,0.532,26.9642,17.5754,0.013,,
JUNIO,4,6,0.010,0.017,0.001,0.533,27.2114,14.6548,0.016,,
JUNIO,4,7,0.011,0.015,0.001,0.546,29.9536,16.3465,0.015,,
JUNIO,4,8,0.016,0.015,0.001,0.539,27.5835,23.1049,0.011,,
JUNIO,4,9,0.027,0.016,0.001,0.546,29.1778,23.2651,0.011,,
JUNIO,4,10,0.039,0.019,0.001,0.545,29.7034,22.9838,0.008,,
JUNIO,4,11,0.046,0.023,0.001,0.531,25.6306,21.7487,0.006,,
JUNIO,4,12,0.050,0.027,0.001,0.525,22.7966,18.4522,0.006,,
JUNIO,4,13,0.047,0.031,0.001,0.516,18.6825,20.6874,0.005,,
JUNIO,4,14,0.040,0.034,0.001,0.499,23.402,20.1122,0.005,,
JUNIO,4,15,0.040,0.038,0.001,0.480,26.2582,18.7123,0.006,,
JUNIO,4,16,0.043,0.042,0.001,0.462,29.6398,21.5491,0.004,,
JUNIO,4,17,0.045,0.044,0.001,0.429,28.2016,20.763,0.003,,
JUNIO,4,18,0.043,0.044,0.001,0.400,27.1138,21.6946,0.004,,
JUNIO,4,19,0.041,0.044,0.001,0.384,31.1564,20.0043,0.007,,
JUNIO,4,20,0.028,0.041,0.001,0.394,41.1805,22.1476,0.013,,
JUNIO,4,21,0.028,0.039,0.001,0.414,40.0499,21.6461,0.011,,
JUNIO,4,22,0.025,0.037,0.001,0.421,39.3742,22.412,0.012,,
JUNIO,4,23,0.023,0.035,0.001,0.431,35.5714,20.3321,0.011,,
JUNIO,5,0,0.020,0.032,0.001,0.433,34.897,20.488,0.012,,
JUNIO,5,1,0.017,0.028,NA,0.434,30.2829,17.2872,0.012,,
JUNIO,5,2,0.017,0.025,NA,0.437,30.9227,15.7202,0.012,,
JUNIO,5,3,0.020,0.022,NA,0.431,30.4851,16.2846,0.007,,
JUNIO,5,4,0.021,0.021,NA,0.401,27.2522,15.8509,0.007,,
JUNIO,5,5,0.020,0.020,NA,0.370,21.5921,15.7124,0.008,,
JUNIO,5,6,0.019,0.020,NA,0.362,22.0028,17.5861,0.010,,
JUNIO,5,7,0.016,0.019,NA,0.367,25.5279,20.2907,0.014,,
JUNIO,5,8,0.019,0.019,NA,0.384,30.1417,24.238,0.011,,
JUNIO,5,9,0.027,0.020,NA,0.403,28.652,30.3768,0.007,,
JUNIO,5,10,0.033,0.022,NA,0.426,32.5876,30.6947,0.009,,
