DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_CRUZ ROJA 2023,,,,,,,,,,,
NOTA,LOS DATOS SON PREVALIDADOS ,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³],NO2 Horario [ppm],,
JUNIO,5,11,0.044,0.025,NA,0.464,24.4423,29.3808,0.006,,
JUNIO,5,12,0.048,0.028,NA,0.480,19.6824,22.4827,0.004,,
JUNIO,5,13,0.054,0.033,NA,0.501,15.452,19.6243,0.006,,
JUNIO,5,14,0.061,0.038,NA,0.520,15.6838,17.5988,0.006,,
JUNIO,5,15,0.065,0.044,NA,0.520,16.3633,19.9986,0.006,,
JUNIO,5,16,0.064,0.050,NA,0.517,16.5198,14.0094,0.007,,
JUNIO,5,17,0.066,0.054,NA,0.519,18.7317,14.0091,0.008,,
JUNIO,5,18,0.058,0.058,NA,0.533,22.5427,24.3418,0.013,,
JUNIO,5,19,0.051,0.058,NA,0.534,25.1446,23.2125,0.013,,
JUNIO,5,20,0.046,0.058,NA,0.512,54.4824,20.1348,0.003,,
JUNIO,5,21,0.042,0.057,NA,0.492,40.5206,19.2531,0.003,,
JUNIO,5,22,0.037,0.054,NA,0.462,31.46,20.9462,0.007,,
JUNIO,5,23,0.040,0.050,NA,0.435,29.6869,22.0109,0.008,,
JUNIO,6,0,0.045,0.048,NA,0.432,23.3863,21.9324,0.005,,
JUNIO,6,1,0.035,0.044,NA,0.568,26.5835,16.3964,0.005,,
JUNIO,6,2,0.031,0.041,NA,0.556,21.3566,13.7687,0.003,,
JUNIO,6,3,0.031,0.038,NA,0.535,16.9318,12.578,0.001,,
JUNIO,6,4,0.031,0.036,NA,0.542,13.6642,12.4677,0.001,,
JUNIO,6,5,0.030,0.035,NA,0.674,11.9196,10.9531,0.003,,
JUNIO,6,6,0.029,0.034,NA,0.707,11.4573,10.9106,0.003,,
JUNIO,6,7,0.024,0.032,NA,0.711,18.1471,14.4419,0.007,,
JUNIO,6,8,0.021,0.029,NA,0.711,26.0122,21.6188,0.009,,
JUNIO,6,9,0.030,0.028,NA,0.577,32.425,33.4792,0.008,,
JUNIO,6,10,0.043,0.030,NA,0.566,35.0702,29.9877,0.003,,
JUNIO,6,11,0.050,0.032,NA,0.570,35.797,31.873,0.005,,
JUNIO,6,12,0.055,0.035,NA,0.590,37.3978,34.1829,0.006,,
JUNIO,6,13,0.065,0.040,NA,0.473,37.9471,38.2893,0.004,,
JUNIO,6,14,0.073,0.045,NA,0.493,55.6906,36.9109,0.008,,
JUNIO,6,15,0.084,0.053,NA,0.565,48.4242,35.7243,0.008,,
JUNIO,6,16,0.087,0.061,0.040,0.595,45.975,37.5839,0.007,,
JUNIO,6,17,0.081,0.067,0.040,0.610,41.651,36.2912,0.007,,
JUNIO,6,18,0.073,0.071,0.040,0.606,36.5816,36.6484,0.006,,
JUNIO,6,19,0.067,0.073,0.041,0.605,35.0478,27.1844,0.010,,
JUNIO,6,20,0.049,0.072,0.043,0.597,34.5322,25.6171,0.004,,
JUNIO,6,21,0.043,0.069,0.041,0.589,29.112,18.9798,0.006,,
JUNIO,6,22,0.040,0.065,0.038,0.546,28.157,18.8323,0.009,,
JUNIO,6,23,0.035,0.059,0.035,0.474,30.6986,19.6033,0.009,,
JUNIO,7,0,0.034,0.053,0.030,0.436,37.0829,27.6637,0.009,,
JUNIO,7,1,0.035,0.047,0.034,0.421,32.8171,25.1237,0.007,,
JUNIO,7,2,0.029,0.041,0.036,0.417,34.0876,21.9025,0.008,,
JUNIO,7,3,0.027,0.036,0.037,0.402,31.1426,28.8238,0.006,,
JUNIO,7,4,0.025,0.033,0.037,0.397,29.8509,28.4308,0.007,,
JUNIO,7,5,0.026,0.031,0.036,0.401,29.2375,26.5023,0.010,,
JUNIO,7,6,0.035,0.031,0.034,0.410,27.2339,25.6605,0.008,,
JUNIO,7,7,0.027,0.030,0.032,0.447,28.1063,24.1387,0.012,,
JUNIO,7,8,0.025,0.029,0.029,0.507,27.7746,24.2436,0.016,,
JUNIO,7,9,0.034,0.029,0.028,0.535,30.1692,25.6142,0.010,,
JUNIO,7,10,0.040,0.030,0.028,0.574,31.5468,24.9963,0.010,,
JUNIO,7,11,0.045,0.032,0.027,0.614,31.5138,27.5343,0.009,,
JUNIO,7,12,0.050,0.035,0.027,0.645,31.3569,27.8991,0.007,,
JUNIO,7,13,0.059,0.039,0.027,0.672,31.2319,27.0027,0.006,,
JUNIO,7,14,0.064,0.043,0.026,0.696,30.3912,28.6437,0.006,,
JUNIO,7,15,0.065,0.048,0.025,0.693,29.5466,27.889,0.008,,
JUNIO,7,16,0.065,0.053,0.024,0.662,28.4876,27.219,0.007,,
JUNIO,7,17,0.063,0.057,0.024,0.651,28.1368,27.0305,0.008,,
JUNIO,7,18,0.058,0.059,0.024,0.653,29.9039,26.4018,0.010,,
JUNIO,7,19,0.051,0.059,0.023,0.656,30.855,27.1016,0.013,,
JUNIO,7,20,0.041,0.058,0.022,0.678,38.5952,25.4609,0.016,,
JUNIO,7,21,0.038,0.056,0.021,0.683,36.6479,24.5549,0.012,,
JUNIO,7,22,0.036,0.052,0.021,0.676,33.7532,24.4778,0.011,,
JUNIO,7,23,0.032,0.048,0.020,0.667,35.2485,22.2245,0.011,,
JUNIO,8,0,0.034,0.044,0.017,0.641,39.5024,25.3467,0.009,,
JUNIO,8,1,0.032,0.040,0.015,0.604,40.9884,29.945,0.010,,
JUNIO,8,2,0.031,0.037,0.014,0.555,37.8647,31.5365,0.010,,
JUNIO,8,3,0.028,0.034,0.013,0.505,33.4629,31.8302,0.010,,
JUNIO,8,4,0.025,0.032,0.013,0.446,27.0808,28.1156,0.010,,
JUNIO,8,5,0.019,0.030,0.013,0.410,26.4481,24.8768,0.014,,
JUNIO,8,6,0.024,0.028,0.013,0.386,28.3737,22.864,0.011,,
JUNIO,8,7,0.018,0.026,0.013,0.399,29.6384,23.2995,0.013,,
JUNIO,8,8,0.020,0.025,0.013,0.453,31.771,24.6467,0.013,,
JUNIO,8,9,0.029,0.024,0.013,0.497,34.1148,26.7379,0.009,,
JUNIO,8,10,0.037,0.025,0.013,0.537,32.808,27.4415,0.008,,
JUNIO,8,11,0.043,0.027,0.013,0.573,28.6682,26.4867,0.007,,
JUNIO,8,12,0.047,0.030,0.012,0.606,28.0544,22.5263,0.009,,
JUNIO,8,13,0.051,0.034,0.012,0.623,26.5152,21.9804,0.007,,
JUNIO,8,14,0.048,0.037,0.012,0.634,22.3862,22.1504,0.007,,
JUNIO,8,15,0.043,0.040,0.012,0.619,19.1252,21.7808,0.008,,
JUNIO,8,16,0.044,0.043,0.012,0.584,19.7078,21.2547,0.008,,
JUNIO,8,17,0.045,0.045,0.012,0.564,20.1545,19.5377,0.009,,
JUNIO,8,18,0.046,0.046,0.012,0.554,26.8088,19.0885,0.010,,
JUNIO,8,19,0.046,0.046,0.012,0.554,52.5555,18.5137,0.014,,
JUNIO,8,20,0.040,0.046,0.012,0.578,46.4651,21.3901,0.019,,
JUNIO,8,21,0.042,0.044,0.012,0.598,44.7059,22.3585,0.016,,
JUNIO,8,22,0.037,0.043,0.012,0.624,43.4466,22.6894,0.017,,
JUNIO,8,23,0.030,0.041,0.011,0.640,43.8662,21.18,0.020,,
JUNIO,9,0,0.023,0.039,0.008,0.634,46.4179,22.7103,0.024,,
JUNIO,9,1,0.028,0.036,0.005,0.625,45.9953,23.6588,0.014,,
JUNIO,9,2,0.032,0.035,0.003,0.599,37.7899,21.4118,0.007,,
JUNIO,9,3,0.020,0.032,0.002,0.571,35.1265,20.8239,0.015,,
JUNIO,9,4,0.012,0.028,0.002,0.528,37.5176,21.1905,0.023,,
JUNIO,9,5,0.021,0.025,0.002,0.495,39.9207,22.7006,0.012,,
JUNIO,9,6,0.021,0.023,0.001,0.463,55.581,28.0464,0.012,,
JUNIO,9,7,0.007,0.021,0.001,0.483,50.862,26.1006,0.022,,
JUNIO,9,8,0.012,0.019,0.001,0.555,53.8763,29.7224,0.029,,
JUNIO,9,9,0.028,0.019,0.001,0.605,55.4251,34.8886,0.022,,
JUNIO,9,10,0.043,0.021,0.001,0.638,52.6069,33.2065,0.011,,
JUNIO,9,11,0.043,0.023,0.001,0.662,39.103,30.1352,0.008,,
JUNIO,9,12,0.052,0.028,0.001,0.673,34.145,24.2995,0.008,,
JUNIO,9,13,0.057,0.033,0.001,0.680,27.6584,23.46,0.005,,
JUNIO,9,14,0.061,0.038,0.001,0.680,23.3536,18.0518,0.006,,
JUNIO,9,15,0.055,0.044,0.001,0.649,22.0441,18.3896,0.009,,
JUNIO,9,16,0.059,0.050,0.001,0.579,23.0025,20.9785,0.009,,
JUNIO,9,17,0.063,0.054,0.001,0.533,23.7656,25.4944,0.009,,
JUNIO,9,18,0.057,0.056,0.001,0.531,25.3824,24.4001,0.013,,
JUNIO,9,19,0.053,0.057,0.001,0.538,29.373,18.4886,0.015,,
JUNIO,9,20,0.037,0.055,0.001,0.589,32.3221,19.5595,0.025,,
JUNIO,9,21,0.017,0.050,0.001,0.725,41.3595,19.9771,0.041,,
JUNIO,9,22,0.010,0.044,0.001,0.830,56.163,20.1859,0.041,,
JUNIO,9,23,0.015,0.039,0.003,0.873,61.7934,26.0725,0.033,,
JUNIO,10,0,0.024,0.035,0.003,0.875,60.2957,28.2877,0.017,,
JUNIO,10,1,0.024,0.030,0.005,0.874,53.0012,27.5401,0.013,,
JUNIO,10,2,0.017,0.025,0.005,0.859,46.2285,24.7099,0.016,,
JUNIO,10,3,0.015,0.020,0.006,0.839,43.1555,24.1579,0.018,,
JUNIO,10,4,0.013,0.017,0.006,0.777,40.6046,25.3466,0.016,,
JUNIO,10,5,0.016,0.017,0.006,0.640,40.2061,25.0857,0.017,,
JUNIO,10,6,0.016,0.018,0.006,0.538,40.7591,28.9073,0.016,,
JUNIO,10,7,0.018,0.018,0.006,0.510,38.2336,26.627,0.017,,
JUNIO,10,8,0.020,0.017,0.006,0.545,40.7016,25.296,0.019,,
JUNIO,10,9,0.037,0.019,0.006,0.570,42.0689,28.0437,0.008,,
JUNIO,10,10,0.042,0.022,0.006,0.594,38.9099,25.2042,0.010,,
JUNIO,10,11,0.050,0.026,0.006,0.612,37.9169,26.1572,0.007,,
JUNIO,10,12,0.056,0.032,0.006,0.637,34.0048,24.4908,0.007,,
JUNIO,10,13,0.062,0.038,0.006,0.651,32.3261,24.5269,0.006,,
JUNIO,10,14,0.062,0.043,0.006,0.663,29.4944,22.3022,0.007,,
JUNIO,10,15,0.061,0.049,0.006,0.653,27.4654,24.0469,0.008,,
JUNIO,10,16,0.063,0.054,0.006,0.617,27.3235,23.2649,0.007,,
JUNIO,10,17,0.064,0.057,0.006,0.598,27.2793,23.5889,0.007,,
JUNIO,10,18,0.065,0.060,0.006,0.572,32.7083,25.8156,0.006,,
JUNIO,10,19,0.059,0.061,0.006,0.571,99.5684,25.5056,0.011,,
JUNIO,10,20,0.045,0.060,0.006,0.581,70.1576,23.9143,0.018,,
JUNIO,10,21,0.044,0.058,0.006,0.601,57.9131,25.3096,0.017,,
JUNIO,10,22,0.047,0.056,0.005,0.632,51.2279,24.0567,0.019,,
JUNIO,10,23,0.039,0.053,0.004,0.655,49.5215,24.8778,0.014,,
JUNIO,11,0,0.031,0.049,0.003,0.667,45.2687,24.0228,0.016,,
JUNIO,11,1,0.029,0.045,0.002,0.686,42.2667,22.9523,0.014,,
JUNIO,11,2,0.023,0.040,0.001,0.688,40.8694,23.9583,0.014,,
JUNIO,11,3,0.019,0.035,0.001,0.678,41.1065,23.9053,0.016,,
JUNIO,11,4,0.031,0.033,0.001,0.640,38.7072,24.74,0.008,,
JUNIO,11,5,0.016,0.029,0.001,0.611,36.6235,21.4382,0.018,,
JUNIO,11,6,0.014,0.025,0.001,0.582,38.5832,23.9009,0.018,,
JUNIO,11,7,0.012,0.022,0.001,0.555,38.8524,24.2713,0.019,,
JUNIO,11,8,0.027,0.021,0.001,0.565,37.9255,23.1268,0.013,,
JUNIO,11,9,0.037,0.022,0.001,0.553,40.0011,29.2232,0.009,,
JUNIO,11,10,0.046,0.025,0.001,0.578,41.0123,30.9704,0.009,,
JUNIO,11,11,0.052,0.029,0.001,0.588,46.8872,29.382,0.007,,
JUNIO,11,12,0.055,0.032,0.001,0.595,39.8418,26.4915,0.006,,
JUNIO,11,13,0.057,0.038,0.001,0.602,30.5912,20.7803,0.009,,
JUNIO,11,14,0.064,0.044,0.001,0.595,27.9367,21.3313,0.005,,
JUNIO,11,15,0.065,0.051,0.001,0.581,25.4307,23.9362,0.007,,
JUNIO,11,16,0.061,0.055,0.001,0.549,23.8543,22.6673,0.006,,
JUNIO,11,17,0.065,0.058,0.001,0.531,23.0226,19.7943,0.004,,
JUNIO,11,18,0.064,0.061,0.001,0.498,38.0015,18.738,0.006,,
JUNIO,11,19,0.057,0.061,0.001,0.496,206.6424,21.3779,0.011,,
JUNIO,11,20,0.042,0.059,0.001,0.541,206.6842,19.8902,0.023,,
JUNIO,11,21,0.029,0.056,0.001,0.598,230.1363,22.1929,0.025,,
JUNIO,11,22,0.040,0.053,0.001,0.588,152.9262,23.4072,0.007,,
JUNIO,11,23,0.040,0.050,0.001,0.582,97.7147,27.0241,0.005,,
JUNIO,12,0,0.038,0.047,0.001,0.581,66.4679,27.1267,0.006,,
JUNIO,12,1,0.026,0.042,0.002,0.581,48.7155,23.2115,0.011,,
JUNIO,12,2,0.033,0.038,0.002,0.576,42.7685,23.1375,0.006,,
JUNIO,12,3,0.031,0.035,0.002,0.548,37.5314,23.8612,0.007,,
JUNIO,12,4,0.026,0.033,0.001,0.481,35.0247,22.6521,0.008,,
JUNIO,12,5,0.024,0.032,0.001,0.400,32.9488,23.0633,0.009,,
JUNIO,12,6,0.027,0.031,0.001,0.391,31.2303,22.9757,0.006,,
JUNIO,12,7,0.019,0.028,0.001,0.413,31.9222,21.2638,0.012,,
JUNIO,12,8,0.017,0.025,0.001,0.459,33.556,23.6469,0.014,,
JUNIO,12,9,0.028,0.026,0.001,0.485,31.4627,22.5669,0.009,,
JUNIO,12,10,0.039,0.026,0.001,0.512,31.5063,23.5355,0.008,,
JUNIO,12,11,0.044,0.028,0.001,0.541,32.8081,24.3873,0.009,,
JUNIO,12,12,0.052,0.031,0.001,0.567,33.0212,26.6878,0.006,,
JUNIO,12,13,0.058,0.036,0.001,0.582,33.3556,40.326,0.005,,
JUNIO,12,14,0.070,0.041,0.001,0.601,33.0207,40.3302,0.006,,
JUNIO,12,15,0.058,0.046,0.001,0.578,30.0709,29.4619,0.006,,
JUNIO,12,16,0.065,0.052,0.002,0.538,29.6274,27.6279,0.006,,
JUNIO,12,17,0.071,0.057,0.002,0.512,32.0369,24.4184,0.004,,
JUNIO,12,18,0.067,0.061,0.002,0.491,37.1626,30.7784,0.007,,
JUNIO,12,19,0.062,0.063,0.003,0.467,35.6149,28.1054,0.007,,
JUNIO,12,20,0.035,0.061,0.003,0.453,39.2359,26.8087,0.006,,
JUNIO,12,21,0.030,0.057,0.004,0.608,37.1887,20.6385,0.007,,
JUNIO,12,22,0.029,0.052,0.009,0.671,32.937,17.5704,0.008,,
JUNIO,12,23,0.028,0.048,0.014,0.756,29.8214,32.0698,0.007,,
JUNIO,13,0,0.025,0.043,0.016,0.916,23.9732,27.1974,0.007,,
JUNIO,13,1,0.020,0.037,0.016,0.904,17.5781,18.7945,0.010,,
JUNIO,13,2,0.019,0.031,0.016,0.896,22.0349,14.3427,0.010,,
JUNIO,13,3,0.023,0.026,0.017,0.890,27.6292,20.166,0.010,,
JUNIO,13,4,0.011,0.023,0.018,0.883,30.3713,21.3927,0.019,,
JUNIO,13,5,0.011,0.021,0.019,0.715,29.3872,20.1829,0.017,,
JUNIO,13,6,0.015,0.019,0.022,0.639,28.7359,18.1175,0.016,,
JUNIO,13,7,0.009,0.017,0.022,0.577,28.7282,18.5502,0.021,,
JUNIO,13,8,0.022,0.016,0.022,0.448,26.962,19.103,0.019,,
JUNIO,13,9,0.033,0.018,0.026,0.465,42.3389,25.1674,0.015,,
JUNIO,13,10,0.047,0.022,0.031,0.502,48.4778,33.9091,0.010,,
JUNIO,13,11,0.048,0.025,0.034,0.519,42.1186,41.3469,0.012,,
JUNIO,13,12,0.053,0.030,0.036,0.521,33.7307,37.3046,0.008,,
JUNIO,13,13,0.054,0.035,0.039,0.524,31.2795,29.4864,0.012,,
JUNIO,13,14,0.060,0.041,0.040,0.517,32.3766,32.4974,0.008,,
JUNIO,13,15,0.062,0.047,0.041,0.483,27.2589,28.4058,0.005,,
JUNIO,13,16,0.063,0.053,0.041,0.436,27.4043,25.9826,0.006,,
JUNIO,13,17,0.054,0.055,0.042,0.414,24.7663,23.6754,0.004,,
JUNIO,13,18,0.047,0.055,0.042,0.363,27.1933,22.2704,0.002,,
JUNIO,13,19,0.044,0.055,0.041,0.335,28.4546,18.1374,0.003,,
JUNIO,13,20,0.041,0.053,0.041,0.320,27.9497,18.8823,0.005,,
JUNIO,13,21,0.035,0.051,0.040,0.300,26.8612,17.4344,0.004,,
JUNIO,13,22,0.035,0.048,0.034,0.284,22.0007,16.2201,0.003,,
JUNIO,13,23,0.035,0.044,NA,0.272,18.0464,14.3875,0.002,,
JUNIO,14,0,0.029,0.040,NA,0.265,18.7099,12.391,0.009,,
JUNIO,14,1,0.040,0.038,NA,0.259,24.2673,14.7901,0.006,,
JUNIO,14,2,0.041,0.037,NA,0.253,19.3709,10.7502,0.006,,
JUNIO,14,3,0.041,0.037,NA,0.246,15.818,9.1165,0.005,,
JUNIO,14,4,0.033,0.036,NA,0.241,16.22,9.1418,0.007,,
JUNIO,14,5,0.022,0.034,NA,0.241,17.3596,9.7813,0.012,,
JUNIO,14,6,0.017,0.032,NA,0.247,18.5482,10.702,0.019,,
JUNIO,14,7,0.017,0.030,NA,0.285,22.353,14.0797,0.025,,
JUNIO,14,8,0.019,0.029,NA,0.333,31.4647,24.0454,0.026,,
JUNIO,14,9,0.036,0.028,NA,0.369,41.9591,26.0468,0.014,,
JUNIO,14,10,0.063,0.031,NA,0.412,46.1261,28.161,0.012,,
JUNIO,14,11,0.072,0.035,NA,0.446,44.6507,31.353,0.008,,
JUNIO,14,12,0.082,0.041,NA,0.478,43.6649,27.7001,0.007,,
