DATOS HORARIOS 2019_NATIVITAS,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,PM10,WS,WD,TEMP,HR,RADSOL
OCT,4,1,11.39,2.26,0.193,25,4.37,63.98,18.22,75.70,4.00
OCT,4,2,11.37,2.25,0.183,18,3.94,57.90,17.58,80.92,7.38
OCT,4,3,12.27,18.68,0.180,16,3.69,60.70,17.73,78.54,11.81
OCT,4,4,13.45,3.75,0.180,14,3.28,72.47,17.72,77.45,2.92
OCT,4,5,7.18,10.04,0.226,23,1.95,117.97,16.47,84.37,4.10
OCT,4,6,7.11,4.62,0.297,28,2.28,133.08,15.57,87.18,3.13
OCT,4,7,2.00,3.52,0.452,36,2.98,110.06,15.25,90.24,10.70
OCT,4,8,5.20,1.10,0.350,27,3.53,108.29,17.39,84.05,143.04
OCT,4,9,11.47,4.75,0.384,14,3.24,84.86,20.66,72.17,358.04
OCT,4,10,22.94,8.47,0.307,27,4.26,82.72,23.12,55.49,590.80
OCT,4,11,27.38,6.90,0.266,13,4.29,91.25,24.41,50.66,755.83
OCT,4,12,30.06,4.88,0.256,15,3.64,83.16,26.10,44.35,894.23
OCT,4,13,32.19,3.61,0.248,4,3.51,86.25,27.27,40.20,841.75
OCT,4,14,33.01,5.41,0.278,17,3.25,93.53,28.13,35.93,898.15
OCT,4,15,33.46,10.83,0.230,15,3.34,88.77,28.57,34.25,687.04
OCT,4,16,32.73,20.61,0.223,11,3.11,120.94,29.27,31.24,572.93
OCT,4,17,31.03,9.67,0.212,22,2.48,108.56,28.99,30.49,367.11
OCT,4,18,30.41,6.52,0.296,21,2.85,83.64,27.87,32.92,140.72
OCT,4,19,21.74,2.10,0.528,35,1.78,129.03,25.58,38.35,9.21
OCT,4,20,11.80,2.30,0.706,42,2.10,256.32,23.79,46.73,4.56
OCT,4,21,16.15,18.94,0.330,42,2.25,67.83,22.76,52.90,3.58
OCT,4,22,15.72,23.39,0.297,29,2.36,80.65,21.45,58.65,2.61
OCT,4,23,17.10,6.48,0.230,15,2.31,121.16,20.39,63.69,7.15
OCT,5,0,15.67,3.37,0.230,19,2.76,86.81,19.57,68.80,2.76
OCT,5,1,15.23,1.61,0.200,15,2.98,83.10,18.61,74.20,13.27
OCT,5,2,13.82,2.35,0.195,11,3.10,57.02,18.33,75.13,2.96
OCT,5,3,16.76,27.49,0.180,17,3.50,57.61,18.29,73.65,17.56
OCT,5,4,18.41,43.95,0.180,11,3.84,58.37,17.81,74.70,2.96
OCT,5,5,15.03,28.04,0.190,17,2.62,93.63,17.19,77.06,3.01
OCT,5,6,4.64,4.25,0.225,17,1.91,122.85,15.36,85.63,4.22
