DATOS HORARIOS 2019_NATIVITAS,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,PM10,WS,WD,TEMP,HR,RADSOL
JUN,1,0,NA,12.73,0.207,29,4.55,82.13,23.64,54.91,1.94
JUN,1,1,8.57,15.84,0.187,29,3.77,74.19,22.59,57.22,2.00
JUN,1,2,11.93,5.74,0.180,25,3.74,71.63,21.62,57.37,2.09
JUN,1,3,10.83,3.52,0.203,12,4.02,91.56,21.23,58.49,2.09
JUN,1,4,10.18,2.47,0.190,13,3.36,88.20,20.46,62.48,2.15
JUN,1,5,6.55,2.28,0.204,14,3.41,83.26,19.70,65.65,2.17
JUN,1,6,2.46,5.77,0.273,22,3.24,67.44,19.29,66.87,2.46
JUN,1,7,2.35,2.98,0.375,16,3.57,63.46,19.89,65.02,68.24
JUN,1,8,2.00,22.56,0.346,18,3.41,74.02,22.88,56.33,285.35
JUN,1,9,9.12,16.27,0.316,22,3.86,82.66,24.18,49.99,389.35
JUN,1,10,13.28,5.90,0.260,15,3.99,95.74,26.53,40.37,708.43
JUN,1,11,17.09,5.16,0.230,17,4.08,88.10,27.98,33.08,816.10
JUN,1,12,19.41,9.97,0.208,12,4.12,85.80,29.08,28.62,982.72
JUN,1,13,25.40,7.50,0.193,12,3.91,103.68,30.43,26.60,1026.70
JUN,1,14,28.90,1.10,0.185,10,3.55,107.55,31.20,25.35,881.61
JUN,1,15,31.72,4.01,0.196,6,3.40,133.23,32.40,22.81,885.87
JUN,1,16,29.85,12.01,0.180,39,3.03,107.09,32.69,21.47,402.50
JUN,1,17,21.47,13.86,0.228,26,3.74,75.89,31.00,23.98,79.51
JUN,1,18,17.82,10.29,0.263,21,3.85,72.57,30.38,25.53,113.58
JUN,1,19,17.25,27.10,0.402,22,4.13,85.42,29.97,27.12,96.65
JUN,1,20,11.88,32.05,0.267,39,4.60,75.94,28.40,31.25,6.11
JUN,1,21,11.27,8.01,0.237,34,5.03,61.71,26.75,38.02,1.75
JUN,1,22,7.93,18.25,0.236,31,4.00,70.53,25.18,44.20,1.78
JUN,1,23,6.61,25.12,0.211,28,3.62,74.78,23.98,49.67,1.91
JUN,2,0,7.39,15.86,0.180,25,4.30,78.44,23.03,53.78,1.96
JUN,2,1,6.41,20.44,0.182,23,3.64,79.78,22.22,58.52,1.99
JUN,2,2,4.97,16.03,0.219,22,3.39,77.71,21.43,61.83,2.07
JUN,2,3,6.20,7.05,0.211,19,2.53,93.02,20.75,64.56,2.10
JUN,2,4,6.37,4.85,0.206,17,3.19,70.49,20.13,67.08,2.15
JUN,2,5,8.15,3.73,0.216,16,3.19,71.58,19.84,69.20,2.17
JUN,2,6,8.63,3.06,0.275,18,2.35,80.65,19.44,70.26,2.36
JUN,2,7,6.47,9.67,0.367,25,2.42,68.76,20.24,69.81,53.06
JUN,2,8,6.61,5.89,0.347,30,2.89,103.03,23.58,60.01,262.80
JUN,2,9,10.63,15.20,0.324,27,4.43,75.07,24.75,52.81,434.83
JUN,2,10,12.24,20.39,0.294,21,4.75,74.93,26.46,45.77,707.28
JUN,2,11,14.00,18.91,0.271,22,4.56,84.40,27.72,40.17,880.40
JUN,2,12,18.77,11.64,0.252,16,4.16,93.12,29.22,35.97,1034.70
JUN,2,13,20.62,6.35,0.238,10,3.90,90.55,30.66,32.38,1091.30
JUN,2,14,23.10,3.73,1.709,10,3.45,118.65,31.56,30.11,931.89
