DATOS HORARIOS 2014_ CRUZ ROJA,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
AÑO,MES,DIA,HORA,O3,SO2,NO2,CO,PM10,WS,WD,TEMP,HR,PBAR,,,
2014,FEB,3,9,11.13,13.94,7.73,0.33,76.84,3.25,100.58,14.07,65.65,622.93,,,
2014,FEB,3,10,18.9,44.08,6.88,0.4,98.37,3.36,92.58,16.58,62.2,623.39,,,
2014,FEB,3,11,24.15,32.53,5.89,0.08,84.1,3.4,96,18.84,56.14,623.49,,,
2014,FEB,3,12,27.84,15.86,6.82,0.1,69.34,2.75,121.53,20.96,46.74,622.84,,,
2014,FEB,3,13,33.1,10.81,6.66,0.15,54.45,2.36,132.93,22.99,36.8,621.92,,,
2014,FEB,3,14,41.44,6.22,3.97,0.11,51.45,2.17,124.29,24.76,29.41,620.95,,,
2014,FEB,3,15,45.07,5.65,3.97,0.04,51.62,2.26,83.66,26.21,25.68,620.06,,,
2014,FEB,3,16,41.42,6.25,3.97,0.02,55.44,2.72,270.39,26.78,26.77,619.39,,,
2014,FEB,3,17,36.61,5.95,4.47,0.02,47.41,2.56,258.05,27.26,25.59,619.1,,,
2014,FEB,3,18,34.53,5.93,6.95,0.02,60.63,2.46,232.45,26.59,27.43,619.29,,,
2014,FEB,3,19,16.2,6.17,6.79,0.08,92.14,3.44,176.09,25.13,26.23,619.64,,,
2014,FEB,3,20,18.12,5.96,5.21,0.11,100.01,4.15,173.51,23.84,34.68,620.05,,,
2014,FEB,3,21,18.54,6.18,6.19,0.12,82.45,3.52,245.35,22.43,42.94,620.81,,,
2014,FEB,3,22,13.06,5.98,7.4,0.1,60.97,2.91,241.29,20.76,46.75,621.37,,,
2014,FEB,3,23,11.76,5.84,7.36,0.08,52.62,2.55,244.54,19.19,49.67,621.65,,,
2014,FEB,4,0,10.21,6.1,7.99,0.14,53.27,1.83,229.6,18.76,51.1,621.77,,,
2014,FEB,4,1,7.16,5.75,8.85,0.16,55.78,1.29,224.44,17.64,55.86,621.63,,,
2014,FEB,4,2,5.66,5.53,9.15,0.13,47.12,1.34,272.21,16.92,57.8,621.48,,,
2014,FEB,4,3,4.72,5.28,7.73,0.11,42.75,1.08,23.09,14.86,63.9,621.36,,,
2014,FEB,4,4,4.65,5.94,6.93,0.06,42.43,0.98,295.04,14.37,64.11,621.21,,,
2014,FEB,4,5,4.53,5.74,6.77,0.04,44.04,1.38,276.84,12.9,68.65,621.31,,,
2014,FEB,4,6,4.84,5.72,6.97,0.02,59.21,1.48,229.89,13.17,69.21,621.49,,,
2014,FEB,4,7,4.98,6.23,7.2,0.02,79.39,1.44,229.84,13.03,69.43,621.71,,,
2014,FEB,4,8,4.72,6.75,6.81,0.44,92.69,1.24,307.72,12.63,69,622.04,,,
2014,FEB,4,9,5.27,8.23,5.03,0.9,93.19,1.43,234.86,13.02,66.77,622.43,,,
2014,FEB,4,10,9.41,7.39,8.99,0.97,94.38,1.57,241.89,16.53,57.82,622.72,,,
2014,FEB,4,11,17.36,6.62,4.68,0.72,66.6,2.09,229.37,19.45,53.76,622.6,,,
2014,FEB,4,12,23.48,5.74,4.76,0.49,49.36,3.23,228.23,20.92,50.93,622.15,,,
2014,FEB,4,13,25.09,5.66,4.78,0.34,27.7,3.75,241,23.45,35.82,621.41,,,
2014,FEB,4,14,24.85,5.09,3.97,0.18,41.34,4.32,240.02,24.94,24.67,620.52,,,
2014,FEB,4,15,27.73,5.22,4.34,0.15,48.37,3.93,236.46,25.98,23.72,619.68,,,
2014,FEB,4,16,25.38,5.24,3.97,0.09,38.08,4.28,234.52,26.9,17.09,619.14,,,
2014,FEB,4,17,24.46,5.12,3.97,0.05,42.06,3.83,224.11,27.11,15.89,619.03,,,
2014,FEB,4,18,22.06,5.01,3.97,0.02,45.38,3.8,232.53,26.8,16.14,619.25,,,
2014,FEB,4,19,13.39,5,8.42,0.1,69.42,3.05,252.21,25.26,21.76,619.45,,,
2014,FEB,4,20,7.1,5.28,9.49,0.28,59.67,2.28,241.48,23.27,21.66,619.91,,,
2014,FEB,4,21,4.92,5.53,9.36,0.47,70.93,1.94,247.32,21.56,24.02,620.53,,,
2014,FEB,4,22,4.23,5.58,7.91,0.58,88.98,1.08,305.47,19.75,29.51,621.13,,,
2014,FEB,4,23,4.62,6.35,8.03,0.68,85.42,1.62,237.69,19.53,28.26,621.48,,,
2014,FEB,5,0,4.55,6.18,7.43,0.8,97.06,1.63,223.27,18.71,31.35,621.84,,,
2014,FEB,5,1,4,6.01,6.2,0.72,71.19,1.53,276.42,16.22,39.3,621.92,,,
2014,FEB,5,2,4.56,7.03,5.23,0.55,73.32,1.42,314.07,14.19,44.94,621.9,,,
2014,FEB,5,3,4.6,6.77,5.2,0.46,70.54,0.91,238.17,15.08,42.97,621.91,,,
2014,FEB,5,4,4.14,6.04,8.63,0.62,55.53,1.18,269.71,14.96,45.02,621.9,,,
2014,FEB,5,5,5.37,5.6,8.41,0.58,48.96,1.48,271.26,13.81,51.98,621.96,,,
2014,FEB,5,6,3.97,6.07,8.16,0.46,53.02,1.07,80.45,12.24,51.27,622.13,,,
2014,FEB,5,7,4.01,6.98,7.71,0.41,72.02,1.19,111.7,11.97,53.22,622.57,,,
2014,FEB,5,8,3.97,7.45,7.78,0.69,115.62,1.25,91.54,11.84,53.9,622.86,,,
2014,FEB,5,9,5.62,11.48,7.53,1.28,148.46,2.31,103.6,13.27,51.96,623.37,,,
2014,FEB,5,10,8.39,13.44,10.5,1.22,168.21,2.12,111.74,16.17,46.98,623.85,,,
2014,FEB,5,11,15.98,10.75,8.41,1.12,82.31,1.44,130.81,19.71,40.94,623.82,,,
2014,FEB,5,12,23.92,6.6,8.18,1.01,67.95,1.76,230.79,21.59,37.06,623.47,,,
2014,FEB,5,13,27.33,5.51,6.27,0.84,45.97,1.82,231.57,23.55,30.92,622.58,,,
2014,FEB,5,14,25.85,5.17,6.71,0.66,33.14,2.16,241.36,24.83,27.35,621.68,,,
2014,FEB,5,15,25.61,5.02,5.98,0.54,30.02,2.44,249.85,25.53,23.89,620.74,,,
2014,FEB,5,16,33.21,5.01,6.14,0.43,43.87,2.2,286.62,26.42,24.8,620.06,,,
2014,FEB,5,17,33.89,5.11,6.99,0.38,41.43,2.32,264.49,26.96,24.61,619.78,,,
2014,FEB,5,18,27.12,5,9.32,0.35,43.42,2.01,256.57,27.3,23.8,619.71,,,
2014,FEB,5,19,16.52,5.57,14.41,0.45,57.66,1.8,266,26.04,26.15,619.92,,,
2014,FEB,5,20,3.97,11.34,40.28,0.97,137.19,1.18,269.58,24.74,29.63,620.29,,,
2014,FEB,5,21,7.05,8.76,15.47,1.08,129.4,3.17,144.22,23.83,33.44,620.81,,,
2014,FEB,5,22,6.37,6.73,12.1,0.8,86.88,2.14,234.54,21.92,37.37,621.5,,,
2014,FEB,5,23,8.72,5.99,11.31,0.68,71.16,2.21,278.51,19.92,46.57,622.14,,,
2014,FEB,6,0,5.19,7.1,12.07,0.56,67.47,1.98,63.34,18.92,48.97,622.44,,,
2014,FEB,6,1,11.2,22.62,7.78,0.34,109.35,3.91,99.52,17.96,52.04,622.61,,,
2014,FEB,6,2,16.27,25.3,4.38,0.11,74.64,4.91,100.64,16.7,54.8,622.55,,,
2014,FEB,6,3,15.39,32.79,4.47,0.03,67.91,4.56,98.71,15.61,59.24,622.3,,,
2014,FEB,6,4,15.21,26.64,4.01,0.02,55.13,4.32,94.04,14.67,61.7,622.12,,,
2014,FEB,6,5,12.4,36.46,5.94,0.02,68.05,3.44,90.72,14,61.9,622.31,,,
2014,FEB,6,6,15.28,30.25,3.97,0.02,52.73,4.05,97.79,13.42,61.3,622.65,,,
2014,FEB,6,7,10.91,30.4,3.97,0.02,52.79,4.22,98.18,12.51,63.83,623.01,,,
2014,FEB,6,8,6.61,28.51,5.18,0.02,57.11,4.03,99.22,12.09,60.54,623.35,,,
2014,FEB,6,9,8.3,29.93,3.97,0.39,86.12,4.47,97.13,12.72,62.27,623.6,,,
2014,FEB,6,10,14.47,47.82,6.11,0.25,127.52,4.02,82.39,14.68,62.09,623.91,,,
2014,FEB,6,11,18.28,35.34,6.19,0.22,106.14,3.21,106.04,18.19,52.96,624.1,,,
2014,FEB,6,12,26.27,41.27,9.4,0.22,100.18,1.95,191.96,21.27,44.25,623.71,,,
2014,FEB,6,13,34.53,13.59,5.72,0.28,45.92,1.87,259.31,23.51,34.86,623,,,
2014,FEB,6,14,38.53,8.46,5.7,0.23,38.36,2.27,229.99,24.64,27.67,622.15,,,
2014,FEB,6,15,39.37,6.6,4.95,0.18,37.12,2.85,226.94,25.33,22.46,621.33,,,
2014,FEB,6,16,39.21,5.88,5.25,0.12,46.98,2.48,213.41,26.3,21.58,620.65,,,
2014,FEB,6,17,38.17,5.62,3.99,0.06,35.33,2.43,273.59,26.69,18.1,620.34,,,
2014,FEB,6,18,36.13,5.54,5.7,0.02,41.28,1.97,237.65,26.81,18.34,620.32,,,
2014,FEB,6,19,23.58,5.44,11.92,0.02,49.06,1.41,299.03,25.68,20.16,620.51,,,
2014,FEB,6,20,5.33,6.29,19.19,0.3,100.73,1,315.34,24.19,24.87,620.81,,,
2014,FEB,6,21,4.26,7.83,19.56,1.03,188.32,1.34,238.02,22.93,28.39,621.4,,,
2014,FEB,6,22,4.29,7.47,18.13,1.34,141.21,1.51,246.46,21.13,32.27,622.03,,,
2014,FEB,6,23,11.97,6.04,10.89,1,77.42,2.51,221.07,19.76,39.61,622.53,,,
2014,FEB,7,0,5.74,5.77,11.12,0.6,63.13,1.38,293.38,18.1,44.27,622.64,,,
2014,FEB,7,1,4.49,6.08,12.41,0.44,78.06,1.57,264.69,17.95,44.18,622.69,,,
2014,FEB,7,2,4.64,6.29,11.26,0.29,74.77,1.31,357.9,16.24,48.53,622.71,,,
2014,FEB,7,3,4.8,6.57,10.78,0.17,75.38,1.13,254.23,16.46,49.43,622.86,,,
2014,FEB,7,4,8.23,5.51,8.93,0.1,51.74,1.21,260.54,16.21,53.02,622.8,,,
2014,FEB,7,5,5.78,6.23,8.58,0.09,69.92,0.99,121.15,14.3,55.49,622.86,,,
2014,FEB,7,6,4.39,7.35,7.81,0.08,72.35,0.98,277.79,13.87,56.81,623.12,,,
2014,FEB,7,7,4.46,7.82,7.69,0.08,70.32,1.03,345.3,12.62,59.53,623.7,,,
2014,FEB,7,8,13.85,10.03,8.18,0.41,151.6,1.24,113.43,13.37,60.26,624.09,,,
2014,FEB,7,9,12.72,12.33,7.26,1.18,199.91,1.76,114.09,14.59,56.68,624.46,,,
2014,FEB,7,10,14.33,10.01,8.33,1.09,125.51,1.52,122.75,17.36,52.76,624.71,,,
2014,FEB,7,11,21.5,8.1,8.87,0.89,93.65,1.57,291.84,20.11,46.64,624.75,,,
2014,FEB,7,12,24.8,6.21,7.3,0.72,54.09,2.24,275.67,21.54,42.35,624.19,,,
2014,FEB,7,13,29.46,6.04,5.65,0.51,51.83,2.56,250.49,22.73,38.99,623.58,,,
2014,FEB,7,14,32.07,5.86,3.98,0.32,47.82,2.61,263.67,23.95,36.32,622.62,,,
2014,FEB,7,15,33.76,5,3.97,0.13,54.52,3.3,264.45,25.07,34.97,621.69,,,
2014,FEB,7,16,33.7,5.07,3.97,0.06,51.78,2.89,220.51,26,33.47,621.18,,,
2014,FEB,7,17,30.9,5,3.97,0.04,42.52,3.16,227.44,26.79,28.92,620.88,,,
2014,FEB,7,18,28.96,5,4.67,0.04,49.41,2.76,239.25,26.95,26.83,621.03,,,
2014,FEB,7,19,19.99,5,10.69,0.16,61.67,1.89,200.52,26.14,27.96,621.26,,,
2014,FEB,7,20,6.41,5.18,16.92,0.78,124.93,1.7,197.74,25.2,31.89,621.58,,,
2014,FEB,7,21,6.32,5.36,14.97,1.08,100.15,1.77,220.42,23.53,31.83,622.15,,,
2014,FEB,7,22,5.78,5.27,12.97,1.03,90.87,1.59,286.76,21.41,35.18,622.65,,,
2014,FEB,7,23,5.43,5.53,11.97,0.89,92.69,1.68,301.2,20.04,39.1,622.93,,,
2014,FEB,8,0,4.54,5.37,11.12,0.72,101.04,2.36,294.74,18.71,40.98,622.95,,,
2014,FEB,8,1,5.47,5,8.91,0.51,64.04,1.8,269.17,17.3,40.42,622.85,,,
2014,FEB,8,2,7.53,6.05,8.31,0.34,68.51,2.02,274.92,17.49,38.51,622.9,,,
2014,FEB,8,3,5.31,5.73,8.25,0.23,64.8,1.59,230.49,16.95,39.41,622.92,,,
