MES,DIA,HORA,O3,SO2,CO,NO2,PM10,PM25,TEMP,WIND_SPEED,WIND_DIR,HUMIDITY,PBAR
MAYO,6.0,12.0,0.09,0.002,0.61,0.012,46.0,34.0,30.341717,0.789038,230.6935,22.360017,621.7365
MAYO,6.0,13.0,0.097,0.002,0.48,0.008,44.0,32.0,32.213717,0.964492,183.508067,17.871467,621.205333
MAYO,6.0,14.0,0.094,0.001,0.44,0.007,36.0,28.0,33.609167,0.976645,232.108117,14.570833,620.404
MAYO,6.0,15.0,0.095,0.011,0.56,0.01,35.0,29.0,34.196933,0.988558,172.231367,13.659367,619.617333
MAYO,6.0,16.0,0.086,0.002,0.39,0.005,33.0,27.0,34.716417,1.11447,135.866517,11.37715,619.005333
MAYO,6.0,17.0,0.093,0.001,0.47,0.009,29.0,21.0,35.358933,1.5749,245.1377,10.499748,618.619167
MAYO,6.0,18.0,0.086,0.001,0.61,0.013,41.0,25.0,35.300467,0.639053,252.888867,9.65527,618.461333
MAYO,6.0,19.0,0.084,0.002,0.61,0.015,40.0,31.0,34.4963,1.76598,222.689283,12.167123,618.6765
MAYO,6.0,20.0,0.065,0.026,0.48,0.014,129.0,28.0,31.6004,3.958493,104.190383,22.6116,619.244833
MAYO,6.0,21.0,0.058,0.026,0.56,0.019,88.0,39.0,30.171633,3.608772,109.719767,25.335433,620.009333
MAYO,6.0,22.0,0.064,0.005,0.48,0.012,70.0,46.0,28.673067,3.4431,120.140467,29.9653,621.1755
MAYO,6.0,23.0,0.072,0.002,0.37,0.008,92.0,60.0,26.703583,4.714343,120.33965,37.192733,621.7185
MAYO,7.0,0.0,0.068,0.002,0.33,0.007,51.0,32.0,25.165933,3.418582,131.9345,41.967933,621.886667
MAYO,7.0,1.0,0.067,0.001,0.38,0.006,27.0,27.0,24.555233,1.510538,125.560383,43.429,622.012167
MAYO,7.0,2.0,0.057,0.001,0.41,0.007,29.0,28.0,24.13555,0.775988,115.971617,44.139683,621.7505
MAYO,7.0,3.0,0.052,0.001,0.45,0.008,29.0,24.0,23.706017,0.518552,165.879183,44.604883,621.438
MAYO,7.0,4.0,0.043,0.004,0.43,0.013,34.0,22.0,23.413717,0.472927,234.326333,43.891667,621.461667
MAYO,7.0,5.0,0.048,0.002,0.48,0.008,41.0,28.0,22.8499,0.460263,226.6585,45.3319,621.438333
MAYO,7.0,6.0,0.039,0.002,0.55,0.013,45.0,40.0,22.207033,0.447075,211.054,47.177017,621.584833
MAYO,7.0,7.0,0.022,0.003,1.06,0.028,62.0,37.0,21.671233,0.583282,238.935,49.1727,622.005167
MAYO,7.0,8.0,0.023,0.003,1.07,0.028,60.0,61.0,22.170483,0.570253,258.887333,49.035717,622.429
MAYO,7.0,9.0,0.041,0.003,0.68,0.019,61.0,45.0,23.872267,0.893825,266.403983,45.83035,622.697
MAYO,7.0,10.0,0.062,0.003,0.67,0.013,53.0,38.0,25.516133,0.59135,234.748,41.447567,622.722333
MAYO,7.0,11.0,0.079,0.002,0.6,0.01,49.0,32.0,27.3598,1.959132,246.376683,36.060633,622.441667
MAYO,7.0,12.0,0.087,0.002,0.61,0.009,48.0,33.0,29.341183,1.896928,248.124,28.923833,621.768833
MAYO,7.0,13.0,0.088,0.002,0.53,0.009,40.0,40.0,31.18755,1.38472,249.134167,22.41345,621.037833
MAYO,7.0,14.0,0.096,0.002,0.53,0.01,34.0,30.0,32.989983,0.758308,226.55465,18.5261,620.222833
MAYO,7.0,15.0,0.094,0.001,0.55,0.01,37.0,29.0,34.1046,0.898213,217.9993,13.648288,619.329833
MAYO,7.0,16.0,0.091,0.001,0.51,0.008,31.0,22.0,34.827583,1.120025,214.952983,10.685777,618.619167
MAYO,7.0,17.0,0.092,0.001,0.48,0.008,30.0,26.0,35.09235,1.23045,245.693,9.54418,618.2075
MAYO,7.0,18.0,0.09,0.001,0.46,0.01,33.0,29.0,35.29495,1.114103,244.414167,8.505752,617.982333
MAYO,7.0,19.0,0.079,0.001,0.62,0.015,34.0,23.0,34.432667,1.053742,231.1555,8.498702,618.064167
MAYO,7.0,20.0,0.054,0.001,0.86,0.025,58.0,25.0,32.8698,1.492775,239.291333,11.197382,618.381
MAYO,7.0,21.0,0.055,0.001,0.87,0.023,64.0,27.0,30.932817,1.82078,230.666,16.298467,618.881833
MAYO,7.0,22.0,0.063,0.001,0.89,0.023,60.0,24.0,29.241467,0.718672,207.988833,20.047583,619.502
MAYO,7.0,23.0,0.063,0.001,0.75,0.019,59.0,30.0,28.52015,0.610243,210.229,19.436883,620.048
MAYO,8.0,0.0,0.061,0.001,0.72,0.017,60.0,37.0,27.574583,0.694297,200.846333,21.62875,620.7135
MAYO,8.0,1.0,0.07,0.002,0.54,0.011,74.0,38.0,26.6252,2.798545,200.680833,26.369033,620.619667
MAYO,8.0,2.0,0.072,0.002,0.45,0.006,50.0,33.0,25.460917,1.960978,210.4125,31.085333,620.418833
MAYO,8.0,3.0,0.069,0.002,0.45,0.006,41.0,31.0,24.232283,1.419747,253.592167,34.815967,620.206333
MAYO,8.0,4.0,0.058,0.002,0.48,0.008,42.0,29.0,22.700517,0.447,287.335833,38.532617,620.083667
