DATOS HORARIOS 2021_CRUZ ROJA,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR
NOVIEMBRE,1,0,0.0073,0.009,0.8747,0.0312,48,32,18.63,0.66,140.56,65.65,625.4
NOVIEMBRE,1,1,0.0176,0.0108,0.5036,0.0225,52,26,18.63,0.91,126.98,64.39,625.58
NOVIEMBRE,1,2,0.0209,0.0094,0.4544,0.0157,41,39,18.54,0.45,106.21,63.3,625.38
NOVIEMBRE,1,3,0.0129,0.0552,0.4569,0.0192,34,24,18.43,0.45,110.29,64.23,625.23
NOVIEMBRE,1,4,0.0064,0.0182,0.5077,0.0339,40,28,18.2,0.45,93.89,64.59,625.11
NOVIEMBRE,1,5,0.0118,0.023,0.4121,0.0172,42,30,17.91,0.56,146.62,64.57,625.29
NOVIEMBRE,1,6,0.0023,0.0066,0.5039,0.0319,34,24,16.99,0.45,292.44,70.51,625.59
NOVIEMBRE,1,7,0.007,0.0226,0.4355,0.0211,38,24,16.78,0.54,95.77,67.3,626.03
NOVIEMBRE,1,8,0.0083,0.0215,0.5824,0.0252,50,25,16.67,2.23,106.87,66.43,626.56
NOVIEMBRE,1,9,0.018,0.1497,0.7627,0.0166,34,20,18.27,2.65,78.01,59.77,626.9
NOVIEMBRE,1,10,0.0316,0.1098,0.5852,0.0083,14,30,20.33,4.24,68.03,49.21,627.13
NOVIEMBRE,1,11,0.038,0.0475,0.6112,NA,18,18,22.38,3.22,72.87,41.34,627
NOVIEMBRE,1,12,0.0433,0.0128,0.4659,NA,15,6,24.51,2.35,103.49,32.68,626.37
NOVIEMBRE,1,13,0.0513,0.0036,0.4089,NA,24,7,26.05,2.12,109.53,26.19,625.81
NOVIEMBRE,1,14,0.0561,0.0058,0.4129,NA,22,9,26.86,2.24,122.3,23.31,625.15
NOVIEMBRE,1,15,0.0623,0.024,0.4848,0.006,19,11,27.79,1.56,100.3,21.46,624.41
NOVIEMBRE,1,16,0.0615,0.0278,0.7386,0.0085,29,16,27.95,2.34,98.2,22.16,623.89
NOVIEMBRE,1,17,0.0568,0.0224,0.3848,0.0087,21,15,28,2.3,89.35,21.77,623.76
NOVIEMBRE,1,18,0.0422,0.0224,0.6921,0.0216,38,15,26.73,1.28,101.24,22.46,624.11
NOVIEMBRE,1,19,0.0349,0.0019,0.7883,0.0328,54,18,25.53,1.28,77.44,25.45,624.71
NOVIEMBRE,1,20,0.0293,0.0011,0.3336,0.0097,44,19,23.67,3.35,56.58,36.27,625.43
NOVIEMBRE,1,21,0.0271,0.0388,0.6838,0.0088,35,8,21.77,2.8,65.21,45.26,626.14
NOVIEMBRE,1,22,0.0165,0.0551,0.4204,0.0141,38,9,19.94,0.77,94.79,52.99,626.38
NOVIEMBRE,1,23,0.0171,0.0095,0.4335,0.0159,42,21,18.65,2.06,112.07,56.57,626.76
NOVIEMBRE,2,0,0.0193,0.0135,0.3245,0.0124,33,17,17.87,2.75,99.81,57.6,626.82
