DATOS HORARIOS 2021_CRUZ ROJA,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR
ABRIL,1,0,0.0459,0.0260,0.253,NA,55,19,22.32,4.84,63.03,48.50,622.31
ABRIL,1,1,0.0464,0.0155,0.253,NA,63,27,20.97,6.32,60.34,53.95,622.55
ABRIL,1,2,0.0455,0.0143,0.238,NA,47,25,20.02,6.75,65.15,56.29,622.74
ABRIL,1,3,0.0408,0.0145,0.215,NA,35,25,19.30,6.37,63.61,53.43,622.69
ABRIL,1,4,0.0386,0.0138,0.205,NA,34,18,18.49,5.81,62.64,55.49,622.76
ABRIL,1,5,0.0375,0.1223,0.217,NA,31,20,17.88,4.94,73.41,58.13,623.07
ABRIL,1,6,0.0352,0.1335,0.228,NA,29,22,17.47,5.15,77.41,58.97,623.21
ABRIL,1,7,0.0343,0.2666,0.267,NA,26,19,17.19,4.80,79.06,59.57,623.58
ABRIL,1,8,0.0308,0.1440,0.282,0.0082,34,24,17.60,4.30,79.31,59.58,624.05
ABRIL,1,9,0.0353,0.1196,0.269,0.0063,49,31,18.90,5.81,77.21,57.46,624.39
ABRIL,1,10,0.0388,0.0654,0.259,0.0053,46,30,20.52,6.44,88.48,50.38,624.54
ABRIL,1,11,0.0380,0.0336,0.269,0.0046,51,28,21.38,7.06,92.61,47.31,624.62
ABRIL,1,12,0.0396,0.0358,0.254,0.0043,47,24,22.72,5.48,91.64,42.84,624.13
ABRIL,1,13,0.0418,0.0477,0.275,0.0045,57,15,24.01,5.29,92.09,38.42,623.46
ABRIL,1,14,0.0411,0.0476,0.237,0.0038,51,25,24.85,5.07,81.87,35.13,622.66
ABRIL,1,15,0.0435,0.0478,0.216,0.0025,50,14,25.58,5.33,79.03,32.68,621.75
ABRIL,1,16,0.0395,0.0539,0.218,0.0032,59,17,25.92,5.24,78.30,33.11,621.23
ABRIL,1,17,0.0379,0.0620,0.206,0.0014,42,22,25.42,6.52,68.59,33.43,621.08
ABRIL,1,18,0.0356,0.0463,0.232,0.0010,27,15,24.80,6.02,68.27,35.52,621.05
ABRIL,1,19,0.0343,0.0461,0.247,0.0016,30,3,23.31,7.06,63.38,38.58,621.46
ABRIL,1,20,0.0330,0.0290,0.215,0.0031,43,3,21.42,7.47,59.83,42.99,622.23
ABRIL,1,21,0.0302,0.0152,0.227,0.0013,37,7,18.84,6.65,48.20,53.15,623.02
ABRIL,1,22,0.0294,0.0143,0.217,0.0006,20,7,17.48,5.68,49.28,57.02,623.70
ABRIL,1,23,0.0291,0.0139,0.215,0.0013,10,4,16.85,6.19,56.19,58.91,624.08
ABRIL,2,0,0.0295,0.0138,0.209,NA,7,3,16.02,6.61,56.34,61.73,624.19
ABRIL,2,1,0.0290,0.0134,0.188,NA,12,NA,15.32,6.26,58.06,64.26,624.23
ABRIL,2,2,0.0282,0.0132,0.185,NA,5,NA,15.02,5.52,57.54,64.96,624.19
ABRIL,2,3,0.0292,0.0130,0.178,0.0005,5,NA,14.86,6.06,59.51,64.94,623.88
ABRIL,2,4,0.0293,0.0575,0.183,NA,4,NA,14.99,4.76,71.35,63.98,623.75
ABRIL,2,5,0.0300,0.0879,0.192,NA,4,NA,14.69,5.57,78.41,64.66,623.61
ABRIL,2,6,0.0279,0.1122,0.193,0.0020,12,2,14.18,5.51,72.41,66.55,623.59
ABRIL,2,7,0.0270,0.0973,0.202,NA,12,8,13.85,5.27,75.30,67.25,623.78
ABRIL,2,8,0.0267,0.1237,0.223,0.0032,12,7,14.56,4.01,79.29,64.87,624.24
ABRIL,2,9,0.0322,0.1025,0.226,0.0011,5,16,16.53,5.35,72.41,58.97,624.49
ABRIL,2,10,0.0362,0.0880,0.223,0.0011,14,NA,19.20,6.01,76.90,51.55,624.46
ABRIL,2,11,0.0416,0.0810,0.231,0.0022,37,12,21.00,6.41,83.43,46.51,624.22
ABRIL,2,12,0.0406,NA,NA,0.0022,42,NA,22.47,5.78,88.75,42.78,623.86
ABRIL,2,13,0.0464,0.0427,0.208,0.0014,31,NA,23.75,5.15,87.12,39.60,623.10
ABRIL,2,14,0.0483,0.0433,0.208,0.0012,27,11,25.08,4.65,82.17,36.00,622.12
ABRIL,2,15,0.0480,0.0411,0.199,0.0011,22,14,26.24,4.52,86.93,32.94,621.20
ABRIL,2,16,0.0475,0.0397,0.176,NA,27,11,26.84,4.65,74.08,30.66,620.64
ABRIL,2,17,0.0462,0.0537,0.165,NA,27,13,27.20,4.53,75.46,28.26,620.35
ABRIL,2,18,0.0449,0.0702,0.156,NA,36,14,27.06,4.12,66.54,26.31,620.32
