DATOS MÓVILES 2016_ CRUZ ROJA,,,,,,,
,,,,,,,
MES,DIA,HORA,NO2,MPM10,MSO2 24 HRS,MO3,MCO
MZO,5,12,17.14,59.75428571,50.50521739,17.75875,NA
MZO,5,13,3.91,62.24142857,54.2673913,21.31375,NA
MZO,5,14,NA,62.26,55.36434783,25.3375,NA
MZO,5,15,1.82,62.18904762,55.73565217,31.02375,NA
MZO,5,16,NA,62.31238095,55.02217391,37.73625,NA
MZO,5,17,0.08,62.01857143,53.89826087,43.20375,NA
MZO,5,18,0.08,62.37714286,52.5873913,45.82625,NA
MZO,5,19,11.55,62.31454545,52.16086957,46.1,NA
MZO,5,20,NA,62.17347826,47.66565217,44.385,NA
MZO,5,21,NA,61.75666667,48.96636364,42.61875,NA
MZO,5,22,NA,61.19666667,59.06772727,38.47,NA
MZO,5,23,15.95,62.16333333,66.03043478,31.785,NA
MZO,6,0,8.78,64.32166667,68.46217391,25.10125,NA
MZO,6,1,7.39,66.12791667,70.52913043,19.65625,NA
MZO,6,2,7.49,67.43041667,76.17304348,14.65125,NA
MZO,6,3,3.83,68.115,74.35217391,11.06875,NA
MZO,6,4,1.75,68.73708333,72.89391304,8.2425,NA
MZO,6,5,NA,69.25375,73.10565217,5.5475,NA
MZO,6,6,0.08,69.55,71.7526087,3.8975,NA
MZO,6,7,3.58,69.09625,73.09434783,3.8975,NA
MZO,6,8,0.38,69.19958333,74.52217391,4.03,NA
MZO,6,9,0.27,68.24875,76.32347826,4.51375,NA
MZO,6,10,0.08,67.47125,81.11913043,6.07625,NA
MZO,6,11,NA,68.7825,79.41869565,9.12375,NA
MZO,6,12,NA,68.54458333,71.4626087,13.67125,NA
MZO,6,13,NA,66.00375,66.62826087,18.6775,NA
MZO,6,14,NA,65.73166667,64.33869565,24.32875,NA
MZO,6,15,NA,65.51916667,66.24409091,30.26375,NA
MZO,6,16,NA,64.72666667,65.78909091,36.30625,NA
MZO,6,17,NA,63.97083333,65.70909091,41.86375,NA
MZO,6,18,NA,62.90916667,65.71090909,46.03,NA
MZO,6,19,NA,62.05333333,65.71090909,46.9475,NA
MZO,6,20,41.43,61.79041667,65.32863636,42.67875,NA
MZO,6,21,45.27,62.81541667,62.78347826,41.87142857,NA
MZO,6,22,28.32,67.90708333,53.22,36.55857143,NA
MZO,6,23,NA,69.265,43.80086957,32.03285714,NA
MZO,7,0,NA,68.84583333,39.09391304,26.80428571,NA
MZO,7,1,NA,68.44666667,32.44521739,22.01142857,NA
MZO,7,2,NA,67.61375,23.06608696,17.49428571,NA
MZO,7,3,NA,66.53375,19.05521739,14.23428571,NA
MZO,7,4,NA,65.74333333,16.81304348,16.02142857,NA
MZO,7,5,NA,65.47125,15.62565217,16.0275,NA
MZO,7,6,NA,65.27791667,15.08695652,16.6225,NA
MZO,7,7,18.37,65.27416667,11.93434783,15.00625,NA
MZO,7,8,17.12,65.27333333,10.32521739,13.3775,NA
MZO,7,9,14.83,65.98375,7.924347826,11.3175,NA
MZO,7,10,3.8,66.305,3.212608696,11.9875,NA
MZO,7,11,1.05,64.97541667,2.254782609,13.7425,NA
MZO,7,12,0.08,64.69041667,2.282173913,15.57,NA
MZO,7,13,1.16,64.9825,2.327391304,18.3125,NA
MZO,7,14,1.54,68.27583333,2.394347826,21.395,NA
MZO,7,15,2.09,71.52083333,2.387083333,26.2,NA
MZO,7,16,NA,74.46083333,2.449583333,31.30625,NA
MZO,7,17,0.08,77.8575,2.464583333,36.27125,NA
MZO,7,18,0.08,80.60875,2.470833333,37.95625,NA
MZO,7,19,0.08,82.30666667,2.493333333,38.265,NA
MZO,7,20,0.08,83.31708333,2.42173913,35.4825,NA
MZO,7,21,NA,83.55666667,2.223181818,33.09875,NA
MZO,7,22,NA,79.24333333,2.189047619,31.03625,NA
MZO,7,23,NA,76.55375,2.12952381,28.715,NA
MZO,8,0,NA,75.11916667,2.116666667,26.64375,NA
MZO,8,1,NA,73.58375,2.07952381,24.26,NA
MZO,8,2,NA,72.48958333,2.033333333,22.635,NA
MZO,8,3,NA,71.81541667,1.968571429,21.4925,NA
MZO,8,4,NA,71.07583333,1.937142857,22.4575,NA
MZO,8,5,NA,70.4425,1.909047619,22.49625,NA
MZO,8,6,NA,69.78083333,1.881428571,22.09125,NA
MZO,8,7,NA,68.76333333,1.85047619,20.21,NA
MZO,8,8,NA,67.65791667,1.826190476,17.175,NA
MZO,8,9,NA,67.10083333,1.778095238,14.82,NA
MZO,8,10,NA,66.15791667,1.731904762,14.235,NA
MZO,8,11,NA,65.04416667,1.69,13.16857143,NA
MZO,8,12,NA,64.87583333,1.678095238,11.965,NA
MZO,8,13,NA,65.2975,1.678095238,NA,NA
MZO,8,14,NA,62.51391304,1.678095238,NA,NA
MZO,8,15,NA,59.58318182,1.944285714,NA,NA
MZO,8,16,NA,56.96285714,1.933,NA,NA
MZO,8,17,NA,55.40714286,2.1705,NA,NA
MZO,8,18,NA,54.24809524,2.165,NA,NA
MZO,8,19,NA,53.10380952,2.1715,NA,NA
MZO,8,20,NA,51.81571429,2.177142857,NA,NA
MZO,8,21,NA,50.28190476,2.189545455,14.95666667,NA
MZO,8,22,NA,48.71809524,2.170434783,14.32714286,NA
MZO,8,23,NA,47.61190476,2.179130435,13.68625,NA
MZO,9,0,NA,46.72904762,2.192608696,12.4825,NA
MZO,9,1,NA,46.47428571,2.20173913,11.395,NA
MZO,9,2,NA,46.23761905,2.202608696,12.01125,NA
MZO,9,3,NA,45.56285714,2.195217391,12.945,NA
MZO,9,4,NA,44.78857143,2.188695652,13.715,NA
MZO,9,5,NA,43.82047619,2.180434783,14.585,NA
MZO,9,6,NA,43.03047619,2.17173913,15.29375,NA
MZO,9,7,8.79,42.56904762,2.132608696,15.1175,NA
MZO,9,8,13.42,41.45285714,2.066521739,14.185,NA
MZO,9,9,6.7,39.08095238,2.039130435,13.08125,NA
MZO,9,10,NA,37.29904762,2.025652174,12.0975,NA
MZO,9,11,NA,37.45142857,2.010869565,11.9,NA
MZO,9,12,0.95,36.601,1.989130435,12.5725,NA
MZO,9,13,NA,37.8445,1.947391304,14.04875,NA
MZO,9,14,2.37,40.68142857,1.89826087,15.19,NA
MZO,9,15,0.08,44.19590909,1.596086957,17.745,NA
MZO,9,16,0.89,46.86304348,1.575,20.045,NA
MZO,9,17,NA,44.41,1.337083333,22.43625,NA
MZO,9,18,NA,42.01782609,1.297083333,23.27625,NA
MZO,9,19,NA,40.40304348,1.241666667,23.06875,NA
MZO,9,20,NA,39.3026087,1.520833333,20.72,NA
MZO,9,21,NA,38.42391304,1.50625,19.7525,NA
MZO,9,22,NA,38.33304348,1.48125,20.5725,NA
MZO,9,23,NA,38.23304348,1.474166667,21.3975,NA
MZO,10,0,NA,38.03695652,1.463333333,23.12,NA
MZO,10,1,NA,37.60695652,1.457916667,23.87375,NA
MZO,10,2,NA,37.26,1.459166667,24.43375,NA
MZO,10,3,NA,37.16608696,1.459166667,25.96,NA
MZO,10,4,NA,37.3726087,1.465,29.18625,NA
MZO,10,5,NA,37.73826087,1.465,31.63375,NA
MZO,10,6,NA,37.91782609,1.465,32.34875,NA
MZO,10,7,NA,37.92782609,1.45125,31.3125,NA
MZO,10,8,15.06,38.41478261,1.4,29.45375,NA
MZO,10,9,16.4,39.03434783,1.365416667,28.29125,NA
MZO,10,10,NA,39.88608696,1.338333333,30.37,NA
MZO,10,11,NA,38.91826087,1.316666667,32.5725,NA
MZO,10,12,2.78,38.19333333,1.295416667,33.9225,NA
MZO,10,13,0.08,35.98125,1.280416667,34.41375,NA
MZO,10,14,0.08,33.76916667,1.27,35.49625,NA
MZO,10,15,NA,30.81333333,1.265833333,38.71625,NA
MZO,10,16,NA,27.8875,1.248333333,43.5775,NA
MZO,10,17,NA,28.24666667,1.23625,48.685,NA
MZO,10,18,0.08,28.89208333,1.2275,49.8775,NA
MZO,10,19,6.69,29.87333333,1.2425,48.81625,NA
MZO,10,20,15.63,31.42458333,0.942916667,46.765,NA
MZO,10,21,21.17,32.62125,0.936666667,43.2425,NA
MZO,10,22,22.1,34.54833333,0.973333333,38.80875,NA
MZO,10,23,16.95,36.52875,0.97375,33.9775,NA
MZO,11,0,19.78,38.08875,0.971666667,27.46875,NA
MZO,11,1,19.11,39.34291667,0.96375,20.855,NA
MZO,11,2,17.66,40.83,0.9525,14.68875,NA
MZO,11,3,NA,41.64375,0.966666667,10.02625,NA
MZO,11,4,NA,41.98208333,0.958333333,7.255,NA
MZO,11,5,10.96,42.49583333,1.02375,5.5525,NA
MZO,11,6,8.31,42.85833333,1.079166667,4.8,NA
MZO,11,7,12.09,44.16458333,1.121666667,3.325,NA
MZO,11,8,14.05,45.71666667,1.289166667,2.683333333,NA
MZO,11,9,16.2,50.44541667,1.392916667,3.253333333,NA
MZO,11,10,5.1,53.48,1.425,7.313333333,NA
MZO,11,11,6.06,54.98625,1.45125,12.76166667,NA
MZO,11,12,7.21,56.85958333,1.4825,19.93833333,NA
MZO,11,13,NA,58.3825,1.494583333,29.415,NA
MZO,11,14,NA,59.01458333,1.494583333,33.63142857,NA
MZO,11,15,NA,58.84583333,1.49375,36.53125,NA
MZO,11,16,0.08,58.7425,1.506666667,43.1325,NA
MZO,11,17,0.08,59.07166667,1.505833333,48.605,NA
MZO,11,18,0.08,59.42791667,1.505,51.24625,NA
