DATOS HORARIOS 2023_DIF,,,,,,,,,,,,,,
NOTA,LOS DATOS SON REVALIDADOS,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MES,DÍA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m3],PM2.5 [µg/m3],TEMP,WS,WD,HR,PBAR,UV
AGOSTO,3,7,0.021,0.077,0.013,0.56,35,24,19.47,3.09,60.78,65.25,626.39,0.11
AGOSTO,3,8,0.019,0.043,0.014,0.64,40,21,20.35,2.58,67.43,61.28,626.75,0.54
AGOSTO,3,9,0.025,0.022,0.010,0.61,53,22,21.34,3.7,83.87,58.15,626.94,1.54
AGOSTO,3,10,0.031,0.012,0.009,0.57,44,13,22.61,3.91,79.37,51.76,626.89,2.67
AGOSTO,3,11,0.035,0.010,0.009,0.6,41,8,23.98,3.87,90.55,45.71,626.53,3.99
AGOSTO,3,12,0.042,0.009,0.009,0.6,47,11,25.14,3.61,97.41,40.4,626.14,5.23
AGOSTO,3,13,0.046,0.009,0.009,0.56,39,4,26.58,3.38,108.94,36.81,625.44,5.65
AGOSTO,3,14,0.050,0.008,0.009,0.53,117,9,28.05,3.04,117.59,33.67,624.71,5.64
AGOSTO,3,15,0.052,0.007,0.009,0.55,32,1,29.6,3.11,115.6,29.55,623.93,4.89
AGOSTO,3,16,0.054,0.007,0.009,0.5,39,1,30.61,2.77,112.32,27.55,623.17,3.56
AGOSTO,3,17,0.048,0.007,0.009,0.49,30,9,29.25,3.96,92.21,29.72,622.86,1.6
AGOSTO,3,18,0.040,0.008,0.010,0.59,33,20,25.42,5.97,89.15,44.08,623.17,0.62
AGOSTO,3,19,0.037,0.018,0.015,0.85,105,36,20.34,5.68,70.53,64.72,623.96,0.16
AGOSTO,3,20,0.026,0.023,0.017,1.21,50,33,19.88,3.5,41.06,73.81,624.28,0.2
AGOSTO,3,21,0.025,0.010,0.016,0.77,9,20,19.67,3.22,113.48,75.1,624.86,0.46
AGOSTO,3,22,0.027,0.009,0.013,0.62,19,15,19.55,2.82,125.09,74.78,625.63,0.71
AGOSTO,3,23,0.026,0.008,0.012,0.58,18,16,18.34,3.18,74.67,85.17,626.17,0.96
