DATOS HORARIOS 2023_DIF,,,,,,,,,,,,,,
NOTA,LOS DATOS SON REVALIDADOS,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MES,DÍA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m3],PM2.5 [µg/m3],TEMP,WS,WD,HR,PBAR,UV
AGOSTO,10,20,0.059,0.006,0.013,0.59,22,23,27.54,2.78,205.36,38.77,623.56,4.5
AGOSTO,10,21,0.043,0.006,0.012,0.56,43,27,25.27,3.61,184.73,49.04,624.55,4.26
AGOSTO,10,22,0.047,0.006,0.011,0.55,39,36,22.17,4.23,101.81,57.43,625.65,3.54
AGOSTO,10,23,0.047,0.006,0.010,0.54,76,34,18.73,2.44,207.48,79.26,626.27,3.74
AGOSTO,11,0,0.044,0.006,0.011,0.49,22,8,18.22,2.32,268.52,80.54,625.75,5.08
AGOSTO,11,1,0.038,0.006,0.012,0.51,16,NA,18.35,1.57,202.32,81.78,625.66,7.07
AGOSTO,11,2,0.037,0.006,0.012,0.48,15,NA,18.59,1.62,277.92,79.71,625.81,9.32
AGOSTO,11,3,0.041,0.006,0.011,0.5,16,NA,18.62,2.12,303.17,79.62,625.71,10.56
AGOSTO,11,4,0.039,0.006,0.011,0.5,17,NA,18.3,1.74,292.41,82.67,625.51,10.84
AGOSTO,11,5,0.035,0.006,0.011,0.49,3,NA,17.88,1.08,259.86,85.31,625.54,10.62
AGOSTO,11,6,0.031,0.006,0.013,0.51,5,NA,18.02,1.19,279.08,84.91,625.81,10.18
AGOSTO,11,7,0.025,0.006,0.016,0.56,29,NA,17.99,1.06,294.16,85.57,626.15,9.62
AGOSTO,11,8,0.016,0.006,0.022,0.84,29,NA,18.59,1.02,217.92,83.08,626.43,10.22
AGOSTO,11,9,0.026,0.006,0.017,0.79,36,NA,20.03,1.35,213.29,76.45,626.62,NA
AGOSTO,11,10,0.048,0.006,0.009,0.54,55,NA,22.63,1.8,242.88,64.33,626.71,NA
AGOSTO,11,11,0.057,0.006,0.008,0.52,26,NA,24.62,1.93,240.21,56.11,626.61,NA
AGOSTO,11,12,0.056,0.006,0.008,0.57,22,NA,25.4,2.53,244.27,55.14,626.34,NA
AGOSTO,11,13,0.058,0.006,0.007,0.5,27,NA,26.74,2.29,253.34,51.01,625.82,NA
AGOSTO,11,14,0.061,0.006,0.007,0.49,23,NA,27.86,2.58,246.19,45.99,625.17,NA
AGOSTO,11,15,0.066,0.006,0.007,0.49,26,NA,28.92,2.56,240.21,39.24,624.43,NA
AGOSTO,11,16,0.073,0.007,0.008,0.5,26,NA,30.35,2.26,226.21,33.52,623.43,NA
AGOSTO,11,17,0.074,0.008,0.008,0.45,40,NA,30.23,2.92,266.26,31.57,623.09,NA
AGOSTO,11,18,0.072,0.008,0.008,0.46,18,NA,30.01,3.11,272.14,31.04,622.91,NA
AGOSTO,11,19,0.068,0.007,0.009,0.46,21,NA,29.08,3.17,264.89,31.56,623.12,8.78
AGOSTO,11,20,0.050,0.006,0.012,0.6,18,NA,25.81,4.17,194.22,48.48,623.76,6.92
AGOSTO,11,21,0.056,0.007,0.012,0.6,31,NA,21.92,4.04,195.39,62.7,624.61,4.36
AGOSTO,11,22,0.046,0.006,0.012,0.63,42,NA,21.32,2.5,160.23,67.51,625.17,3.77
AGOSTO,11,23,0.048,0.006,0.012,0.55,18,NA,19.89,2.31,281.66,70.67,626.05,3.53
AGOSTO,12,0,0.039,0.006,0.016,0.63,22,NA,19.8,2.11,143.23,72.37,626.48,3.56
AGOSTO,12,1,0.037,0.006,0.015,0.56,3,NA,18.87,2.9,119.52,82.49,627.09,3.21
AGOSTO,12,2,0.050,0.006,0.009,0.48,5,NA,17.62,2.94,179.99,85.67,626.98,2.81
AGOSTO,12,3,0.057,0.007,0.008,0.44,25,NA,16.9,3.14,145.69,85.36,626.66,2.78
AGOSTO,12,4,0.045,0.006,0.010,0.52,12,NA,16.84,1.75,211.24,87.65,626.56,3.01
AGOSTO,12,5,0.042,0.007,0.010,0.51,13,NA,16.54,1.33,280.8,89.13,626.53,3.18
AGOSTO,12,6,0.038,0.007,0.012,0.49,15,NA,16.22,1.06,283.38,89.24,626.5,3.39
AGOSTO,12,7,0.029,0.007,0.016,0.56,20,NA,15.98,0.67,285.1,90.79,626.78,3.79
AGOSTO,12,8,0.035,0.006,0.018,0.79,17,NA,17.85,1.27,71.55,83.54,627.26,5.46
AGOSTO,12,9,0.041,0.006,0.014,0.73,7,NA,19.83,1.28,110.61,72.99,627.46,7.77
AGOSTO,12,10,0.051,0.011,0.016,0.84,5,NA,21.43,1.4,173.01,68.03,627.45,10.78
AGOSTO,12,11,0.071,0.019,0.015,0.87,26,NA,23.03,1.54,171.87,60.64,627.23,NA
AGOSTO,12,12,0.089,0.022,0.017,1.14,61,NA,24.64,1.86,126.54,54.45,626.95,NA
AGOSTO,12,13,0.077,0.025,0.013,0.93,68,NA,26.04,1.99,128.9,49.88,626.44,NA
AGOSTO,12,14,0.076,0.023,0.011,0.87,49,NA,27.38,1.93,208.18,46.57,625.72,NA
AGOSTO,12,15,0.083,0.034,0.011,0.96,51,NA,28.52,1.96,170.06,42.02,625.03,NA
AGOSTO,12,16,0.082,0.029,0.012,0.78,60,NA,29.45,2.21,211.42,39.62,624.12,NA
AGOSTO,12,17,0.065,0.022,0.012,0.68,61,NA,29.65,2.45,142.75,34.5,623.19,NA
AGOSTO,12,18,0.068,0.018,0.010,0.61,39,NA,29.43,1.99,188.21,34.38,622.84,10.92
AGOSTO,12,19,0.073,0.017,0.012,0.66,33,NA,27.04,2.65,271.82,43.89,623.01,7.68
AGOSTO,12,20,0.059,0.014,0.017,0.8,53,NA,25.78,1.92,254.4,48.46,623.34,6.38
AGOSTO,12,21,0.043,0.012,0.021,0.91,84,NA,25.04,1.65,294.58,51.61,623.94,5.9
AGOSTO,12,22,0.029,0.009,0.021,0.73,56,NA,22.28,4.35,218.18,65.11,624.81,5.19
AGOSTO,12,23,0.040,0.008,0.008,0.52,51,NA,16.15,3.21,203.67,90.65,625.71,3.37
AGOSTO,13,0,0.038,0.007,0.010,0.56,32,NA,17.03,1.37,260.49,84.33,626.07,3.46
AGOSTO,13,1,0.036,0.007,0.009,0.52,33,NA,17.21,1.77,261.94,82.28,625.85,3.73
AGOSTO,13,2,0.028,0.006,0.012,0.54,25,NA,17.17,1.44,293.12,83.77,625.7,3.97
AGOSTO,13,3,0.021,0.006,0.012,0.5,32,NA,16.71,1.34,257.17,87.67,625.74,4.23
AGOSTO,13,4,0.027,0.006,0.010,0.48,33,NA,16.4,1.44,251.84,86.8,625.76,4.55
AGOSTO,13,5,0.032,0.006,0.010,0.55,59,NA,16.39,1.23,216.1,85.46,625.55,4.93
AGOSTO,13,6,0.025,0.006,0.011,0.54,20,NA,16.15,0.8,215.04,86.98,625.49,5.3
AGOSTO,13,7,0.019,0.006,0.013,0.53,27,NA,15.64,1,261.14,89.35,625.68,5.98
AGOSTO,13,8,0.023,0.006,0.013,0.59,33,NA,17.4,1.34,276.85,82.72,626.21,8.89
AGOSTO,13,9,0.025,0.008,0.016,0.75,34,NA,20.34,1.65,103.45,71.94,626.2,NA
AGOSTO,13,10,0.029,0.014,0.011,0.72,50,NA,22.06,2.74,91.78,67.15,626.44,NA
AGOSTO,13,11,0.038,0.010,0.009,0.69,5,NA,23.6,3.65,86.12,56.68,626.48,NA
AGOSTO,13,12,0.045,0.008,0.009,0.64,30,NA,24.8,3.29,86.61,47.31,626.15,NA
AGOSTO,13,13,0.052,0.009,0.009,0.61,35,NA,26.12,2.7,87.93,41.63,625.69,NA
AGOSTO,13,14,0.055,0.009,0.010,0.66,42,NA,27.27,3.09,113.97,38.4,624.89,NA
AGOSTO,13,15,0.056,0.008,0.010,0.61,37,NA,28.29,3.06,110.14,33.63,624.07,NA
AGOSTO,13,16,0.053,0.009,0.010,0.57,40,NA,29.06,3.28,99.14,29.2,623.29,NA
AGOSTO,13,17,0.053,0.007,0.011,0.6,9,NA,28.62,2.8,111.25,29.65,622.89,NA
AGOSTO,13,18,0.053,0.006,0.010,0.58,83,NA,28.15,2.16,174.68,31.33,622.71,NA
AGOSTO,13,19,0.048,0.006,0.012,0.59,31,NA,26.82,2.8,219.37,37.55,622.89,10.24
AGOSTO,13,20,0.049,0.006,0.011,0.54,38,NA,22.88,3.67,236.02,58.2,623.38,7.61
AGOSTO,13,21,0.046,0.006,0.011,0.6,24,NA,21.88,2.75,201.51,62.79,624.57,6.8
AGOSTO,13,22,0.039,0.006,0.009,0.6,21,NA,19.41,5.58,84.72,75.43,625.83,5.69
AGOSTO,13,23,0.033,0.007,0.017,0.55,40,NA,17.56,4.65,67.1,87.79,626.42,4.6
AGOSTO,14,0,0.038,0.016,0.013,0.56,30,NA,17.25,1.76,110.77,87.96,626.33,4.25
AGOSTO,14,1,0.036,0.010,0.011,0.61,21,NA,17.28,1.7,235.74,89.37,626.25,4.19
AGOSTO,14,2,0.032,0.008,0.011,0.6,20,NA,17.19,1.17,200.77,90.84,625.88,4.1
AGOSTO,14,3,0.033,0.007,0.010,0.53,17,NA,17.29,1.54,111.11,89.54,625.36,4.02
AGOSTO,14,4,0.026,0.007,0.010,0.5,14,NA,17.12,2.36,119.2,90.21,625.14,4.06
AGOSTO,14,5,0.020,0.007,0.012,0.53,5,NA,17.28,2.34,109.22,89.36,625.05,4.17
AGOSTO,14,6,0.015,0.006,0.014,0.62,30,NA,17.27,2.05,92.26,88.86,625.08,4.27
AGOSTO,14,7,0.012,0.006,0.014,0.77,26,NA,17.46,2.04,83.57,89.19,625.22,4.57
AGOSTO,14,8,0.012,0.006,0.013,0.85,14,NA,18.95,2.47,85.51,83.44,625.87,5.82
AGOSTO,14,9,0.019,0.007,0.011,0.83,33,NA,21.23,3.23,80.16,73.31,626.07,8.45
AGOSTO,14,10,0.029,0.008,0.010,0.75,31,NA,22.28,3.79,83.03,66.87,626.1,10.97
AGOSTO,14,11,0.036,0.008,0.010,0.73,36,NA,23.77,4.11,86.58,58.16,626.08,NA
AGOSTO,14,12,0.045,0.007,0.010,0.7,5,NA,25.16,4.27,77.67,51.27,625.76,NA
AGOSTO,14,13,0.049,0.009,0.011,0.72,31,NA,26.43,3.92,82.41,45.62,625.17,NA
AGOSTO,14,14,0.051,0.008,0.011,0.75,33,NA,27.36,4.22,94.89,40.87,624.69,NA
AGOSTO,14,15,0.051,0.007,0.012,0.75,35,NA,28.27,3.82,106.3,36.81,624.12,NA
AGOSTO,14,16,0.052,0.007,0.012,0.74,44,NA,28.81,3.85,83.92,35.27,623.41,NA
AGOSTO,14,17,0.038,0.006,0.010,0.65,49,NA,28.24,4.94,76.53,36.11,623.06,NA
AGOSTO,14,18,0.033,0.006,0.010,0.66,68,NA,28,4.58,80.47,36.68,622.92,10.58
AGOSTO,14,19,0.028,0.008,0.011,0.61,36,NA,26.88,4.87,66.94,40.34,623.26,8.02
AGOSTO,14,20,0.021,0.012,0.012,0.66,49,NA,25.07,4.85,67.59,46.95,623.72,6.28
AGOSTO,14,21,0.021,0.016,0.011,0.62,41,NA,23.38,5.11,63.28,54.29,624.55,5.38
AGOSTO,14,22,0.021,0.011,0.011,0.58,28,NA,21.97,4.41,67.22,62.22,625.05,4.84
AGOSTO,14,23,0.020,0.011,0.010,0.56,29,NA,21,3.17,86.83,67.53,625.4,4.49
AGOSTO,15,0,0.025,0.009,0.007,0.47,27,NA,20.79,5.87,72.38,62.76,625.86,4.45
AGOSTO,15,1,0.024,0.013,0.009,0.44,20,NA,20.29,3.9,83.73,59.32,626.2,4.26
AGOSTO,15,2,0.027,0.009,0.006,0.42,25,NA,19.81,4.85,74.8,61.12,626.01,4.06
AGOSTO,15,3,0.024,0.010,0.009,0.43,25,NA,19.22,3.63,81.28,63.94,625.74,4.47
AGOSTO,15,4,0.023,0.015,0.008,0.42,29,NA,18.78,4.97,68.08,65.76,625.6,4.11
AGOSTO,15,5,0.015,0.028,0.012,0.44,29,NA,18.08,3.16,77.78,68.77,625.61,3.89
AGOSTO,15,6,0.016,0.026,0.011,0.48,91,NA,17.33,2.79,83.48,72,625.98,4.01
AGOSTO,15,7,0.012,0.021,0.013,0.58,38,NA,17.09,2.94,87.08,72.96,626.12,4
AGOSTO,15,8,0.014,0.016,0.012,0.74,46,NA,18.35,3.05,69.34,67.06,626.43,4.76
AGOSTO,15,9,0.019,0.017,0.009,0.67,56,NA,19.76,4.25,82.87,60.56,626.84,6.34
AGOSTO,15,10,0.025,0.010,0.008,0.62,73,NA,20.68,5.73,87.86,55.17,627.08,7.58
AGOSTO,15,11,0.030,0.008,0.008,0.61,30,NA,22.24,6.2,79.81,50.24,626.96,8.83
AGOSTO,15,12,0.036,0.007,0.009,0.65,66,NA,23.71,5.7,86.49,46.26,626.6,10.39
AGOSTO,15,13,0.040,0.009,0.010,0.62,45,NA,25.35,5.98,77.51,41.22,625.98,NA
AGOSTO,15,14,0.040,0.008,0.009,0.66,7,NA,26.49,5.9,77.56,38.71,625.46,NA
AGOSTO,15,15,0.040,0.008,0.009,0.66,57,NA,27.36,6.06,85.58,36.35,624.96,NA
AGOSTO,15,16,0.036,0.007,0.009,0.58,90,NA,28.11,6.22,74.29,32.1,624.46,NA
AGOSTO,15,17,0.034,0.010,0.010,0.64,70,NA,28.16,6.07,73.96,30.66,624.13,9.71
AGOSTO,15,18,0.032,0.004,0.009,0.59,64,NA,26.35,7.26,87.72,35.37,624.29,7.49
AGOSTO,15,19,0.030,0.004,0.010,0.65,97,NA,24.04,6.15,89.28,42.47,624.84,5.41
AGOSTO,15,20,0.021,0.015,0.012,0.63,56,NA,22.32,4.98,75.71,50.92,625.07,4.35
AGOSTO,15,21,0.020,0.017,0.012,0.69,37,NA,21.05,4.39,82.09,56.35,625.57,3.91
AGOSTO,15,22,0.025,0.013,0.010,0.63,34,NA,20.13,3.34,85.62,57.27,626.31,3.65
AGOSTO,15,23,0.023,0.008,0.011,0.58,40,NA,19.36,3.12,72.09,62.06,626.73,3.46
AGOSTO,16,0,0.019,0.006,0.011,0.52,31,NA,18.33,3.21,90.55,67.92,626.85,3.28
AGOSTO,16,1,0.025,0.011,0.009,0.45,20,NA,18.11,4.37,75.5,65.56,626.62,3.22
AGOSTO,16,2,0.020,0.027,0.012,0.44,10,NA,17.72,3.41,80.79,66.62,626.38,3.13
AGOSTO,16,3,0.025,0.012,0.008,0.43,52,NA,17.13,2.57,113.82,67.81,626.13,3.01
AGOSTO,16,4,0.022,0.007,0.008,0.43,12,NA,16.25,2.62,81.64,72.11,625.99,2.9
AGOSTO,16,5,0.018,0.009,0.010,0.44,14,NA,15.72,3.04,77.8,76.21,626.08,2.99
AGOSTO,16,6,0.014,0.031,0.012,0.47,16,NA,15.75,3.39,70.98,75.14,625.92,3.16
AGOSTO,16,7,0.014,0.010,0.010,0.6,42,NA,15.08,2.82,84.29,76.59,626,3.15
AGOSTO,16,8,0.013,0.014,0.011,0.71,43,NA,16.81,3.39,74.05,67.58,626.15,3.88
AGOSTO,16,9,0.017,0.024,0.010,0.67,61,NA,18.99,3.83,78.24,57.2,626.29,5.28
AGOSTO,16,10,0.023,0.014,0.008,0.62,71,NA,20.81,5.75,76.2,47.81,626.21,6.86
AGOSTO,16,11,0.030,0.008,0.008,0.6,59,NA,22.73,6.09,78.53,43.06,626.06,8.41
AGOSTO,16,12,0.036,0.005,0.009,0.65,65,NA,24.31,6.23,88.36,39.8,625.66,9.92
AGOSTO,16,13,0.040,0.005,0.009,0.64,60,NA,25.65,6.43,92.46,36.38,625.06,10.54
AGOSTO,16,14,0.041,0.004,0.010,0.65,63,NA,26.77,5.55,82.38,34.93,624.61,10.2
AGOSTO,16,15,0.040,0.006,0.010,0.66,16,NA,27.57,5.9,81.55,33.73,624.06,9.67
AGOSTO,16,16,0.040,0.008,0.009,0.6,75,NA,28.04,6.42,72.57,32.48,623.52,8.87
AGOSTO,16,17,0.032,0.008,0.010,0.64,60,NA,26.79,5.79,77.71,35.04,623.35,6.09
AGOSTO,16,18,0.029,0.014,0.010,0.61,49,NA,26.71,5.33,69.35,35.4,623.32,6.09
AGOSTO,16,19,0.029,0.008,0.009,0.58,55,NA,25.46,5.39,51.9,39.94,623.66,4.71
AGOSTO,16,20,0.025,0.006,0.010,0.62,44,NA,23.47,4.56,55.53,47.05,624.12,4.17
AGOSTO,16,21,0.027,0.005,0.009,0.62,41,NA,22.14,4.58,56.66,52.18,624.78,3.94
AGOSTO,16,22,0.027,0.006,0.009,0.56,28,NA,20.98,3.89,60.44,56.26,625.35,3.79
AGOSTO,16,23,0.028,0.006,0.009,0.52,23,NA,20.41,3.88,56.93,57.92,625.64,3.74
AGOSTO,17,0,0.028,0.007,0.008,0.49,18,NA,20.07,3.67,55.26,59.18,625.86,3.7
AGOSTO,17,1,0.027,0.007,0.008,0.52,20,NA,19.59,2.57,48.83,61.66,625.76,3.6
AGOSTO,17,2,0.026,0.006,0.009,0.52,33,NA,19.34,2.32,68.93,63.09,625.53,3.85
AGOSTO,17,3,0.023,0.011,0.010,0.47,15,NA,18.65,2.1,88.23,67.24,625.32,4.09
AGOSTO,17,4,0.021,0.007,0.010,0.48,20,NA,18.3,2.08,93.57,68.94,625.26,3.68
AGOSTO,17,5,0.019,0.005,0.010,0.47,12,NA,18.27,2.04,96.87,66.97,625.31,3.47
AGOSTO,17,6,0.015,0.005,0.012,0.52,24,NA,18.28,2.13,125.6,66.77,625.43,3.35
AGOSTO,17,7,0.014,0.004,0.013,0.6,24,NA,18.17,2.75,131.69,68.44,625.64,3.3
AGOSTO,17,8,0.014,0.004,0.014,0.74,28,NA,18.02,2.79,118.44,72.86,626.03,3.48
AGOSTO,17,9,0.014,0.004,0.013,0.91,37,NA,17.63,2.42,101.93,78.82,626.34,4.21
AGOSTO,17,10,0.017,0.004,0.012,0.81,31,NA,18.98,3.07,99.71,74.8,626.38,5.25
AGOSTO,17,11,0.025,0.004,0.011,0.75,35,NA,20.59,3.41,86.94,65.69,626.42,5.89
AGOSTO,17,12,0.036,0.004,0.010,0.75,37,NA,22.97,2.85,105.29,57.05,626.27,8.15
AGOSTO,17,13,0.039,0.004,0.011,0.75,29,NA,23.4,2.12,113.18,56.34,625.97,6.49
AGOSTO,17,14,0.032,0.004,0.013,0.84,30,NA,21.44,3.28,118.19,68.33,625.77,4.96
AGOSTO,17,15,0.031,0.004,0.013,0.88,37,NA,21.42,1.41,119.36,75.6,625.13,6.14
AGOSTO,17,16,0.039,0.004,0.011,0.74,23,NA,24.55,1.27,123.27,56.64,624.38,6.11
AGOSTO,17,17,0.036,0.006,0.013,0.88,27,NA,24.5,1.93,146.49,55.98,624.3,5.19
AGOSTO,17,18,0.034,0.005,0.013,0.86,35,NA,22.73,3.82,112.66,63.42,624.62,4.53
AGOSTO,17,19,0.028,0.004,0.015,0.9,38,NA,18.96,2.84,76.08,80.24,625.18,3.85
AGOSTO,17,20,0.024,0.004,0.017,0.96,29,NA,18.85,1.85,100.35,81.65,625.26,3.64
AGOSTO,17,21,0.021,0.004,0.017,0.96,32,NA,18.75,2.35,85.53,82.36,625.59,3.44
AGOSTO,17,22,0.021,0.004,0.014,0.74,34,NA,18.3,2.93,89.44,82.86,626.12,3.26
AGOSTO,17,23,0.019,0.004,0.014,0.74,3,NA,18.28,3.38,87.5,83.12,626.52,3.21
AGOSTO,18,0,0.025,0.004,0.011,0.59,10,NA,18.23,3.82,89.85,80.37,626.41,3.14
AGOSTO,18,1,0.026,0.004,0.011,0.53,88,NA,17.73,2.88,84.23,81.23,626.14,3.03
AGOSTO,18,2,0.026,0.004,0.010,0.51,12,NA,17.51,3.06,87.79,82.27,625.9,2.98
AGOSTO,18,3,0.025,0.004,0.010,0.49,14,NA,17.33,2.12,97.3,83.37,625.76,2.93
AGOSTO,18,4,0.020,0.003,0.012,0.51,12,NA,17.34,2.03,96.8,83.91,625.5,2.89
AGOSTO,18,5,0.018,0.003,0.012,0.51,12,NA,17.34,1.92,120.38,84.65,625.29,2.84
AGOSTO,18,6,0.011,0.003,0.016,0.62,18,NA,17.16,2.26,119.2,86.12,625.35,2.87
AGOSTO,18,7,0.008,0.003,0.017,0.76,39,NA,17.12,1.75,94.56,87.47,625.63,3.1
AGOSTO,18,8,0.009,0.004,0.016,0.95,40,NA,17.81,1.89,79.07,85.32,625.93,3.64
AGOSTO,18,9,0.017,0.004,0.012,0.82,49,NA,20.1,2.96,85.64,75.24,625.95,4.83
AGOSTO,18,10,0.028,0.003,0.010,0.77,56,NA,21.9,3.58,91.22,66.22,625.94,5.87
AGOSTO,18,11,0.033,0.003,0.010,0.77,5,NA,22.78,3.09,89.65,62.39,625.94,6.87
AGOSTO,18,12,0.039,0.004,0.009,0.7,26,NA,24.39,2.72,94.15,55.43,625.65,8.41
AGOSTO,18,13,0.042,0.004,0.010,0.71,24,NA,25.34,2.58,121.41,52.71,625.21,8.41
AGOSTO,18,14,0.046,0.006,0.010,0.7,27,NA,26.51,2.74,102.48,48.89,624.51,8.99
AGOSTO,18,15,0.045,0.007,0.009,0.66,37,NA,27.94,2.82,109.6,39.75,623.64,8.56
AGOSTO,18,16,0.051,0.006,0.010,0.7,33,NA,28.29,3.17,108.45,41.04,622.94,6.46
AGOSTO,18,17,0.051,0.005,0.013,0.75,36,NA,27,3.16,141.64,44.62,622.88,4.47
AGOSTO,18,18,0.039,0.004,0.009,0.58,42,NA,22.53,5.24,234.44,63.38,623.47,3.53
AGOSTO,18,19,0.034,0.004,0.010,0.63,31,NA,18.65,2.9,200.82,86.22,624.43,3.16
AGOSTO,18,20,0.026,0.003,0.012,0.65,22,NA,17.92,1.86,233.73,89.2,624.75,3.17
AGOSTO,18,21,0.024,0.003,0.015,0.8,3,NA,17.7,2.23,65.53,92.11,625.54,3.17
AGOSTO,18,22,0.028,0.004,0.014,0.69,3,NA,17.56,1.17,212.84,93.77,626.13,3.06
AGOSTO,18,23,0.029,0.003,0.012,0.66,4,NA,17.43,1.58,75.89,94.65,626.67,2.95
AGOSTO,19,0,0.032,0.003,0.011,0.64,14,NA,17.25,1,120.63,94.87,626.81,2.84
AGOSTO,19,1,0.030,0.003,0.010,0.58,14,NA,17.27,1.51,101.5,95.05,626.65,2.81
AGOSTO,19,2,0.028,0.003,0.010,0.55,16,NA,17.31,1.04,124.03,95.29,626.33,2.76
AGOSTO,19,3,0.027,0.003,0.011,0.55,20,NA,17.44,1.26,76.45,95.08,626.18,2.71
AGOSTO,19,4,0.030,0.003,0.008,0.54,24,NA,17.51,1.14,100.19,94.03,625.94,2.69
AGOSTO,19,5,0.031,0.003,0.009,0.54,22,NA,17.58,0.88,141.27,91.87,625.83,2.67
AGOSTO,19,6,0.019,0.003,0.013,0.56,4,NA,17.55,1.17,295.81,92.52,625.71,2.68
AGOSTO,19,7,0.015,0.003,0.016,0.73,16,NA,17.52,1.18,143.65,93.56,625.81,2.73
AGOSTO,19,8,0.014,0.003,0.016,0.93,17,NA,18.17,1.92,92.21,90.89,626.11,3.24
AGOSTO,19,9,0.018,0.003,0.013,0.89,23,NA,18.85,2.51,103.68,86.49,626.19,4.19
AGOSTO,19,10,0.027,0.003,0.011,0.81,4,NA,20.32,2.53,87.96,77.72,626.22,5.28
AGOSTO,19,11,0.032,0.004,0.011,0.81,20,NA,22.01,2.99,90.24,69.03,626.15,6.98
AGOSTO,19,12,0.039,0.004,0.010,0.8,44,NA,23.14,3.25,97.15,63.79,625.97,7.83
AGOSTO,19,13,0.047,0.004,0.010,0.75,25,NA,24.71,2.81,91.78,57.13,625.56,8.57
AGOSTO,19,14,0.051,0.004,0.010,0.73,35,NA,26.26,2.59,123.59,50.11,624.78,8.83
AGOSTO,19,15,0.047,0.006,0.010,0.7,51,NA,27.47,2.4,98.97,44.15,623.68,8.05
AGOSTO,19,16,0.046,0.012,0.012,0.78,48,NA,27.81,2.44,105.05,42.81,623.11,6.18
AGOSTO,19,17,0.039,0.009,0.010,0.69,43,NA,24.93,4.94,62.42,53.38,623.18,4.05
AGOSTO,19,18,0.037,0.006,0.010,0.71,92,NA,20.5,4.19,122.65,70.83,624.04,2.86
AGOSTO,19,19,0.033,0.005,0.011,0.66,24,NA,18.65,2.31,192.82,80.7,624.71,2.76
AGOSTO,19,20,0.031,0.004,0.010,0.59,7,NA,18.31,2.21,285.69,82.19,624.95,2.62
AGOSTO,19,21,0.028,0.004,0.012,0.75,10,NA,17.29,2.18,146.77,87.93,625.82,2.49
AGOSTO,19,22,0.031,0.004,0.012,0.76,20,NA,16.63,2.22,100.27,92.46,626.46,2.38
AGOSTO,19,23,0.031,0.004,0.011,0.7,4,NA,16.2,1.47,114.53,93.32,626.78,2.33
AGOSTO,20,0,0.034,0.003,0.009,0.56,15,NA,16.24,1.63,191.95,94.27,626.66,2.35
AGOSTO,20,1,0.031,0.003,0.009,0.55,13,NA,16.35,1.12,236.56,94.23,626.66,2.37
AGOSTO,20,2,0.028,0.004,0.010,0.58,10,NA,16.47,0.94,225.37,94.08,626.4,2.41
AGOSTO,20,3,0.023,0.003,0.012,0.55,12,NA,16.24,1.15,243.73,94.15,626.15,2.42
AGOSTO,20,4,0.021,0.004,0.012,0.54,16,NA,16.16,1.26,231.21,94.55,625.95,2.41
AGOSTO,20,5,0.025,0.003,0.010,0.53,17,NA,16.12,0.61,126.91,94.43,625.94,2.41
AGOSTO,20,6,0.022,0.004,0.011,0.57,16,NA,16.39,0.84,135.49,94.47,626.13,2.49
AGOSTO,20,7,0.020,0.004,0.011,0.62,7,NA,16.42,1.31,95.76,94.34,626.42,2.53
AGOSTO,20,8,0.017,0.003,0.012,0.73,42,NA,16.64,1.81,112.06,93.93,626.77,2.77
AGOSTO,20,9,0.019,0.004,0.011,0.72,19,NA,17.04,3.32,84.58,90.82,626.96,3.04
AGOSTO,20,10,0.029,0.004,0.009,0.75,74,NA,17.97,3.91,83.94,75.77,626.94,3.87
AGOSTO,20,11,0.029,0.004,0.010,0.78,11,NA,19.38,3.11,91.66,66.71,626.64,4.96
AGOSTO,20,12,0.029,0.005,0.011,0.78,31,NA,20.66,2.69,92.99,57.6,626.21,5.16
AGOSTO,20,13,0.030,0.006,0.011,0.84,42,NA,22.1,2.5,123.13,53.18,625.85,5.62
AGOSTO,20,14,0.034,0.004,0.011,0.82,50,NA,22.47,3.53,97.77,54.82,625.73,5.58
AGOSTO,20,15,0.033,0.004,0.010,0.81,50,NA,22.22,3.39,70.22,57.06,625.39,4.22
AGOSTO,20,16,0.032,0.004,0.010,0.71,41,NA,21.6,3.15,84.75,57.48,625.06,3.65
AGOSTO,20,17,0.027,0.004,0.012,0.82,42,NA,21.54,2.72,48.16,56.35,624.72,3.36
AGOSTO,20,18,0.026,0.005,0.013,0.81,60,NA,21.41,2.57,90.56,56.9,624.71,3.17
AGOSTO,20,19,0.023,0.005,0.013,0.84,64,NA,20.88,2.67,89.76,61.48,625,2.78
AGOSTO,20,20,0.019,0.006,0.014,0.85,53,NA,20.27,3.02,76.59,63.43,625.58,2.63
AGOSTO,20,21,0.019,0.011,0.012,0.67,8,NA,19.75,4.28,65.32,59.71,626.01,2.6
AGOSTO,20,22,0.022,0.007,0.010,0.58,68,NA,19.33,4.05,61.62,57.77,626.09,2.54
AGOSTO,20,23,0.020,0.006,0.011,0.61,56,NA,18.92,2.72,62.79,64.48,626.21,2.47
AGOSTO,21,0,0.024,0.008,0.010,0.57,44,NA,18.47,2.43,92.52,67.93,626.27,2.38
AGOSTO,21,1,0.023,0.006,0.009,0.5,27,NA,17.43,2.41,109.92,74.38,626.05,2.28
AGOSTO,21,2,0.027,0.005,0.008,0.48,25,NA,17.14,2.73,91.93,73.67,625.78,2.21
