DATOS HORARIOS 2023_DIF,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR
FEBRERO,1,0,0.018,0.009,1.02,0.014,66,26.39,18.70,0.80,247.34,47.90,623.59
FEBRERO,1,1,0.018,0.009,1.02,0.014,54,24.16,18.47,0.82,207.52,47.23,623.71
FEBRERO,1,2,0.009,0.009,1.00,0.020,46,24.10,17.46,1.88,121.63,49.69,623.70
FEBRERO,1,3,0.008,0.009,1.00,0.019,54,34.73,15.90,2.52,99.87,57.78,623.62
FEBRERO,1,4,0.013,0.009,0.99,0.014,58,27.29,14.83,2.59,93.33,63.77,623.38
FEBRERO,1,5,0.013,0.008,0.98,0.012,52,28.20,13.89,2.37,113.48,68.37,623.38
FEBRERO,1,6,0.010,0.008,1.01,0.015,45,24.83,13.11,2.61,101.70,73.18,623.64
FEBRERO,1,7,0.005,0.008,1.13,0.017,44,27.88,12.55,2.24,88.24,76.54,624.07
FEBRERO,1,8,0.002,0.008,1.25,0.020,54,29.89,12.38,2.22,89.36,77.92,624.61
FEBRERO,1,9,0.006,0.008,1.22,0.019,60,30.67,13.48,3.12,92.22,72.94,625.15
FEBRERO,1,10,0.017,0.008,1.13,0.014,81,26.23,16.02,3.61,94.44,64.22,625.61
FEBRERO,1,11,0.025,0.007,1.10,0.012,72,27.89,18.21,3.17,105.95,56.17,625.84
FEBRERO,1,12,0.032,0.016,1.08,0.013,101,27.05,20.16,2.50,119.42,47.90,625.38
FEBRERO,1,13,0.041,0.022,1.06,0.011,64,22.07,21.98,2.18,140.96,40.34,624.54
FEBRERO,1,14,0.042,0.012,1.06,0.011,60,19.20,23.69,2.49,129.14,34.86,623.64
FEBRERO,1,15,0.045,0.010,1.06,0.011,105,11.79,24.47,2.53,145.50,32.55,622.85
FEBRERO,1,16,0.048,0.009,1.04,0.010,48,15.65,25.50,2.17,162.55,29.64,622.20
FEBRERO,1,17,0.053,0.009,0.99,0.008,48,20.50,25.77,2.63,269.24,28.88,621.97
