DATOS HORARIOS 2023_DIF,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR
ABRIL,3,13,0.057,0.008,0.90,0.008,60,9,29.55,2.99,263.15,NA,621.44
ABRIL,3,14,0.061,0.008,0.89,0.008,58,8,30.99,2.36,185.47,NA,620.57
ABRIL,3,15,0.065,0.008,0.90,0.008,345,4,32.16,2.42,203.39,NA,619.69
ABRIL,3,16,0.068,0.008,0.88,0.007,96,8,32.96,2.24,184.51,NA,618.99
ABRIL,3,17,0.066,0.008,0.89,0.009,42,26,33.30,2.46,225.10,NA,618.50
ABRIL,3,18,0.068,0.008,0.88,0.008,42,22,32.83,2.27,256.07,NA,618.20
ABRIL,3,19,0.063,0.008,0.90,0.011,36,27,31.80,2.03,266.76,NA,618.42
ABRIL,3,20,0.042,0.008,0.91,0.014,52,36,29.46,2.87,236.65,NA,618.74
ABRIL,3,21,0.045,0.008,0.92,0.013,86,27,27.88,3.44,236.15,NA,619.44
ABRIL,3,22,0.043,0.008,0.91,0.011,42,38,26.37,3.52,237.40,NA,620.25
ABRIL,3,23,0.040,0.008,0.91,0.009,50,41,24.84,3.21,236.41,NA,620.97
ABRIL,4,0,0.038,0.008,0.90,0.009,53,34,23.55,2.84,242.38,NA,621.67
ABRIL,4,1,0.039,0.008,0.89,0.008,74,37,22.81,2.76,214.07,NA,621.76
ABRIL,4,2,0.035,0.008,0.89,0.008,36,31,21.46,2.74,223.22,NA,621.68
ABRIL,4,3,0.032,0.008,0.88,0.008,45,25,20.53,3.43,232.26,NA,621.35
ABRIL,4,4,0.029,0.008,0.88,0.008,57,22,19.78,2.16,237.61,NA,621.26
ABRIL,4,5,0.026,0.008,0.88,0.010,73,24,18.81,1.81,250.29,NA,621.26
ABRIL,4,6,0.022,0.008,0.88,0.013,47,23,17.81,1.33,263.54,NA,621.38
ABRIL,4,7,0.018,0.008,0.91,0.015,41,22,17.18,1.76,252.37,NA,621.62
ABRIL,4,8,0.016,0.008,0.91,0.016,43,24,17.36,1.88,279.69,NA,621.99
ABRIL,4,9,0.020,0.008,0.92,0.013,49,18,18.90,1.73,280.97,NA,622.40
ABRIL,4,10,0.033,0.008,0.90,0.009,53,16,21.80,2.58,259.26,NA,622.54
ABRIL,4,11,0.042,0.008,0.89,0.008,10,13,24.95,2.68,264.72,NA,622.29
ABRIL,4,12,0.049,0.008,0.89,0.007,124,10,26.77,3.02,264.44,NA,621.79
ABRIL,4,13,0.056,0.009,0.89,0.007,42,8,28.07,3.34,261.53,NA,621.11
ABRIL,4,14,0.058,0.008,0.89,0.007,45,9,29.71,3.24,262.01,NA,620.20
ABRIL,4,15,0.062,0.008,0.90,0.008,96,8,30.66,3.73,269.96,NA,619.41
ABRIL,4,16,0.061,0.008,0.89,0.008,62,19,29.60,3.81,270.76,NA,618.92
ABRIL,4,17,0.059,0.008,0.90,0.009,108,17,29.56,3.50,251.79,NA,618.74
ABRIL,4,18,0.058,0.008,0.89,0.008,52,25,29.22,3.91,264.81,NA,618.79
ABRIL,4,19,0.056,0.008,0.91,0.011,157,28,28.56,2.99,253.36,NA,618.98
ABRIL,4,20,0.042,0.008,0.94,0.017,66,41,27.11,2.42,247.79,NA,619.42
ABRIL,4,21,0.037,0.008,0.93,0.015,182,38,25.61,2.55,254.54,NA,620.01
ABRIL,4,22,0.036,0.008,0.92,0.013,66,40,24.03,3.24,254.86,NA,620.59
ABRIL,4,23,0.031,0.008,0.91,0.013,51,35,22.20,2.44,272.26,NA,621.20
ABRIL,5,0,0.030,0.008,0.90,0.014,46,30,20.96,1.31,267.83,NA,621.55
ABRIL,5,1,0.030,0.008,0.91,0.015,55,34,20.93,1.41,221.60,NA,621.68
ABRIL,5,2,0.030,0.008,0.90,0.013,66,38,20.12,1.98,236.67,NA,621.44
ABRIL,5,3,0.033,0.008,0.88,0.009,49,20,19.11,2.02,235.69,NA,621.15
ABRIL,5,4,0.027,0.008,0.88,0.010,37,23,17.54,1.70,274.51,NA,620.99
ABRIL,5,5,0.023,0.008,0.88,0.013,36,24,16.27,1.70,272.13,NA,621.15
ABRIL,5,6,0.019,0.008,0.90,0.016,43,28,15.75,1.33,289.51,NA,621.48
ABRIL,5,7,0.011,0.008,0.93,0.022,46,29,15.53,1.29,285.18,NA,621.84
ABRIL,5,8,0.013,0.009,1.01,0.022,58,25,17.51,1.22,294.74,NA,621.95
ABRIL,5,9,0.025,0.008,0.95,0.016,75,25,19.63,2.02,250.72,NA,622.29
ABRIL,5,10,0.042,0.008,0.91,0.009,129,18,22.58,1.90,269.78,NA,622.39
ABRIL,5,11,0.049,0.008,0.90,0.008,6,18,24.28,1.99,258.51,NA,622.22
ABRIL,5,12,0.057,0.008,0.90,0.008,47,13,25.78,2.36,256.97,NA,621.85
ABRIL,5,13,0.059,0.008,0.90,0.008,40,12,27.20,2.56,257.62,NA,621.19
ABRIL,5,14,0.057,0.008,0.91,0.009,40,13,28.14,2.21,217.65,NA,620.62
ABRIL,5,15,0.059,0.008,0.91,0.009,47,6,29.09,2.60,261.11,NA,619.82
ABRIL,5,16,0.065,0.008,0.90,0.009,102,17,28.97,3.55,287.95,NA,619.25
ABRIL,5,17,0.059,0.008,0.90,0.008,64,20,29.07,2.98,270.69,NA,618.81
ABRIL,5,18,0.059,0.008,0.89,0.008,43,18,29.18,2.32,286.10,NA,618.52
ABRIL,5,19,0.052,0.008,0.92,0.013,38,25,28.85,2.10,262.49,NA,618.52
ABRIL,5,20,0.036,0.008,0.95,0.019,65,39,26.79,2.42,254.13,NA,619.06
ABRIL,5,21,0.029,0.008,0.96,0.021,61,42,25.23,2.16,234.76,NA,620.01
ABRIL,5,22,0.033,0.008,0.95,0.016,65,35,24.21,2.37,221.41,NA,620.62
ABRIL,5,23,0.031,0.008,0.94,0.015,67,26,23.43,1.64,194.58,NA,621.19
ABRIL,6,0,0.028,0.008,0.94,0.017,44,34,22.26,1.33,144.48,NA,621.47
ABRIL,6,1,0.024,0.008,0.93,0.017,50,34,21.21,1.22,227.09,NA,621.54
ABRIL,6,2,0.015,0.008,0.91,0.021,52,33,19.55,1.16,270.52,NA,621.68
ABRIL,6,3,0.020,0.008,0.89,0.015,48,28,18.86,0.83,247.85,NA,621.64
ABRIL,6,4,0.020,0.008,0.91,0.015,37,23,19.23,1.36,151.06,NA,621.50
ABRIL,6,5,0.018,0.008,0.90,0.019,44,27,18.24,1.47,217.07,NA,621.52
ABRIL,6,6,0.019,0.009,0.93,0.020,44,29,16.97,1.38,113.03,NA,621.94
ABRIL,6,7,0.008,0.010,0.99,0.026,51,33,16.71,1.32,131.34,NA,622.41
ABRIL,6,8,0.008,0.010,1.12,0.028,60,34,17.46,1.10,174.61,NA,622.78
ABRIL,6,9,0.020,0.009,1.06,0.021,94,33,19.81,1.40,148.04,NA,623.05
ABRIL,6,10,0.043,0.009,0.96,0.014,95,24,22.58,1.64,156.56,NA,623.10
ABRIL,6,11,0.055,0.012,0.95,0.012,59,35,24.05,1.89,192.10,NA,622.75
ABRIL,6,12,0.062,0.010,0.96,0.012,55,21,25.71,2.18,119.73,NA,622.18
ABRIL,6,13,0.057,0.009,0.94,0.010,52,13,27.74,2.44,163.78,NA,621.38
ABRIL,6,14,0.051,0.009,0.95,0.011,46,9,29.61,4.26,142.10,NA,620.42
ABRIL,6,15,0.051,0.008,0.95,0.011,54,8,30.28,5.42,161.28,NA,619.45
ABRIL,6,16,0.048,0.008,0.96,0.012,78,11,30.51,5.35,151.17,NA,618.77
ABRIL,6,17,0.045,0.008,0.94,0.011,69,19,29.69,5.66,157.05,NA,618.51
ABRIL,6,18,0.043,0.008,0.92,0.010,58,19,28.84,5.37,163.85,NA,618.65
ABRIL,6,19,0.049,0.008,0.91,0.009,51,33,28.44,4.42,225.77,NA,619.30
ABRIL,6,20,0.042,0.008,0.92,0.010,71,40,26.30,3.87,236.06,NA,620.12
ABRIL,6,21,0.038,0.008,0.91,0.009,72,35,24.61,3.99,243.38,NA,620.93
ABRIL,6,22,0.035,0.008,0.91,0.010,50,39,22.94,2.70,235.44,NA,621.79
ABRIL,6,23,0.030,0.008,0.94,0.012,44,40,22.14,2.01,134.15,NA,622.60
ABRIL,7,0,0.023,0.009,0.97,0.012,75,28,20.86,1.98,122.71,NA,622.72
ABRIL,7,1,0.021,0.009,0.92,0.011,46,27,19.63,2.20,96.85,NA,622.72
ABRIL,7,2,0.025,0.008,0.90,0.009,42,20,18.93,2.87,93.61,NA,622.56
ABRIL,7,3,0.025,0.008,0.89,0.009,31,21,18.18,2.68,89.86,NA,622.35
ABRIL,7,4,0.023,0.008,0.89,0.009,33,15,17.68,2.11,85.61,NA,622.25
ABRIL,7,5,0.022,0.008,0.89,0.010,29,22,17.18,2.02,88.50,NA,622.23
ABRIL,7,6,0.020,0.008,0.90,0.011,29,17,16.60,1.96,72.25,NA,622.45
ABRIL,7,7,0.018,0.008,0.94,0.013,26,20,16.29,1.92,95.67,NA,622.88
ABRIL,7,8,0.015,0.008,0.97,0.016,36,18,17.52,1.50,86.11,NA,623.23
ABRIL,7,9,0.025,0.008,0.94,0.011,40,15,19.60,2.64,78.97,NA,623.58
ABRIL,7,10,0.032,0.008,0.94,0.009,42,16,21.41,2.73,92.24,NA,623.66
ABRIL,7,11,0.040,0.008,0.95,0.009,44,13,23.37,2.07,136.52,NA,623.38
ABRIL,7,12,0.047,0.008,0.95,0.010,48,9,25.39,2.32,149.98,NA,622.92
ABRIL,7,13,0.050,0.008,0.91,0.008,42,12,26.67,2.81,186.78,NA,622.18
ABRIL,7,14,0.054,0.008,0.90,0.007,39,6,28.03,2.65,213.31,NA,621.30
ABRIL,7,15,0.055,0.008,0.89,0.007,34,8,28.33,2.43,252.02,NA,620.54
ABRIL,7,16,0.054,0.008,0.90,0.008,45,6,29.73,2.18,143.00,NA,619.79
ABRIL,7,17,0.051,0.007,0.89,0.008,40,7,30.63,3.33,203.63,NA,619.38
ABRIL,7,18,0.047,0.007,0.90,0.008,29,20,29.83,4.61,179.97,NA,619.46
ABRIL,7,19,0.042,0.007,0.90,0.009,38,25,28.43,4.30,179.82,NA,619.94
ABRIL,7,20,0.039,0.007,0.90,0.009,54,30,26.62,4.19,222.80,NA,620.66
ABRIL,7,21,0.039,0.007,0.92,0.008,47,38,24.53,4.12,231.44,NA,621.60
ABRIL,7,22,0.035,0.007,0.90,0.008,41,34,22.87,2.96,252.14,NA,622.13
ABRIL,7,23,0.032,0.007,0.91,0.010,33,27,21.22,2.08,269.75,NA,622.44
ABRIL,8,0,0.033,0.007,0.90,0.009,34,29,20.59,2.43,249.78,NA,622.60
ABRIL,8,1,0.032,0.008,0.90,0.008,30,21,19.33,0.99,256.54,NA,622.76
ABRIL,8,2,0.021,0.008,0.93,0.014,25,22,18.66,1.17,120.93,NA,622.68
ABRIL,8,3,0.018,0.010,0.93,0.014,38,26,17.80,0.98,148.11,NA,622.60
ABRIL,8,4,0.017,0.009,0.92,0.014,37,23,17.27,1.84,79.56,NA,622.50
ABRIL,8,5,0.014,0.008,0.91,0.014,47,25,15.84,2.11,89.70,NA,622.56
ABRIL,8,6,0.014,0.008,0.91,0.012,36,23,14.76,2.23,99.55,NA,622.93
ABRIL,8,7,0.013,0.008,0.94,0.013,25,15,14.46,3.01,94.82,NA,623.27
ABRIL,8,8,0.016,0.008,0.97,0.012,42,13,15.84,2.52,88.80,NA,623.84
ABRIL,8,9,0.023,0.008,0.96,0.010,41,14,18.05,3.00,92.74,NA,624.34
ABRIL,8,10,0.031,0.008,0.96,0.010,45,17,20.50,3.20,106.19,NA,624.33
ABRIL,8,11,0.042,0.010,0.95,0.010,63,17,23.06,2.24,123.99,NA,624.14
ABRIL,8,12,0.052,0.011,0.92,0.007,64,9,24.82,2.10,213.60,NA,623.74
ABRIL,8,13,0.055,0.010,0.95,0.010,38,10,26.22,2.27,164.71,NA,623.12
ABRIL,8,14,0.059,0.014,0.98,0.010,34,8,27.45,2.56,109.90,NA,622.32
ABRIL,8,15,0.064,0.015,0.93,0.009,39,6,28.96,2.47,172.97,NA,621.55
ABRIL,8,16,0.058,0.009,0.91,0.008,35,7,29.74,2.48,176.86,NA,620.78
ABRIL,8,17,0.060,0.008,0.90,0.007,35,10,30.29,2.49,208.68,NA,620.31
ABRIL,8,18,0.061,0.008,0.88,0.007,34,11,29.95,2.30,240.98,NA,620.18
ABRIL,8,19,0.059,0.008,0.88,0.007,34,25,28.89,2.04,267.41,NA,620.51
ABRIL,8,20,0.047,0.008,0.94,0.012,23,27,27.80,1.38,219.19,NA,620.93
ABRIL,8,21,0.034,0.008,0.98,0.015,25,28,26.43,2.81,232.98,NA,621.64
ABRIL,8,22,0.035,0.007,0.92,0.009,46,31,23.85,2.79,236.77,NA,622.28
ABRIL,8,23,0.033,0.011,0.94,0.010,22,33,23.39,2.06,140.95,NA,623.09
ABRIL,9,0,0.029,0.009,0.96,0.011,28,24,22.92,2.17,94.12,NA,623.41
ABRIL,9,1,0.024,0.008,0.91,0.010,44,28,20.73,2.45,82.02,NA,623.37
ABRIL,9,2,0.025,0.008,0.91,0.009,35,18,19.60,1.85,85.63,NA,623.30
ABRIL,9,3,0.025,0.008,0.89,0.008,32,14,18.45,1.58,121.01,NA,623.34
ABRIL,9,4,0.024,0.008,0.89,0.008,27,18,17.40,1.50,130.72,NA,623.44
ABRIL,9,5,0.021,0.008,0.89,0.008,25,15,16.52,1.83,111.02,NA,623.41
