DATOS HORARIOS 2023_DIF,,,,,,,,,,,,,
NOTA,LOS DATOS SON REVALIDADOS,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DÍA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m3],PM2.5 [µg/m3],TEMP,WS,WD,HR,PBAR
SEPTIEMBRE,3,8,0.028,0.009,0.014,0.83,36,22,17.73,1.79,91.86,73.83,625.65
SEPTIEMBRE,3,9,0.038,0.012,0.013,0.77,52,21,20.40,3.27,78.36,65.70,625.68
SEPTIEMBRE,3,10,0.047,0.012,0.011,0.80,46,28,22.03,4.39,73.66,57.79,625.80
SEPTIEMBRE,3,11,0.052,0.009,0.010,0.84,49,18,23.51,3.72,74.59,49.20,625.62
SEPTIEMBRE,3,12,0.055,0.008,0.010,0.83,167,16,24.51,3.68,87.00,43.63,625.31
SEPTIEMBRE,3,13,0.053,0.008,0.011,0.83,33,12,25.80,2.83,99.09,40.01,624.73
SEPTIEMBRE,3,14,0.058,0.009,0.010,0.77,47,12,26.92,2.78,113.65,35.92,624.11
SEPTIEMBRE,3,15,0.062,0.011,0.010,0.73,93,3,27.93,2.53,131.62,34.22,623.33
SEPTIEMBRE,3,16,0.061,0.021,0.010,0.69,42,2,28.72,2.14,151.66,33.23,622.44
SEPTIEMBRE,3,17,0.065,0.022,0.010,0.71,36,10,29.37,1.82,186.59,32.12,621.76
SEPTIEMBRE,3,18,0.064,0.011,0.009,0.68,24,11,28.80,2.40,203.92,34.01,621.61
SEPTIEMBRE,3,19,0.061,0.009,0.011,0.71,27,22,27.29,2.61,233.40,37.56,621.74
SEPTIEMBRE,3,20,0.051,0.008,0.016,0.84,18,31,25.59,2.00,230.43,43.20,622.08
SEPTIEMBRE,3,21,0.045,0.007,0.018,0.92,30,28,24.50,1.46,238.58,47.17,622.70
SEPTIEMBRE,3,22,0.034,0.008,0.021,1.10,30,33,24.76,2.48,96.00,45.17,623.39
SEPTIEMBRE,3,23,0.040,0.006,0.011,0.75,5,32,22.21,3.60,111.68,57.19,624.02
SEPTIEMBRE,4,0,0.042,0.005,0.010,0.71,31,18,20.74,2.00,103.50,65.02,624.06
SEPTIEMBRE,4,1,0.038,0.004,0.009,0.69,23,19,19.64,2.31,101.25,72.52,624.05
SEPTIEMBRE,4,2,0.038,0.004,0.009,0.63,20,13,18.96,2.27,107.67,75.04,623.80
SEPTIEMBRE,4,3,0.038,0.004,0.008,0.63,26,13,18.89,1.86,130.83,72.93,623.71
