DATOS HORARIOS 2023_DIF,,,,,,,,,,,,,,
NOTA,LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR,
JULIO,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
JULIO,1,1,0.021,0.008,0.393,0.011,16,9,17.81,2.35,80.77,94.75,625.64,
JULIO,1,2,0.023,0.008,0.377,0.011,15,6,17.74,1.73,99.35,93.39,625.26,
JULIO,1,3,0.020,0.008,0.357,0.012,18,11,17.80,1.93,119.76,91.00,624.98,
JULIO,1,4,0.016,0.008,0.348,0.013,17,12,17.77,1.96,103.99,90.55,624.87,
JULIO,1,5,0.012,0.008,0.360,0.015,15,14,17.75,1.99,93.64,91.11,624.82,
JULIO,1,6,0.011,0.008,0.408,0.015,18,10,17.92,1.92,101.08,90.69,625.05,
JULIO,1,7,0.009,0.008,0.600,0.016,12,18,17.85,1.86,93.91,91.04,625.29,
JULIO,1,8,0.010,0.008,0.685,0.016,15,12,19.47,1.88,83.90,85.19,625.57,
JULIO,1,9,0.018,0.008,0.608,0.013,26,17,21.43,1.94,107.72,73.04,625.96,
JULIO,1,10,0.023,0.008,0.627,0.013,29,16,22.87,2.31,113.13,68.62,626.07,
JULIO,1,11,0.032,0.008,0.611,0.011,30,10,24.50,2.59,120.11,58.89,625.97,
JULIO,1,12,0.036,0.008,0.554,0.011,38,15,25.03,2.28,145.85,54.19,625.76,
JULIO,1,13,0.040,0.008,0.496,0.009,47,3,26.65,2.31,124.98,46.31,625.23,
JULIO,1,14,0.039,0.008,0.482,0.010,113,3,27.93,2.40,141.59,40.28,624.47,
JULIO,1,15,0.044,0.008,0.397,0.009,38,3,29.27,2.22,161.06,36.92,623.59,
JULIO,1,16,0.051,0.008,0.345,0.008,34,3,29.48,3.14,257.19,38.66,622.93,
JULIO,1,17,0.045,0.008,0.371,0.009,20,6,27.17,3.88,229.82,46.29,622.63,
JULIO,1,18,0.037,0.008,0.392,0.010,27,42,20.64,5.55,209.17,72.88,623.08,
JULIO,1,19,0.028,0.008,0.486,0.014,40,27,20.82,4.49,101.79,73.27,624.02,
JULIO,1,20,0.023,0.008,0.623,0.017,17,30,20.10,3.90,81.61,75.12,624.32,
JULIO,1,21,0.025,0.013,0.788,0.021,33,23,20.52,1.63,96.05,69.36,624.34,
JULIO,1,22,0.021,0.017,0.602,0.017,36,27,19.78,2.36,153.52,77.18,624.84,
JULIO,1,23,0.021,0.011,0.527,0.016,24,17,19.32,2.06,141.76,80.98,625.62,
JULIO,2,0,0.023,0.010,0.533,0.016,28,13,19.50,1.74,103.63,78.30,625.84,
JULIO,2,1,0.025,0.010,0.478,0.015,27,20,19.16,1.80,103.21,79.19,625.62,
JULIO,2,2,0.027,0.009,0.423,0.014,23,15,19.16,1.20,197.06,78.05,625.30,
JULIO,2,3,0.020,0.009,0.405,0.016,22,13,19.20,1.55,279.45,78.98,625.01,
JULIO,2,4,0.021,0.009,0.388,0.014,14,13,18.64,1.04,173.60,83.55,624.77,
JULIO,2,5,0.015,0.008,0.429,0.017,22,16,18.68,1.10,173.48,84.41,624.52,
JULIO,2,6,0.012,0.008,0.439,0.019,24,23,18.40,1.04,191.64,86.35,624.43,
JULIO,2,7,0.009,0.008,0.584,0.020,33,24,18.56,1.00,162.42,87.40,624.67,
JULIO,2,8,0.019,0.008,0.552,0.014,34,12,20.24,1.89,108.14,75.69,625.04,
JULIO,2,9,0.020,0.008,0.594,0.016,30,15,21.64,1.83,91.69,69.80,625.30,
JULIO,2,10,0.031,0.008,0.506,0.011,35,12,22.82,3.12,81.11,62.38,625.23,
JULIO,2,11,0.036,0.008,0.572,0.012,21,10,24.06,2.93,103.43,59.26,624.97,
JULIO,2,12,0.045,0.008,0.514,0.010,34,7,25.99,2.46,131.75,48.60,624.68,
JULIO,2,13,0.048,0.008,0.483,0.010,24,4,27.33,2.40,131.88,41.16,624.23,
JULIO,2,14,0.050,0.008,0.462,0.010,19,4,28.73,2.53,151.60,34.34,623.63,
JULIO,2,15,0.053,0.009,0.478,0.010,24,5,29.92,2.24,150.65,29.63,622.75,
JULIO,2,16,0.067,0.024,0.534,0.009,28,5,31.08,2.12,235.81,28.40,621.86,
JULIO,2,17,0.064,0.023,0.485,0.011,25,6,31.56,2.05,121.41,27.34,621.19,
JULIO,2,18,0.064,0.019,0.462,0.011,23,21,30.55,2.46,116.43,27.44,621.08,
JULIO,2,19,0.053,0.011,0.333,0.011,21,22,28.13,2.89,237.92,33.26,621.53,
JULIO,2,20,0.050,0.010,0.322,0.010,48,31,25.02,4.05,251.18,47.50,622.13,
JULIO,2,21,0.042,0.009,0.411,0.012,102,39,21.56,2.90,209.81,68.12,623.56,
JULIO,2,22,0.046,0.008,0.411,0.009,17,29,19.55,3.50,180.93,76.61,624.13,
JULIO,2,23,0.034,0.008,0.464,0.012,17,29,19.20,2.83,98.90,81.95,625.34,
JULIO,3,0,0.039,0.008,0.353,0.009,17,18,17.47,2.20,148.38,89.78,625.82,
JULIO,3,1,0.036,0.008,0.332,0.010,16,8,17.30,1.61,170.43,92.45,625.54,
JULIO,3,2,0.034,0.008,0.334,0.009,13,6,17.52,1.10,188.45,92.63,625.23,
JULIO,3,3,0.030,0.008,0.338,0.009,21,15,17.50,0.99,229.74,93.21,624.90,
JULIO,3,4,0.034,0.008,0.316,0.008,19,13,17.54,0.76,293.34,92.43,624.72,
JULIO,3,5,0.028,0.008,0.349,0.010,14,18,17.45,1.28,222.44,92.56,624.65,
JULIO,3,6,0.022,0.008,0.397,0.013,16,19,17.25,1.37,122.64,93.29,624.82,
JULIO,3,7,0.016,0.008,0.738,0.018,23,17,17.06,1.52,155.86,93.46,625.10,
JULIO,3,8,0.021,0.008,0.742,0.018,21,10,19.01,1.21,146.90,84.80,625.24,
JULIO,3,9,0.030,0.008,0.667,0.014,30,18,20.67,1.62,99.73,75.05,625.44,
JULIO,3,10,0.035,0.008,0.543,0.014,30,17,22.14,1.49,126.92,68.40,625.45,
JULIO,3,11,0.044,0.008,0.565,0.012,43,30,23.48,1.89,187.25,62.62,625.33,
JULIO,3,12,0.049,0.010,0.469,0.010,39,13,25.40,2.12,108.14,52.66,625.09,
JULIO,3,13,0.057,0.010,0.468,0.010,32,6,26.32,2.08,174.35,49.30,624.69,
