DATOS HORARIOS 2023_DIF,,,,,,,,,,,,,,
NOTA,LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR,
JULIO,3,14,0.062,0.010,0.433,0.010,34,6,28.07,1.83,236.93,43.20,624.03,
JULIO,3,15,0.065,0.009,0.346,0.008,31,3,28.88,2.23,253.98,36.68,623.21,
JULIO,3,16,0.067,0.009,0.330,0.008,35,4,29.53,2.51,258.78,33.05,622.33,
JULIO,3,17,0.069,0.009,0.306,0.008,31,3,30.22,2.59,273.60,28.21,621.66,
JULIO,3,18,0.075,0.009,0.313,0.008,33,19,30.10,2.57,264.49,27.95,621.68,
JULIO,3,19,0.060,0.009,0.371,0.011,121,22,27.90,4.38,207.80,36.43,622.00,
JULIO,3,20,0.050,0.009,0.387,0.012,62,34,25.29,2.78,172.26,43.80,622.63,
JULIO,3,21,0.047,0.008,0.345,0.012,55,27,24.20,1.92,225.90,45.30,623.30,
JULIO,3,22,0.040,0.018,1.298,0.017,22,30,23.14,2.33,69.97,52.86,624.09,
JULIO,3,23,0.038,0.011,0.725,0.013,29,45,21.06,1.96,159.18,68.39,625.14,
JULIO,4,0,0.034,0.009,0.419,0.011,19,31,19.21,2.25,102.21,82.40,625.67,
JULIO,4,1,0.033,0.009,0.358,0.011,26,17,18.57,2.74,92.52,86.70,625.62,
JULIO,4,2,0.039,0.009,0.347,0.009,12,16,17.86,1.96,78.99,88.44,625.24,
JULIO,4,3,0.034,0.008,0.346,0.011,32,15,17.84,0.95,155.98,87.98,624.93,
JULIO,4,4,0.032,0.008,0.325,0.012,21,16,17.99,1.72,112.47,85.17,624.84,
JULIO,4,5,0.031,0.008,0.318,0.012,20,12,18.07,1.53,101.72,84.48,624.96,
JULIO,4,6,0.023,0.008,0.415,0.015,19,13,18.03,2.16,104.47,86.11,625.10,
JULIO,4,7,0.013,0.008,0.731,0.020,24,24,18.10,2.26,110.06,87.97,625.41,
JULIO,4,8,0.016,0.008,0.841,0.019,27,12,19.38,1.88,99.70,79.57,625.68,
JULIO,4,9,0.021,0.008,0.714,0.016,30,15,21.01,2.27,97.60,72.77,625.91,
JULIO,4,10,0.031,0.008,0.575,0.012,29,18,22.72,3.10,83.38,66.05,626.01,
JULIO,4,11,0.043,0.008,0.586,0.012,65,21,24.11,2.81,118.98,60.68,626.02,
JULIO,4,12,0.056,0.008,0.489,0.011,65,18,25.48,2.44,145.48,53.64,625.66,
JULIO,4,13,0.063,0.008,0.508,0.012,52,11,26.94,2.25,128.36,46.18,625.18,
JULIO,4,14,0.073,0.014,0.504,0.012,62,14,28.17,1.93,157.01,41.94,624.46,
JULIO,4,15,0.079,0.018,0.402,0.010,56,12,29.38,2.07,221.74,37.32,623.56,
JULIO,4,16,0.085,0.017,0.376,0.010,52,15,30.27,2.32,263.81,33.37,622.95,
JULIO,4,17,0.080,0.017,0.402,0.011,40,17,30.66,2.37,173.39,29.62,622.43,
JULIO,4,18,0.057,0.013,0.576,0.015,38,33,26.95,3.83,49.82,36.54,622.72,
JULIO,4,19,0.056,0.010,0.365,0.012,70,22,25.57,3.51,280.99,41.12,623.25,
JULIO,4,20,0.053,0.010,0.364,0.012,29,29,23.63,3.36,261.01,52.74,623.56,
JULIO,4,21,0.036,0.009,0.429,0.016,28,36,22.58,2.29,269.16,61.78,624.39,
JULIO,4,22,0.034,0.008,0.427,0.015,27,38,22.13,2.68,274.68,62.60,625.04,
JULIO,4,23,0.036,0.008,0.429,0.016,32,30,21.50,1.93,293.52,63.51,625.88,
JULIO,5,0,0.037,0.008,0.431,0.014,30,18,21.18,2.01,173.78,66.27,626.39,
JULIO,5,1,0.042,0.008,0.332,0.009,31,27,19.43,3.60,150.22,75.25,626.59,
JULIO,5,2,0.045,0.008,0.323,0.009,13,15,18.34,2.85,174.04,80.84,626.19,
JULIO,5,3,0.042,0.008,0.328,0.010,31,16,18.21,1.86,135.28,83.53,625.86,
JULIO,5,4,0.043,0.008,0.320,0.008,22,14,17.94,1.66,107.35,83.33,625.48,
JULIO,5,5,0.037,0.008,0.341,0.010,23,10,17.82,2.05,86.01,85.74,625.34,
JULIO,5,6,0.036,0.008,0.369,0.012,26,19,17.56,2.01,151.91,84.65,625.47,
JULIO,5,7,0.029,0.008,0.530,0.014,19,13,17.26,2.30,141.04,86.49,625.84,
JULIO,5,8,0.031,0.008,0.730,0.016,25,13,18.45,1.89,110.85,80.97,625.97,
JULIO,5,9,0.040,0.008,0.589,0.013,26,11,20.44,1.95,96.43,69.96,625.91,
JULIO,5,10,0.045,0.008,0.533,0.012,48,9,22.17,2.32,115.58,63.03,625.76,
JULIO,5,11,0.043,0.008,0.533,0.011,28,15,23.12,3.07,102.11,60.84,625.68,
JULIO,5,12,0.049,0.008,0.460,0.010,32,13,24.89,2.83,100.07,53.98,625.53,
JULIO,5,13,0.054,0.008,0.495,0.010,48,11,26.60,2.50,152.25,46.95,625.01,
JULIO,5,14,0.065,0.008,0.527,0.012,46,9,27.59,2.35,159.52,42.96,624.37,
JULIO,5,15,0.068,0.009,0.481,0.011,53,6,29.11,2.36,151.69,38.43,623.56,
JULIO,5,16,0.068,0.012,0.478,0.011,43,6,30.01,2.57,137.41,34.81,622.85,
JULIO,5,17,0.069,0.011,0.473,0.012,42,9,30.38,2.79,148.14,32.64,622.35,
JULIO,5,18,0.071,0.010,0.481,0.012,35,13,29.89,3.50,132.32,33.02,622.04,
JULIO,5,19,0.049,0.018,0.722,0.013,36,27,27.70,3.24,104.49,32.88,622.22,
JULIO,5,20,0.031,0.015,0.781,0.022,39,24,27.26,1.53,211.81,40.31,622.38,
JULIO,5,21,0.026,0.011,0.832,0.026,38,39,26.04,1.88,64.57,47.42,623.11,
JULIO,5,22,0.024,0.010,0.616,0.023,33,34,25.37,2.25,100.38,49.56,624.05,
JULIO,5,23,0.019,0.010,0.462,0.018,38,30,24.52,3.01,84.72,42.96,624.72,
JULIO,6,0,0.023,0.009,0.372,0.013,32,30,23.01,3.88,72.74,50.79,625.18,
JULIO,6,1,0.024,0.009,0.340,0.012,34,20,22.15,3.78,77.21,55.22,625.12,
JULIO,6,2,0.023,0.010,0.325,0.012,25,18,21.69,3.22,71.34,54.21,625.00,
JULIO,6,3,0.020,0.013,0.305,0.014,35,16,20.86,2.14,90.44,54.12,624.70,
JULIO,6,4,0.018,0.011,0.328,0.014,25,18,19.83,2.48,78.29,58.29,624.60,
JULIO,6,5,0.022,0.012,0.574,0.012,18,10,19.86,3.06,49.14,60.88,624.38,
JULIO,6,6,0.014,0.025,0.381,0.016,36,29,18.93,1.79,88.81,65.24,624.65,
JULIO,6,7,0.011,0.014,0.569,0.018,31,20,18.17,1.87,94.03,71.76,625.02,
JULIO,6,8,0.013,0.012,0.776,0.017,35,15,19.27,1.81,93.63,68.01,625.29,
JULIO,6,9,0.026,0.011,0.612,0.012,48,15,21.53,3.81,79.67,58.92,625.33,
JULIO,6,10,0.036,0.010,0.508,0.010,56,16,22.83,4.87,77.03,53.39,625.10,
JULIO,6,11,0.043,0.010,0.500,0.010,74,14,24.27,4.11,88.53,48.05,624.95,
JULIO,6,12,0.048,0.009,0.516,0.011,56,16,25.86,3.71,92.38,41.81,624.71,
JULIO,6,13,0.055,0.009,0.506,0.011,75,17,26.99,3.20,113.50,37.30,624.31,
JULIO,6,14,0.057,0.008,0.571,0.012,42,16,28.47,3.35,113.62,33.17,623.60,
JULIO,6,15,0.062,0.008,0.457,0.011,46,6,29.51,3.32,117.16,30.63,622.93,
JULIO,6,16,0.065,0.008,0.426,0.011,43,5,30.58,3.32,144.43,28.27,622.14,
JULIO,6,17,0.065,0.008,0.413,0.011,32,5,30.98,2.71,157.46,27.02,621.44,
JULIO,6,18,0.065,0.011,0.438,0.011,30,13,31.36,2.17,130.47,25.79,621.01,
JULIO,6,19,0.058,0.009,0.540,0.015,28,23,30.89,2.16,132.04,26.65,620.99,
JULIO,6,20,0.044,0.009,0.635,0.018,31,25,29.45,3.13,92.45,29.29,621.56,
JULIO,6,21,0.033,0.009,0.535,0.014,47,39,26.18,4.10,123.36,45.54,622.76,
JULIO,6,22,0.037,0.008,0.415,0.010,40,45,21.52,5.77,140.65,65.75,624.03,
JULIO,6,23,0.037,0.008,0.363,0.008,42,39,18.88,4.92,140.04,76.33,624.78,
JULIO,7,0,0.037,0.008,0.355,0.009,19,22,19.02,2.82,146.07,79.47,625.20,
JULIO,7,1,0.036,0.008,0.346,0.008,22,23,19.24,2.34,139.36,80.99,625.08,
JULIO,7,2,0.037,0.008,0.337,0.008,25,14,18.96,2.22,106.74,79.53,624.65,
JULIO,7,3,0.036,0.008,0.318,0.008,12,13,18.57,1.90,94.70,80.59,624.22,
JULIO,7,4,0.034,0.008,0.326,0.009,31,10,18.50,1.89,97.37,78.93,624.11,
JULIO,7,5,0.030,0.008,0.328,0.011,17,10,18.15,1.45,92.91,80.07,623.96,
JULIO,7,6,0.026,0.008,0.381,0.012,19,13,18.06,2.01,144.43,78.59,623.97,
JULIO,7,7,0.019,0.008,0.640,0.017,26,10,18.03,1.74,135.60,78.63,624.26,
JULIO,7,8,0.018,0.008,0.686,0.018,30,11,18.42,2.39,119.10,79.00,624.55,
JULIO,7,9,0.030,0.008,0.631,0.013,25,11,21.05,2.82,124.84,66.63,624.50,
JULIO,7,10,0.032,0.008,0.537,0.010,42,4,22.84,3.33,144.16,59.60,624.57,
JULIO,7,11,0.035,0.008,0.531,0.009,40,8,23.94,2.98,141.49,55.99,624.40,
JULIO,7,12,0.037,0.008,0.512,0.009,51,11,25.35,3.27,148.66,48.85,624.15,
JULIO,7,13,0.039,0.008,0.491,0.009,22,11,26.45,3.14,142.35,43.29,623.65,
JULIO,7,14,0.038,0.008,0.482,0.010,20,3,28.10,4.13,148.45,35.45,623.19,
JULIO,7,15,0.039,0.008,0.475,0.010,23,2,28.92,4.38,145.63,30.63,622.59,
JULIO,7,16,0.036,0.008,0.437,0.010,31,2,29.70,4.84,148.87,27.10,621.99,
JULIO,7,17,0.037,0.008,0.447,0.011,32,6,29.08,5.17,149.91,26.56,621.68,
JULIO,7,18,0.036,0.008,0.501,0.012,32,16,28.81,4.45,152.31,27.18,621.51,
JULIO,7,19,0.037,0.008,0.532,0.013,26,14,28.16,3.54,149.73,29.27,621.52,
JULIO,7,20,0.026,0.008,0.576,0.015,23,33,26.36,3.49,161.96,37.49,622.12,
JULIO,7,21,0.017,0.008,0.659,0.016,23,34,24.76,2.84,143.18,43.11,622.93,
JULIO,7,22,0.017,0.008,0.534,0.014,24,25,24.00,3.26,119.39,44.20,623.46,
JULIO,7,23,0.025,0.008,0.488,0.012,25,30,22.44,4.19,91.95,56.13,624.23,
JULIO,8,0,0.026,0.008,0.466,0.013,28,31,21.02,4.60,89.96,66.91,624.55,
JULIO,8,1,0.026,0.008,0.411,0.012,19,22,20.37,4.36,92.78,72.63,624.44,
JULIO,8,2,0.023,0.008,0.404,0.013,21,17,19.95,3.47,94.55,74.57,624.25,
JULIO,8,3,0.026,0.008,0.377,0.012,18,13,19.53,3.04,94.12,74.09,624.06,
JULIO,8,4,0.023,0.008,0.363,0.013,27,16,19.43,2.34,90.16,74.50,624.16,
JULIO,8,5,0.019,0.008,0.380,0.015,22,18,19.28,2.35,86.24,76.52,624.25,
JULIO,8,6,0.023,0.008,0.369,0.013,39,16,19.71,2.16,74.34,72.30,624.47,
JULIO,8,7,0.021,0.009,0.510,0.015,31,17,19.64,1.66,93.73,71.36,624.80,
JULIO,8,8,0.016,0.009,0.568,0.016,41,11,19.66,1.97,104.84,74.48,625.05,
JULIO,8,9,0.024,0.009,0.644,0.012,40,11,22.24,2.22,108.03,63.59,625.12,
JULIO,8,10,0.030,0.009,0.612,0.012,29,17,23.60,2.13,117.68,57.16,625.11,
JULIO,8,11,0.038,0.009,0.473,0.009,37,15,25.06,2.00,148.70,48.71,624.88,
JULIO,8,12,0.044,0.009,0.510,0.009,22,12,26.75,2.32,136.48,41.19,624.61,
JULIO,8,13,0.047,0.009,0.533,0.010,26,3,27.65,2.88,117.13,37.95,623.98,
JULIO,8,14,0.047,0.009,0.559,0.010,29,6,28.26,3.34,137.72,36.59,623.45,
JULIO,8,15,0.045,0.009,0.598,0.011,55,9,27.76,3.42,118.38,37.64,622.92,
JULIO,8,16,0.043,0.009,0.596,0.012,195,15,27.45,3.28,126.81,39.02,622.62,
JULIO,8,17,0.041,0.029,1.481,0.014,46,32,25.20,4.46,57.98,46.17,622.68,
JULIO,8,18,0.039,0.067,0.528,0.014,134,64,24.49,4.56,62.78,47.46,622.40,
JULIO,8,19,0.037,0.025,0.605,0.014,56,44,24.61,3.36,84.61,47.59,622.68,
JULIO,8,20,0.035,0.013,0.602,0.015,38,40,23.90,2.35,136.15,47.51,623.51,
JULIO,8,21,0.030,0.011,0.502,0.012,36,43,22.93,2.61,199.00,54.89,624.17,
JULIO,8,22,0.028,0.010,0.441,0.011,31,31,21.69,2.07,224.42,60.78,624.54,
JULIO,8,23,0.030,0.009,0.408,0.009,30,24,21.10,2.03,248.45,64.13,624.88,
JULIO,9,0,0.028,0.009,0.381,0.010,27,16,20.65,1.85,245.66,67.75,625.16,
JULIO,9,1,0.023,0.008,0.419,0.010,28,28,18.13,2.32,89.44,89.99,625.75,
JULIO,9,2,0.024,0.008,0.420,0.009,25,21,17.79,1.79,110.39,94.58,625.44,
JULIO,9,3,0.029,0.008,0.399,0.008,15,12,17.64,1.41,202.31,94.17,625.05,
JULIO,9,4,0.028,0.008,0.370,0.009,21,12,17.43,1.93,301.98,93.40,624.99,
JULIO,9,5,0.025,0.008,0.360,0.010,10,14,17.57,1.91,283.81,92.41,625.11,
JULIO,9,6,0.027,0.008,0.358,0.009,24,8,17.59,1.60,301.15,91.36,625.16,
JULIO,9,7,0.023,0.008,0.373,0.011,13,17,17.58,0.83,278.29,91.58,625.40,
JULIO,9,8,0.022,0.008,0.421,0.011,11,9,19.36,1.12,280.01,85.83,625.57,
JULIO,9,9,0.027,0.008,0.750,0.012,33,8,21.33,1.39,132.37,74.63,625.68,
JULIO,9,10,0.031,0.008,0.587,0.012,35,25,22.51,2.03,122.51,69.55,625.79,
JULIO,9,11,0.038,0.009,0.571,0.010,38,18,23.62,2.71,127.68,65.62,625.76,
JULIO,9,12,0.042,0.009,0.637,0.010,32,11,24.83,2.53,130.19,57.94,625.42,
JULIO,9,13,0.047,0.010,0.456,0.009,31,6,26.50,1.83,140.13,50.72,624.92,
JULIO,9,14,0.050,0.011,0.536,0.010,36,4,27.67,2.29,124.38,47.24,624.22,
JULIO,9,15,0.054,0.013,0.503,0.010,39,5,28.66,2.52,107.57,42.71,623.45,
JULIO,9,16,0.057,0.015,0.467,0.011,43,3,29.66,2.45,135.77,39.47,622.74,
JULIO,9,17,0.061,0.024,0.494,0.011,64,4,30.50,1.85,152.24,36.75,622.12,
JULIO,9,18,0.063,0.026,0.463,0.010,115,14,30.89,1.76,165.53,35.89,621.78,
JULIO,9,19,0.065,0.019,0.422,0.010,23,13,30.48,1.57,253.50,37.03,621.80,
JULIO,9,20,0.051,0.015,0.501,0.015,25,37,28.26,1.86,246.31,44.33,622.22,
JULIO,9,21,0.038,0.012,0.559,0.020,30,41,27.01,1.97,217.83,49.17,622.91,
JULIO,9,22,0.032,0.012,0.527,0.012,29,34,23.66,5.02,116.33,59.45,623.87,
JULIO,9,23,0.032,0.010,0.437,0.011,44,29,19.68,2.14,157.64,79.27,624.64,
JULIO,10,0,0.034,0.009,0.400,0.011,21,17,20.15,1.25,178.05,75.27,624.87,
JULIO,10,1,0.028,0.009,0.456,0.013,18,17,20.29,1.34,284.71,75.83,624.72,
JULIO,10,2,0.026,0.009,0.427,0.014,16,11,20.52,1.25,153.05,74.80,624.50,
JULIO,10,3,0.024,0.009,0.379,0.013,16,7,20.69,1.90,93.25,74.08,624.18,
JULIO,10,4,0.017,0.009,0.344,0.016,19,13,20.35,2.06,83.16,75.84,624.39,
JULIO,10,5,0.018,0.009,0.337,0.013,23,17,20.25,2.20,68.52,74.76,624.45,
JULIO,10,6,0.019,0.009,0.356,0.013,21,11,20.21,2.53,75.07,72.95,624.58,
JULIO,10,7,0.011,0.009,0.625,0.017,24,16,19.58,1.70,95.26,76.13,625.07,
JULIO,10,8,0.012,0.009,0.748,0.016,32,14,20.45,2.01,104.48,73.69,625.48,
JULIO,10,9,0.021,0.009,0.630,0.011,43,25,21.90,3.06,90.71,68.24,625.63,
JULIO,10,10,0.030,0.009,0.580,0.010,35,17,23.35,3.84,81.47,60.55,625.63,
JULIO,10,11,0.036,0.009,0.566,0.010,34,11,24.25,3.49,95.33,54.92,625.64,
JULIO,10,12,0.042,0.009,0.522,0.010,44,9,25.85,3.07,100.35,48.28,625.54,
JULIO,10,13,0.050,0.008,0.523,0.010,78,7,26.79,2.80,117.61,44.84,625.19,
JULIO,10,14,0.055,0.008,0.544,0.010,35,6,28.03,2.24,132.81,40.77,624.56,
JULIO,10,15,0.057,0.008,0.469,0.010,29,5,28.39,2.54,105.07,39.59,624.04,
JULIO,10,16,0.054,0.009,0.467,0.010,42,9,29.46,2.38,156.17,36.80,623.54,
JULIO,10,17,0.055,0.011,0.387,0.009,45,14,30.20,2.15,212.00,34.03,622.95,
JULIO,10,18,0.059,0.011,0.420,0.010,38,26,29.48,3.09,215.85,37.64,622.86,
JULIO,10,19,0.048,0.010,0.394,0.010,61,34,26.71,5.53,197.57,45.28,623.35,
JULIO,10,20,0.038,0.009,0.521,0.013,102,58,20.77,6.13,102.32,65.71,625.30,
JULIO,10,21,0.032,0.009,0.542,0.015,93,42,18.27,3.49,100.53,84.01,626.12,
JULIO,10,22,0.032,0.008,0.423,0.013,26,18,18.00,3.24,192.71,87.65,625.91,
JULIO,10,23,0.030,0.008,0.507,0.015,25,15,18.29,2.44,77.77,84.87,626.50,
JULIO,11,0,0.031,0.008,0.412,0.014,20,9,18.24,2.09,102.75,84.09,626.84,
JULIO,11,1,0.028,0.008,0.360,0.013,18,11,18.08,2.84,94.34,86.14,627.09,
JULIO,11,2,0.035,0.008,0.328,0.010,16,7,18.20,5.50,77.99,79.99,627.16,
JULIO,11,3,0.037,0.008,0.316,0.008,13,4,17.48,4.44,101.18,82.45,626.34,
JULIO,11,4,0.031,0.008,0.320,0.010,12,6,17.32,2.20,97.30,84.76,625.68,
JULIO,11,5,0.030,0.009,0.349,0.011,13,12,17.70,2.12,114.24,81.76,626.08,
JULIO,11,6,0.028,0.009,0.388,0.012,9,8,17.46,2.41,96.86,82.42,626.62,
JULIO,11,7,0.026,0.009,0.544,0.015,22,5,17.71,2.74,89.52,80.88,626.69,
JULIO,11,8,0.027,0.009,0.674,0.017,7,5,19.08,2.73,69.83,72.46,626.76,
JULIO,11,9,0.034,0.009,0.631,0.014,29,3,20.92,2.63,92.71,63.87,627.07,
JULIO,11,10,0.036,0.010,0.620,0.013,17,9,22.62,2.65,95.33,58.07,627.09,
JULIO,11,11,0.043,0.010,0.523,0.011,21,6,23.78,2.51,109.26,53.50,627.05,
JULIO,11,12,0.046,0.011,0.499,0.011,22,8,24.84,2.81,109.79,49.48,626.67,
JULIO,11,13,0.052,0.010,0.463,0.010,24,4,25.80,2.64,117.60,45.58,626.26,
JULIO,11,14,0.053,0.009,0.502,0.011,18,4,27.31,2.60,117.39,41.93,625.72,
JULIO,11,15,0.054,0.009,0.412,0.009,17,2,28.63,1.94,149.18,37.12,625.01,
JULIO,11,16,0.053,0.012,0.402,0.010,41,2,29.92,1.97,155.50,30.61,624.28,
JULIO,11,17,0.054,0.028,0.461,0.012,33,4,30.42,2.07,111.77,27.97,623.61,
JULIO,11,18,0.046,0.022,0.440,0.011,33,10,30.91,1.97,132.28,25.66,623.43,
JULIO,11,19,0.055,0.025,0.508,0.012,29,17,29.95,2.26,224.10,28.59,623.38,
JULIO,11,20,0.043,0.017,0.561,0.018,145,25,28.30,2.03,196.40,33.09,623.62,
JULIO,11,21,0.039,0.013,0.496,0.015,37,28,25.49,4.61,181.17,42.72,624.45,
JULIO,11,22,0.043,0.009,0.399,0.010,34,53,17.39,4.12,172.87,86.15,626.14,
JULIO,11,23,0.039,0.008,0.388,0.010,37,22,17.78,2.45,199.79,85.03,626.72,
JULIO,12,0,0.036,0.008,0.368,0.012,16,7,17.94,2.44,161.37,84.38,626.78,
JULIO,12,1,0.032,0.008,0.358,0.012,16,13,17.89,1.64,181.73,83.54,626.81,
JULIO,12,2,0.029,0.008,0.341,0.011,9,7,17.91,0.66,253.79,81.99,626.59,
JULIO,12,3,0.019,0.008,0.358,0.016,9,11,17.73,1.13,265.31,84.01,626.49,
JULIO,12,4,0.023,0.008,0.332,0.013,26,11,17.23,1.32,221.88,84.70,626.64,
JULIO,12,5,0.024,0.008,0.346,0.013,9,11,17.04,1.11,259.45,84.47,626.57,
JULIO,12,6,0.018,0.008,0.361,0.014,32,14,16.50,1.00,214.05,88.39,626.60,
JULIO,12,7,0.011,0.008,0.636,0.019,19,15,16.88,0.82,184.35,88.53,626.74,
JULIO,12,8,0.011,0.008,0.702,0.020,29,13,18.12,1.20,248.26,82.11,627.20,
