DATOS HORARIOS 2023_DIF,,,,,,,,,,,,,
NOTA,LOS DATOS SON REVALIDADOS,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DÍA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m3],PM2.5 [µg/m3],TEMP,WS,WD,HR,PBAR
OCTUBRE,1,16,0.042,0.009,0.012,0.61,48,12,29.876,2.880,85.380,23.160,622.020
OCTUBRE,1,17,0.042,0.011,0.012,0.58,34,7,29.599,3.260,81.330,23.650,621.780
OCTUBRE,1,18,0.038,0.018,0.013,0.56,55,19,29.072,3.960,66.490,23.890,621.890
OCTUBRE,1,19,0.034,0.027,0.013,0.59,65,34,28.035,3.740,53.370,25.000,622.170
OCTUBRE,1,20,0.027,0.022,0.016,0.72,49,27,26.610,3.190,65.180,28.270,622.890
OCTUBRE,1,21,0.028,0.046,0.013,0.54,36,25,25.454,4.340,56.020,33.110,623.500
OCTUBRE,1,22,0.028,0.050,0.011,0.53,36,31,24.063,4.150,59.550,37.590,623.930
OCTUBRE,1,23,0.028,0.029,0.011,0.53,37,31,22.696,4.040,81.710,40.410,624.290
OCTUBRE,2,0,0.031,0.013,0.008,0.46,36,24,21.479,4.080,81.680,45.130,624.570
OCTUBRE,2,1,0.032,0.006,0.007,0.43,18,13,20.634,2.690,85.670,48.040,624.620
OCTUBRE,2,2,0.031,0.009,0.008,0.42,17,13,19.870,2.560,85.150,51.560,624.630
OCTUBRE,2,3,0.028,0.009,0.009,0.43,20,14,19.049,2.250,89.850,57.070,624.590
OCTUBRE,2,4,0.027,0.008,0.009,0.42,22,15,18.768,3.080,66.720,61.930,624.220
OCTUBRE,2,5,0.026,0.010,0.010,0.42,18,12,18.629,2.570,70.240,64.030,624.120
OCTUBRE,2,6,0.024,0.018,0.011,0.51,27,19,18.159,1.510,84.210,65.660,624.260
OCTUBRE,2,7,0.012,0.010,0.019,0.79,27,18,16.837,1.190,136.890,71.560,624.440
OCTUBRE,2,8,0.014,0.007,0.017,0.97,39,15,17.526,2.010,87.000,69.630,624.710
OCTUBRE,2,9,0.021,0.006,0.013,0.82,73,17,19.176,3.180,85.020,65.140,625.000
OCTUBRE,2,10,0.031,0.005,0.010,0.72,52,15,21.241,4.380,80.110,56.380,625.160
OCTUBRE,2,11,0.037,0.005,0.010,0.65,47,16,23.344,4.420,76.380,48.920,625.130
OCTUBRE,2,12,0.045,0.007,0.011,0.69,54,14,25.143,3.160,101.930,41.740,624.710
OCTUBRE,2,13,0.051,0.007,0.011,0.69,43,11,26.361,3.210,102.330,37.320,623.830
OCTUBRE,2,14,0.054,0.007,0.012,0.73,46,6,27.626,3.400,99.780,34.550,623.090
OCTUBRE,2,15,0.054,0.005,0.012,0.68,54,7,28.548,3.500,110.090,31.390,622.260
OCTUBRE,2,16,0.055,0.004,0.012,0.60,57,9,28.624,3.100,128.850,30.780,621.710
OCTUBRE,2,17,0.055,0.004,0.013,0.63,43,7,29.183,2.910,120.590,28.900,621.280
OCTUBRE,2,18,0.051,0.004,0.014,0.68,40,15,28.803,2.570,115.390,29.280,621.280
OCTUBRE,2,19,0.036,0.004,0.025,1099725.00,54,28,27.716,1.930,145.480,31.250,621.540
OCTUBRE,2,20,0.026,0.005,0.025,0.91,70,37,26.323,1.840,182.780,35.370,622.060
OCTUBRE,2,21,0.025,0.009,0.013,0.58,72,32,25.471,3.160,84.150,38.410,622.820
OCTUBRE,2,22,0.023,0.030,0.012,0.53,25,30,24.501,3.170,68.240,42.020,623.330
OCTUBRE,2,23,0.024,0.009,0.010,0.52,31,26,22.755,3.760,88.820,49.550,623.800
OCTUBRE,3,0,0.022,0.006,0.009,0.48,33,21,21.676,3.180,83.190,54.200,623.850
OCTUBRE,3,1,0.021,0.005,0.010,0.46,26,20,20.734,2.660,87.910,58.200,623.630
OCTUBRE,3,2,0.021,0.005,0.009,0.45,26,20,19.898,2.270,102.660,61.870,623.440
OCTUBRE,3,3,0.018,0.004,0.011,0.44,18,14,19.210,2.220,91.460,65.460,623.520
OCTUBRE,3,4,0.019,0.004,0.011,0.44,22,16,18.733,2.270,76.520,68.730,623.540
OCTUBRE,3,5,0.020,0.006,0.011,0.46,27,12,19.275,2.010,77.550,67.590,623.390
OCTUBRE,3,6,0.020,0.007,0.010,0.52,24,20,18.355,2.060,83.680,72.300,623.500
OCTUBRE,3,7,0.013,0.006,0.014,0.72,28,21,17.520,2.360,85.890,76.980,623.790
OCTUBRE,3,8,0.013,0.005,0.016,0.94,40,19,18.637,2.400,81.680,73.040,623.910
OCTUBRE,3,9,0.020,0.008,0.013,0.87,71,24,21.512,2.580,83.320,61.400,624.190
OCTUBRE,3,10,0.029,0.006,0.010,0.74,52,13,23.378,3.230,89.040,54.040,624.350
OCTUBRE,3,11,0.036,0.005,0.010,0.69,49,14,24.852,2.980,95.040,48.720,624.110
OCTUBRE,3,12,0.046,0.005,0.010,0.68,43,7,26.525,2.450,124.780,41.680,623.560
OCTUBRE,3,13,0.053,0.005,0.011,0.65,33,7,27.941,2.650,120.430,37.610,622.830
OCTUBRE,3,14,0.055,0.005,0.011,0.65,44,6,29.077,2.660,131.090,34.800,621.960
OCTUBRE,3,15,0.053,0.004,0.011,0.62,57,6,30.558,2.790,130.510,29.120,620.990
OCTUBRE,3,16,0.055,0.004,0.012,0.60,59,8,30.717,3.590,119.550,28.240,620.260
OCTUBRE,3,17,0.049,0.004,0.013,0.62,50,24,28.578,4.160,101.140,35.480,620.180
OCTUBRE,3,18,0.036,0.013,0.014,0.66,61,29,26.582,1.920,170.550,40.660,620.600
OCTUBRE,3,19,0.031,0.006,0.015,0.64,42,18,24.784,2.510,242.400,50.480,621.000
OCTUBRE,3,20,0.025,0.005,0.013,0.69,37,51,19.449,3.360,189.890,85.670,621.990
OCTUBRE,3,21,0.023,0.004,0.013,0.63,10,33,18.966,3.000,194.150,87.990,622.730
OCTUBRE,3,22,0.028,0.004,0.009,0.60,10,37,17.913,3.270,160.780,91.330,623.780
OCTUBRE,3,23,0.028,0.004,0.011,0.58,14,24,17.794,1.520,226.090,92.010,624.050
OCTUBRE,4,0,0.028,0.004,0.007,0.50,15,16,17.430,1.960,295.890,93.320,624.080
OCTUBRE,4,1,0.026,0.004,0.009,0.49,15,17,17.329,1.670,290.860,94.170,623.900
OCTUBRE,4,2,0.025,0.003,0.008,0.49,7,12,17.321,1.280,232.370,94.580,623.610
OCTUBRE,4,3,0.023,0.003,0.010,0.49,7,10,17.544,1.630,139.080,94.230,623.210
OCTUBRE,4,4,0.018,0.003,0.013,0.51,23,17,17.731,1.020,196.230,93.350,622.870
OCTUBRE,4,5,0.013,0.003,0.015,0.51,22,20,17.395,1.550,193.920,94.180,622.720
OCTUBRE,4,6,0.014,0.003,0.014,0.55,14,18,17.047,1.400,175.870,94.640,622.830
OCTUBRE,4,7,0.011,0.004,0.015,0.68,34,25,16.674,0.850,253.560,95.290,623.270
OCTUBRE,4,8,0.010,0.004,0.015,0.96,27,19,17.781,1.240,266.710,94.930,623.860
OCTUBRE,4,9,0.015,0.004,0.014,1050942.00,30,20,19.719,1.550,120.260,84.840,624.330
OCTUBRE,4,10,0.021,0.003,0.012,0.81,32,19,21.341,2.160,110.430,74.440,624.310
OCTUBRE,4,11,0.028,0.003,0.013,0.84,35,20,22.616,2.960,106.630,69.140,624.100
OCTUBRE,4,12,0.038,0.004,0.011,0.74,50,20,24.307,2.050,138.780,61.170,623.880
OCTUBRE,4,13,0.044,0.004,0.009,0.59,41,9,26.050,2.360,175.350,52.070,623.350
OCTUBRE,4,14,0.044,0.008,0.009,1116563.00,37,9,27.662,2.050,175.680,44.990,622.320
OCTUBRE,4,15,0.044,0.009,0.008,0.45,27,10,28.422,2.210,209.390,40.740,621.480
OCTUBRE,4,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OCTUBRE,4,17,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA
OCTUBRE,4,18,NA,NA,0.004,0.42,NA,12,22.479,NA,NA,NA,NA
OCTUBRE,4,19,0.029,0.008,0.004,0.42,4,24,20.538,0.440,213.940,52.230,621.050
OCTUBRE,4,20,0.023,0.008,0.006,0.50,6,26,19.812,0.440,271.010,83.170,622.680
OCTUBRE,4,21,0.024,0.008,0.008,0.55,20,24,20.353,0.440,268.330,78.790,623.310
OCTUBRE,4,22,0.022,0.008,0.008,0.57,19,17,19.893,0.440,228.710,81.250,623.730
OCTUBRE,4,23,0.023,0.008,0.008,0.55,24,13,19.741,0.440,199.460,81.570,623.760
OCTUBRE,5,0,0.018,0.008,0.007,0.56,22,9,19.249,0.440,140.530,85.550,623.730
OCTUBRE,5,1,0.015,0.008,0.008,0.52,21,14,18.684,0.440,108.440,88.790,623.530
OCTUBRE,5,2,0.010,0.008,0.012,0.52,21,15,18.107,0.440,93.210,90.390,623.370
OCTUBRE,5,3,0.009,0.008,0.014,0.53,22,17,18.049,0.440,93.480,89.650,623.300
OCTUBRE,5,4,0.011,0.008,0.014,0.49,15,17,17.927,0.440,103.000,87.920,623.180
OCTUBRE,5,5,0.009,0.008,0.014,0.52,40,20,17.351,0.440,112.930,90.090,623.100
OCTUBRE,5,6,0.009,0.008,0.014,0.61,28,19,17.153,0.440,124.160,91.250,623.360
OCTUBRE,5,7,0.009,0.008,0.012,0.91,34,19,16.953,0.440,118.810,91.480,623.740
OCTUBRE,5,8,0.009,0.009,0.010,1164448.00,47,17,17.360,0.440,223.230,88.710,624.170
OCTUBRE,5,9,0.013,0.008,0.011,0.96,62,12,19.643,NA,114.670,80.470,624.320
OCTUBRE,5,10,0.023,0.008,0.008,0.77,48,NA,21.954,NA,91.470,69.200,624.550
OCTUBRE,5,11,0.034,0.008,0.006,0.65,36,NA,23.766,3.250,110.210,61.450,624.470
OCTUBRE,5,12,0.045,0.008,0.006,0.64,30,NA,25.490,2.570,120.150,52.890,624.140
OCTUBRE,5,13,0.054,0.008,0.006,0.61,32,NA,26.966,2.210,134.390,47.230,623.370
OCTUBRE,5,14,0.065,0.008,0.005,0.58,35,NA,28.080,1.850,183.260,44.970,622.560
OCTUBRE,5,15,0.064,0.009,0.006,0.62,43,NA,29.353,2.200,202.170,39.890,621.770
OCTUBRE,5,16,0.061,0.009,0.005,0.53,34,6,30.228,2.160,211.570,36.690,621.210
OCTUBRE,5,17,0.064,0.009,0.003,0.46,29,20,30.488,2.070,250.130,35.750,620.910
OCTUBRE,5,18,0.052,0.010,0.007,0.56,19,25,27.831,3.560,62.730,41.090,620.920
OCTUBRE,5,19,0.040,0.010,0.012,0.71,36,25,26.848,1.620,212.630,45.610,621.340
OCTUBRE,5,20,0.028,0.009,0.018,0.99,35,36,24.903,1.320,250.590,55.640,621.760
OCTUBRE,5,21,0.017,0.009,0.020,0.78,35,26,23.946,2.200,290.130,61.690,622.650
OCTUBRE,5,22,0.032,0.008,0.009,0.54,32,22,23.739,2.660,281.170,61.160,623.190
OCTUBRE,5,23,0.026,0.010,0.008,0.54,34,19,24.114,2.880,90.090,54.330,623.630
OCTUBRE,6,0,0.023,0.009,0.006,0.50,29,13,22.664,3.300,91.150,62.720,623.750
OCTUBRE,6,1,0.024,0.009,0.005,0.45,22,9,21.841,3.530,104.360,64.410,623.930
OCTUBRE,6,2,0.026,0.009,0.004,0.42,13,11,21.209,3.200,75.510,61.380,623.870
OCTUBRE,6,3,0.027,0.011,0.004,0.40,18,6,20.383,3.740,66.610,64.290,623.600
OCTUBRE,6,4,0.027,0.012,0.005,0.40,17,11,19.856,3.970,62.300,66.420,623.400
OCTUBRE,6,5,0.027,0.013,0.005,0.40,27,8,19.605,3.090,43.580,66.770,623.290
OCTUBRE,6,6,0.026,0.014,0.005,0.44,8,20,19.347,2.950,58.500,67.110,623.140
OCTUBRE,6,7,0.018,0.017,0.010,0.76,30,12,18.345,2.350,82.490,71.180,623.660
OCTUBRE,6,8,0.019,0.022,0.012,0.81,37,11,19.631,2.760,75.700,68.260,623.920
OCTUBRE,6,9,0.024,0.016,0.008,0.80,48,13,21.339,2.980,101.550,62.110,624.480
OCTUBRE,6,10,0.034,0.012,0.005,0.65,44,6,22.483,4.890,88.630,54.540,624.890
OCTUBRE,6,11,0.039,0.010,0.005,0.62,36,6,23.852,5.370,90.430,48.430,624.750
OCTUBRE,6,12,0.045,0.010,0.006,0.66,39,NA,25.264,4.920,93.670,41.890,624.310
OCTUBRE,6,13,0.052,0.009,0.006,0.62,37,NA,26.598,5.070,88.500,34.680,623.560
OCTUBRE,6,14,0.051,0.009,0.008,0.71,43,NA,28.128,4.660,92.970,28.390,622.660
OCTUBRE,6,15,0.055,0.009,0.006,0.61,37,NA,29.062,5.010,95.150,29.080,621.970
OCTUBRE,6,16,0.047,0.008,0.006,0.60,50,10,29.422,5.120,94.740,29.830,621.470
OCTUBRE,6,17,0.042,0.008,0.006,0.62,37,17,29.248,4.940,86.510,31.130,621.450
OCTUBRE,6,18,0.036,0.008,0.005,0.61,25,33,27.998,5.290,84.480,36.260,621.650
OCTUBRE,6,19,0.026,0.028,0.009,0.66,37,38,25.638,4.890,57.040,46.900,622.230
OCTUBRE,6,20,0.021,0.026,0.009,0.76,60,38,23.776,4.390,64.770,54.310,622.950
OCTUBRE,6,21,0.020,0.017,0.008,0.69,38,39,22.102,3.840,82.180,60.590,623.770
OCTUBRE,6,22,0.021,0.012,0.007,0.57,26,31,21.303,4.890,71.410,63.300,624.310
OCTUBRE,6,23,0.023,0.014,0.006,0.52,28,22,20.807,5.120,70.850,64.640,624.480
OCTUBRE,7,0,0.026,0.014,0.004,0.47,20,11,20.514,4.640,78.630,64.980,624.720
OCTUBRE,7,1,0.031,0.012,0.002,0.42,20,12,20.302,4.620,89.900,64.860,624.550
OCTUBRE,7,2,0.031,0.010,0.002,0.41,12,10,20.126,4.640,80.770,65.640,624.150
OCTUBRE,7,3,0.031,0.009,0.002,0.40,12,10,19.881,3.910,87.230,66.790,624.080
OCTUBRE,7,4,0.029,0.009,0.002,0.41,11,16,19.533,3.770,80.080,68.770,623.930
OCTUBRE,7,5,0.023,0.010,0.005,0.43,5,25,19.279,3.950,67.370,71.010,623.960
OCTUBRE,7,6,0.025,0.013,0.004,0.44,27,14,18.798,3.790,82.270,72.780,624.430
OCTUBRE,7,7,0.024,0.012,0.005,0.52,12,17,18.017,3.680,79.030,75.290,624.620
OCTUBRE,7,8,0.024,0.012,0.007,0.58,13,14,18.298,4.010,76.200,71.780,624.890
OCTUBRE,7,9,0.030,0.013,0.005,0.55,16,20,19.831,6.270,65.610,62.960,625.100
OCTUBRE,7,10,0.031,0.013,0.006,0.61,45,14,20.472,5.810,68.060,59.120,625.480
OCTUBRE,7,11,0.035,0.012,0.005,0.61,36,16,21.341,6.350,59.840,55.190,625.490
OCTUBRE,7,12,0.039,0.012,0.005,0.60,39,13,22.503,6.240,66.130,50.580,625.200
OCTUBRE,7,13,0.041,0.013,0.006,0.62,47,8,23.516,5.870,66.520,46.480,624.680
OCTUBRE,7,14,0.046,0.012,0.005,0.70,50,8,24.904,6.750,84.430,42.700,623.650
OCTUBRE,7,15,0.047,0.010,0.005,0.63,60,15,24.993,7.140,86.550,41.580,622.980
OCTUBRE,7,16,0.042,0.009,0.005,0.62,56,20,24.319,7.430,90.380,41.840,622.820
OCTUBRE,7,17,0.042,0.009,0.005,0.67,53,15,23.802,6.600,94.020,42.560,623.030
OCTUBRE,7,18,0.039,0.014,0.005,0.59,43,34,23.045,5.880,72.760,44.060,623.190
OCTUBRE,7,19,0.035,0.044,0.007,0.57,35,32,21.105,6.610,60.430,49.220,623.630
OCTUBRE,7,20,0.036,0.016,0.005,0.57,39,20,18.948,6.540,60.420,53.750,624.230
OCTUBRE,7,21,0.037,0.012,0.006,0.54,27,21,18.333,5.610,65.520,54.020,625.050
OCTUBRE,7,22,0.036,0.014,0.007,0.55,22,15,17.821,4.510,67.260,56.320,625.330
OCTUBRE,7,23,0.039,0.012,0.005,0.53,25,20,17.195,4.340,77.020,58.120,625.440
OCTUBRE,8,0,0.040,0.011,0.004,0.49,22,16,16.507,4.420,75.320,59.580,625.420
OCTUBRE,8,1,0.038,0.011,0.004,0.47,14,18,16.059,3.020,80.070,63.420,625.370
OCTUBRE,8,2,0.040,0.010,0.002,0.46,14,13,15.883,3.460,87.000,66.710,625.170
OCTUBRE,8,3,0.039,0.009,0.002,0.45,5,10,16.245,3.940,78.770,67.340,624.950
OCTUBRE,8,4,0.040,0.009,0.002,0.43,2,12,16.502,5.090,69.410,69.840,624.730
OCTUBRE,8,5,0.040,0.009,0.002,0.43,4,12,16.419,3.710,85.070,70.700,624.800
OCTUBRE,8,6,0.040,0.008,0.002,0.46,9,13,16.122,3.250,84.610,71.400,624.970
OCTUBRE,8,7,0.034,0.009,0.004,0.49,5,13,15.898,2.860,80.990,71.570,625.180
OCTUBRE,8,8,0.034,0.011,0.005,0.54,6,13,16.602,3.240,66.830,67.270,625.410
OCTUBRE,8,9,0.037,0.011,0.005,0.54,21,14,17.648,4.510,67.860,62.540,625.890
OCTUBRE,8,10,0.038,0.011,0.005,0.59,16,9,18.607,4.920,77.380,59.230,626.010
OCTUBRE,8,11,0.039,0.011,0.005,0.63,25,13,20.355,5.230,75.030,53.730,625.540
OCTUBRE,8,12,0.045,0.009,0.004,0.65,28,9,21.722,6.760,88.000,48.780,624.870
OCTUBRE,8,13,0.046,0.009,0.004,0.60,43,10,22.609,7.450,79.980,46.870,624.010
OCTUBRE,8,14,0.046,0.009,0.004,0.61,69,5,23.123,7.300,80.160,45.170,623.400
OCTUBRE,8,15,0.044,0.010,0.004,0.63,79,12,23.872,6.490,76.150,43.510,622.760
OCTUBRE,8,16,0.042,0.013,0.004,0.60,42,15,23.583,7.220,75.220,43.750,622.440
OCTUBRE,8,17,0.042,0.012,0.003,0.55,57,18,23.209,6.870,65.960,44.820,622.230
OCTUBRE,8,18,0.040,0.015,0.004,0.54,49,38,21.959,6.690,60.020,48.610,622.370
OCTUBRE,8,19,0.034,0.053,0.007,0.59,25,32,20.357,5.220,53.140,53.980,622.970
OCTUBRE,8,20,0.033,0.042,0.007,0.58,26,25,18.822,4.840,49.370,59.030,623.550
OCTUBRE,8,21,0.032,0.030,0.007,0.59,26,20,18.435,5.110,63.560,60.180,623.910
OCTUBRE,8,22,0.034,0.025,0.006,0.53,16,14,17.846,5.430,63.660,62.010,624.320
OCTUBRE,8,23,0.037,0.017,0.004,0.50,14,13,17.684,5.330,63.950,62.560,624.560
OCTUBRE,9,0,0.036,0.016,0.004,0.46,8,NA,17.190,4.330,65.670,64.640,624.300
OCTUBRE,9,1,0.036,0.022,0.004,0.43,20,14,16.940,4.570,64.660,65.850,623.820
OCTUBRE,9,2,0.036,0.023,0.005,0.42,9,19,16.995,4.720,64.650,65.400,623.550
OCTUBRE,9,3,0.035,0.029,0.004,0.41,5,14,16.455,4.470,77.440,67.500,623.010
OCTUBRE,9,4,0.035,0.015,0.003,0.42,19,16,15.516,3.410,78.210,71.470,622.830
OCTUBRE,9,5,0.033,0.015,0.004,0.44,6,9,15.061,3.150,82.860,73.780,622.710
OCTUBRE,9,6,0.034,0.010,0.003,0.49,7,15,14.986,3.670,86.560,74.070,622.660
OCTUBRE,9,7,0.026,0.009,0.009,0.71,7,8,14.648,3.290,91.080,76.150,623.020
OCTUBRE,9,8,0.023,0.009,0.010,0.86,20,15,15.802,3.240,92.160,71.530,623.260
OCTUBRE,9,9,0.032,0.014,0.007,0.76,20,NA,18.176,4.020,79.380,61.300,623.500
OCTUBRE,9,10,0.037,0.011,0.006,0.71,41,9,19.603,4.340,82.250,56.160,623.590
OCTUBRE,9,11,0.040,0.011,0.006,0.68,17,7,21.138,4.220,84.740,51.260,623.220
OCTUBRE,9,12,0.045,0.010,0.005,0.73,36,NA,22.853,3.860,102.660,46.320,622.610
OCTUBRE,9,13,0.049,0.010,0.007,0.72,22,NA,24.709,3.060,106.020,41.890,621.730
OCTUBRE,9,14,0.051,0.010,0.007,0.79,32,15,25.640,2.630,128.390,39.910,621.050
OCTUBRE,9,15,0.054,0.009,0.006,0.74,37,10,25.498,2.330,139.060,40.340,620.410
OCTUBRE,9,16,0.050,0.010,0.006,0.66,34,13,25.850,2.140,186.080,39.770,619.960
OCTUBRE,9,17,0.047,0.009,0.005,0.59,25,23,25.584,2.990,184.040,40.760,619.850
OCTUBRE,9,18,0.032,0.009,0.009,0.72,25,26,24.550,3.590,175.900,45.430,619.880
OCTUBRE,9,19,0.026,0.009,0.013,0.80,73,30,23.454,2.850,175.120,52.190,620.270
OCTUBRE,9,20,0.021,0.009,0.011,0.81,29,30,22.690,2.820,166.710,56.320,620.710
OCTUBRE,9,21,0.023,0.008,0.007,0.74,24,37,20.598,3.350,127.400,73.550,621.310
OCTUBRE,9,22,0.025,0.008,0.010,0.82,23,28,19.543,2.410,104.020,82.120,621.770
OCTUBRE,9,23,0.027,0.008,0.006,0.70,22,17,19.347,2.190,105.660,81.810,621.890
OCTUBRE,10,0,0.022,0.008,0.005,0.54,18,19,19.012,2.160,137.100,82.930,621.760
OCTUBRE,10,1,0.021,0.008,0.004,0.49,9,15,18.772,1.960,158.770,84.370,621.550
OCTUBRE,10,2,0.022,0.008,0.003,0.48,10,16,18.147,1.980,172.310,88.760,621.420
OCTUBRE,10,3,0.023,0.008,0.004,0.49,13,17,17.752,1.990,106.730,90.040,621.110
OCTUBRE,10,4,0.020,0.008,0.007,0.52,22,22,17.409,2.040,100.520,89.470,620.720
OCTUBRE,10,5,0.019,0.008,0.007,0.52,6,25,17.533,2.190,107.320,87.890,620.660
OCTUBRE,10,6,0.014,0.008,0.010,0.63,20,30,17.445,2.250,110.000,88.280,620.690
OCTUBRE,10,7,0.011,0.008,0.011,0.82,21,27,16.952,1.810,127.430,91.640,620.780
OCTUBRE,10,8,0.011,0.008,0.011,1079101.00,25,25,16.872,2.100,116.600,93.780,621.120
OCTUBRE,10,9,0.013,0.008,0.010,1010619.00,21,19,16.976,1.990,139.700,94.220,621.570
OCTUBRE,10,10,0.016,0.008,0.005,0.82,25,5,18.193,2.150,207.630,92.160,621.910
OCTUBRE,10,11,0.023,0.008,0.003,0.61,18,NA,20.357,2.820,238.860,78.610,621.960
OCTUBRE,10,12,0.028,0.008,0.003,0.61,12,NA,22.497,3.110,234.630,64.170,621.610
OCTUBRE,10,13,0.031,0.008,0.002,0.53,27,NA,23.943,4.110,235.880,49.690,620.950
OCTUBRE,10,14,0.032,0.008,0.003,0.58,18,NA,24.829,3.980,223.080,44.130,620.160
OCTUBRE,10,15,0.033,0.008,0.002,0.49,33,NA,25.264,3.960,210.790,37.670,619.560
OCTUBRE,10,16,0.031,0.008,0.003,0.48,14,21,24.895,4.150,200.920,41.420,618.970
OCTUBRE,10,17,0.025,0.008,0.004,0.53,NA,20,NA,3.830,186.290,49.300,618.840
OCTUBRE,10,18,0.021,0.008,0.004,0.57,13,19,21.689,5.560,160.990,61.750,619.110
OCTUBRE,10,19,0.019,0.008,0.005,0.64,13,27,20.148,4.700,162.740,68.960,619.620
OCTUBRE,10,20,0.018,0.008,0.005,0.68,6,25,18.972,4.180,151.980,74.660,619.790
OCTUBRE,10,21,0.018,0.008,0.005,0.62,4,11,18.690,3.020,152.450,75.370,619.900
OCTUBRE,10,22,0.020,0.008,0.004,0.55,11,13,18.348,2.930,135.080,75.780,619.870
OCTUBRE,10,23,0.018,0.008,0.004,0.54,9,12,18.248,2.760,112.370,77.350,619.740
OCTUBRE,11,0,0.021,0.008,0.002,0.44,5,24,18.171,3.320,136.800,77.440,619.790
OCTUBRE,11,1,0.020,0.008,0.002,0.43,6,6,17.340,2.750,144.040,85.360,619.880
OCTUBRE,11,2,0.020,0.008,0.001,0.40,NA,NA,16.453,4.610,144.130,89.700,618.880
OCTUBRE,11,3,0.021,0.008,0.000,0.39,6,12,16.100,4.960,156.710,88.130,617.440
OCTUBRE,11,4,0.020,0.008,0.001,0.39,7,11,16.903,2.710,154.800,83.900,617.780
OCTUBRE,11,5,0.019,0.008,0.002,0.40,6,17,17.283,2.840,145.800,82.110,617.620
OCTUBRE,11,6,0.014,0.008,0.004,0.49,5,14,17.055,1.770,158.030,83.870,617.940
OCTUBRE,11,7,0.009,0.008,0.007,0.89,6,24,16.972,1.660,150.430,84.680,618.470
OCTUBRE,11,8,0.011,0.008,0.008,1084176.00,9,31,17.233,1.770,181.890,82.990,619.260
OCTUBRE,11,9,0.013,0.008,0.005,0.93,18,15,18.302,2.810,235.060,78.790,620.080
OCTUBRE,11,10,0.019,0.008,0.002,0.58,26,10,19.109,4.880,265.480,78.240,620.640
OCTUBRE,11,11,0.022,0.008,0.002,0.49,14,8,19.700,4.920,269.620,75.420,620.740
OCTUBRE,11,12,0.026,0.008,0.002,0.51,11,NA,20.660,4.550,269.710,67.710,620.550
OCTUBRE,11,13,0.027,0.008,0.002,0.47,10,NA,21.343,3.980,294.230,65.690,620.030
OCTUBRE,11,14,0.029,0.008,0.002,0.51,13,7,22.951,4.370,272.110,59.110,619.310
OCTUBRE,11,15,0.031,0.008,0.002,0.55,22,8,24.014,5.360,244.940,50.830,618.850
OCTUBRE,11,16,0.032,0.008,0.002,0.48,19,5,24.100,5.290,249.430,48.980,618.640
OCTUBRE,11,17,0.034,0.008,0.002,0.50,13,12,24.556,4.870,247.310,47.260,618.610
OCTUBRE,11,18,0.032,0.008,0.003,0.50,12,25,24.240,4.240,246.680,48.260,618.740
OCTUBRE,11,19,0.024,0.008,0.007,0.59,12,26,22.736,2.690,233.720,54.610,619.230
OCTUBRE,11,20,0.015,0.008,0.008,0.82,21,25,20.450,2.950,168.230,69.260,619.870
OCTUBRE,11,21,0.012,0.008,0.008,0.85,25,23,18.840,1.540,159.630,76.640,620.200
