DATOS HORARIOS 2023_DIF,,,,,,,,,,,,,
NOTA,LOS DATOS SON REVALIDADOS,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DÍA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m3],PM2.5 [µg/m3],TEMP,WS,WD,HR,PBAR
NOVIEMBRE,1,0,0.029,0.009,0.003,0.61,30,16,15.55,4.70,79.31,61.90,624.76
NOVIEMBRE,1,1,0.030,0.008,0.002,0.55,14,14,14.61,4.50,85.09,65.07,624.86
NOVIEMBRE,1,2,0.029,0.008,0.002,0.54,11,16,14.15,5.04,87.42,66.11,624.77
NOVIEMBRE,1,3,0.030,0.008,0.001,0.53,10,13,13.83,5.39,73.06,65.43,624.83
NOVIEMBRE,1,4,0.029,0.008,0.001,0.53,9,13,13.41,5.05,72.96,65.79,624.83
NOVIEMBRE,1,5,0.029,0.008,0.001,0.53,8,10,12.91,4.89,71.61,67.04,624.91
NOVIEMBRE,1,6,0.027,0.011,0.003,0.55,8,14,12.90,4.61,61.88,67.14,625.13
NOVIEMBRE,1,7,0.024,0.035,0.006,0.64,6,18,12.71,4.30,60.08,67.21,625.65
NOVIEMBRE,1,8,0.023,0.015,0.005,0.71,19,13,12.71,5.09,65.97,65.94,626.21
NOVIEMBRE,1,9,0.027,0.012,0.004,0.72,13,11,13.32,5.68,66.67,62.18,626.75
NOVIEMBRE,1,10,0.028,0.032,0.005,0.70,21,14,14.44,5.41,56.85,57.54,627.03
NOVIEMBRE,1,11,0.031,0.025,0.004,0.74,25,15,15.96,5.09,72.13,51.92,626.99
NOVIEMBRE,1,12,0.034,0.010,0.004,0.78,31,15,17.19,5.19,75.86,47.84,626.51
NOVIEMBRE,1,13,0.036,0.010,0.005,0.82,34,12,18.76,4.96,75.09,44.15,625.73
NOVIEMBRE,1,14,0.039,0.009,0.006,0.91,29,11,20.33,4.63,80.26,40.64,624.89
NOVIEMBRE,1,15,0.042,0.009,0.005,0.82,32,11,21.47,4.36,81.21,38.19,624.12
NOVIEMBRE,1,16,0.041,0.009,0.005,0.79,32,12,22.38,4.41,77.91,35.80,623.66
NOVIEMBRE,1,17,0.039,0.009,0.006,0.84,34,17,22.78,4.27,77.15,34.54,623.53
NOVIEMBRE,1,18,0.040,0.014,0.007,0.77,30,24,21.95,3.96,45.07,34.64,623.78
NOVIEMBRE,1,19,0.035,0.011,0.008,0.74,40,23,19.97,4.35,35.66,37.69,624.13
NOVIEMBRE,1,20,0.026,0.035,0.010,0.87,29,24,18.43,4.11,74.12,42.44,624.72
NOVIEMBRE,1,21,0.026,0.010,0.006,0.77,51,21,16.30,4.90,84.19,49.93,625.40
NOVIEMBRE,1,22,0.027,0.009,0.004,0.69,44,19,14.34,5.92,79.29,55.50,625.80
NOVIEMBRE,1,23,0.028,0.008,0.004,0.62,32,14,13.56,5.51,72.25,57.88,626.02
NOVIEMBRE,2,0,0.028,0.008,0.003,0.57,18,14,12.71,5.07,75.66,60.61,626.21
NOVIEMBRE,2,1,0.029,0.008,0.002,0.54,15,13,12.28,5.11,71.88,61.93,626.03
NOVIEMBRE,2,2,0.030,0.008,0.002,0.54,12,13,11.65,4.80,76.60,64.41,625.87
NOVIEMBRE,2,3,0.030,0.008,0.002,0.53,9,14,10.97,3.44,91.17,67.07,625.91
NOVIEMBRE,2,4,0.029,0.008,0.002,0.53,9,10,10.56,3.19,88.20,68.80,625.83
NOVIEMBRE,2,5,0.029,0.008,0.003,0.53,9,10,10.96,3.79,82.03,68.03,625.68
NOVIEMBRE,2,6,0.029,0.008,0.003,0.56,10,14,10.93,3.80,81.25,68.54,625.90
NOVIEMBRE,2,7,0.027,0.008,0.004,0.62,12,12,10.93,3.98,80.39,69.04,626.23
NOVIEMBRE,2,8,0.025,0.008,0.005,0.71,13,15,11.12,3.78,81.68,68.66,626.69
NOVIEMBRE,2,9,0.025,0.008,0.005,0.78,22,14,11.90,3.83,84.65,65.88,627.06
NOVIEMBRE,2,10,0.029,0.008,0.005,0.83,26,11,14.00,4.50,89.13,57.89,627.44
NOVIEMBRE,2,11,0.031,0.008,0.005,0.85,23,11,16.34,3.96,88.12,50.63,627.42
NOVIEMBRE,2,12,0.035,0.008,0.006,0.89,26,11,18.72,3.44,95.19,43.31,626.76
NOVIEMBRE,2,13,0.041,0.009,0.006,0.89,26,16,21.14,2.66,99.45,37.26,625.91
NOVIEMBRE,2,14,0.047,0.011,0.007,0.98,30,11,23.74,2.55,126.66,32.85,624.98
NOVIEMBRE,2,15,0.048,0.009,0.008,0.97,29,15,25.57,3.51,106.17,30.08,624.11
NOVIEMBRE,2,16,0.053,0.012,0.006,0.74,41,16,26.63,3.48,67.20,26.78,623.71
NOVIEMBRE,2,17,0.052,0.016,0.006,0.69,38,19,26.61,3.70,40.55,25.64,623.59
NOVIEMBRE,2,18,0.046,0.025,0.008,0.75,30,27,25.82,3.43,34.07,26.59,623.89
NOVIEMBRE,2,19,0.041,0.010,0.010,0.81,31,30,24.30,3.57,27.23,30.41,624.15
NOVIEMBRE,2,20,0.036,0.025,0.010,0.77,61,23,22.65,3.69,53.79,33.13,624.60
NOVIEMBRE,2,21,0.034,0.010,0.008,0.83,28,34,20.73,3.87,81.14,36.79,625.16
NOVIEMBRE,2,22,0.032,0.009,0.008,0.78,34,20,19.35,3.60,88.80,40.77,625.53
NOVIEMBRE,2,23,0.030,0.009,0.007,0.73,39,19,18.38,3.47,89.05,43.70,625.58
NOVIEMBRE,3,0,0.025,0.009,0.008,0.66,26,18,17.25,4.66,94.73,49.23,625.53
NOVIEMBRE,3,1,0.027,0.009,0.006,0.60,48,12,15.84,3.66,77.66,53.68,625.54
NOVIEMBRE,3,2,0.031,0.008,0.004,0.57,24,19,14.77,3.59,88.47,56.69,625.49
NOVIEMBRE,3,3,0.029,0.008,0.004,0.55,11,15,14.03,2.80,93.29,60.25,625.34
NOVIEMBRE,3,4,0.027,0.008,0.005,0.56,22,19,13.17,2.71,92.32,64.31,625.28
NOVIEMBRE,3,5,0.025,0.008,0.006,0.59,12,15,12.74,3.90,84.29,67.15,625.27
NOVIEMBRE,3,6,0.021,0.008,0.008,0.66,10,12,12.08,3.00,90.98,71.28,625.47
NOVIEMBRE,3,7,0.014,0.009,0.011,0.84,17,23,11.67,2.69,102.57,76.67,625.69
NOVIEMBRE,3,8,0.015,0.009,0.010,0.95,48,21,12.05,3.01,90.95,77.43,626.20
NOVIEMBRE,3,9,0.022,0.009,0.007,0.88,39,17,14.11,3.74,96.42,69.48,626.54
NOVIEMBRE,3,10,0.028,0.009,0.006,0.84,40,14,17.02,3.17,91.33,57.37,626.69
NOVIEMBRE,3,11,0.036,0.009,0.006,0.85,44,17,19.84,2.95,92.16,47.89,626.50
NOVIEMBRE,3,12,0.040,0.009,0.006,0.85,39,14,23.06,2.72,93.08,37.72,625.82
