DATOS HORARIOS 2023_DIF,,,,,,,,,,,,,,
NOTA,LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR,
MAYO,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
MAYO,1,1,0.027,0.015,1.10,0.015,39,35,20.90,1.30,225.04,20.36,622.95,
MAYO,1,2,0.016,0.010,1.11,0.019,58,34,19.63,1.13,258.73,22.73,622.66,
MAYO,1,3,0.020,0.008,1.06,0.015,52,31,17.79,0.62,252.44,25.97,622.36,
MAYO,1,4,0.018,0.008,1.06,0.016,51,32,17.72,1.30,276.58,27.06,622.21,
MAYO,1,5,0.015,0.008,1.05,0.017,61,36,16.35,1.02,237.48,30.88,622.44,
MAYO,1,6,0.016,0.008,1.06,0.016,57,35,16.41,0.56,265.40,30.62,622.45,
MAYO,1,7,0.008,0.008,1.11,0.021,60,34,15.89,0.75,246.10,31.89,622.73,
MAYO,1,8,0.013,0.008,1.16,0.021,77,36,18.14,1.00,217.31,29.54,623.08,
MAYO,1,9,0.037,0.008,1.05,0.011,92,30,20.79,1.67,277.46,30.35,623.33,
MAYO,1,10,0.048,0.009,1.04,0.010,67,30,22.29,2.30,282.47,32.43,623.47,
MAYO,1,11,0.058,0.009,1.04,0.008,62,29,24.30,2.03,209.42,28.55,623.28,
MAYO,1,12,0.059,0.009,1.02,0.007,64,20,26.53,2.49,261.83,22.42,622.83,
MAYO,1,13,0.050,0.008,1.03,0.008,43,14,28.56,2.92,229.82,14.66,622.24,
MAYO,1,14,0.053,0.008,1.02,0.008,35,7,29.89,3.58,240.31,14.47,621.42,
MAYO,1,15,0.052,0.008,1.02,0.007,48,6,30.48,4.21,259.66,12.48,620.61,
MAYO,1,16,0.055,0.008,1.00,0.007,50,6,30.92,3.97,267.64,12.68,620.01,
MAYO,1,17,0.054,0.008,1.00,0.007,47,14,30.87,5.86,259.39,12.34,619.51,
MAYO,1,18,0.048,0.008,0.99,0.007,89,19,30.52,5.40,265.46,10.36,619.51,
MAYO,1,19,0.043,0.008,0.99,0.008,58,24,29.05,5.19,256.48,11.37,619.91,
MAYO,1,20,0.038,0.008,1.01,0.009,100,37,27.06,4.05,244.94,12.16,620.57,
MAYO,1,21,0.035,0.008,1.04,0.010,119,31,25.37,3.77,235.92,13.92,621.25,
MAYO,1,22,0.035,0.008,1.06,0.009,39,41,23.66,3.65,230.94,16.21,621.93,
MAYO,1,23,0.037,0.008,1.07,0.009,54,52,22.11,3.28,233.74,17.73,622.41,
MAYO,2,0,0.039,0.008,1.03,0.008,58,38,21.36,2.90,231.35,20.55,622.65,
MAYO,2,1,0.035,0.008,1.02,0.009,40,29,19.76,2.36,271.96,24.40,622.61,
MAYO,2,2,0.034,0.008,1.02,0.008,29,28,18.66,1.71,273.53,27.22,622.38,
