DATOS HORARIOS 2023_DIF,,,,,,,,,,,,,,
NOTA,LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR,
JUNIO,1,0,0.032,0.009,1.06,0.012,51,44,24.86,1.76,199.15,36.70,621.75,
JUNIO,1,1,0.035,0.009,1.03,0.009,56,45,23.72,1.28,230.21,40.41,621.81,
JUNIO,1,2,0.034,0.009,1.04,0.009,38,36,23.09,0.92,212.02,42.68,621.88,
JUNIO,1,3,0.025,0.009,1.05,0.014,34,35,22.43,1.12,226.48,44.55,621.80,
JUNIO,1,4,0.024,0.009,1.04,0.014,43,35,21.61,2.05,263.56,45.52,621.83,
JUNIO,1,5,0.027,0.009,1.04,0.012,30,37,20.69,1.11,230.11,47.09,622.03,
JUNIO,1,6,0.012,0.008,1.06,0.020,36,36,19.47,1.25,275.19,51.75,622.43,
JUNIO,1,7,0.017,0.008,1.09,0.016,54,33,19.71,1.90,226.21,48.36,622.80,
JUNIO,1,8,0.022,0.008,1.09,0.013,53,22,21.56,2.21,249.26,43.28,623.11,
JUNIO,1,9,0.034,0.008,1.06,0.009,54,27,23.77,3.34,260.34,40.66,623.38,
JUNIO,1,10,0.042,0.008,1.05,0.008,37,25,25.85,3.51,268.82,38.00,623.58,
JUNIO,1,11,0.049,0.008,1.04,0.007,51,24,27.44,3.47,266.13,33.32,623.47,
JUNIO,1,12,0.054,0.008,1.03,0.007,37,50,28.91,3.90,278.91,29.60,623.14,
JUNIO,1,13,0.058,0.008,1.04,0.008,15,19,30.24,4.16,262.73,26.86,622.69,
JUNIO,1,14,0.062,0.008,1.04,0.008,44,21,31.56,4.49,269.46,23.68,622.06,
JUNIO,1,15,0.067,0.008,1.04,0.008,56,9,32.70,3.67,258.16,21.05,621.42,
JUNIO,1,16,0.066,0.008,1.03,0.008,49,29,33.56,3.53,251.54,19.47,620.87,
JUNIO,1,17,0.065,0.008,1.04,0.008,43,30,33.78,3.37,235.24,18.03,620.46,
JUNIO,1,18,0.066,0.008,1.02,0.008,41,21,33.80,3.79,245.27,16.84,620.30,
JUNIO,1,19,0.060,0.008,1.03,0.009,34,42,32.82,3.48,241.34,16.91,620.42,
JUNIO,1,20,0.047,0.008,1.08,0.015,36,36,31.31,2.84,216.06,18.20,620.78,
JUNIO,1,21,0.030,0.008,1.11,0.018,43,37,29.37,2.96,177.71,22.79,621.26,
JUNIO,1,22,0.030,0.009,1.09,0.016,60,44,27.99,2.87,183.87,25.59,621.82,
JUNIO,1,23,0.025,0.009,1.13,0.017,55,55,26.33,1.77,130.42,30.52,622.38,
