DATOS HORARIOS 2019_DIF,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,PM2.5,WS,WD,TEMP,HR,PBAR
OCT,3,16,38.13,2.77,0.298,1.43,17,20,2.76,87.08,28.07,36.01,620.43
OCT,3,17,38.15,1.24,0.300,1.66,23,8,3.49,78.24,28.25,34.99,620.09
OCT,3,18,30.49,2.02,0.440,2.49,38,5,3.10,74.24,27.45,35.76,620.23
OCT,3,19,16.22,1.39,0.726,5.35,51,5,2.13,69.54,26.21,39.70,620.57
OCT,3,20,8.35,1.62,0.788,8.35,66,17,1.91,67.34,25.10,43.25,621.11
OCT,3,21,14.68,9.06,0.452,6.24,57,18,2.33,82.83,23.53,50.51,622.11
OCT,3,22,14.58,8.24,0.342,3.73,47,19,2.64,96.52,21.81,61.74,622.86
OCT,3,23,22.15,4.21,0.214,1.39,34,14,3.74,91.98,21.02,65.96,623.33
OCT,4,0,23.07,7.62,0.174,0.94,28,14,4.35,89.72,19.90,66.82,623.53
OCT,4,1,20.81,21.11,0.165,0.30,29,14,3.95,64.29,19.13,72.78,623.61
OCT,4,2,18.18,37.61,0.150,0.85,31,20,3.57,66.89,18.61,75.58,623.54
OCT,4,3,22.42,29.39,0.122,0.39,23,27,3.57,68.23,18.63,73.27,623.60
OCT,4,4,21.87,29.20,0.122,0.30,23,14,2.96,75.38,18.40,74.21,623.58
OCT,4,5,18.85,17.30,0.187,1.37,24,18,1.89,93.18,17.13,81.39,623.71
OCT,4,6,6.41,10.01,0.379,3.76,40,28,1.75,104.45,16.67,83.22,623.82
OCT,4,7,1.22,8.01,0.587,5.58,52,20,2.49,95.76,16.01,85.60,624.04
OCT,4,8,4.05,7.89,0.570,4.70,50,20,3.13,84.53,16.97,81.89,624.24
OCT,4,9,15.95,23.77,0.533,5.04,41,16,3.13,84.07,19.40,72.84,624.44
OCT,4,10,33.92,13.14,0.332,4.48,35,25,4.43,83.24,21.59,59.96,624.52
OCT,4,11,38.01,8.64,0.288,3.01,18,18,3.95,80.20,22.99,55.50,624.41
OCT,4,12,41.31,6.70,0.371,2.96,22,11,3.64,91.66,24.60,48.79,624.10
OCT,4,13,44.67,4.87,0.298,2.68,17,10,3.38,105.59,25.81,43.55,623.52
OCT,4,14,47.34,6.25,0.250,2.44,23,8,2.92,102.34,26.85,39.43,622.91
OCT,4,15,45.92,9.56,0.269,1.75,15,9,2.94,95.98,27.90,36.56,622.14
OCT,4,16,44.36,15.64,0.271,3.86,28,13,2.72,89.08,28.34,32.92,621.65
OCT,4,17,42.23,8.47,0.336,5.02,31,14,2.34,92.14,28.20,30.30,621.59
OCT,4,18,40.85,4.88,0.437,5.49,35,11,2.66,90.78,27.94,31.59,621.67
OCT,4,19,30.41,3.60,0.515,7.69,39,17,1.54,162.36,26.35,35.36,621.96
OCT,4,20,16.67,2.63,0.546,9.53,56,22,1.69,236.97,24.41,42.98,622.50
OCT,4,21,21.50,15.36,0.328,8.02,47,15,2.62,55.85,23.71,47.24,623.12
OCT,4,22,20.72,21.36,0.262,6.38,38,24,2.10,92.56,22.42,52.64,623.67
OCT,4,23,19.62,8.03,0.232,5.81,33,22,2.28,122.32,21.09,59.07,624.14
OCT,5,0,18.75,4.06,0.182,5.02,27,10,2.40,87.13,20.00,65.97,624.27
OCT,5,1,18.47,2.99,0.164,4.11,22,12,2.50,80.80,19.11,71.70,624.26
OCT,5,2,18.72,11.74,0.136,3.96,18,9,2.58,70.31,19.21,71.06,624.02
OCT,5,3,19.81,13.70,0.124,3.89,20,7,2.61,60.95,18.90,70.81,623.96
OCT,5,4,24.22,19.28,0.122,3.15,15,13,3.21,56.99,18.69,70.35,623.85
OCT,5,5,14.45,13.22,0.157,4.34,23,18,2.11,117.29,17.81,74.45,624.01
OCT,5,6,6.48,0.99,0.282,6.31,23,17,1.93,115.88,16.35,82.78,624.25
OCT,5,7,1.22,2.25,0.501,8.11,35,6,1.86,103.35,16.01,84.09,624.47
OCT,5,8,1.22,4.34,0.666,9.07,68,20,2.27,101.80,16.72,80.14,624.73
OCT,5,9,10.40,4.42,0.574,8.40,51,30,2.62,102.80,18.98,72.04,624.94
OCT,5,10,24.50,2.17,0.465,4.61,38,16,3.39,97.36,21.41,62.02,624.95
OCT,5,11,33.47,0.90,0.435,4.03,23,13,2.95,97.24,23.26,55.67,624.73
OCT,5,12,28.05,6.20,0.176,2.97,15,11,2.60,101.27,24.95,49.95,624.29
OCT,5,13,42.51,14.73,0.241,NA,5,11,2.11,181.90,26.51,45.50,623.54
OCT,5,14,48.59,5.63,0.194,1.33,5,11,2.32,239.51,27.35,39.60,622.71
OCT,5,15,47.52,4.46,0.122,0.30,2,11,2.48,266.51,28.84,35.97,621.88
OCT,5,16,47.19,4.38,0.150,0.30,6,16,2.14,210.99,29.46,33.64,621.33
OCT,5,17,40.96,8.21,0.231,1.03,21,4,3.02,93.87,28.95,28.36,621.03
OCT,5,18,38.55,10.20,0.224,4.28,31,6,3.21,54.93,28.22,26.61,621.00
OCT,5,19,23.63,17.50,0.344,9.94,34,8,3.03,51.80,27.00,29.19,621.31
OCT,5,20,16.95,47.14,0.387,11.96,42,11,3.17,54.07,25.40,33.21,621.65
OCT,5,21,20.35,40.43,0.304,7.58,48,27,3.78,66.65,23.77,38.73,622.15
OCT,5,22,17.31,8.77,0.289,6.79,45,28,3.51,90.78,22.19,45.11,622.91
OCT,5,23,15.39,19.20,0.226,7.05,36,12,2.75,80.30,21.29,52.32,623.37
OCT,6,0,15.27,11.67,0.181,5.32,30,20,2.83,78.85,20.16,58.42,623.41
OCT,6,1,11.14,18.67,0.162,6.68,22,20,2.39,81.02,19.24,65.53,623.37
OCT,6,2,15.17,9.93,0.134,3.27,24,17,2.10,78.45,18.84,69.13,623.27
