DATOS HORARIOS 2019_DIF,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,PM2.5,WS,WD,TEMP,HR,PBAR
ABR,1,0,20.44,1.46,0.285,13.74,49,20,3.26,96.40,21.06,31.51,622.14
ABR,1,1,12.43,1.15,0.168,6.50,50,20,3.79,90.17,18.27,48.42,622.16
ABR,1,2,10.95,1.08,0.145,6.34,34,12,3.45,91.46,16.77,55.34,622.09
ABR,1,3,9.15,1.00,0.145,7.89,29,13,3.23,96.58,15.69,60.13,622.00
ABR,1,4,8.67,0.90,0.145,8.46,17,13,2.96,114.11,14.93,63.18,621.91
ABR,1,5,7.63,1.25,0.189,8.73,37,14,2.83,104.38,14.29,66.86,622.15
ABR,1,6,6.35,1.17,0.250,9.63,35,22,3.01,106.70,13.70,70.58,622.45
ABR,1,7,2.78,1.47,0.486,12.93,33,19,3.16,101.04,13.17,72.78,622.98
ABR,1,8,3.80,2.02,0.577,13.08,43,12,3.85,94.68,13.69,70.06,623.43
ABR,1,9,14.31,1.56,0.547,9.38,45,17,3.92,95.85,15.74,62.16,623.92
ABR,1,10,22.12,1.82,0.481,9.69,51,18,2.77,97.87,19.14,50.18,624.23
ABR,1,11,42.47,2.49,0.317,6.22,42,22,1.71,200.36,23.44,36.39,624.13
ABR,1,12,54.25,1.78,0.186,0.97,37,23,3.42,251.36,26.07,23.47,623.63
ABR,1,13,56.81,1.29,0.168,0.36,27,15,4.20,248.76,27.69,18.05,622.95
ABR,1,14,59.51,1.20,0.208,1.24,30,15,4.04,264.52,28.90,18.02,622.13
ABR,1,15,63.75,1.00,0.175,0.30,41,12,5.56,266.67,30.06,12.61,621.45
ABR,1,16,64.74,1.12,0.159,0.64,43,11,5.25,258.93,30.65,11.27,620.88
ABR,1,17,63.55,1.01,0.155,0.88,34,12,4.93,258.77,30.75,10.99,620.69
ABR,1,18,63.24,0.99,0.150,1.07,89,12,5.27,261.68,30.06,12.06,620.72
ABR,1,19,56.68,1.01,0.188,4.02,47,14,4.74,252.98,28.68,12.86,621.08
ABR,1,20,42.79,1.05,0.375,11.06,44,14,3.49,222.60,26.25,15.60,621.73
ABR,1,21,41.20,1.06,0.290,8.41,55,14,4.53,215.12,24.49,17.41,622.37
ABR,1,22,39.12,1.23,0.264,8.81,42,13,3.52,191.44,23.01,18.06,623.16
ABR,1,23,31.71,1.09,0.262,11.38,44,14,1.19,242.90,21.47,20.32,623.72
ABR,2,0,27.84,0.90,0.177,11.57,28,18,1.20,278.09,20.17,24.19,623.91
ABR,2,1,4.62,1.29,0.247,30.70,39,15,1.71,286.54,18.89,27.85,623.92
ABR,2,2,11.66,1.39,0.166,23.59,40,18,1.99,275.09,17.76,30.05,623.69
ABR,2,3,28.29,0.97,0.122,9.84,30,18,2.35,265.80,17.42,28.90,623.42
ABR,2,4,32.36,1.20,0.122,4.86,29,15,1.38,258.43,16.67,31.09,623.41
ABR,2,5,13.75,1.53,0.122,19.70,27,20,1.62,117.87,16.02,33.47,623.58
ABR,2,6,8.20,1.01,0.166,21.06,40,22,0.94,132.78,15.28,35.89,623.74
ABR,2,7,1.22,2.76,0.664,30.68,55,24,1.57,102.62,15.13,35.95,624.09
ABR,2,8,1.22,5.41,0.819,28.11,99,30,2.00,98.93,15.72,34.23,624.50
ABR,2,9,2.84,5.45,0.676,25.23,102,34,2.66,97.75,18.01,34.33,625.01
ABR,2,10,22.87,4.13,0.501,17.00,78,29,2.10,114.81,21.94,26.74,625.20
ABR,2,11,43.06,4.55,0.353,7.57,50,21,1.96,148.25,24.74,22.95,625.05
ABR,2,12,51.65,2.28,0.173,1.99,39,18,2.03,191.58,26.40,21.56,624.76
ABR,2,13,51.78,1.16,0.148,0.85,32,15,2.60,229.37,27.13,19.37,624.13
ABR,2,14,52.50,1.27,0.203,1.80,25,17,2.63,211.46,28.64,17.63,623.41
ABR,2,15,56.25,1.13,0.177,2.02,51,15,2.46,218.95,29.71,16.97,622.55
ABR,2,16,59.53,1.21,0.122,0.30,28,9,2.91,257.42,30.03,16.66,621.84
ABR,2,17,62.11,1.54,0.178,1.62,32,12,2.05,208.05,30.53,15.52,621.41
ABR,2,18,54.15,1.16,0.167,2.96,29,24,2.75,220.17,30.60,14.60,621.29
ABR,2,19,47.71,0.93,0.188,4.74,47,16,2.84,238.97,29.03,16.20,621.66
ABR,2,20,36.14,1.09,0.238,6.04,79,18,4.20,209.18,27.79,19.21,622.29
