DATOS HORARIOS 2017_DIF,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP,HR,PBAR,PM2.5
DIC,1,0,5.68,52.76,0.08,15.93,46.23,4.16,81.8,12.44,56.93,625.56,23.73
DIC,1,1,15.76,4.45,0.06,3.35,43.45,3.57,90.76,12.01,62.37,625.53,35.97
DIC,1,2,16.21,2.08,0.05,2.46,28.82,3.77,86.03,11.02,69.92,625.46,13.36
DIC,1,3,10.48,1.67,0.02,3.96,15.71,2.83,96.45,10.42,73.02,625.26,NA
DIC,1,4,7.38,1.2,0.00,8.22,22.74,3.3,93.73,9,76.7,625.15,14.19
DIC,1,5,11.11,1.26,0.00,3.97,22.07,3.14,102.97,8.47,77.83,625.26,13.65
DIC,1,6,15.21,1.12,0.00,1.83,23.02,3.82,85.14,8.7,78.65,625.33,15.9
DIC,1,7,9.32,1.1,0.16,12.63,29.78,2.29,70.95,8.26,79.79,625.64,19.48
DIC,1,8,6.73,1.31,0.39,15.42,42.32,2.24,84.28,7.97,77.63,626.17,18.1
DIC,1,9,7.71,1.53,0.36,11.05,55.35,3.32,83.19,10.48,68.89,626.56,19.69
DIC,1,10,13.55,1.34,0.27,5.26,48.78,4.29,93.53,13.07,58.49,626.76,22.77
DIC,1,11,16.3,1.13,0.24,3.37,49.22,4.31,87.93,14.17,49.1,626.71,22.47
DIC,1,12,19.08,1.1,0.23,4,49.11,4.35,88.27,15.56,36.1,626.21,18.81
DIC,1,13,21.66,2.03,0.22,5.21,42.85,3.62,77.99,18.62,31.85,625.47,16.35
DIC,1,14,25.69,1.71,0.25,6.65,36.03,3,85.27,20.98,23.9,624.44,23.28
DIC,1,15,29.21,3.12,0.26,8.54,38.51,2.37,108.97,21.46,20.72,623.58,30.29
DIC,1,16,31.78,4.66,0.13,6.84,63.41,2.33,85.82,23.16,16.57,623.14,26.84
DIC,1,17,24.58,1.96,0.37,20,55.41,1.9,117.02,22.77,15.62,623.02,22.8
DIC,1,18,13.22,1.89,0.67,41.05,82.87,1.67,143.79,20.14,17.21,623.13,20.83
DIC,1,19,NA,2.94,1.35,65.38,129.89,1.32,275.58,19.6,21.55,623.47,24.96
DIC,1,20,NA,13.61,1.93,66.2,199.11,1.1,273.3,17.95,25.03,623.82,45.01
DIC,1,21,1.6,23.8,1.75,49.2,178.75,1.66,56.16,17.46,27.71,624.2,59.39
DIC,1,22,4.26,35.01,0.73,29.95,120.53,2.67,97.36,15.49,34.75,624.58,45.82
DIC,1,23,5.68,3.72,0.37,20.14,107.78,3.02,96.94,14.16,45.37,624.8,34.8
DIC,2,0,8.52,3.22,0.20,18.89,66.52,3.05,90.1,13.36,50.72,624.87,29.81
DIC,2,1,11.38,1.1,0.04,2.37,44.59,3.89,87.12,12.47,55.96,624.79,22.89
DIC,2,2,11.53,1.1,0.00,1.7,25,3.44,93.33,10.97,60.56,624.77,12.22
DIC,2,3,11.05,1.4,0.01,5.15,27.03,2.93,87.72,10.95,65.28,624.64,11.15
DIC,2,4,6.35,1.22,0.02,9.28,41.01,2.28,115,10,69.45,624.56,13.52
DIC,2,5,5.5,3.72,0.00,13.17,31.08,2.62,98.66,9.23,71.97,624.56,18.55
DIC,2,6,3.51,5.4,0.08,20.28,32.77,2.37,89.67,8.33,75.16,624.62,13.62
DIC,2,7,5.9,6.45,0.28,21.49,44.15,2.07,100.61,7.86,76.38,625,28.19
DIC,2,8,3.61,4.51,0.51,22.13,69.7,2.61,92.15,8.56,77.6,625.38,37.57
DIC,2,9,6.31,2.12,0.50,15.03,59.62,2.99,98.09,10.14,71.04,626.01,32.46
DIC,2,10,10.98,1.73,0.49,8.9,62.57,3.7,91.96,12.98,63.29,626.37,37.75
DIC,2,11,15.21,1.22,0.33,6.02,54.33,3.99,91.45,15.02,55.72,626.23,25.7
DIC,2,12,18.2,1.1,0.39,6.37,39.02,3.43,103.08,16.21,46.49,625.68,23.87
