DATOS HORARIOS 2017_DIF,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP,HR,PBAR,PM2.5
FEB,3,12,34.89,1.32,0.21,7.12,70.48,4.39,80.3,20.48,32.07,626.24,28.51
FEB,3,13,41.61,1.52,0.24,7.96,73.35,4.16,84.23,22.16,28.02,625.45,40.01
FEB,3,14,46.15,2.46,0.26,8.2,77.6,3.34,96.29,23.58,25.95,624.49,27.26
FEB,3,15,49.11,3.33,0.31,10.37,67.68,2.71,123.3,24.74,24.15,623.65,19.09
FEB,3,16,45.7,1.94,0.10,4.76,49.31,2.64,171.66,25.51,19.39,623.22,13.83
FEB,3,17,46.9,1.78,0.09,5.84,39.83,2.29,122.54,25.64,18.21,623.14,23.81
FEB,3,18,40.87,1.57,0.26,12.62,38.22,2.14,104.55,25.39,18.01,623.23,27.9
FEB,3,19,32.33,1.9,0.44,20.82,51.23,1.12,79.73,24.12,20.43,623.33,30.99
FEB,3,20,7.62,8.12,0.75,30.4,79.27,3.04,37.88,22.32,27.86,623.52,37.8
FEB,3,21,12.12,44.72,0.75,13.13,104.2,4.66,54.36,20.57,39.24,624.14,38.17
FEB,3,22,12.79,23.82,0.36,11.15,103.06,4.23,66.85,19.21,46.48,624.6,33.95
FEB,3,23,18.63,2.39,0.13,3.99,68.63,5.25,76.4,17.85,54.63,624.98,28.48
FEB,4,0,18.23,1.85,0.06,2.92,49.04,4.71,75.85,16.89,60.71,625.17,28.7
FEB,4,1,18.65,1.38,0.03,2.66,40.82,4.67,82.92,16.22,64.07,625.27,8.42
FEB,4,2,19.88,1.62,0.03,2.59,45.43,3.7,74.36,16.07,64.32,625.3,25
FEB,4,3,21.12,1.47,0.03,1.7,42.99,3.26,78.97,15.75,64.6,625.14,23.32
FEB,4,4,20.38,1.38,0.02,1.7,41.02,2.84,83.21,15.33,65.8,624.97,23.4
FEB,4,5,14.52,1.19,0.00,5.36,39.57,2.33,106.22,15.09,67.53,625.09,21.59
FEB,4,6,5.13,2,0.08,12.21,39.79,2.74,106.23,14.51,70.35,625.14,16.74
FEB,4,7,4.37,1.54,0.16,11.7,35.51,3.19,89.77,13.93,73.12,625.42,22.75
FEB,4,8,1.6,1.51,0.36,15.03,47.96,2.02,97.98,13.77,74.71,625.73,23.47
FEB,4,9,6.23,1.59,0.46,12.15,71.4,2.79,84.57,14.79,70.06,626.12,20.08
FEB,4,10,17.51,1.62,0.41,6.32,78.57,3.66,80.37,17.54,60.66,626.51,20.6
FEB,4,11,23.79,1.46,0.31,4.56,69.01,4.74,82.95,19.11,55.87,626.57,18.24
FEB,4,12,30.41,1.77,0.29,5.82,75.92,4.5,81.17,20.8,49.07,626.17,17.88
