DATOS HORARIOS 2017_DIF,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP,HR,PBAR,PM2.5
SEP,1,0,5.72,5.86,0.06,7.81,5.48,1.23,74.34,16.79,91.45,625.19,NA
SEP,1,1,9.1,10.01,0.08,2.78,18.7,1.14,26.45,15.96,92.7,624.81,7.78
SEP,1,2,8.5,3.03,0.00,3.56,7.74,1.07,128.82,14.88,92.79,624.38,4.54
SEP,1,3,5.95,6.26,0.06,10.97,11.76,1.49,127.43,15.53,92.56,623.91,9
SEP,1,4,5.58,4.32,0.08,10.44,24.52,1.12,133.71,16.23,92.43,623.71,3.95
SEP,1,5,2.95,3.65,0.12,17.23,25.61,0.99,203.01,16.24,92.15,623.74,3.95
SEP,1,6,1.7,3.28,0.45,18.39,30.71,0.97,125.59,14.79,92.74,623.85,5.16
SEP,1,7,1.6,4.83,0.93,21.53,37.07,1.37,134.48,15.49,91.11,624.09,17.13
SEP,1,8,1.6,3.14,0.90,20.66,53.51,1.57,89.81,16.73,87.58,624.37,19.21
SEP,1,9,4.86,12.08,0.65,21.92,23.13,1.27,66.27,18.26,79.61,624.71,5.49
SEP,1,10,8.15,24.12,0.46,14.44,22.5,2.35,76.46,19.82,69.92,624.92,20.77
SEP,1,11,10.25,11.33,0.36,8.7,25.92,3.32,103.78,19.44,66.02,624.99,11.92
SEP,1,12,11.22,2.58,0.46,8.08,34.22,3.4,101.87,22.12,63.76,624.75,14.11
SEP,1,13,10.84,2.08,0.59,10.4,44.75,3.01,98.54,22.7,59.84,624.36,5
SEP,1,14,12.43,22.12,0.41,11.56,56.02,2.46,69.89,22.78,54.11,623.69,16.07
SEP,1,15,13.4,17.32,0.37,8.59,43.91,2.63,71.32,24.86,50.33,623.05,NA
SEP,1,16,13.24,17.56,0.38,6.61,46.04,2.6,76.65,25.92,45.9,622.5,NA
SEP,1,17,12.85,7.71,0.34,1.7,27.45,2.68,59.68,25.71,45.29,622.33,11.62
SEP,1,18,12.2,1.19,0.14,1.94,36.42,2.69,68.41,23.88,49.32,622.42,4.16
SEP,1,19,8.8,1.1,0.30,11.31,39.78,3.05,76.7,22.91,53.58,622.7,6
SEP,1,20,2.49,1.1,0.64,27.53,51.78,1.8,313.56,20.54,60.29,623.27,3.96
SEP,1,21,2.38,1.1,0.51,22.82,65.87,1.84,288.62,21.87,62.22,623.76,3.95
SEP,1,22,5.72,2.11,0.33,9.39,47.25,3.14,38.76,21.76,62.49,624.25,4.43
SEP,1,23,6.83,39.52,0.26,7.42,31.36,2.87,57.46,20.95,65.75,624.64,10.65
SEP,2,0,6,3.74,0.09,7.09,34.58,2.49,93.03,19.9,71.72,624.85,21.15
SEP,2,1,7.98,1.19,0.02,1.7,38.51,3.01,85.1,17.51,73.33,624.72,NA
SEP,2,2,6.79,1.1,0.01,3.26,15.96,2.19,77.02,17.52,75.06,624.59,NA
SEP,2,3,5.74,1.29,0.00,7.05,18.74,2.05,86.96,17.98,76.09,624.23,NA
SEP,2,4,3.36,3.79,0.02,14.33,29,1.48,98.62,17.84,78.65,624.13,9.38
SEP,2,5,2.87,3.69,0.07,14.53,41.19,1.22,123.37,17.32,80.74,624.18,13.27
SEP,2,6,2.61,8.68,0.23,17.5,51.05,1.34,84.29,16.96,80.61,624.39,4.71
SEP,2,7,1.6,5.96,0.50,22.11,73.75,1.25,100.37,15.98,82.59,624.5,17.22
SEP,2,8,1.6,4.35,0.67,20.41,121.01,1.39,116.14,17.39,77.11,624.78,9.6
SEP,2,9,1.6,9.88,0.58,12.67,87.63,2.97,84.45,18.35,68.98,625.07,30.99
SEP,2,10,5.3,9.34,0.31,6.9,67.41,4.21,78.15,21.74,58.34,625.36,3.95
SEP,2,11,6.62,6.25,0.34,6.77,50.93,4.18,83.09,22.79,54.2,625.44,4.48
SEP,2,12,7.32,20.21,0.31,7.34,52.44,4.21,70.12,22.98,50.39,625.25,13.54
SEP,2,13,8.99,8.16,0.27,5.5,48.6,4.73,84.8,23.89,46.01,624.87,9.1
SEP,2,14,9.48,8.66,0.29,5.67,59.49,4.33,78.3,23.03,45.22,624.42,8.36
SEP,2,15,8.61,22.43,0.33,7.56,50.55,3.71,71.21,24.57,43.92,623.89,4.42
SEP,2,16,8.39,19.83,0.25,7.52,47.23,3.6,69.23,25.77,42.51,623.39,12.11
SEP,2,17,8.53,15.07,0.31,4.89,37.83,4.53,41.29,25.3,43.62,623.14,4.65
SEP,2,18,7.9,18.08,0.31,4.46,37.59,4.91,48.08,25.03,45.85,623.21,16.56
SEP,2,19,6.81,16.27,0.59,4.02,39.06,5.85,35.6,23.53,50.79,623.4,4.28
SEP,2,20,5.86,4.64,0.29,4.48,36.1,5.13,46.02,20.59,61.44,623.89,10.37
