DATOS HORARIOS 2020_CRUZ ROJA,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3 (ppm),SO2 (ppm),CO (ppm),NO2 (ppm),PM10 (µg/m³),PM2.5 (µg/m³),WS (m/s),WD (°),TEMP (°C)
SEP,13,14,0.0407,NA,NA,0.0031,5,6,3.71,65.06,25.03
SEP,13,15,0.0409,NA,NA,0.0031,6,7,3.22,81.05,26.08
SEP,13,16,0.0416,NA,NA,0.0026,11,8,2.99,73.19,26.81
SEP,13,17,0.0408,NA,NA,0.0031,10,8,2.04,112.39,27.75
SEP,13,18,0.0416,NA,NA,0.0031,9,8,2.45,68.19,27.77
SEP,13,19,0.0394,NA,NA,0.0055,12,8,2.69,48.08,26.76
SEP,13,20,0.0329,NA,NA,0.0087,16,9,2.61,54.8,24.69
SEP,13,21,0.0333,NA,NA,0.0066,11,7,3.09,58.51,23.24
SEP,13,22,0.0343,NA,NA,0.0051,18,7,3.05,53.84,22
SEP,13,23,0.0285,0.0255,NA,0.0084,10,10,2.58,94.99,20.53
SEP,14,0,0.0264,0.0295,NA,NA,30,20,3.12,85.82,19.63
SEP,14,1,0.0267,0.0405,NA,NA,27,22,3.02,76.37,19.12
SEP,14,2,0.0282,0.0646,NA,NA,14,15,3.14,78.31,18.57
SEP,14,3,0.0303,0.1355,NA,NA,9,13,3.14,74.82,17.9
