DATOS HORARIOS 2020_CRUZ ROJA,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,
,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m3],PM2.5 [µg/m3],TEMP (°C),WS (m/s),WD (°),HR (%)
NOV,1,0,0.0385,0.0073,0.85,0.0071,24,5,20.4,2.06,73.94,34.59
NOV,1,1,0.0356,0.0213,0.89,0.0092,23,6,19.2,1.50,80.43,36.11
NOV,1,2,0.0383,0.0039,0.85,0.0064,17,12,18.8,1.57,46.95,35.97
NOV,1,3,0.0292,0.005,0.91,0.0123,12,2,17.8,0.63,92.71,37.66
NOV,1,4,0.0261,0.0181,0.94,0.0118,17,2,16.6,0.67,104.61,38.39
NOV,1,5,0.0289,0.02,0.89,0.0092,16,3,16,0.70,106.62,36.83
NOV,1,6,0.0294,0.0067,0.86,0.009,12,4,15.5,0.79,106.40,36.60
NOV,1,7,0.0254,0.0222,0.95,0.013,18,3,14.8,0.57,89.33,39.32
NOV,1,8,0.027,0.0287,0.96,0.013,21,6,15.5,1.14,85.24,38.67
NOV,1,9,0.0338,0.0341,0.96,0.0127,28,15,17.9,1.42,95.27,35.79
NOV,1,10,0.0423,0.0099,0.9,0.0071,27,17,21.4,3.34,84.54,31.74
NOV,1,11,0.0435,0.0046,0.87,0.0056,26,9,23.3,5.08,76.84,33.53
NOV,1,12,0.0443,0.0038,0.88,0.0046,16,7,24.8,5.21,60.62,33.52
NOV,1,13,0.0483,0.0038,0.9,0.0049,25,5,26.4,4.97,69.49,31.47
NOV,1,14,0.0465,0.0027,0.9,0.0049,21,5,27.6,3.81,71.44,28.86
NOV,1,15,0.0456,0.0026,0.88,0.0045,26,4,27.9,5.03,82.64,24.03
NOV,1,16,0.0438,0.0024,0.89,0.005,40,7,27.7,5.42,74.65,21.90
NOV,1,17,0.0451,0.0024,0.86,0.0044,44,8,26.4,5.71,68.95,20.70
NOV,1,18,0.0468,0.0024,0.86,0.0048,53,7,24.4,5.84,58.31,24.67
NOV,1,19,0.046,0.0022,0.87,0.005,48,7,21.8,6.16,49.03,29.90
NOV,1,20,0.0458,0.0019,0.87,0.005,29,5,19.7,4.41,51.82,31.70
NOV,1,21,0.0448,0.0017,0.85,0.0044,34,4,18.2,2.60,50.67,35.98
NOV,1,22,0.0432,0.0015,0.86,0.005,15,3,17.2,3.04,47.05,38.93
NOV,1,23,0.0452,0.0014,0.86,0.0043,16,1,16,3.35,55.71,44.74
NOV,2,0,0.0466,0.0014,0.85,0.0039,17,1,14.9,3.89,54.31,51.17
NOV,2,1,0.0451,0.005,0.89,0.0042,17,4,14.4,3.25,58.05,54.80
NOV,2,2,0.0402,0.0057,0.89,0.0053,23,7,13.8,1.96,69.61,59.16
NOV,2,3,0.0405,0.0081,0.92,0.0054,20,12,13.6,2.55,57.61,60.52
NOV,2,4,0.0435,0.0053,0.85,0.0034,17,11,13.6,3.29,52.39,60.26
NOV,2,5,0.0431,0.0052,0.87,0.0042,18,9,13.6,3.11,55.16,59.85
NOV,2,6,0.0402,0.0048,0.86,0.0046,19,13,12.9,1.98,51.52,63.59
NOV,2,7,0.0354,0.0086,0.91,0.0078,19,10,12.6,1.90,74.79,63.98
NOV,2,8,0.0287,0.0149,0.97,0.0103,22,14,12.5,2.97,87.04,65.43
NOV,2,9,0.0371,0.0099,0.93,0.0068,21,20,14.4,4.25,69.10,59.36
NOV,2,10,0.0417,0.0065,0.92,0.0056,30,14,15.6,5.97,65.79,54.06
NOV,2,11,0.0423,0.006,0.9,0.0055,20,13,16.5,5.86,58.56,51.84
NOV,2,12,0.044,0.0057,0.92,0.0046,14,7,18,5.49,54.42,47.77
NOV,2,13,0.045,0.0226,0.97,0.0058,22,6,19.2,5.64,78.18,43.22
NOV,2,14,0.0452,0.0187,0.91,0.0062,38,7,20.6,4.91,75.20,38.31
NOV,2,15,0.0463,0.0173,0.91,0.0059,31,11,21.4,5.05,78.61,35.55
NOV,2,16,0.0459,0.0275,0.9,0.0061,33,13,21.9,5.02,74.24,32.89
NOV,2,17,0.0455,0.0094,0.9,0.0059,30,20,21.9,5.03,60.58,31.17
NOV,2,18,0.0434,0.0127,0.9,0.007,42,10,20.7,5.89,73.97,32.39
NOV,2,19,0.0377,0.0084,0.92,0.0088,38,10,18.8,5.78,59.65,36.93
NOV,2,20,0.0384,0.0059,0.9,0.0059,30,9,16.6,5.06,49.90,42.71
NOV,2,21,0.0405,0.0056,0.88,0.0051,17,5,14.9,4.67,55.39,47.66
NOV,2,22,0.0414,0.0051,0.88,0.0047,15,1,14,3.43,49.94,51.45
NOV,2,23,0.0421,0.0048,0.87,0.0053,9,1,13.2,3.58,54.21,53.24
