DATOS HORARIOS 2020_CRUZ ROJA,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,PM2.5,WS,WD,TEMP,PBAR
JUL,3,16,54.47,8.66,0.65,3.99,20.45,13.54,2.71,134.02,29.28,622.35
JUL,3,17,55.65,12.99,0.83,2.93,16.13,15.36,3.03,88.68,29.92,621.8
JUL,3,18,55.37,7.06,0.61,NA,170.94,13.72,2.19,104.16,30.37,621.29
JUL,3,19,38.1,6.42,0.64,4.05,243,12.02,3.76,120.62,27.51,621.6
JUL,3,20,24.27,11.52,0.92,12.47,167.4,11.27,1.83,144.91,26.38,621.92
JUL,3,21,21.86,6.78,0.57,7.2,78.91,18.39,3.41,52.63,25.4,622.35
JUL,3,22,25.54,5.75,0.49,1.67,29.97,17.53,4.48,50.05,24.1,622.95
JUL,3,23,16.4,29.25,0.75,7.25,29.06,13.5,2.7,110.18,23.04,624.11
JUL,4,0,15.37,66.31,0.69,6.34,38.2,26.08,2.54,72.02,22.32,624.64
JUL,4,1,15.52,11.11,0.52,5.9,33.82,18.86,2.33,52.72,21.45,624.79
JUL,4,2,17,7.29,0.47,5.42,23.85,16.14,2.75,53.77,20.56,624.67
JUL,4,3,21.75,6.13,0.47,0.38,22.48,13.75,2.85,54.13,19.66,624.57
JUL,4,4,23.27,6.02,0.48,NA,22.12,13.5,2.5,58.32,19.27,624.7
JUL,4,5,16.5,17.09,0.57,5.44,20.65,13.23,1.74,66.55,18.93,624.63
JUL,4,6,10,24.43,0.55,9.09,24.52,16.53,1.25,88.3,18.22,624.82
JUL,4,7,3.36,36.11,0.84,15.07,32.53,18.76,0.84,112.21,18.2,625.05
JUL,4,8,7.77,30.13,0.91,13.75,42.19,27.43,1.28,95.2,19.6,625.08
JUL,4,9,20.22,45.56,0.75,6.5,39.87,25.32,2.86,90.29,21.39,625.22
JUL,4,10,26.47,13.92,0.61,2.79,31.54,25.53,4.05,100.76,22.13,625.13
JUL,4,11,35.8,12.48,0.58,2,23.3,18.63,3.51,100.35,23.37,624.99
JUL,4,12,41.67,7.1,0.59,2.21,20.19,10.96,2.92,115.97,24.71,624.74
JUL,4,13,44.37,6.55,0.6,3.01,32.31,16.29,3.01,120.58,26.04,624.23
JUL,4,14,48.71,5.86,0.63,4.34,20.86,13.07,3.33,121.77,27.08,623.53
JUL,4,15,51.93,6.12,0.63,3.16,17.01,13.72,3.45,125.98,28.02,622.82
JUL,4,16,57.28,6.89,0.6,2.9,19.14,13.95,2.64,132.39,29.07,622
