DATOS HORARIOS 2020_CRUZ ROJA,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,PM2.5,WS,WD,TEMP,HR,PBAR
FEB,3,10,8.04,4.87,2.63,18.34,83.17,30.35,0.91,230.9,14.9,60.31,625.66
FEB,3,11,10.68,4.84,2.27,21.05,83.72,33.87,0.96,293.01,15.77,58.09,626.19
FEB,3,12,23.38,4.31,1.83,14.55,63.1,40.2,0.99,189.18,17.65,55.09,625.67
FEB,3,13,32.24,4.61,1.8,12.3,36.08,23.18,0.94,203.23,20.2,51.97,625.02
FEB,3,14,32.19,4,1.87,13.12,35.33,23.23,1.98,232.97,21.28,48.69,624.41
FEB,3,15,23.91,2.25,1.77,9.83,51.75,15.5,4.03,208.48,21.89,41.64,624.07
FEB,3,16,25.86,1.93,1.61,9.04,54.49,9.7,4.44,208.59,21.43,44.28,623.85
FEB,3,17,23.23,2.06,1.77,10.22,35.88,15.96,3.01,228.52,20.38,51.38,623.9
FEB,3,18,15.35,2.72,1.79,12.15,54.03,20.99,2.51,265.28,17.72,70.77,624.51
FEB,3,19,8.85,2.8,1.8,11.31,68.02,19.3,2.59,248.8,15.82,82.29,625.22
FEB,3,20,7.11,2.62,1.73,10.91,19.27,20.75,2.22,244.77,15.28,84.18,625.98
FEB,3,21,7.2,2.36,1.78,11.07,7.81,10.62,1.37,258.26,14.93,85.66,626.43
FEB,3,22,7.13,2.13,1.59,10.53,3.69,11.81,0.81,264.12,14.88,86.19,626.54
FEB,3,23,6.26,2.09,1.56,12.03,3.08,13.04,0.59,223.15,14.93,86.33,626.52
FEB,4,0,6.55,1.96,1.46,11.18,11.54,12.8,0.56,235.87,14.81,86.38,626.13
FEB,4,1,7.25,1.81,1.46,10.08,8.71,9.44,0.77,288.6,14.59,86.42,625.81
FEB,4,2,4.85,1.85,1.48,13.5,11.45,6.53,0.94,270.04,14.56,86.53,625.73
FEB,4,3,9.07,1.8,1.47,14.07,7.68,8.43,1,257.07,14.34,87.01,625.33
FEB,4,4,45.06,1.63,1.44,10.24,10.02,9.17,1.46,254.56,14.17,86.91,624.96
FEB,4,5,30.55,1.66,1.44,9.57,8.92,8.21,0.86,244.91,13.99,87.03,624.87
FEB,4,6,25.72,1.59,1.48,12.2,9.2,16.61,1.02,269.7,13.87,87.42,624.77
FEB,4,7,11.53,1.78,1.74,13.57,6.48,10.15,1.13,290.68,13.84,87.61,624.84
FEB,4,8,5.61,1.91,2.03,13.15,15.12,11.8,1.01,292.64,13.8,87.6,625.06
FEB,4,9,5.61,1.81,1.98,12.52,14.45,16.37,1.18,291,14.22,87.19,625.44
FEB,4,10,6.67,1.7,1.72,11.6,7.6,16.88,1.33,288.44,14.71,83.71,625.89
FEB,4,11,12.47,1.81,1.86,11.87,7.38,9.45,1.51,261.03,16.58,77.07,626.03
FEB,4,12,20.27,1.81,1.79,10.72,18.96,18.29,1.57,238.49,18.47,69.49,625.67
FEB,4,13,20.78,1.77,1.73,10.66,26.42,11.32,1.61,255.05,19.5,65.4,624.87
FEB,4,14,21.8,1.76,1.85,11.32,14.29,16.66,2.18,243.19,21.15,59.84,623.91
FEB,4,15,22.83,1.78,1.84,12.2,27.87,15.48,2.95,251.25,21.39,59.06,623.2
FEB,4,16,23.72,1.75,1.76,12.35,23.5,16.19,3.21,242.01,21.66,57.82,622.51
FEB,4,17,21.8,1.69,1.72,11.08,23.57,12.61,4.42,247.5,22.02,54.32,622.19
FEB,4,18,19.4,1.61,1.64,10.43,21.94,17.39,3.49,244.4,21.7,54.4,622.38
FEB,4,19,15.76,1.73,1.82,12.43,26.85,10.43,3.12,242.15,20.73,56.97,622.75
FEB,4,20,10.05,1.81,2.13,15.21,29.45,8.96,2.59,232.28,19.5,60.99,623.14
FEB,4,21,10.95,1.66,1.96,13.88,31.33,15.7,1.98,222.25,18.58,63.88,623.52
FEB,4,22,7.94,1.73,1.76,14.65,25.21,11.63,1.67,241.24,17.85,66.37,623.77
FEB,4,23,7.04,1.62,1.73,14.47,21.4,9.69,0.89,243.36,17.28,68.44,623.85
FEB,5,0,9.04,1.49,1.47,13.08,13.87,9.2,1.23,251.61,17.11,68.15,623.86
FEB,5,1,10.92,1.39,1.35,11.54,7.62,10.17,1.02,285.25,16.69,69.39,623.48
FEB,5,2,11.18,1.39,1.33,11.77,10.63,11.84,1.2,265.07,16.41,69.93,623.14
FEB,5,3,14.57,1.33,1.31,10.42,9.21,13.09,1.34,265.52,16.26,69.74,622.91
FEB,5,4,13.15,1.34,1.3,9.98,6.03,9.21,1.13,228.53,15.96,71.77,622.41
FEB,5,5,10.66,1.36,1.32,9.92,10.64,8.96,1.45,207.27,15.79,73.05,622.3
FEB,5,6,10.39,1.37,1.37,10.82,11.48,11.85,1.28,224.15,15.62,74.11,622.22
FEB,5,7,8.03,1.59,1.83,12.42,13.75,11.12,2.26,228.63,15.25,78.36,622.89
