DATOS HORARIOS 2020_CRUZ ROJA,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,PM2.5,WS,WD,TEMP,HR,PBAR
MZO,3,12,48.13,NA,1.63,9.91,22.39,23.75,2.66,230.28,25.64,26.89,622.02
MZO,3,13,31.03,NA,1.59,8.59,24.96,10.81,3.78,231.38,27.43,19.36,621.14
MZO,3,14,31.16,NA,1.72,13.95,41.93,15.12,4.69,228.18,28.85,16.76,620.23
MZO,3,15,33.67,NA,1.67,14.24,44.63,15.71,4.61,234.12,30.01,11.51,619.62
MZO,3,16,29.43,NA,1.59,13.38,65.10,10.26,4.86,222.65,30.61,7.56,619.13
MZO,3,17,31.95,NA,1.55,12.83,44.39,15.93,4.92,207.22,30.42,8.44,618.80
MZO,3,18,28.74,NA,1.58,13.81,49.27,12.08,4.28,201.09,29.67,8.85,618.90
MZO,3,19,28.09,NA,1.77,13.22,39.88,26.20,3.76,216.22,28.18,10.73,619.36
MZO,3,20,29.13,NA,1.76,13.65,38.87,16.25,4.15,222.44,25.33,16.29,620.05
MZO,3,21,32.01,NA,1.65,12.41,28.32,9.34,3.21,242.14,23.50,22.67,620.88
MZO,3,22,37.73,NA,1.61,10.54,25.80,7.72,3.70,228.25,22.52,29.72,621.47
MZO,3,23,44.26,NA,1.48,7.84,31.95,7.22,2.42,275.43,21.30,38.84,621.96
MZO,4,0,44.10,NA,1.49,7.61,17.20,9.94,2.81,244.78,20.77,42.92,622.07
MZO,4,1,42.66,NA,1.44,6.94,17.05,11.98,3.24,239.36,19.24,48.52,622.08
MZO,4,2,42.52,NA,1.42,6.38,21.59,11.40,3.60,241.30,18.61,50.35,621.78
MZO,4,3,44.69,NA,1.39,6.63,18.32,11.61,2.81,235.28,17.25,52.15,621.58
MZO,4,4,44.53,NA,1.40,6.47,17.00,8.91,2.13,221.72,16.41,55.39,621.51
MZO,4,5,40.75,NA,1.40,6.99,21.51,8.92,0.97,222.06,15.46,58.12,621.50
MZO,4,6,33.72,NA,1.46,9.61,17.85,13.45,0.96,264.85,14.74,59.75,621.80
MZO,4,7,21.69,NA,1.71,17.84,28.40,15.17,0.79,291.76,14.14,59.58,622.31
MZO,4,8,18.06,NA,2.16,20.62,52.15,23.92,1.14,303.52,13.92,59.53,622.75
MZO,4,9,28.17,NA,2.01,17.36,43.26,29.84,1.18,292.22,15.80,57.24,623.18
MZO,4,10,23.53,NA,1.60,21.22,39.16,19.96,1.76,263.50,18.26,51.20,623.38
MZO,4,11,25.31,NA,NA,15.68,37.09,21.00,2.61,242.00,20.58,42.60,623.21
MZO,4,12,31.50,NA,NA,14.82,22.75,15.68,3.53,238.48,22.67,34.47,622.77
MZO,4,13,28.77,NA,NA,14.25,22.35,14.13,4.39,240.09,25.06,19.54,622.10
MZO,4,14,29.41,NA,NA,13.95,27.02,13.14,4.65,226.36,26.56,17.07,621.34
MZO,4,15,7.54,NA,0.48,13.50,35.80,15.35,4.50,255.36,27.89,16.59,620.68
MZO,4,16,NA,NA,0.42,13.21,30.91,24.36,4.96,251.79,28.51,13.57,620.34
MZO,4,17,NA,NA,0.44,13.07,38.73,20.43,4.36,249.15,29.10,10.44,620.16
MZO,4,18,11.93,NA,0.63,16.06,47.06,NA,4.61,257.75,28.91,9.61,621.59
MZO,4,19,NA,NA,0.62,14.56,34.54,21.83,3.92,266.22,26.70,16.18,621.97
MZO,4,20,NA,NA,0.76,16.17,37.74,7.57,2.63,264.11,24.65,22.59,622.54
MZO,4,21,NA,NA,0.76,16.93,39.07,8.56,2.72,248.50,23.32,26.95,623.10
MZO,4,22,NA,NA,0.73,16.37,37.28,8.11,2.45,215.10,22.16,28.27,623.71
MZO,4,23,8.33,NA,0.63,14.72,31.05,9.78,2.44,239.49,20.99,31.51,624.05
MZO,5,0,7.56,NA,0.50,14.68,27.45,14.58,1.17,177.21,19.52,34.41,624.26
MZO,5,1,8.27,NA,0.51,14.51,31.25,15.16,0.81,224.70,19.28,35.50,624.38
MZO,5,2,7.88,NA,0.54,14.77,34.47,18.10,0.82,154.89,19.12,36.82,624.45
MZO,5,3,8.85,NA,0.45,14.80,36.61,22.37,0.56,133.22,18.10,39.98,624.27
MZO,5,4,8.54,NA,0.45,14.52,34.66,13.91,1.10,211.47,16.83,42.64,624.15
MZO,5,5,7.49,NA,0.39,14.48,30.44,20.46,1.05,235.29,15.50,44.28,624.05
MZO,5,6,7.95,NA,0.45,13.90,25.49,12.21,1.55,118.72,15.17,46.86,624.33
MZO,5,7,9.47,NA,0.55,14.15,48.17,19.45,1.71,115.21,14.73,47.61,624.98
MZO,5,8,8.65,NA,1.03,14.67,81.62,28.71,1.19,98.32,15.27,46.21,625.54
MZO,5,9,8.56,NA,0.86,15.11,59.62,36.93,3.13,85.50,17.66,40.86,626.20
MZO,5,10,7.61,NA,0.78,19.23,67.79,28.50,3.27,87.71,19.09,39.48,626.35
MZO,5,11,8.48,NA,0.66,19.67,59.99,35.64,3.62,80.55,20.91,44.83,626.23
MZO,5,12,NA,NA,0.53,16.44,51.56,30.67,3.01,83.52,22.50,44.23,625.96
MZO,5,13,NA,NA,0.53,13.63,48.38,29.11,2.20,90.49,24.08,41.55,625.31
MZO,5,14,NA,NA,0.51,12.63,50.65,30.84,2.37,121.62,25.49,34.98,624.56
MZO,5,15,NA,NA,0.49,12.60,161.08,26.14,1.88,175.39,27.24,23.55,623.93
MZO,5,16,48.81,NA,0.41,7.60,27.17,22.34,1.67,184.85,28.59,18.00,623.48
MZO,5,17,38.22,NA,0.49,9.96,29.58,13.93,1.74,243.29,29.43,18.44,623.13
MZO,5,18,43.39,NA,0.55,10.73,29.76,13.08,2.11,247.75,28.80,20.13,623.21
MZO,5,19,28.42,NA,0.71,15.27,36.85,18.57,1.68,289.16,28.29,20.08,623.43
MZO,5,20,20.75,NA,0.79,16.63,42.07,13.48,2.61,177.07,25.92,29.24,623.91
MZO,5,21,29.39,NA,0.81,7.68,87.71,16.77,5.11,66.62,22.37,43.09,624.78
MZO,5,22,31.19,NA,0.61,6.79,61.20,12.33,5.62,56.46,20.30,46.96,625.78
MZO,5,23,30.10,NA,0.94,7.14,49.92,17.42,4.64,58.67,19.04,50.11,626.67
MZO,6,0,31.13,NA,1.68,6.68,49.63,12.21,5.49,63.51,17.26,54.30,627.23
MZO,6,1,32.67,NA,0.57,5.87,42.48,15.62,4.92,65.79,15.71,58.28,627.52
MZO,6,2,32.75,NA,1.65,6.34,25.28,1.92,5.77,73.75,14.60,62.29,627.50
MZO,6,3,31.95,NA,0.35,7.11,22.57,14.88,5.46,78.79,14.06,64.23,627.48
MZO,6,4,31.18,NA,0.32,7.13,19.41,15.91,6.16,78.93,13.73,65.35,627.41
MZO,6,5,33.48,NA,0.50,5.92,13.68,13.43,7.42,75.57,13.24,66.69,627.36
MZO,6,6,30.49,NA,4.06,5.75,23.62,10.98,6.30,58.35,13.41,65.95,627.68
MZO,6,7,29.32,NA,3.00,6.16,24.55,17.11,5.72,61.55,13.42,65.43,628.00
MZO,6,8,28.71,NA,2.48,7.27,16.74,11.04,5.82,64.21,13.37,64.88,628.47
MZO,6,9,30.63,NA,1.86,6.51,28.03,10.91,5.97,61.31,13.64,63.68,629.17
MZO,6,10,31.75,NA,1.89,6.90,21.02,11.15,5.63,60.88,14.37,60.86,629.53
MZO,6,11,32.74,NA,0.92,NA,27.10,12.03,5.81,56.47,15.46,57.57,629.59
MZO,6,12,36.57,6.71,1.06,NA,20.23,16.43,5.14,66.86,16.89,53.22,629.36
MZO,6,13,39.44,7.98,1.08,NA,33.82,14.48,5.33,61.58,17.95,50.19,628.63
MZO,6,14,40.84,5.94,1.04,NA,28.18,16.33,5.17,64.35,18.56,48.39,627.95
MZO,6,15,41.59,9.12,1.42,NA,27.33,10.19,5.37,64.58,19.81,45.16,627.23
MZO,6,16,41.48,4.83,0.89,NA,70.13,15.92,5.51,63.16,20.36,43.20,626.60
MZO,6,17,42.05,9.28,1.57,NA,293.81,NA,5.36,61.24,20.80,41.74,626.28
MZO,6,18,39.85,2.00,0.36,NA,46.73,17.23,4.93,55.07,20.09,42.31,626.34
MZO,6,19,37.34,0.61,0.38,NA,40.65,19.07,4.74,52.82,18.80,44.92,626.76
MZO,6,20,35.00,0.53,0.36,NA,39.68,14.67,5.43,47.97,17.17,47.76,627.24
MZO,6,21,34.77,0.50,0.35,NA,34.93,12.19,6.03,49.27,16.01,49.62,628.03
MZO,6,22,33.29,9.61,1.53,NA,22.19,10.72,5.74,61.44,15.03,51.36,628.72
MZO,6,23,33.07,3.20,0.64,NA,19.78,9.99,5.39,76.81,13.78,53.87,629.21
MZO,7,0,31.50,6.74,0.97,NA,16.99,14.61,4.91,74.30,13.20,56.05,629.34
MZO,7,1,31.01,12.46,1.91,NA,29.32,9.40,5.52,64.21,12.70,57.94,629.27
MZO,7,2,31.15,8.71,1.33,NA,22.83,8.29,5.71,68.74,12.13,60.71,628.68
MZO,7,3,31.22,2.93,0.34,NA,11.80,9.40,5.69,74.21,11.57,63.09,627.84
MZO,7,4,31.76,5.53,1.01,NA,13.32,12.84,4.62,55.63,11.58,63.03,627.58
MZO,7,5,32.81,6.63,1.05,NA,17.53,13.31,3.16,63.35,11.95,61.86,627.72
MZO,7,6,31.10,7.34,1.23,NA,12.93,11.76,3.50,63.60,11.96,60.14,627.91
MZO,7,7,30.44,6.29,0.62,NA,15.17,10.65,3.20,73.79,11.73,58.96,628.11
MZO,7,8,21.69,25.40,0.36,NA,17.78,14.65,3.08,83.67,11.34,58.79,628.48
MZO,7,9,25.18,29.43,0.50,NA,27.26,18.06,3.49,74.49,12.27,56.40,628.65
MZO,7,10,30.92,16.79,0.42,NA,28.60,21.86,3.62,86.39,14.25,52.60,629.11
MZO,7,11,35.32,27.70,0.43,NA,32.22,21.91,3.67,89.15,16.06,48.47,628.79
MZO,7,12,33.18,47.15,0.45,NA,41.80,24.63,2.43,116.74,18.57,46.08,628.46
MZO,7,13,39.59,28.70,0.78,NA,68.52,62.91,1.85,163.99,21.20,40.43,627.51
MZO,7,14,56.50,22.47,2.04,NA,69.26,32.02,1.97,161.55,23.30,34.24,626.32
MZO,7,15,53.67,4.87,0.78,NA,62.03,27.46,1.70,222.65,25.42,30.34,625.18
MZO,7,16,64.11,10.30,0.77,NA,40.64,21.32,1.70,179.22,26.47,28.25,624.08
MZO,7,17,67.34,41.10,1.20,NA,50.47,19.27,1.95,212.99,26.85,27.97,623.57
MZO,7,18,64.44,33.61,1.01,NA,71.62,35.52,2.52,216.13,26.46,29.43,623.45
MZO,7,19,49.47,19.67,1.17,NA,66.98,38.11,2.21,243.84,25.54,32.18,623.45
MZO,7,20,16.79,14.34,1.61,NA,74.32,31.99,1.24,216.07,24.35,35.41,623.91
MZO,7,21,26.17,8.24,0.79,NA,85.53,45.02,2.52,68.61,23.12,34.43,624.80
MZO,7,22,31.69,4.17,0.43,NA,37.90,30.29,3.64,58.23,21.99,34.06,625.39
MZO,7,23,25.61,14.56,0.86,NA,34.77,7.82,3.89,75.10,20.34,38.66,625.88
