DATOS HORARIOS 2020_CRUZ ROJA,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,PM2.5,WS,WD,TEMP,HR,PBAR
ABR,3,11,40.01,5.63,0.57,7.92,35.85,21.57,1.98,224.56,25.50,33.95,622.61
ABR,3,12,46.88,5.59,0.53,7.54,34.47,31.00,2.30,235.17,27.00,31.54,622.12
ABR,3,13,49.36,5.47,0.52,6.01,33.69,84.72,2.91,245.50,28.21,29.56,621.28
ABR,3,14,49.56,5.48,0.53,6.31,36.08,54.31,3.61,242.34,29.37,28.20,620.44
ABR,3,15,53.41,5.35,0.51,5.47,34.45,24.07,3.53,255.97,30.52,25.41,619.72
ABR,3,16,52.54,5.40,0.57,6.84,43.92,22.28,3.54,246.65,31.15,23.86,619.08
ABR,3,17,58.87,5.41,0.53,5.73,37.14,23.43,3.36,258.14,31.82,21.61,618.48
ABR,3,18,61.65,5.38,0.44,3.41,40.31,26.29,3.46,280.80,31.73,19.15,618.38
ABR,3,19,52.04,5.32,0.57,6.94,62.40,21.55,4.37,177.35,29.06,29.88,618.95
ABR,3,20,38.20,5.50,0.73,12.22,68.88,22.99,3.46,191.40,27.65,33.74,619.22
ABR,3,21,32.68,5.44,0.68,11.18,60.95,23.09,3.11,211.08,26.90,34.19,619.62
ABR,3,22,31.67,5.87,0.62,8.48,55.99,24.24,3.63,219.43,25.61,36.83,620.28
ABR,3,23,31.26,5.30,0.54,5.51,46.08,29.86,2.17,202.66,24.25,39.53,620.98
ABR,4,0,28.15,5.33,0.50,6.73,30.44,19.95,1.52,250.12,23.70,39.23,621.40
ABR,4,1,30.08,5.30,0.48,5.94,37.05,19.24,1.78,263.60,23.39,37.60,621.46
ABR,4,2,27.50,5.26,0.45,5.23,36.31,22.59,1.85,248.96,22.88,40.19,621.30
ABR,4,3,32.98,5.31,0.37,1.42,30.15,21.96,3.05,261.05,22.27,41.17,620.97
ABR,4,4,30.07,5.29,0.36,1.57,28.94,22.12,2.57,250.87,20.88,45.45,620.87
ABR,4,5,25.17,5.34,0.37,3.84,31.04,12.63,1.57,249.59,19.82,47.80,621.03
ABR,4,6,19.24,6.13,0.41,11.02,32.21,12.65,1.80,277.20,18.93,48.31,621.44
ABR,4,7,8.22,7.60,0.53,17.81,46.21,23.80,1.92,274.38,18.10,50.38,621.90
ABR,4,8,16.65,5.88,0.65,14.31,52.17,28.72,1.73,249.21,18.92,49.86,622.22
ABR,4,9,27.89,5.71,0.61,9.60,42.38,23.04,2.11,225.27,20.74,45.03,622.48
ABR,4,10,39.69,5.59,0.51,4.76,32.06,23.98,2.26,235.32,22.96,39.93,622.65
ABR,4,11,45.25,5.50,0.51,5.55,32.24,16.57,2.81,235.76,24.33,37.24,622.72
