DATOS HORARIOS 2020_CRUZ ROJA,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,PM2.5,WS,WD,TEMP,HR,PBAR
MAY,1,0,38.63,21.87,0.56,3.66,14.24,20.01,1.89,274.53,18.58,56.39,627.12
MAY,1,1,33.55,6.92,0.47,5.76,9.43,5.02,2.40,295.65,18.34,59.29,627.17
MAY,1,2,27.47,6.95,0.53,6.88,8.36,4.37,2.06,309.80,17.68,66.17,626.57
MAY,1,3,32.29,6.86,0.53,4.77,10.91,5.54,1.31,153.60,18.01,61.19,626.24
MAY,1,4,23.32,8.57,0.53,8.08,11.56,7.19,2.32,108.25,17.39,62.26,625.89
MAY,1,5,14.53,6.61,0.54,12.75,19.20,9.11,2.91,116.44,16.09,67.01,625.85
MAY,1,6,9.45,20.15,0.63,19.02,28.02,17.06,2.22,99.72,16.00,68.40,626.19
MAY,1,7,11.19,35.96,0.68,19.13,32.14,31.55,2.33,97.70,16.42,66.93,626.63
MAY,1,8,17.89,12.23,0.71,11.55,27.04,30.64,3.09,103.38,17.07,64.92,627.07
MAY,1,9,29.40,11.88,0.64,7.92,19.83,20.67,2.93,100.12,19.45,55.59,627.27
MAY,1,10,45.85,7.38,0.63,5.80,38.08,24.83,2.04,120.78,21.59,46.72,627.36
MAY,1,11,58.24,4.59,0.59,4.26,29.48,13.32,1.69,141.03,23.88,40.03,627.10
MAY,1,12,71.78,5.92,0.59,4.17,25.27,15.87,1.97,155.81,25.54,33.84,626.75
MAY,1,13,73.36,3.57,0.66,5.43,21.40,12.38,2.89,254.62,26.74,30.40,626.04
MAY,1,14,80.84,3.00,0.61,4.79,33.22,26.54,3.08,210.53,27.88,26.94,625.23
MAY,1,15,83.06,2.94,0.58,3.59,21.17,15.29,2.75,231.94,28.90,23.14,624.38
MAY,1,16,75.93,1.69,0.65,4.12,11.66,16.77,2.63,240.68,29.92,20.88,623.75
MAY,1,17,72.95,1.28,0.53,NA,17.51,8.32,2.49,237.83,30.70,16.70,623.12
MAY,1,18,69.89,0.96,0.50,NA,6.88,8.38,2.10,144.03,31.12,13.90,622.87
MAY,1,19,61.61,2.28,0.63,7.33,13.17,8.97,1.42,176.41,30.64,14.25,623.04
MAY,1,20,59.57,1.86,0.65,5.04,59.52,8.93,5.37,144.97,26.71,30.69,623.91
MAY,1,21,52.13,1.71,0.67,6.89,59.82,17.45,3.27,148.74,25.22,34.70,624.81
MAY,1,22,56.09,3.97,0.59,6.36,32.01,18.38,3.00,138.45,24.92,34.52,625.62
MAY,1,23,60.43,3.78,0.52,2.14,32.34,22.19,3.84,126.76,23.00,41.64,626.27
MAY,2,0,56.04,2.60,0.49,2.38,19.26,12.21,2.05,97.62,21.67,46.54,626.29
MAY,2,1,39.97,25.84,0.50,5.39,20.69,12.50,1.85,83.52,21.27,46.99,626.31
MAY,2,2,31.85,40.33,0.87,8.93,23.82,17.74,1.54,98.23,21.04,47.91,626.22
MAY,2,3,29.02,36.89,0.55,8.86,31.71,14.82,2.08,92.94,20.35,50.18,625.84
MAY,2,4,27.92,7.72,0.54,7.79,23.35,23.55,1.63,119.42,19.22,53.53,625.76
MAY,2,5,25.81,14.56,0.58,12.87,36.80,16.27,1.30,93.71,18.41,56.87,625.94
MAY,2,6,13.69,44.19,0.72,17.54,43.02,27.48,1.48,94.39,18.16,57.75,626.08
MAY,2,7,14.39,12.85,0.84,22.27,39.54,28.52,2.32,103.88,17.44,60.22,626.41
MAY,2,8,17.57,9.36,0.83,18.76,46.74,20.38,2.61,105.77,18.61,56.93,626.77
MAY,2,9,29.61,6.35,0.73,12.62,34.90,25.08,2.24,112.18,20.73,50.44,627.15
MAY,2,10,45.62,8.29,0.89,13.54,44.67,25.79,1.45,192.62,23.19,43.48,627.19
MAY,2,11,63.90,5.37,0.82,9.34,41.44,24.37,2.37,257.28,24.88,38.28,626.98
MAY,2,12,72.64,4.46,0.75,6.03,30.82,33.02,2.90,263.54,26.69,34.25,626.36
MAY,2,13,83.90,4.41,0.77,9.13,43.25,30.66,3.24,266.93,28.30,30.20,625.62
MAY,2,14,81.30,3.26,0.69,6.77,30.07,37.31,2.45,233.36,29.99,22.95,624.84
MAY,2,15,87.16,2.31,0.64,3.55,21.83,26.94,2.63,206.33,31.07,21.45,624.01
MAY,2,16,87.67,1.88,0.57,NA,23.63,15.45,1.67,136.13,31.73,19.93,623.33
MAY,2,17,77.51,1.93,0.61,4.28,41.79,18.12,4.59,277.10,29.55,23.11,623.12
MAY,2,18,71.42,1.90,0.66,6.56,35.28,16.43,4.28,237.49,28.68,21.95,623.04
MAY,2,19,64.58,1.50,0.64,6.38,24.89,17.39,2.48,290.76,28.73,24.47,623.09
MAY,2,20,54.66,1.62,0.68,8.50,39.96,16.57,2.03,284.36,26.05,33.66,623.48
MAY,2,21,31.89,1.92,0.96,20.62,48.20,18.08,1.15,229.41,25.78,34.69,624.11
MAY,2,22,35.91,1.94,0.93,18.84,54.16,29.51,0.75,241.22,25.60,34.91,624.59
MAY,2,23,41.95,1.88,0.78,13.42,61.20,25.90,1.40,116.31,24.23,37.37,625.02
MAY,3,0,33.66,12.64,0.60,10.84,56.22,25.97,1.57,87.52,23.99,34.90,625.25
MAY,3,1,30.05,77.28,0.53,8.74,35.22,26.50,2.43,72.70,23.32,35.89,625.31
MAY,3,2,33.43,43.63,1.37,4.83,29.47,24.71,2.36,66.26,22.65,41.78,625.08
MAY,3,3,29.54,39.27,1.02,5.83,25.17,17.59,1.51,90.12,21.75,45.44,624.90
MAY,3,4,29.65,42.38,0.54,7.37,28.91,22.38,1.95,86.75,20.67,47.87,625.01
MAY,3,5,23.60,46.35,0.55,10.53,40.55,29.20,2.26,87.72,19.79,52.62,624.98
MAY,3,6,26.23,17.26,0.63,8.83,35.34,33.92,1.45,100.60,19.25,55.31,625.41
MAY,3,7,19.46,6.87,0.75,11.35,30.89,18.85,1.12,111.60,18.72,56.50,625.74
MAY,3,8,23.76,9.56,0.74,9.67,23.95,21.12,2.03,110.02,19.77,52.41,626.14
MAY,3,9,33.28,8.22,0.71,7.25,29.11,23.90,2.07,110.72,21.60,46.04,626.29
MAY,3,10,46.61,18.13,0.67,6.53,34.29,22.32,1.99,115.55,23.65,39.74,626.18
MAY,3,11,62.73,35.73,0.74,7.81,37.45,23.50,1.38,196.26,25.99,32.76,625.79
MAY,3,12,76.64,19.61,0.81,6.39,36.83,29.76,1.45,191.99,28.01,27.33,625.16
MAY,3,13,76.06,7.36,0.77,5.04,41.42,NA,1.88,202.27,29.52,23.54,624.52
MAY,3,14,80.19,4.19,0.78,4.56,29.04,NA,1.94,218.55,31.32,19.52,623.76
MAY,3,15,80.17,4.63,0.69,NA,28.22,26.00,2.02,150.80,32.31,16.84,622.94
MAY,3,16,85.79,9.38,0.72,2.66,20.81,21.24,1.46,207.64,33.10,16.01,622.16
MAY,3,17,92.73,12.75,0.74,2.09,33.39,21.97,1.75,214.02,32.75,16.16,621.64
MAY,3,18,78.05,7.63,0.69,NA,27.36,19.15,2.07,141.97,33.12,14.26,621.37
MAY,3,19,66.71,3.75,0.60,NA,25.93,18.95,1.30,99.32,33.05,11.27,621.36
MAY,3,20,58.44,2.53,0.73,9.95,29.68,13.78,0.90,110.47,31.55,14.03,621.41
MAY,3,21,35.48,4.75,1.00,21.81,29.39,13.57,1.30,72.65,30.35,17.57,621.92
MAY,3,22,40.33,115.27,0.65,6.59,56.78,18.29,4.25,67.97,28.68,23.38,622.89
MAY,3,23,42.61,173.66,0.55,4.29,32.88,14.46,3.43,90.99,27.08,27.44,623.62
MAY,4,0,35.23,42.12,0.53,8.42,30.48,19.64,2.76,79.89,26.08,30.01,623.83
MAY,4,1,32.87,155.03,0.86,8.64,28.53,23.50,3.25,65.99,25.39,32.36,623.80
MAY,4,2,36.79,85.54,1.34,4.98,32.48,19.34,2.41,60.32,24.86,38.25,623.56
MAY,4,3,33.83,41.19,0.55,6.65,24.93,11.54,2.48,82.97,23.67,41.40,623.27
MAY,4,4,34.38,5.04,0.50,1.79,34.60,31.01,2.86,104.15,21.81,46.47,623.10
MAY,4,5,33.76,5.68,0.56,3.62,22.89,14.44,2.84,99.46,21.32,47.30,623.27
MAY,4,6,26.44,9.14,0.62,10.77,28.99,16.00,2.51,98.73,20.65,49.60,623.49
MAY,4,7,22.31,5.32,0.63,9.32,33.07,21.64,2.74,94.69,20.31,50.22,623.85
MAY,4,8,18.42,6.58,0.70,13.93,32.20,20.22,2.69,100.60,20.89,50.05,624.28
MAY,4,9,24.41,5.86,0.74,13.95,48.36,22.34,2.64,102.29,23.03,43.59,624.48
MAY,4,10,47.43,4.45,0.64,6.24,31.65,21.42,2.61,103.05,25.41,34.38,624.66
MAY,4,11,58.47,7.41,0.68,6.01,33.91,17.92,1.81,136.98,27.10,30.96,624.35
MAY,4,12,74.90,4.61,0.68,6.71,37.46,26.26,1.41,175.20,28.90,28.30,623.73
MAY,4,13,91.03,24.76,0.86,7.36,49.09,25.58,1.50,170.63,30.14,25.97,623.12
MAY,4,14,93.41,17.71,0.78,6.39,42.81,31.66,1.55,164.61,31.56,22.38,622.24
MAY,4,15,99.43,22.65,0.77,5.84,39.41,26.68,1.30,188.84,32.94,17.67,621.37
MAY,4,16,89.81,18.01,0.90,5.84,39.20,27.65,0.92,164.16,33.93,14.91,620.64
MAY,4,17,97.42,18.63,0.86,5.59,37.43,23.21,1.12,181.62,34.19,14.37,620.04
MAY,4,18,77.37,5.46,0.82,10.01,42.35,25.29,2.35,182.88,32.52,18.23,619.94
MAY,4,19,61.37,2.43,0.86,11.33,66.36,22.58,3.04,219.37,30.52,24.52,620.40
MAY,4,20,54.90,2.45,0.81,10.26,73.78,30.52,2.30,270.04,28.59,30.67,620.93
MAY,4,21,54.64,2.10,0.67,7.00,67.70,44.82,2.90,277.80,27.92,30.37,621.76
MAY,4,22,57.85,2.11,0.54,1.90,69.16,41.19,3.74,282.15,26.50,34.96,622.98
