DATOS MÓVILES 2020_DIF,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,NO2,MO3,MSO2,MCO,MPM10,MPM2.5,
FEB,1,0,13.16,20.16,10.08,1.38,30.65,12.82,
FEB,1,1,15.59,16.42,10.3,1.39,30.87,13.18,
FEB,1,2,18.96,13.12,10.45,1.41,31.84,13.37,
FEB,1,3,18.54,10.46,10.58,1.43,32.59,13.72,
FEB,1,4,18.87,8.98,10.73,1.44,33.08,13.89,
FEB,1,5,18.28,8.42,10.93,1.43,33.67,13.79,
FEB,1,6,16.69,7.35,11.13,1.42,34.43,13.58,
FEB,1,7,12.5,7.25,11.22,1.41,34.93,13.79,
FEB,1,8,12.03,7.32,11.25,1.43,34.44,13.65,
FEB,1,9,9.18,8.89,11.23,1.44,32.81,13.2,
FEB,1,10,7.29,11.31,11.24,1.45,33.74,13.14,
FEB,1,11,7.41,14.31,11.21,1.46,35.07,13.27,
FEB,1,12,7.02,17.44,11.21,1.47,36.72,13.17,
FEB,1,13,8.46,20.75,11.26,1.49,37.37,13.52,
FEB,1,14,8.67,24.52,11.36,1.51,38.26,13.62,
FEB,1,15,6.61,28.05,11.56,1.53,38.68,13.69,
FEB,1,16,8,30.87,11.61,1.54,39.28,13.55,
FEB,1,17,7.61,32.74,11.83,1.56,39.24,13.9,
FEB,1,18,8.15,33.33,12.17,1.58,39.56,14.16,
FEB,1,19,8.41,33.21,12.28,1.57,39.61,14.38,
FEB,1,20,9.33,32.51,12.56,1.57,39.52,14.68,
FEB,1,21,10,31.65,13.88,1.58,39.35,15.25,
FEB,1,22,9.78,30.66,16.18,1.62,39.44,15.85,
FEB,1,23,7.61,28.87,16.17,1.61,38.98,16.66,
FEB,2,0,4.76,27.58,16.07,1.57,37.99,16.77,
FEB,2,1,4.35,26.42,15.97,1.53,37.97,16.92,
FEB,2,2,3.8,26.1,15.92,1.49,36.98,16.58,
FEB,2,3,3.67,26.03,15.85,1.46,35.88,16.14,
FEB,2,4,4.02,26.24,15.72,1.43,34.6,15.87,
FEB,2,5,4.74,25.99,15.62,1.38,33.46,15.61,
FEB,2,6,5.27,25.35,15.54,1.31,32.17,15.42,
FEB,2,7,6.48,24.73,15.51,1.3,30.74,15.03,
FEB,2,8,9.03,23.42,15.44,1.32,29.88,15.06,
FEB,2,9,9.47,22.18,15.45,1.35,29,14.66,
FEB,2,10,11.59,20.25,15.46,1.41,27.75,14.18,
FEB,2,11,11.3,19.26,15.47,1.49,26.7,13.98,
FEB,2,12,9.6,19.23,15.48,1.55,25.84,14.04,
FEB,2,13,9.71,20.47,15.48,1.6,25.23,13.7,
FEB,2,14,8.58,23.08,15.45,1.63,24.56,13.57,
FEB,2,15,7.8,26.06,15.22,1.65,24.27,13.33,
FEB,2,16,9.22,29.29,15.02,1.67,24.07,13.95,
FEB,2,17,7.27,32.54,14.71,1.65,24.33,13.73,
FEB,2,18,7.29,36.03,14.36,1.62,24.03,13.94,
FEB,2,19,12.86,37.66,14.27,1.59,24.56,14.1,
FEB,2,20,27.43,35.64,13.99,1.68,25.74,14.6,
FEB,2,21,24.4,32.68,12.56,1.71,28.04,14.93,
FEB,2,22,12.62,30.27,10.11,1.71,28.37,15.32,
FEB,2,23,14.64,26.6,9.97,1.72,28.66,15.01,
FEB,3,0,17.45,22.32,9.89,1.73,29.7,15,
FEB,3,1,14.04,18.35,9.83,1.73,30.77,15.06,
FEB,3,2,11.1,14.96,9.77,1.72,31.79,15.4,
FEB,3,3,13.39,11.84,9.76,1.7,32.85,15.58,
FEB,3,4,14.74,10.84,9.76,1.57,34.28,16.05,
FEB,3,5,16.3,9.96,9.63,1.51,35.65,16.77,
FEB,3,6,16.72,7.39,9.63,1.5,37.25,17.41,
FEB,3,7,17.12,5.98,9.63,1.5,39.49,18.01,
FEB,3,8,18.49,5.43,9.68,1.52,40.87,18.54,
FEB,3,9,20.54,4.51,9.81,1.62,42.84,19.04,
FEB,3,10,22.34,3.47,9.87,1.74,45.55,19.94,
FEB,3,11,23.49,3.04,9.91,1.83,49.19,20.98,
FEB,3,12,23.46,4.45,10.01,1.88,51.66,22,
FEB,3,13,12.26,7.68,10.3,1.91,52.51,22.62,
FEB,3,14,8.44,11.47,10.49,1.93,53,22.81,
FEB,3,15,5.59,14.24,10.55,1.92,54.56,22.93,
FEB,3,16,4.43,16.98,10.64,1.86,55.83,22.59,
FEB,3,17,5.53,19.49,10.75,1.76,56.3,22.76,
FEB,3,18,6.62,21.52,10.79,1.64,57.03,22.52,
FEB,3,19,6.99,23.39,10.71,1.54,57.1,22.67,
FEB,3,20,6.15,24,10.64,1.49,55.17,22.42,
FEB,3,21,7.12,22.44,10.66,1.44,51.94,21.86,
FEB,3,22,8.68,19.99,10.77,1.42,49.88,21.12,
FEB,3,23,9.34,18.28,10.88,1.41,48.24,20.54,
FEB,4,0,9.88,16.41,10.99,1.41,46.48,20.15,
FEB,4,1,12.71,14.16,11.05,1.41,44.54,19.63,
FEB,4,2,13.63,12.04,11.09,1.41,43.53,19.26,
FEB,4,3,12.91,10.56,11.12,1.39,42.25,19.2,
FEB,4,4,10.68,9.81,11.14,1.38,40.89,18.82,
FEB,4,5,7.42,9.62,11.2,1.38,39.31,18.11,
FEB,4,6,10,9.42,11.19,1.36,37.53,17.52,
FEB,4,7,12.77,8.9,11.16,1.39,35.11,16.89,
FEB,4,8,14.11,8.12,11.07,1.45,33.49,16,
FEB,4,9,14.43,8.5,10.81,1.53,31.23,15.34,
FEB,4,10,12.5,8.88,10.71,1.56,27.91,14.28,
FEB,4,11,9.29,9.97,10.71,1.58,23.36,13.19,
FEB,4,12,6.06,11.28,10.58,1.59,20.07,12.28,
FEB,4,13,6.09,12.7,10.31,1.61,18.32,11.6,
FEB,4,14,5.78,15.01,10.03,1.63,17.92,11.41,
FEB,4,15,5.74,18.28,9.94,1.6,15.89,11.22,
FEB,4,16,5.91,22.14,9.81,1.54,13.93,10.96,
FEB,4,17,5.33,22.89,9.68,1.46,12.31,10.66,
FEB,4,18,4.96,25.34,9.59,1.42,10.91,10.47,
FEB,4,19,6.94,26.1,9.57,1.4,9.19,10.07,
FEB,4,20,10.07,25.22,9.54,1.41,9.74,9.69,
FEB,4,21,10.71,23.58,9.48,1.41,10.27,9.25,
FEB,4,22,11.09,21.23,9.35,1.41,11.18,8.9,
FEB,4,23,11.47,18.31,9.22,1.4,11.72,9.02,
FEB,5,0,10.27,15.36,9.12,1.4,12.08,8.94,
FEB,5,1,9.3,12.79,9.07,1.39,12.52,8.66,
FEB,5,2,9.32,10.11,9.05,1.39,12.33,8.71,
FEB,5,3,3.34,8.36,9.01,1.38,12.41,8.62,
FEB,5,4,2.82,7.74,9.02,1.36,12.31,8.5,
FEB,5,5,3.85,7.01,9.05,1.34,12.42,8.46,
FEB,5,6,4,6.65,9.09,1.32,12.46,8.41,
FEB,5,7,4.22,6.49,9.15,1.33,12.9,8.47,
FEB,5,8,3.05,7.14,9.24,1.35,12.84,8.6,
FEB,5,9,3.88,7.68,9.35,1.39,12.44,8.68,
FEB,5,10,3.07,9.02,9.37,1.41,12.4,8.56,
FEB,5,11,2.82,10.5,9.28,1.43,12.22,8.33,
FEB,5,12,2.96,11.63,9.3,1.45,12.17,7.96,
FEB,5,13,3,13.11,9.28,1.48,12.01,7.44,
FEB,5,14,2.9,14.4,9.33,1.52,12.01,6.93,
FEB,5,15,2.65,15.96,9.41,1.53,12.35,6.6,
FEB,5,16,2.45,17.06,9.46,1.54,12.6,6.36,
FEB,5,17,2.42,18.18,9.52,1.52,12.46,6.21,
FEB,5,18,2.28,18.75,9.6,1.51,11.92,6.3,
FEB,5,19,2.61,18.52,9.62,1.5,12.22,6.17,
FEB,5,20,2.73,18,9.68,1.49,11.7,5.93,
