DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_DIF 2020,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario,O3 Promedio de 8 hrs. ,SO2 promedio de 24 hrs.,CO Promedio de 8 hrs.,PM10 Promedio ponderado  de 12 hrs.,PM2.5 Promedio ponderado  de 12 hrs.,NO2 Horario
MAY,1,0,NA,NA,NA,NA,NA,NA,NA
MAY,1,1,32.11,40.41644,15.242603,1.767095,19.9346,7.9274,8.3
MAY,1,2,26.37,37.823735,13.515366,1.756598,18.0547,6.6376,9.5
MAY,1,3,28.71,35.504785,13.155448,1.741788,16.6015,8.1656,8.63
MAY,1,4,22.24,32.269983,12.993097,1.718133,14.1948,9.8105,12.24
MAY,1,5,14.04,28.236883,12.92424,1.708412,18.5006,10.5702,15.92
MAY,1,6,7.63,24.156383,12.793218,1.71256,31.4441,14.1045,20.79
MAY,1,7,8.58,19.95561,12.643335,1.752004,33.392,13.7722,21.39
MAY,1,8,15.63,19.414658,12.583758,1.786791,36.3679,15.7064,17.46
MAY,1,9,26.25,18.681065,12.651791,1.840765,45.6218,17.6448,14.8
MAY,1,10,40.6,20.459332,12.651441,1.874367,36.1773,17.9793,10.25
MAY,1,11,51.99,23.369961,12.741642,1.904548,26.0601,17.2183,8.26
MAY,1,12,61.4,28.265884,12.752849,1.929304,22.8142,14.7406,6.65
MAY,1,13,64.52,34.575167,12.700846,1.930771,16.8505,14.1961,5.95
MAY,1,14,69.8,42.346117,12.537994,1.918571,20.4827,14.1491,5.35
MAY,1,15,72.69,50.359904,12.591675,1.891371,19.1521,14.4266,5.49
MAY,1,16,67.69,56.867625,12.642269,1.856347,13.6736,16.6011,4.57
MAY,1,17,66.1,61.84904,12.684528,1.818118,10.854,16.0025,4.86
MAY,1,18,61.12,64.414115,12.838035,1.800457,15.6169,51.0387,4.63
MAY,1,19,56.73,65.006319,13.009975,1.802245,34.0699,37.6185,8.56
MAY,1,20,48.61,63.407606,12.902337,1.805218,70.8142,47.0892,8.96
MAY,1,21,46.32,61.133454,12.988894,1.827885,110.5939,47.5903,10.25
MAY,1,22,47.88,58.393083,13.057054,1.846326,93.6619,36.5554,9.69
MAY,1,23,50.71,55.645454,13.150911,1.847317,64.5122,26.0574,6.95
