DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_DIF 2020,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario (ppm),O3 Promedio de 8 hrs.  (ppm),SO2 promedio de 24 hrs. (ppm),CO Promedio de 8 hrs. (ppm),PM10 Promedio ponderado  de 12 hrs. (µg/m³),PM2.5 Promedio ponderado  de 12 hrs. (µg/m³),NO2 Horario (ppm)
SEP,1,0,0.0186,0.0235,0.0062,NA,44,4,0.0066
SEP,1,1,0.0253,0.0226,0.0061,NA,46,6,0.0059
SEP,1,2,0.022,0.0212,0.0059,NA,38,7,0.0058
SEP,1,3,0.0103,0.0188,0.0058,NA,31,8,0.0108
SEP,1,4,0.0108,0.0175,0.0058,NA,27,8,0.0093
SEP,1,5,0.0117,0.0158,0.0058,NA,24,8,0.0088
SEP,1,6,0.0043,0.0142,0.0058,NA,22,9,0.0121
SEP,1,7,0.0028,0.0132,0.0058,NA,23,11,0.0135
SEP,1,8,0.0038,0.0114,0.0058,NA,25,10,0.0138
SEP,1,9,0.0123,0.0097,0.0058,NA,21,11,0.008
SEP,1,10,0.0166,0.0091,0.0058,NA,15,12,0.0077
SEP,1,11,0.0236,0.0107,0.0058,NA,8,13,0.0047
SEP,1,12,0.0311,0.0133,0.0059,NA,5,11,0.0044
SEP,1,13,0.0379,0.0165,0.0059,NA,4,11,0.0048
SEP,1,14,0.0425,0.0213,0.006,NA,2,19,0.0045
SEP,1,15,0.0485,0.027,0.0061,NA,1,18,0.0042
SEP,1,16,0.0557,0.0335,0.0062,NA,1,15,0.0053
SEP,1,17,0.0741,0.0413,0.0065,NA,1,14,0.0061
SEP,1,18,0.0686,0.0478,0.0065,NA,7,16,0.0059
SEP,1,19,0.0614,0.0525,0.0067,NA,12,14,0.0095
SEP,1,20,0.033,0.0527,0.0067,NA,45,12,0.0179
SEP,1,21,0.0273,0.0514,0.0066,NA,53,12,0.007
SEP,1,22,0.0259,0.0493,0.0065,NA,49,8,0.0072
SEP,1,23,0.0252,0.0464,0.0067,NA,39,4,0.0067
SEP,2,0,0.0226,0.0423,0.0069,NA,39,4,0.0076
SEP,2,1,0.0226,0.0358,0.0069,NA,43,6,0.0075
SEP,2,2,0.0211,0.0299,0.0071,NA,35,7,0.0069
SEP,2,3,0.0186,0.0245,0.0071,NA,26,8,0.0065
SEP,2,4,0.0166,0.0225,0.0071,NA,23,8,0.0084
SEP,2,5,0.0193,0.0215,0.0071,NA,21,8,0.0059
SEP,2,6,0.0172,0.0204,0.0071,NA,18,9,0.008
SEP,2,7,0.0166,0.0193,0.0071,NA,19,8,0.0112
SEP,2,8,0.0194,0.0189,0.0071,NA,21,8,0.0108
SEP,2,9,0.0253,0.0193,0.0071,NA,18,7,0.0085
SEP,2,10,0.0324,0.0207,0.007,NA,10,6,0.0048
SEP,2,11,0.035,0.0227,0.007,NA,6,12,0.0041
SEP,2,12,0.0411,0.0258,0.007,NA,3,13,0.0041
SEP,2,13,0.057,0.0305,0.007,NA,2,13,0.0061
SEP,2,14,0.0543,0.0351,0.007,NA,3,18,0.0057
SEP,2,15,0.0534,0.0397,0.007,NA,2,19,0.0052
SEP,2,16,0.0527,0.0439,0.0069,NA,1,13,0.0057
SEP,2,17,0.0526,0.0473,0.0067,NA,1,10,0.0058
SEP,2,18,0.0523,0.0498,0.0069,NA,2,10,0.006
SEP,2,19,0.0471,0.0513,0.0069,NA,15,11,0.0085
SEP,2,20,0.0333,0.0503,0.0068,NA,29,10,0.015
SEP,2,21,0.0235,0.0461,0.0068,NA,46,10,0.0192
SEP,2,22,0.0082,0.0404,0.0068,NA,58,12,0.0271
SEP,2,23,0.0103,0.035,0.0068,NA,60,12,0.0243
SEP,3,0,0.0129,0.03,0.0068,NA,59,11,0.0191
SEP,3,1,0.0196,0.0259,0.0068,NA,56,14,0.0123
SEP,3,2,0.0151,0.0213,0.0069,NA,52,17,0.0128
SEP,3,3,0.0131,0.017,0.0074,NA,47,17,0.0127
SEP,3,4,0.0115,0.0143,0.0077,NA,47,19,0.0119
SEP,3,5,0.0086,0.0124,0.0077,NA,47,16,0.0129
SEP,3,6,0.0068,0.0123,0.0078,NA,48,18,0.0149
SEP,3,7,0.0053,0.0116,0.0079,NA,54,18,0.0162
SEP,3,8,0.007,0.0109,0.0081,NA,65,21,0.0172
SEP,3,9,0.0156,0.0104,0.0081,NA,68,23,0.0117
SEP,3,10,0.027,0.0119,0.0082,NA,61,24,0.0085
SEP,3,11,0.0353,0.0146,0.0082,NA,54,22,0.0072
SEP,3,12,0.0385,0.018,0.0084,NA,36,21,0.0078
SEP,3,13,0.0418,0.0222,0.0089,NA,33,20,0.0101
SEP,3,14,0.044,0.0268,0.0091,NA,33,21,0.0085
SEP,3,15,0.0468,0.032,0.0093,NA,19,25,0.008
