DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_DIF 2020,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m3],PM2.5 Promedio ponderado  de 12 hrs. [µg/m3],NO2 Horario [ppm]
OCT,3,23,0.026,0.033,0.01,NA,35,9,0.006
OCT,4,0,0.024,0.031,0.01,NA,30,10,0.005
OCT,4,1,0.027,0.029,0.01,NA,24,8,0.004
OCT,4,2,0.027,0.027,0.01,NA,24,9,0.004
OCT,4,3,0.026,0.026,0.01,NA,16,11,0.004
OCT,4,4,0.025,0.026,0.01,NA,15,12,0.004
OCT,4,5,0.025,0.026,0.011,NA,12,16,0.006
OCT,4,6,0.019,0.025,0.01,NA,17,15,0.008
OCT,4,7,0.015,0.024,0.01,NA,26,14,0.01
OCT,4,8,0.016,0.023,0.009,NA,50,23,0.01
OCT,4,9,0.026,0.022,0.009,NA,44,30,0.007
OCT,4,10,0.031,0.023,0.009,NA,36,21,0.006
OCT,4,11,0.033,0.024,0.009,NA,32,15,0.006
OCT,4,12,0.036,0.025,0.009,NA,27,13,0.006
OCT,4,13,0.036,0.026,0.009,NA,21,12,0.006
OCT,4,14,0.037,0.029,0.01,NA,27,11,0.006
OCT,4,15,0.037,0.031,0.01,NA,27,11,0.005
OCT,4,16,0.038,0.034,0.01,NA,29,10,0.006
OCT,4,17,0.041,0.036,0.01,NA,39,9,0.005
OCT,4,18,0.041,0.037,0.01,NA,54,10,0.006
OCT,4,19,0.036,0.038,0.011,NA,55,17,0.007
OCT,4,20,0.036,0.038,0.014,NA,61,22,0.007
OCT,4,21,0.038,0.038,0.015,NA,54,22,0.007
OCT,4,22,0.036,0.038,0.016,NA,51,23,0.007
OCT,4,23,0.037,0.038,0.015,NA,43,23,0.005
OCT,5,0,0.034,0.038,0.016,NA,33,19,0.006
OCT,5,1,0.032,0.036,0.016,NA,25,18,0.004
OCT,5,2,0.028,0.035,0.016,NA,27,14,0.005
OCT,5,3,0.024,0.033,0.017,NA,28,16,0.006
OCT,5,4,0.021,0.031,0.017,NA,33,20,0.007
OCT,5,5,0.02,0.029,0.017,NA,40,22,0.008
OCT,5,6,0.015,0.026,0.017,NA,47,29,0.013
OCT,5,7,0.01,0.023,0.018,NA,61,31,0.017
OCT,5,8,0.013,0.021,0.018,NA,68,40,0.015
OCT,5,9,0.021,0.019,0.018,NA,65,41,0.012
OCT,5,10,0.031,0.02,0.019,NA,56,34,0.009
OCT,5,11,0.039,0.021,0.019,NA,45,27,0.008
OCT,5,12,0.042,0.024,0.019,NA,40,20,0.008
OCT,5,13,0.046,0.027,0.019,NA,32,15,0.007
OCT,5,14,0.047,0.031,0.019,NA,29,13,0.008
OCT,5,15,0.049,0.036,0.019,NA,30,13,0.007
OCT,5,16,0.048,0.041,0.019,NA,32,15,0.008
OCT,5,17,0.046,0.044,0.02,NA,34,14,0.009
OCT,5,18,0.041,0.045,0.02,NA,42,13,0.008
OCT,5,19,0.035,0.044,0.018,NA,43,14,0.007
OCT,5,20,0.035,0.043,0.016,NA,43,15,0.006
OCT,5,21,0.036,0.042,0.014,NA,39,14,0.004
OCT,5,22,0.037,0.041,0.013,NA,32,13,0.004
OCT,5,23,0.031,0.039,0.014,NA,35,13,0.007
OCT,6,0,0.027,0.036,0.013,NA,37,19,0.008
OCT,6,1,0.029,0.034,0.013,NA,26,18,0.006
OCT,6,2,0.028,0.032,0.013,NA,22,15,0.007
OCT,6,3,0.029,0.032,0.014,NA,21,17,0.006
OCT,6,4,0.027,0.031,0.015,NA,32,26,0.008
OCT,6,5,0.028,0.029,0.014,NA,31,28,0.008
OCT,6,6,0.022,0.028,0.014,NA,29,18,0.013
OCT,6,7,0.012,0.025,0.013,NA,36,13,0.02
OCT,6,8,0.013,0.023,0.013,NA,53,17,0.02
OCT,6,9,0.026,0.023,0.013,NA,60,25,0.012
OCT,6,10,0.035,0.024,0.013,NA,48,22,0.009
OCT,6,11,0.039,0.025,0.013,NA,42,17,0.009
OCT,6,12,0.042,0.027,0.013,NA,38,14,0.009
OCT,6,13,0.046,0.029,0.013,NA,38,12,0.008
OCT,6,14,0.048,0.033,0.013,NA,34,12,0.008
OCT,6,15,0.049,0.037,0.013,NA,32,12,0.006
OCT,6,16,0.051,0.042,0.013,NA,36,9,0.008
OCT,6,17,0.043,0.044,0.013,NA,46,8,0.01
OCT,6,18,0.04,0.045,0.013,NA,45,15,0.007
OCT,6,19,0.039,0.045,0.013,NA,39,14,0.007
OCT,6,20,0.04,0.044,0.013,NA,38,12,0.006
OCT,6,21,0.04,0.044,0.013,NA,41,11,0.005
OCT,6,22,0.036,0.042,0.013,NA,42,14,0.006
OCT,6,23,0.033,0.04,0.012,NA,32,12,0.007
OCT,7,0,0.027,0.037,0.012,NA,32,11,0.012
OCT,7,1,0.031,0.036,0.012,NA,31,12,0.009
OCT,7,2,0.022,0.033,0.012,NA,24,14,0.014
OCT,7,3,0.023,0.031,0.012,NA,23,20,0.013
OCT,7,4,0.021,0.029,0.012,NA,27,20,0.013
OCT,7,5,0.022,0.027,0.013,NA,37,26,0.012
OCT,7,6,0.018,0.025,0.014,NA,48,26,0.015
OCT,7,7,0.013,0.022,0.014,NA,48,23,0.019
OCT,7,8,0.014,0.021,0.014,NA,55,17,0.02
OCT,7,9,0.024,0.02,0.014,NA,63,19,0.015
OCT,7,10,0.034,0.021,0.014,NA,57,21,0.01
OCT,7,11,0.039,0.023,0.014,NA,50,18,0.009
OCT,7,12,0.042,0.026,0.014,NA,43,16,0.008
OCT,7,13,0.046,0.029,0.014,NA,48,15,0.009
OCT,7,14,0.047,0.032,0.014,NA,41,16,0.007
OCT,7,15,0.043,0.036,0.014,NA,34,11,0.006
OCT,7,16,0.042,0.04,0.014,NA,30,9,0.005
OCT,7,17,0.041,0.042,0.014,NA,28,8,0.004
OCT,7,18,0.037,0.042,0.014,NA,28,7,0.007
OCT,7,19,0.029,0.041,0.014,NA,30,6,0.011
OCT,7,20,0.029,0.039,0.014,NA,29,7,0.011
OCT,7,21,0.03,0.037,0.015,0.537,32,8,0.007
OCT,7,22,0.035,0.036,0.016,0.516,36,9,0.006
OCT,7,23,0.031,0.034,0.016,0.498,35,11,0.007
OCT,8,0,0.034,0.033,0.016,0.475,32,14,0.004
OCT,8,1,0.032,0.032,0.016,0.458,31,11,0.004
OCT,8,2,0.04,0.033,0.016,0.429,23,10,0.007
OCT,8,3,0.037,0.034,0.016,0.39,19,17,0.007
OCT,8,4,0.021,0.032,0.015,0.362,19,17,0.01
OCT,8,5,0.023,0.032,0.015,0.351,32,18,0.014
OCT,8,6,0.012,0.029,0.016,0.369,47,27,0.015
OCT,8,7,0.017,0.027,0.017,0.418,50,20,0.02
OCT,8,8,0.019,0.025,0.019,0.485,71,25,0.022
OCT,8,9,0.017,0.023,0.02,0.553,81,36,0.021
OCT,8,10,0.027,0.022,0.023,0.6,73,35,0.019
OCT,8,11,0.036,0.022,0.025,0.634,71,45,0.012
OCT,8,12,0.041,0.024,0.025,0.664,57,34,0.007
OCT,8,13,0.035,0.026,0.025,0.687,41,24,0.007
OCT,8,14,0.036,0.028,0.025,0.69,28,17,0.006
OCT,8,15,0.039,0.031,0.025,0.666,22,12,0.006
OCT,8,16,0.043,0.034,0.025,0.636,22,7,0.007
OCT,8,17,0.046,0.038,0.025,0.599,27,6,0.008
OCT,8,18,0.045,0.04,0.025,0.588,31,8,0.008
OCT,8,19,0.028,0.039,0.025,0.61,42,10,0.019
OCT,8,20,0.024,0.037,0.024,0.628,52,11,0.019
OCT,8,21,0.016,0.035,0.023,0.657,53,16,0.022
OCT,8,22,0.004,0.031,0.022,0.751,64,20,0.034
OCT,8,23,0.007,0.027,0.022,0.77,76,30,0.023
OCT,9,0,0.011,0.023,0.022,0.756,58,27,0.012
OCT,9,1,0.007,0.018,0.022,0.741,50,17,0.014
OCT,9,2,0.004,0.013,0.022,0.727,44,19,0.016
OCT,9,3,0.003,0.01,0.022,0.69,42,16,0.018
OCT,9,4,NA,0.007,0.021,0.664,37,18,0.019
OCT,9,5,0.015,0.007,0.021,0.63,42,19,0.017
OCT,9,6,0.009,0.008,0.02,0.533,38,16,0.021
OCT,9,7,0.002,0.008,0.019,0.581,44,19,0.023
OCT,9,8,0.001,0.006,0.016,0.748,72,22,0.028
OCT,9,9,0.013,0.007,0.015,0.84,104,30,0.024
OCT,9,10,0.031,0.011,0.012,0.875,93,30,0.014
OCT,9,11,0.045,0.017,0.011,0.897,71,27,0.01
OCT,9,12,0.053,0.021,0.011,0.91,56,25,0.008
OCT,9,13,0.051,0.026,0.011,0.922,44,18,0.007
OCT,9,14,0.048,0.031,0.011,0.916,34,19,0.004
OCT,9,15,0.053,0.037,0.011,0.855,28,11,0.007
OCT,9,16,0.06,0.044,0.011,0.691,31,9,0.006
OCT,9,17,0.056,0.05,0.011,0.606,29,13,0.006
OCT,9,18,0.051,0.052,0.011,0.571,29,13,0.005
OCT,9,19,0.029,0.05,0.011,0.603,45,11,0.02
OCT,9,20,0.016,0.046,0.011,0.648,61,15,0.031
OCT,9,21,0.029,0.043,0.012,0.666,57,20,0.016
OCT,9,22,0.02,0.039,0.012,0.698,55,20,0.021
OCT,9,23,0.031,0.036,0.012,0.685,47,22,0.009
OCT,10,0,0.015,0.031,0.012,0.695,47,25,0.018
OCT,10,1,0.022,0.027,0.011,0.696,50,20,0.008
OCT,10,2,0.013,0.022,0.011,0.698,42,20,0.011
OCT,10,3,0.013,0.02,0.012,0.649,42,22,0.012
OCT,10,4,0.01,0.019,0.012,0.595,45,25,0.014
OCT,10,5,0.004,0.016,0.012,0.571,49,30,0.017
OCT,10,6,0.004,0.014,0.012,0.578,48,31,0.02
OCT,10,7,NA,0.012,0.012,0.675,57,31,0.02
OCT,10,8,0.002,0.01,0.011,0.763,71,33,0.02
OCT,10,9,0.013,0.008,0.015,0.814,93,36,0.017
OCT,10,10,0.03,0.011,0.015,0.841,97,53,0.012
OCT,10,11,0.043,0.015,0.015,0.85,70,41,0.006
OCT,10,12,0.049,0.021,0.015,0.86,55,37,0.006
OCT,10,13,0.055,0.028,0.015,0.879,46,28,0.007
OCT,10,14,0.059,0.036,0.014,0.864,43,27,0.007
OCT,10,15,0.058,0.039,0.014,0.787,35,25,0.007
OCT,10,16,0.052,0.045,0.014,0.702,35,23,0.007
OCT,10,17,0.059,0.05,0.014,0.652,39,18,0.005
OCT,10,18,0.061,0.054,0.014,0.631,45,21,0.006
OCT,10,19,0.046,0.055,0.015,0.631,61,23,0.007
OCT,10,20,0.045,0.054,0.015,0.62,53,23,0.006
OCT,10,21,0.038,0.052,0.015,0.609,42,21,0.007
OCT,10,22,0.035,0.049,0.015,0.598,44,21,0.007
OCT,10,23,0.028,0.045,0.015,0.594,39,21,0.011
OCT,11,0,0.029,0.043,0.015,0.583,34,21,0.007
OCT,11,1,0.024,0.038,0.015,0.587,38,19,0.009
OCT,11,2,0.017,0.033,0.015,0.586,41,19,0.011
OCT,11,3,0.016,0.029,0.014,0.581,43,21,0.012
OCT,11,4,0.02,0.026,0.014,0.576,41,24,0.009
OCT,11,5,0.016,0.023,0.014,0.564,43,23,0.009
OCT,11,6,0.009,0.02,0.015,0.56,51,26,0.012
OCT,11,7,0.003,0.017,0.015,0.568,51,30,0.015
OCT,11,8,0.007,0.014,0.016,0.602,62,30,0.015
OCT,11,9,0.017,0.013,0.014,0.647,75,41,0.015
OCT,11,10,0.026,0.014,0.014,0.679,79,51,0.013
OCT,11,11,0.038,0.017,0.014,0.707,61,37,0.011
OCT,11,12,0.052,0.021,0.015,0.716,54,30,0.009
OCT,11,13,0.056,0.026,0.015,0.723,44,24,0.007
OCT,11,14,0.051,0.031,0.016,0.73,35,15,0.007
OCT,11,15,0.051,0.037,0.016,0.713,27,11,0.006
OCT,11,16,0.053,0.043,0.016,0.675,21,9,0.006
OCT,11,17,0.05,0.047,0.016,0.623,19,11,0.006
OCT,11,18,0.05,0.05,0.016,0.578,21,12,0.006
OCT,11,19,0.036,0.05,0.016,0.582,39,12,0.015
OCT,11,20,0.019,0.046,0.016,0.635,60,11,0.025
OCT,11,21,0.023,0.041,0.016,0.645,55,15,0.013
OCT,11,22,0.028,0.039,0.016,0.639,56,14,0.008
OCT,11,23,0.026,0.035,0.016,0.639,47,18,0.009
OCT,12,0,0.026,0.032,0.016,0.635,41,20,0.008
OCT,12,1,0.019,0.028,0.017,0.627,37,20,0.009
OCT,12,2,0.015,0.024,0.019,0.619,48,18,0.01
OCT,12,3,0.013,0.021,0.019,0.568,45,23,0.009
OCT,12,4,0.013,0.02,0.021,0.492,47,21,0.011
OCT,12,5,0.005,0.018,0.022,0.467,53,29,0.016
OCT,12,6,0.002,0.015,0.022,0.48,48,26,0.019
OCT,12,7,0.001,0.012,0.023,0.511,69,30,0.019
OCT,12,8,0.003,0.009,0.023,0.568,79,35,0.019
OCT,12,9,0.008,0.008,0.021,0.618,81,36,0.016
OCT,12,10,0.021,0.008,0.021,0.65,78,29,0.012
OCT,12,11,0.034,0.011,0.021,0.67,61,30,0.008
OCT,12,12,0.042,0.015,0.02,0.69,51,25,0.006
OCT,12,13,0.051,0.02,0.02,0.705,40,22,0.007
OCT,12,14,0.058,0.027,0.021,0.691,38,18,0.008
OCT,12,15,0.046,0.033,0.021,0.664,35,20,0.007
OCT,12,16,0.046,0.038,0.021,0.617,30,15,0.008
OCT,12,17,0.034,0.041,0.021,0.582,47,14,0.007
OCT,12,18,0.024,0.042,0.021,0.577,61,14,0.009
OCT,12,19,0.019,0.04,0.02,0.584,49,14,0.009
OCT,12,20,0.021,0.037,0.02,0.587,40,13,0.007
OCT,12,21,0.032,0.035,0.02,0.572,52,13,0.006
OCT,12,22,0.03,0.032,0.021,0.556,47,14,0.007
OCT,12,23,0.027,0.029,0.022,0.529,39,17,0.006
OCT,13,0,0.021,0.026,0.022,0.507,27,16,0.008
OCT,13,1,0.017,0.024,0.021,0.485,24,14,0.01
OCT,13,2,0.012,0.022,0.019,0.461,22,13,0.012
OCT,13,3,0.006,0.021,0.019,0.444,23,16,0.017
OCT,13,4,0.01,0.019,0.018,0.421,26,19,0.011
OCT,13,5,0.007,0.016,0.017,0.414,23,17,0.013
OCT,13,6,0.006,0.013,0.017,0.427,24,15,0.016
OCT,13,7,0.003,0.01,0.016,0.472,38,19,0.018
OCT,13,8,0.007,0.008,0.016,0.55,48,22,0.018
OCT,13,9,0.009,0.007,0.016,0.603,58,30,0.014
OCT,13,10,0.021,0.009,0.015,0.632,51,29,0.009
OCT,13,11,0.031,0.012,0.015,0.648,42,21,0.007
OCT,13,12,0.038,0.015,0.015,0.682,34,17,0.008
OCT,13,13,0.043,0.02,0.015,0.707,28,17,0.008
OCT,13,14,0.041,0.024,0.014,0.714,24,15,0.008
OCT,13,15,0.042,0.029,0.014,0.689,22,12,0.007
OCT,13,16,0.039,0.033,0.014,0.629,23,17,0.007
OCT,13,17,0.037,0.036,0.014,0.589,30,17,0.006
OCT,13,18,0.033,0.038,0.015,0.572,34,15,0.007
OCT,13,19,0.027,0.037,0.015,0.563,35,14,0.007
OCT,13,20,0.026,0.036,0.015,0.537,29,15,0.006
OCT,13,21,0.023,0.033,0.016,0.517,25,8,0.007
OCT,13,22,0.02,0.031,0.015,0.497,31,17,0.007
OCT,13,23,0.02,0.028,0.015,0.476,29,12,0.006
OCT,14,0,0.021,0.026,0.015,0.45,20,10,0.005
OCT,14,1,0.021,0.024,0.015,0.428,18,9,0.004
OCT,14,2,0.019,0.022,0.014,0.403,14,10,0.004
OCT,14,3,0.019,0.021,0.014,0.376,13,11,0.005
OCT,14,4,0.015,0.02,0.015,0.36,12,11,0.007
OCT,14,5,0.008,0.018,0.015,0.35,18,12,0.009
OCT,14,6,0.004,0.016,0.015,0.354,20,13,0.013
OCT,14,7,0.002,0.014,0.015,0.387,30,16,0.015
OCT,14,8,0.004,0.011,0.014,0.44,39,16,0.013
OCT,14,9,0.01,0.01,0.014,0.481,38,16,0.011
OCT,14,10,0.02,0.01,0.014,0.513,35,17,0.01
OCT,14,11,0.027,0.011,0.015,0.547,31,16,0.006
OCT,14,12,0.032,0.013,0.015,0.568,23,12,0.007
OCT,14,13,0.038,0.017,0.016,0.588,21,10,0.006
OCT,14,14,0.041,0.022,0.016,0.593,30,14,0.006
OCT,14,15,0.042,0.027,0.017,0.567,25,15,0.005
OCT,14,16,0.036,0.031,0.018,0.543,35,15,0.007
OCT,14,17,0.036,0.034,0.018,0.515,27,14,0.006
OCT,14,18,0.035,0.036,0.018,0.495,21,13,0.005
OCT,14,19,0.026,0.036,0.018,0.501,30,13,0.012
OCT,14,20,0.018,0.034,0.018,0.526,47,10,0.019
OCT,14,21,0.018,0.032,0.017,0.522,45,14,0.008
OCT,14,22,0.015,0.028,0.016,0.518,40,11,0.008
OCT,14,23,0.019,0.025,0.016,0.512,31,11,0.006
OCT,15,0,0.017,0.023,0.016,0.482,27,12,0.007
OCT,15,1,0.011,0.02,0.016,0.47,22,12,0.009
OCT,15,2,0.012,0.017,0.017,0.46,32,14,0.011
OCT,15,3,0.015,0.016,0.017,0.421,34,17,0.009
OCT,15,4,0.014,0.015,0.017,0.371,26,16,0.012
OCT,15,5,0.005,0.014,0.017,0.354,28,15,0.012
OCT,15,6,0.005,0.012,0.017,0.351,32,19,0.013
OCT,15,7,0.005,0.011,0.016,0.391,31,21,0.015
OCT,15,8,0.003,0.009,0.016,0.446,37,20,0.014
OCT,15,9,0.009,0.009,0.016,0.498,39,19,0.013
OCT,15,10,0.017,0.009,0.016,0.542,42,18,0.011
OCT,15,11,0.025,0.01,0.016,0.578,36,12,0.008
OCT,15,12,0.031,0.013,0.015,0.601,29,8,0.006
OCT,15,13,0.034,0.016,0.014,0.623,22,6,0.007
OCT,15,14,0.035,0.02,0.014,0.63,23,6,0.006
OCT,15,15,0.039,0.024,0.013,0.601,16,7,0.006
OCT,15,16,0.041,0.029,0.012,0.569,14,8,0.007
OCT,15,17,0.036,0.032,0.012,0.539,17,12,0.007
OCT,15,18,0.03,0.034,0.013,0.524,27,14,0.009
OCT,15,19,0.025,0.034,0.013,0.525,55,15,0.012
OCT,15,20,0.021,0.033,0.013,0.542,59,11,0.013
OCT,15,21,0.023,0.031,0.015,0.529,57,12,0.009
OCT,15,22,0.021,0.029,0.016,0.513,47,22,0.009
OCT,15,23,0.021,0.027,0.016,0.493,40,19,0.008
OCT,16,0,0.016,0.024,0.016,0.467,31,17,0.012
OCT,16,1,0.023,0.022,0.015,0.434,26,11,0.007
OCT,16,2,0.021,0.021,0.015,0.392,23,10,0.007
OCT,16,3,0.021,0.021,0.015,0.344,22,9,0.007
OCT,16,4,0.013,0.02,0.015,0.295,28,14,0.013
OCT,16,5,0.015,0.019,0.015,0.275,29,14,0.011
OCT,16,6,0.009,0.017,0.016,0.276,31,13,0.017
OCT,16,7,0.009,0.016,0.016,0.305,33,16,0.016
OCT,16,8,0.009,0.015,0.016,0.356,40,12,0.017
OCT,16,9,0.019,0.015,0.016,0.397,47,15,0.011
OCT,16,10,0.029,0.016,0.016,0.426,51,14,0.007
OCT,16,11,0.034,0.017,0.016,0.448,47,13,0.007
OCT,16,12,0.035,0.02,0.016,0.476,41,13,0.007
OCT,16,13,0.032,0.022,0.017,0.498,43,14,0.007
OCT,16,14,0.03,0.025,0.017,0.512,39,10,0.007
OCT,16,15,0.03,0.027,0.017,0.499,38,15,0.006
OCT,16,16,0.029,0.03,0.018,0.463,37,12,0.006
OCT,16,17,0.028,0.031,0.018,0.443,38,14,0.006
OCT,16,18,0.027,0.031,0.018,0.433,37,13,0.006
OCT,16,19,0.022,0.029,0.018,0.432,50,16,0.007
OCT,16,20,0.02,0.027,0.017,0.419,47,13,0.006
OCT,16,21,0.02,0.026,0.015,0.404,33,10,0.005
OCT,16,22,0.019,0.025,0.015,0.379,23,8,0.005
OCT,16,23,0.016,0.023,0.016,0.356,25,8,0.007
OCT,17,0,0.015,0.021,0.016,0.333,18,9,0.006
OCT,17,1,0.018,0.02,0.016,0.308,13,9,0.005
OCT,17,2,0.024,0.019,0.016,0.282,9,9,0.003
OCT,17,3,0.022,0.019,0.016,0.255,8,8,0.004
OCT,17,4,0.019,0.019,0.015,0.231,8,6,0.005
OCT,17,5,0.02,0.019,0.015,0.213,6,6,0.005
OCT,17,6,0.015,0.019,0.014,0.208,9,6,0.007
OCT,17,7,0.009,0.018,0.014,0.22,16,6,0.012
OCT,17,8,0.011,0.017,0.014,0.25,26,7,0.012
OCT,17,9,0.019,0.017,0.014,0.279,32,13,0.009
OCT,17,10,0.027,0.018,0.014,0.306,32,14,0.007
OCT,17,11,0.033,0.019,0.014,0.334,31,13,0.007
OCT,17,12,0.036,0.021,0.013,0.37,56,10,0.008
OCT,17,13,0.041,0.024,0.013,0.409,41,9,0.009
OCT,17,14,0.043,0.027,0.013,0.436,35,10,0.008
OCT,17,15,0.046,0.032,0.013,0.435,32,10,0.006
OCT,17,16,0.04,0.036,0.012,0.414,31,10,0.005
OCT,17,17,0.038,0.038,0.012,0.394,33,8,0.004
OCT,17,18,0.035,0.039,0.012,0.404,30,5,0.008
OCT,17,19,0.023,0.038,0.012,0.44,38,3,0.018
OCT,17,20,0.013,0.035,0.012,0.511,49,5,0.026
OCT,17,21,0.017,0.032,0.012,0.525,63,17,0.013
OCT,17,22,0.013,0.028,0.011,0.527,52,10,0.011
OCT,17,23,0.013,0.024,0.011,0.536,46,20,0.01
OCT,18,0,0.016,0.021,0.011,0.536,46,18,0.008
OCT,18,1,0.016,0.018,0.011,0.531,71,15,0.006
OCT,18,2,0.014,0.016,0.011,0.499,49,13,0.006
OCT,18,3,0.014,0.015,0.012,0.438,38,15,0.006
OCT,18,4,0.012,0.014,0.012,0.333,28,11,0.007
OCT,18,5,0.013,0.014,0.012,0.281,24,10,0.006
OCT,18,6,0.012,0.014,0.012,0.249,16,13,0.007
OCT,18,7,0.009,0.013,0.012,0.236,17,14,0.008
OCT,18,8,0.01,0.013,0.012,0.248,19,13,0.009
OCT,18,9,0.016,0.013,0.012,0.272,18,11,0.007
OCT,18,10,0.022,0.014,0.012,0.3,20,9,0.006
OCT,18,11,0.028,0.015,0.012,0.328,38,8,0.006
OCT,18,12,0.035,0.018,0.012,0.349,60,7,0.005
OCT,18,13,0.038,0.021,0.013,0.365,51,8,0.006
OCT,18,14,0.036,0.024,0.013,0.389,29,9,0.007
OCT,18,15,0.034,0.027,0.013,0.39,21,10,0.005
OCT,18,16,0.034,0.03,0.013,0.372,13,9,0.003
OCT,18,17,0.037,0.033,0.013,0.344,13,7,0.003
OCT,18,18,0.035,0.035,0.013,0.326,16,8,0.005
