DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_DIF 2020,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m3],PM2.5 Promedio ponderado  de 12 hrs. [µg/m3],NO2 Horario [ppm]
OCT,1,0,NA,0.033,0.007,NA,NA,NA,NA
OCT,1,1,0.026,0.03,0.007,NA,25,17,0.007
OCT,1,2,0.022,0.027,0.007,NA,22,11,0.01
OCT,1,3,0.025,0.026,0.007,NA,13,10,0.008
OCT,1,4,0.014,0.023,0.007,NA,14,9,0.014
OCT,1,5,0.01,0.02,0.007,NA,19,8,0.017
OCT,1,6,0.007,0.018,0.007,NA,24,8,0.02
OCT,1,7,0.004,0.016,0.008,NA,42,9,0.023
OCT,1,8,0.01,0.015,0.008,NA,54,16,0.021
OCT,1,9,0.026,0.015,0.008,NA,57,20,0.012
OCT,1,10,0.035,0.017,0.008,NA,47,18,0.01
OCT,1,11,0.04,0.018,0.008,NA,41,12,0.008
OCT,1,12,0.043,0.022,0.008,NA,40,9,0.008
OCT,1,13,0.047,0.027,0.008,NA,35,7,0.008
OCT,1,14,0.048,0.032,0.008,NA,32,7,0.007
OCT,1,15,0.046,0.037,0.008,NA,39,15,0.007
OCT,1,16,0.047,0.042,0.008,NA,35,9,0.007
OCT,1,17,0.046,0.044,0.009,NA,34,7,0.005
OCT,1,18,0.039,0.045,0.008,NA,35,5,0.006
OCT,1,19,0.034,0.044,0.009,NA,34,5,0.006
OCT,1,20,0.034,0.043,0.008,NA,31,5,0.006
OCT,1,21,0.035,0.041,0.007,NA,32,6,0.005
OCT,1,22,0.035,0.04,0.007,NA,36,4,0.005
OCT,1,23,0.034,0.038,0.008,NA,31,3,0.006
OCT,2,0,0.031,0.036,0.009,NA,26,7,0.006
OCT,2,1,0.028,0.034,0.009,NA,28,12,0.006
OCT,2,2,0.028,0.032,0.009,NA,24,6,0.006
OCT,2,3,0.034,0.032,0.01,NA,22,6,0.008
OCT,2,4,0.029,0.032,0.01,NA,19,8,0.006
OCT,2,5,0.028,0.031,0.01,NA,19,8,0.006
OCT,2,6,0.025,0.03,0.009,NA,21,7,0.009
OCT,2,7,0.022,0.028,0.008,NA,27,4,0.011
OCT,2,8,0.019,0.027,0.008,NA,34,4,0.014
OCT,2,9,0.03,0.027,0.008,NA,36,8,0.008
OCT,2,10,0.035,0.028,0.008,NA,35,11,0.007
OCT,2,11,0.038,0.028,0.008,NA,32,16,0.007
OCT,2,12,0.039,0.03,0.008,NA,32,17,0.008
OCT,2,13,0.04,0.031,0.008,NA,32,14,0.007
OCT,2,14,0.04,0.033,0.008,NA,32,11,0.007
OCT,2,15,0.04,0.035,0.008,NA,32,9,0.007
OCT,2,16,0.038,0.038,0.008,NA,31,9,0.007
OCT,2,17,0.037,0.038,0.008,NA,34,10,0.006
OCT,2,18,0.034,0.038,0.008,NA,40,10,0.006
OCT,2,19,0.031,0.037,0.009,NA,47,8,0.006
OCT,2,20,0.027,0.036,0.011,NA,49,8,0.008
OCT,2,21,0.025,0.034,0.012,NA,45,10,0.008
OCT,2,22,0.027,0.032,0.012,NA,39,14,0.006
OCT,2,23,0.022,0.03,0.011,NA,32,9,0.008
OCT,3,0,0.03,0.029,0.011,NA,23,7,0.007
OCT,3,1,0.023,0.027,0.01,NA,22,7,0.006
OCT,3,2,0.024,0.026,0.01,NA,17,7,0.008
OCT,3,3,0.026,0.025,0.009,NA,14,9,0.005
OCT,3,4,0.019,0.024,0.01,NA,14,9,0.008
OCT,3,5,0.013,0.023,0.01,NA,17,10,0.013
OCT,3,6,0.012,0.021,0.011,NA,24,11,0.011
OCT,3,7,0.006,0.019,0.011,NA,29,12,0.016
OCT,3,8,0.008,0.016,0.012,NA,44,17,0.017
OCT,3,9,0.015,0.015,0.013,NA,52,17,0.013
OCT,3,10,0.029,0.016,0.013,NA,46,25,0.008
OCT,3,11,0.036,0.017,0.013,NA,42,21,0.008
OCT,3,12,0.039,0.02,0.013,NA,36,15,0.008
OCT,3,13,0.043,0.023,0.013,NA,37,9,0.009
OCT,3,14,0.045,0.028,0.013,NA,33,6,0.008
OCT,3,15,0.046,0.033,0.013,NA,30,6,0.008
OCT,3,16,0.045,0.037,0.013,NA,32,6,0.009
OCT,3,17,0.046,0.041,0.012,NA,35,5,0.008
OCT,3,18,0.042,0.043,0.012,NA,47,6,0.01
OCT,3,19,0.031,0.042,0.011,NA,55,7,0.017
OCT,3,20,0.024,0.04,0.01,NA,60,9,0.009
OCT,3,21,0.027,0.038,0.009,NA,49,9,0.005
OCT,3,22,0.026,0.036,0.01,NA,44,7,0.006
