DATOS MÓVILES 2020_DIF,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario [ppb],O3 Promedio de 8 hrs. [ppb],SO2 Promedio de 24 hrs. [ppb],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³],NO2 Horario [ppb]
MZO,2,2,22.97,27.26,22.91,1.51,40,12,11.7
MZO,2,3,19.13,24.89,22.91,1.51,36,11,14.99
MZO,2,4,20.04,23.64,22.96,1.49,34,10,12.85
MZO,2,5,16.79,22.29,22.95,1.48,33,16,15.97
MZO,2,6,18.48,21.49,22.94,1.47,32,15,14.8
MZO,2,7,8.55,18.77,22.94,1.52,38,16,25.82
MZO,2,8,NA,18.12,22.92,1.52,NA,NA,NA
MZO,2,9,NA,17.66,22.89,1.53,NA,NA,NA
MZO,2,10,25.44,18.07,23,1.59,NA,NA,NA
MZO,2,11,37.91,21.2,23,1.62,NA,NA,8.59
MZO,2,12,44.48,25.27,23,1.63,NA,NA,6.41
MZO,2,13,45.57,30.07,22.98,1.64,NA,NA,7.44
MZO,2,14,45.13,34.51,22.96,1.65,NA,NA,6.46
MZO,2,15,46.93,40.91,22.96,1.58,NA,NA,5.12
MZO,2,16,46.55,41.71,22.95,1.57,NA,NA,5.53
MZO,2,17,45.63,42.2,22.96,1.56,6,11,6.39
MZO,2,18,41.81,44.25,22.96,1.52,19,11,7.52
MZO,2,19,34.27,43.8,22.97,1.52,30,11,12.03
MZO,2,20,28.48,41.8,22.97,1.54,43,11,15.06
MZO,2,21,23.49,39.04,22.98,1.55,54,14,17.12
MZO,2,22,28.50,36.96,23.03,1.55,45,16,12.01
MZO,2,23,36.41,35.64,23.04,1.55,37,12,7.26
MZO,3,0,28.93,33.44,23.04,1.54,33,12,10.5
MZO,3,1,24.80,30.84,23.06,1.54,35,12,12.96
MZO,3,2,15.14,27.5,23.08,1.54,32,13,21.72
MZO,3,3,13.68,24.93,23.1,1.53,29,14,22.79
MZO,3,4,4.27,21.9,23.12,1.51,27,15,30.84
MZO,3,5,2.33,19.26,23.14,1.5,28,14,31.79
MZO,3,6,1.42,15.87,23.15,1.5,32,16,31.34
MZO,3,7,4.84,11.93,23.22,1.61,39,14,33.75
MZO,3,8,3.50,8.75,23.26,1.84,64,19,43.11
MZO,3,9,10.30,6.94,23.33,2.01,102,25,42.34
MZO,3,10,20.65,7.62,23.27,2.07,103,45,25.87
MZO,3,11,40.60,10.99,23.29,2.09,67,37,10.47
MZO,3,12,40.12,15.47,23.28,2.09,42,31,6.98
MZO,3,13,38.89,20.04,23.28,2.09,31,25,6.26
MZO,3,14,40.21,24.89,23.28,2.09,28,17,6.63
MZO,3,15,38.02,29.04,23.07,1.97,23,13,6.45
MZO,3,16,36.81,33.2,22.77,1.74,32,11,5.12
MZO,3,17,35.56,36.36,22.44,1.56,33,8,5.31
MZO,3,18,34.17,38.05,22.12,1.49,42,6,5.57
MZO,3,19,31.69,36.93,21.79,1.47,47,12,7.28
MZO,3,20,27.28,35.33,21.63,1.47,59,10,11.3
