DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_DIF 2020,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario,O3 promedio 8 hrs.,SO2 promedio 24hrs,CO promedio 8hrs.,NO2 horario,PM10 promedio ponderado 12hrs.,PM2.5 promedio ponderado 12 hrs.
JUL,4,21,38.12,57.58,10.89,0.37,11.91,39,9
JUL,4,22,26.97,54.14,9.13,0.361,9.54,44,5
JUL,4,23,27.28,50.22,9.16,0.348,9.51,44,3
JUL,5,0,27.12,45.66,9.27,0.351,8.96,34,5
JUL,5,1,31.48,41.21,9.32,0.348,9.01,27,7
JUL,5,2,31.63,36.5,9.35,0.349,8.14,22,8
JUL,5,3,29.34,32.74,9.36,0.355,9.01,16,8
JUL,5,4,22.07,29.25,9.21,0.347,12.32,13,9
JUL,5,5,18.79,26.83,9.16,0.318,12.24,17,11
JUL,5,6,6.82,24.32,9.13,0.312,17.72,16,11
JUL,5,7,8.16,21.93,9.16,0.323,15.07,21,12
JUL,5,8,13.77,20.26,9.22,0.331,11.77,22,12
JUL,5,9,18.23,18.6,9.2,0.358,11.28,23,12
JUL,5,10,30.69,18.48,9.21,0.38,7.52,23,12
JUL,5,11,37.78,19.54,9.25,0.409,6.68,27,14
JUL,5,12,45.33,22.45,9.32,0.426,6.51,26,11
JUL,5,13,55.41,27.03,9.42,0.45,7.81,23,10
JUL,5,14,56.08,33.18,9.63,0.46,6.47,20,12
JUL,5,15,55.17,39.06,9.84,0.442,5.73,15,13
JUL,5,16,59.41,44.76,10.12,0.414,4.31,8,14
JUL,5,17,68.27,51.02,10.41,0.381,4.53,5,17
JUL,5,18,68.59,55.76,10.68,0.354,4.8,6,15
JUL,5,19,48.3,57.07,10.73,0.323,7.43,18,12
JUL,5,20,40.21,56.43,10.76,0.31,8.98,27,10
JUL,5,21,35.41,53.93,10.74,0.317,12.88,40,8
JUL,5,22,30.36,50.72,10.58,0.317,12.05,48,5
JUL,5,23,34.47,48.13,10.36,0.321,10.61,35,3
JUL,6,0,34.27,44.98,10.17,0.325,9.52,23,5
JUL,6,1,31.01,40.33,10.04,0.326,10.64,21,7
JUL,6,2,23.51,34.69,9.94,0.324,13.42,16,6
JUL,6,3,25.51,31.84,9.86,0.319,12.12,12,7
JUL,6,4,10.96,28.19,9.77,0.312,20.49,14,7
JUL,6,5,3.99,24.26,9.7,0.284,24.72,18,7
JUL,6,6,1.16,20.61,9.66,0.28,24.77,19,8
JUL,6,7,4.47,16.86,9.6,0.314,24.7,24,8
JUL,6,8,14.13,14.34,9.57,0.365,16.76,33,8
JUL,6,9,21.65,13.17,9.62,0.4,13.56,26,9
JUL,6,10,33.06,14.37,9.52,0.446,12.46,26,10
JUL,6,11,51.01,17.55,9.43,0.467,7.42,26,11
JUL,6,12,58.03,23.44,9.26,0.475,5.67,25,12
JUL,6,13,62.06,30.7,9.15,0.477,5.22,24,14
JUL,6,14,70.87,39.41,9.09,0.478,6.89,21,15
JUL,6,15,77.14,48.49,9.16,0.461,8.52,22,18
JUL,6,16,76.06,56.23,9.11,0.427,8.09,19,21
JUL,6,17,77.95,63.27,9,0.414,9.89,19,23
JUL,6,18,81.33,69.31,8.9,0.389,8.62,20,23
JUL,6,19,79.48,72.87,8.86,0.384,8.67,28,22
JUL,6,20,58.38,72.91,8.93,0.388,18.31,57,20
JUL,6,21,40.07,70.16,8.94,0.4,23.82,64,16
JUL,6,22,30.59,65.13,9.33,0.403,13.3,61,14
JUL,6,23,24.81,58.58,9.42,0.383,11.31,51,11
JUL,7,0,32.46,53.14,9.48,0.363,7.91,42,9
