DATOS MÓVILES 2020_DIF,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,NO2,MO3,MSO2,MCO,MPM10,MPM2.5
ENE,1,0,16.15,18.06,12.54,1.88,47.58,20.38
ENE,1,1,19.51,13.38,13.04,1.99,48.42,22.86
ENE,1,2,22.27,9.77,13.58,2.18,50.38,30.58
ENE,1,3,22.58,8.98,14.14,2.44,53.11,42.64
ENE,1,4,20.61,8.56,14.43,2.65,58.36,56.08
ENE,1,5,19.61,9.37,14.63,2.85,65.30,65.96
ENE,1,6,15.73,8.94,14.65,2.85,66.79,78.30
ENE,1,7,14.65,8.20,14.32,2.81,66.96,81.46
ENE,1,8,15.16,7.35,14.16,2.79,67.42,83.26
ENE,1,9,12.95,7.54,14.00,2.75,69.15,85.68
ENE,1,10,9.72,8.60,13.98,2.59,71.35,87.74
ENE,1,11,4.96,9.97,13.88,2.31,73.09,89.05
ENE,1,12,4.33,11.93,13.82,2.03,NA,88.92
ENE,1,13,4.66,13.44,13.90,1.65,NA,88.62
ENE,1,14,3.67,15.89,14.00,1.54,NA,88.10
ENE,1,15,3.55,18.24,14.12,1.47,NA,87.58
ENE,1,16,3.04,20.44,14.23,1.38,NA,87.56
ENE,1,17,3.37,22.22,14.37,1.30,NA,87.63
ENE,1,18,3.79,22.71,14.52,1.25,NA,87.65
ENE,1,19,3.64,22.62,14.64,1.24,NA,87.55
ENE,1,20,3.83,22.13,14.73,1.24,NA,87.24
ENE,1,21,6.47,21.21,14.71,1.24,NA,86.66
ENE,1,22,7.76,20.30,14.72,1.26,NA,84.68
ENE,1,23,3.45,20.10,14.70,1.25,NA,82.88
ENE,2,0,3.99,19.84,14.61,1.25,NA,80.30
ENE,2,1,4.84,19.49,14.10,1.25,NA,77.09
ENE,2,2,5.20,18.90,13.51,1.24,NA,68.65
ENE,2,3,5.20,18.34,12.99,1.24,NA,56.12
ENE,2,4,3.57,18.35,12.74,1.22,NA,42.27
ENE,2,5,4.10,18.92,12.57,1.20,NA,31.84
ENE,2,6,3.77,19.57,12.57,1.18,NA,19.24
ENE,2,7,4.35,19.46,12.58,1.17,NA,16.00
ENE,2,8,5.61,19.28,12.56,1.18,NA,13.89
ENE,2,9,6.59,18.98,12.59,1.19,NA,11.26
ENE,2,10,7.06,18.67,12.63,1.22,NA,8.74
ENE,2,11,5.80,18.75,12.73,1.25,NA,7.21
ENE,2,12,4.17,18.48,12.76,1.27,38.46,6.91
ENE,2,13,3.97,18.28,12.77,1.29,39.01,6.92
ENE,2,14,3.73,18.30,12.88,1.31,40.39,7.04
ENE,2,15,4.10,18.50,13.03,1.32,33.81,7.17
ENE,2,16,4.08,18.96,13.20,1.33,28.79,6.97
ENE,2,17,4.40,19.83,13.27,1.33,26.72,6.71
ENE,2,18,5.06,20.68,13.39,1.32,24.71,6.66
ENE,2,19,7.43,20.90,13.51,1.32,24.47,6.63
ENE,2,20,7.66,20.63,13.59,1.33,25.28,6.72
ENE,2,21,7.98,20.15,13.71,1.35,25.74,6.75
ENE,2,22,6.47,20.24,13.83,1.36,25.40,6.81
ENE,2,23,7.64,20.14,14.02,1.35,25.21,6.69
ENE,3,0,5.20,20.24,14.39,1.34,24.46,6.75
ENE,3,1,5.28,20.03,14.77,1.33,23.64,6.95
ENE,3,2,6.29,19.65,15.05,1.32,23.82,7.00
ENE,3,3,11.69,18.95,15.32,1.30,23.89,6.89
ENE,3,4,15.42,17.88,15.53,1.29,24.61,7.32
ENE,3,5,18.23,16.58,15.64,1.29,24.82,7.86
ENE,3,6,18.57,14.56,15.95,1.28,24.52,8.12
ENE,3,7,17.35,12.75,16.27,1.30,25.21,8.13
ENE,3,8,17.15,10.71,16.52,1.34,26.15,8.06
ENE,3,9,16.04,9.16,16.59,1.38,26.52,8.41
ENE,3,10,10.56,9.49,16.90,1.40,26.27,8.80
ENE,3,11,8.67,11.19,17.22,1.41,26.31,9.10
ENE,3,12,5.72,14.68,17.30,1.41,23.62,9.31
ENE,3,13,4.97,19.29,17.35,1.40,21.81,9.35
ENE,3,14,5.00,24.65,17.65,1.40,21.22,9.25
ENE,3,15,5.83,30.54,17.74,1.39,20.49,9.61
ENE,3,16,6.38,36.47,17.78,1.37,20.29,10.23
ENE,3,17,6.80,42.47,17.97,1.34,20.18,10.97
ENE,3,18,9.74,46.12,18.00,1.33,20.87,11.62
ENE,3,19,18.66,46.97,18.14,1.35,21.88,12.20
ENE,3,20,25.77,44.48,18.39,1.41,23.76,12.58
ENE,3,21,31.62,40.04,18.48,1.49,26.12,13.40
ENE,3,22,30.16,34.87,18.59,1.58,28.09,14.38
ENE,3,23,31.08,28.81,18.74,1.69,29.92,15.17
