DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_DIF 2020,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario,O3 Promedio de 8 hrs. ,SO2 promedio de 24 hrs.,CO Promedio de 8 hrs.,PM10 Promedio ponderado  de 12 hrs.,PM2.5 Promedio ponderado  de 12 hrs.,NO2 Horario
AGO,1,0,16.84,22.31,12.47,0.589,17,13,10.27
AGO,1,1,15.84,20.13,12.46,0.575,12,12,10.68
AGO,1,2,17.14,18.71,12.48,0.555,14,11,9.19
AGO,1,3,8.16,16.74,12.50,0.546,24,12,12.80
AGO,1,4,4.24,14.39,12.51,0.525,36,25,13.96
AGO,1,5,2.04,12.13,12.52,0.506,32,24,15.60
AGO,1,6,2.34,10.11,12.53,0.521,35,24,17.78
AGO,1,7,0.71,8.41,12.50,0.539,77,36,16.54
AGO,1,8,2.54,6.63,12.48,0.564,56,44,16.16
AGO,1,9,7.61,5.60,12.42,0.593,44,34,15.06
AGO,1,10,11.53,4.89,12.29,0.640,40,31,15.07
AGO,1,11,17.12,6.01,12.13,0.677,42,33,12.47
AGO,1,12,26.43,8.79,11.99,0.716,35,34,9.66
AGO,1,13,41.71,13.75,11.90,0.737,32,31,7.44
AGO,1,14,56.36,20.50,11.82,0.753,43,32,7.25
AGO,1,15,35.75,24.88,11.80,0.754,42,32,9.27
AGO,1,16,36.09,29.07,11.73,0.755,27,25,9.18
AGO,1,17,25.47,31.31,11.59,0.781,31,19,14.27
AGO,1,18,21.49,32.55,11.52,0.777,20,19,13.45
AGO,1,19,19.66,32.87,11.49,0.787,21,16,15.35
AGO,1,20,17.69,31.78,11.45,0.804,24,21,16.54
AGO,1,21,16.37,28.61,11.42,0.823,34,24,16.29
AGO,1,22,9.97,22.81,11.41,0.830,42,25,17.17
AGO,1,23,7.67,19.30,11.43,0.848,51,35,16.42
AGO,2,0,NA,16.90,11.41,0.871,51,35,NA
AGO,2,1,4.05,13.84,11.44,0.835,66,33,16.35
AGO,2,2,5.30,11.53,11.40,0.795,59,68,14.52
AGO,2,3,5.14,9.45,11.36,0.746,45,45,14.00
AGO,2,4,2.32,7.26,11.34,0.695,56,46,16.06
AGO,2,5,1.06,5.07,11.32,0.661,55,39,16.68
AGO,2,6,1.57,3.87,11.26,0.638,49,36,16.52
AGO,2,7,NA,3.24,11.27,0.619,66,44,16.60
AGO,2,8,2.87,3.19,11.23,0.628,52,44,15.70
AGO,2,9,10.04,4.04,11.25,0.634,36,30,10.14
AGO,2,10,17.40,5.77,11.29,0.658,30,23,8.27
AGO,2,11,23.24,8.36,11.32,0.697,37,20,9.06
AGO,2,12,31.92,12.59,11.39,0.722,33,22,8.78
AGO,2,13,39.23,18.04,11.48,0.715,28,23,6.22
AGO,2,14,41.42,23.73,11.56,0.708,30,25,6.71
AGO,2,15,39.70,25.73,11.55,0.724,31,24,7.30
AGO,2,16,30.72,29.21,11.53,0.823,32,27,11.46
AGO,2,17,29.65,31.66,11.51,0.797,31,29,5.63
AGO,2,18,20.96,32.10,11.51,0.774,23,22,9.59
AGO,2,19,15.57,31.15,11.55,0.756,22,20,12.34
AGO,2,20,2.92,27.52,11.62,0.780,24,18,19.99
AGO,2,21,14.89,24.48,11.68,0.794,29,19,13.42
AGO,2,22,23.39,22.22,11.68,0.774,26,17,5.57
AGO,2,23,24.87,20.37,11.67,0.727,20,15,4.61
AGO,3,0,20.76,19.13,11.70,0.596,19,14,5.80
AGO,3,1,25.06,18.55,11.68,0.609,15,14,4.97
AGO,3,2,29.32,19.60,11.71,0.615,12,13,4.64
AGO,3,3,30.75,21.50,11.62,NA,12,11,4.38
AGO,3,4,23.95,24.12,11.64,NA,11,10,7.18
AGO,3,5,16.78,24.36,11.65,NA,11,8,8.66
AGO,3,6,7.75,22.41,11.70,NA,37,10,14.68
AGO,3,7,3.27,19.71,11.74,NA,47,41,18.00
AGO,3,8,6.92,17.98,11.81,NA,77,53,14.24
AGO,3,9,9.43,16.02,11.84,0.672,54,44,10.87
AGO,3,10,17.63,14.56,11.86,0.673,37,29,7.07
AGO,3,11,22.59,13.54,11.85,0.674,29,21,7.16
AGO,3,12,28.35,14.09,11.86,0.695,26,15,6.06
AGO,3,13,34.63,16.32,11.85,0.705,25,13,6.18
AGO,3,14,40.65,20.43,11.91,0.702,26,18,7.26
AGO,3,15,43.76,25.50,12.05,0.660,26,22,7.00
AGO,3,16,40.30,29.67,12.18,0.626,30,20,8.32
AGO,3,17,30.34,32.28,12.25,0.597,35,24,8.34
AGO,3,18,26.31,33.37,12.26,0.595,32,20,10.28
AGO,3,19,30.09,34.31,12.23,0.577,26,16,7.38
AGO,3,20,21.29,33.42,12.19,0.596,22,14,14.56
AGO,3,21,14.41,30.90,12.17,0.602,22,15,16.08
AGO,3,22,1.54,26.01,12.16,0.600,25,16,23.32
AGO,3,23,2.33,20.83,12.17,0.605,27,17,21.73
AGO,4,0,2.05,16.05,12.15,0.606,29,20,18.80
AGO,4,1,5.88,12.99,12.15,0.599,25,21,13.63
AGO,4,2,0.90,9.81,12.14,0.574,22,18,15.78
AGO,4,3,1.02,6.18,12.26,0.566,22,16,15.43
AGO,4,4,NA,4.02,12.33,0.532,28,19,15.60
AGO,4,5,NA,2.29,12.41,0.523,27,20,15.21
AGO,4,6,NA,NA,12.47,0.533,27,19,14.51
AGO,4,7,NA,NA,12.49,0.561,34,18,13.98
AGO,4,8,1.76,NA,12.52,0.608,82,27,14.99
AGO,4,9,7.62,NA,12.54,0.644,92,49,12.80
AGO,4,10,16.65,NA,12.55,0.678,77,54,10.78
AGO,4,11,25.75,NA,12.58,0.724,62,43,11.27
AGO,4,12,38.52,NA,12.58,0.766,59,36,11.63
AGO,4,13,46.09,22.73,12.56,0.790,61,36,11.17
AGO,4,14,53.85,27.18,12.49,0.791,53,34,9.33
AGO,4,15,55.30,30.69,12.38,0.766,40,30,8.55
AGO,4,16,55.04,37.35,12.33,0.713,38,27,8.84
AGO,4,17,57.88,43.64,12.34,0.680,34,23,8.34
AGO,4,18,42.43,46.86,12.41,0.663,38,25,10.34
AGO,4,19,39.58,48.59,12.47,0.652,46,24,14.71
