DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_DIF 2020,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario,O3 Promedio de 8 hrs. ,SO2 promedio de 24 hrs.,CO Promedio de 8 hrs.,PM10 Promedio ponderado  de 12 hrs.,PM2.5 Promedio ponderado  de 12 hrs.,NO2 Horario
JUN,1,0,33.89,44.68,17.11,0.50,38,11,5.20
JUN,1,1,35.22,41.45,16.93,0.49,28,12,4.79
JUN,1,2,35.46,39.02,15.60,0.45,24,12,4.67
JUN,1,3,35.55,36.35,14.42,0.43,18,12,4.60
JUN,1,4,36.18,35.60,13.93,0.41,15,11,4.45
JUN,1,5,34.34,35.00,13.95,0.40,15,11,4.99
JUN,1,6,29.13,34.21,13.98,0.42,17,13,9.83
JUN,1,7,24.97,33.09,14.11,0.45,20,14,13.70
JUN,1,8,31.96,32.85,14.37,0.49,24,16,11.21
JUN,1,9,39.21,33.35,14.35,0.52,29,16,7.95
JUN,1,10,41.01,34.04,14.38,0.56,35,19,8.35
JUN,1,11,45.40,35.27,14.36,0.60,32,20,9.11
JUN,1,12,51.23,37.16,14.26,0.63,30,19,8.96
JUN,1,13,55.96,39.86,14.05,0.65,28,18,7.09
JUN,1,14,57.51,43.41,13.44,0.65,23,16,7.60
JUN,1,15,59.73,47.75,12.92,0.63,20,15,7.25
JUN,1,16,57.50,50.94,12.63,0.60,25,20,6.67
JUN,1,17,57.79,53.27,12.32,0.57,20,18,5.00
JUN,1,18,50.59,54.46,11.82,0.55,37,15,8.39
JUN,1,19,40.07,53.80,13.52,0.58,57,13,13.66
JUN,1,20,34.25,51.68,14.79,0.62,57,21,13.55
JUN,1,21,29.32,48.35,15.55,0.62,47,20,11.29
JUN,1,22,26.95,44.53,16.18,0.61,42,15,10.09
JUN,1,23,30.17,40.83,17.77,0.63,44,13,8.21
JUN,2,0,30.28,37.43,17.85,0.62,36,17,5.74
JUN,2,1,28.80,33.80,17.82,0.62,28,14,4.66
JUN,2,2,25.79,30.70,17.71,0.60,21,13,4.43
JUN,2,3,24.77,28.79,17.64,0.53,20,13,4.16
JUN,2,4,24.05,27.52,17.75,0.46,13,13,6.44
JUN,2,5,23.21,26.75,19.57,0.44,20,14,8.63
JUN,2,6,22.07,26.14,20.17,0.45,21,21,10.19
JUN,2,7,23.25,25.28,19.83,0.42,19,17,9.72
JUN,2,8,25.98,24.74,19.43,0.45,26,15,9.10
JUN,2,9,31.45,25.07,19.31,0.48,29,17,7.59
JUN,2,10,35.04,26.23,19.15,0.51,28,17,7.24
JUN,2,11,41.26,28.29,19.02,0.54,31,16,7.50
JUN,2,12,48.05,31.29,19.09,0.57,20,16,7.58
JUN,2,13,62.03,36.14,19.54,0.60,21,18,6.98
JUN,2,14,66.63,41.71,20.07,0.62,23,19,6.86
JUN,2,15,61.06,46.44,20.16,0.62,20,19,5.94
JUN,2,16,53.67,49.90,20.10,0.60,22,14,6.98
JUN,2,17,52.61,52.54,20.13,0.57,18,12,6.87
JUN,2,18,47.30,54.08,19.91,0.56,19,11,7.94
JUN,2,19,38.89,53.78,19.83,0.59,34,11,10.20
JUN,2,20,32.17,51.79,20.37,0.75,48,16,12.76
JUN,2,21,32.97,48.16,20.53,0.83,48,20,9.40
JUN,2,22,33.59,44.03,19.75,0.80,48,14,4.64
JUN,2,23,29.33,40.07,18.28,0.78,47,11,6.80
JUN,3,0,31.04,37.24,18.00,0.77,39,10,4.42
JUN,3,1,29.04,34.29,17.75,0.76,26,10,3.76
JUN,3,2,28.11,31.89,17.70,0.73,21,9,3.28
