DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2023,,,,,,,,
NOTA,LOS DATOS SON PREVALIDADOS ,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],NO2 Horario [ppm]
AGOSTO ,1,0,0.021,0.03,NA,0.94,35,0.007
AGOSTO ,1,1,0.01,0.026,NA,0.948,37,0.014
AGOSTO,1,2,0.012,0.023,NA,0.947,33,0.011
AGOSTO,1,3,0.009,0.02,NA,0.941,28,0.011
AGOSTO,1,4,0.01,0.017,NA,0.932,22,0.008
AGOSTO,1,5,0.009,0.015,NA,0.928,17,0.009
AGOSTO,1,6,0.009,0.013,NA,0.932,20,0.011
AGOSTO,1,7,0.004,0.01,NA,0.953,23,0.012
AGOSTO,1,8,0.008,0.009,NA,0.965,32,0.008
AGOSTO,1,9,0.016,0.01,NA,0.974,30,0.008
AGOSTO,1,10,0.024,0.011,NA,0.983,37,0.006
AGOSTO,1,11,0.03,0.014,NA,0.996,39,0.005
AGOSTO,1,12,0.034,0.017,NA,1.009,57,0.006
AGOSTO,1,13,0.04,0.021,NA,1.015,64,0.004
AGOSTO,1,14,0.04,0.025,NA,1.009,50,0.005
AGOSTO,1,15,0.041,0.029,0.012,0.99,44,0.005
AGOSTO,1,16,0.04,0.033,0.012,0.974,39,0.004
AGOSTO,1,17,0.044,0.037,0.012,0.959,34,0.004
AGOSTO,1,18,0.041,0.039,0.012,0.95,46,0.005
AGOSTO,1,19,0.038,0.04,0.012,0.94,106,0.006
AGOSTO,1,20,0.031,0.039,0.012,0.931,105,0.006
AGOSTO,1,21,0.025,0.038,0.012,0.924,80,0.005
AGOSTO,1,22,0.022,0.035,0.013,0.914,67,0.006
AGOSTO,1,23,0.02,0.033,0.013,0.901,51,0.005
AGOSTO,2,0,0.017,0.03,0.013,0.895,NA,0.008
AGOSTO,2,1,0.021,0.027,0.013,0.884,34,0.004
AGOSTO,2,2,0.016,0.024,0.014,0.874,29,0.007
AGOSTO,2,3,0.018,0.021,0.014,0.863,25,0.005
AGOSTO,2,4,0.017,0.019,0.014,0.854,19,0.005
AGOSTO,2,5,0.009,0.017,0.014,0.851,19,0.008
AGOSTO,2,6,0.012,0.016,0.014,0.856,22,0.008
AGOSTO,2,7,0.008,0.015,0.015,0.881,27,0.01
AGOSTO,2,8,0.014,0.014,0.015,0.908,39,0.008
AGOSTO,2,9,0.022,0.015,0.015,0.925,38,0.006
AGOSTO,2,10,0.028,0.016,0.015,0.935,53,0.005
AGOSTO,2,11,0.028,0.017,0.015,0.95,47,0.006
AGOSTO,2,12,0.033,0.019,0.015,0.964,35,0.004
AGOSTO,2,13,0.037,0.023,0.015,0.973,62,0.004
AGOSTO,2,14,0.043,0.027,0.015,0.974,59,0.004
AGOSTO,2,15,0.046,0.031,0.015,0.955,47,0.004
AGOSTO,2,16,0.045,0.035,0.014,0.933,40,0.003
AGOSTO,2,17,0.045,0.038,0.014,0.92,31,0.003
AGOSTO,2,18,0.041,0.04,0.014,0.919,32,0.005
AGOSTO,2,19,0.033,0.04,0.015,0.953,43,0.008
AGOSTO,2,20,0.028,0.04,0.015,0.973,81,0.007
AGOSTO,2,21,0.024,0.038,0.015,0.969,68,0.007
AGOSTO,2,22,0.025,0.036,0.015,0.961,60,0.004
AGOSTO,2,23,0.018,0.032,0.016,0.96,52,0.008
AGOSTO,3,0,0.019,0.029,0.015,0.956,43,0.006
AGOSTO,3,1,0.022,0.026,0.015,0.949,27,0.004
AGOSTO,3,2,0.023,0.024,0.015,0.938,20,0.004
AGOSTO,3,3,0.02,0.022,0.015,0.891,19,0.007
AGOSTO,3,4,0.021,0.021,0.015,0.858,25,0.005
AGOSTO,3,5,0.02,0.021,0.016,0.853,25,0.005
AGOSTO,3,6,0.02,0.02,0.017,0.858,20,0.006
AGOSTO,3,7,0.018,0.02,0.018,0.87,21,0.007
AGOSTO,3,8,0.015,0.02,0.018,0.899,26,0.009
AGOSTO,3,9,0.021,0.02,0.018,0.923,35,0.006
AGOSTO,3,10,0.027,0.02,0.018,0.941,39,0.005
AGOSTO,3,11,0.031,0.022,0.018,0.954,37,0.005
AGOSTO,3,12,0.039,0.024,0.018,0.968,34,0.004
AGOSTO,3,13,0.042,0.027,0.018,0.975,31,0.003
AGOSTO,3,14,0.046,0.03,0.018,0.979,29,0.003
AGOSTO,3,15,0.048,0.034,0.018,0.971,31,0.004
AGOSTO,3,16,0.049,0.038,0.018,0.95,43,0.005
AGOSTO,3,17,0.039,0.04,0.02,1.02,52,0.008
AGOSTO,3,18,0.037,0.041,0.02,1.034,56,0.005
AGOSTO,3,19,0.035,0.042,0.021,1.035,84,0.011
AGOSTO,3,20,0.026,0.04,0.02,1.068,59,0.011
AGOSTO,3,21,0.024,0.038,0.02,1.084,45,0.009
AGOSTO,3,22,0.023,0.035,0.02,1.094,32,0.008
AGOSTO,3,23,0.024,0.032,0.02,1.105,26,0.007
AGOSTO,4,0,0.018,0.028,0.019,1.126,26,0.007
AGOSTO,4,1,0.013,0.025,0.02,1.065,21,0.008
AGOSTO,4,2,0.012,0.022,0.02,1.051,22,0.007
AGOSTO,4,3,0.012,0.019,0.019,1.059,20,0.008
AGOSTO,4,4,0.012,0.017,0.019,1.036,22,0.007
AGOSTO,4,5,0.004,0.015,0.019,1.06,22,0.012
AGOSTO,4,6,0.004,0.012,0.017,1.098,25,0.011
AGOSTO,4,7,0.003,0.01,0.016,1.119,21,0.01
AGOSTO,4,8,0.006,0.008,0.015,1.128,22,0.008
AGOSTO,4,9,0.01,0.008,0.015,1.135,25,0.007
AGOSTO,4,10,0.017,0.009,0.015,1.149,24,0.004
AGOSTO,4,11,0.023,0.01,0.014,1.151,24,0.004
AGOSTO,4,12,NA,NA,NA,1.167,24,NA
AGOSTO,4,13,NA,NA,NA,1.153,NA,NA
AGOSTO,4,14,0.043,NA,NA,1.115,NA,0.004
AGOSTO,4,15,0.044,NA,NA,1.087,39,0.003
AGOSTO,4,16,0.045,NA,NA,1.063,41,0.004
AGOSTO,4,17,0.033,NA,NA,1.04,43,0.004
AGOSTO,4,18,0.022,NA,NA,1.023,42,0.004
AGOSTO,4,19,0.022,NA,NA,1.018,38,0.005
AGOSTO,4,20,0.015,NA,NA,1.036,38,0.009
AGOSTO,4,21,0.024,0.031,NA,1.051,37,0.007
AGOSTO,4,22,0.018,0.028,NA,1.054,32,0.008
AGOSTO,4,23,0.018,0.025,NA,1.06,26,0.007
AGOSTO,5,0,0.017,0.021,NA,1.066,19,0.008
AGOSTO,5,1,0.016,0.019,NA,1.07,19,0.007
AGOSTO,5,2,0.016,0.018,NA,1.073,15,0.006
AGOSTO,5,3,0.014,0.017,NA,1.068,13,0.007
AGOSTO,5,4,0.014,0.017,NA,1.051,16,0.005
AGOSTO,5,5,0.01,0.015,NA,1.035,15,0.006
AGOSTO,5,6,0.008,0.014,NA,1.026,14,0.006
AGOSTO,5,7,0.004,0.012,NA,1.031,39,0.009
AGOSTO,5,8,0.007,0.011,NA,1.033,30,0.007
AGOSTO,5,9,0.01,0.01,NA,1.044,23,0.006
AGOSTO,5,10,0.018,0.01,NA,1.065,19,0.006
AGOSTO,5,11,0.029,0.012,NA,1.081,24,0.006
AGOSTO,5,12,0.039,0.015,NA,1.094,25,0.005
AGOSTO,5,13,0.044,0.02,0.008,1.1,23,0.004
AGOSTO,5,14,0.05,0.025,0.008,1.105,22,0.005
AGOSTO,5,15,0.07,0.033,0.01,1.133,28,0.008
AGOSTO,5,16,0.073,0.042,0.01,1.159,43,0.006
AGOSTO,5,17,0.063,0.048,0.01,1.161,40,0.006
AGOSTO,5,18,0.063,0.054,0.011,1.158,46,0.006
AGOSTO,5,19,NA,NA,NA,1.163,NA,NA
AGOSTO,5,20,NA,NA,NA,1.172,NA,NA
AGOSTO,5,21,NA,NA,NA,NA,NA,NA
AGOSTO,5,22,NA,NA,NA,NA,NA,NA
AGOSTO,5,23,NA,NA,NA,NA,NA,NA
AGOSTO,6,0,0.032,NA,NA,NA,NA,0.005
AGOSTO,6,1,0.03,NA,NA,NA,13,0.004
AGOSTO,6,2,0.027,NA,NA,NA,11,0.005
AGOSTO,6,3,0.019,NA,NA,NA,8,0.006
AGOSTO,6,4,0.022,NA,NA,NA,8,0.004
AGOSTO,6,5,0.025,NA,NA,1.01,10,0.004
AGOSTO,6,6,0.027,NA,NA,1.01,10,0.004
AGOSTO,6,7,0.027,0.026,NA,1.013,14,0.005
AGOSTO,6,8,0.025,0.025,NA,1.023,11,0.005
AGOSTO,6,9,0.024,0.024,NA,1.035,11,0.005
AGOSTO,6,10,0.029,0.025,NA,1.059,16,0.005
AGOSTO,6,11,0.032,0.026,NA,1.094,26,0.006
AGOSTO,6,12,0.041,0.029,NA,1.12,33,0.006
AGOSTO,6,13,0.054,0.032,NA,1.176,45,0.008
AGOSTO,6,14,0.058,0.036,NA,1.231,51,0.007
AGOSTO,6,15,0.053,0.04,NA,1.244,44,0.004
AGOSTO,6,16,0.048,0.043,NA,1.235,33,0.003
AGOSTO,6,17,0.048,0.046,NA,1.224,31,0.004
AGOSTO,6,18,0.045,0.047,NA,1.196,26,0.003
AGOSTO,6,19,0.042,0.049,NA,1.158,28,0.003
AGOSTO,6,20,0.036,0.048,NA,1.141,31,0.006
