DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2023,,,,,,,,
NOTA,LOS DATOS SON PREVALIDADOS ,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],NO2 Horario [ppm]
ABRIL,1,0,0.021,0.003,0.000,NA,105,0.022
ABRIL,1,1,0.022,0.005,0.001,NA,104,0.014
ABRIL,1,2,0.026,0.009,0.001,NA,87,0.018
ABRIL,1,3,0.021,0.011,0.002,NA,81,0.018
ABRIL,1,4,0.026,0.015,0.002,NA,74,0.009
ABRIL,1,5,0.024,0.017,0.002,1.369,69,0.007
ABRIL,1,6,0.020,0.020,0.002,1.357,62,0.010
ABRIL,1,7,0.054,0.027,0.003,1.389,63,0.015
ABRIL,1,8,0.045,0.030,0.003,1.425,86,0.018
ABRIL,1,9,0.026,0.030,0.003,1.468,124,0.017
ABRIL,1,10,0.043,0.032,0.004,1.457,107,0.005
ABRIL,1,11,0.056,0.036,0.005,1.442,94,0.007
ABRIL,1,12,0.071,0.042,0.006,1.453,84,0.006
ABRIL,1,13,0.085,0.050,0.008,1.467,79,0.006
ABRIL,1,14,0.084,0.058,0.008,1.461,78,0.004
ABRIL,1,15,0.081,0.061,0.009,1.412,76,0.004
ABRIL,1,16,0.070,0.064,0.009,1.317,69,0.003
ABRIL,1,17,0.074,0.070,0.010,1.262,65,0.005
ABRIL,1,18,0.078,0.075,0.010,1.270,66,0.007
ABRIL,1,19,0.064,0.076,0.011,1.287,74,0.010
ABRIL,1,20,0.037,0.072,0.011,1.344,83,0.020
ABRIL,1,21,0.033,0.065,0.012,1.379,102,0.016
ABRIL,1,22,0.054,0.061,0.014,1.383,175,0.008
ABRIL,1,23,0.039,0.056,0.014,1.382,174,0.007
ABRIL,2,0,0.045,0.053,0.015,1.389,128,0.006
ABRIL,2,1,0.036,0.048,0.015,1.380,97,0.005
